"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS"
1,1000,1000,0.005,3,random,kmeans,0.984355786741434,2000913.51666966
2,1000,1000,0.005,3,random,kmeans,0.984339294181046,2012235.63861418
3,1000,1000,0.005,3,random,kmeans,0.993633759594698,2015807.85519269
4,1000,1000,0.005,3,random,kmeans,0.991289862763178,2007463.18999814
5,1000,1000,0.005,3,random,kmeans,0.993591074352442,1936245.58026319
6,1000,1000,0.005,3,random,kmeans,0.996583273111822,2044446.49867161
7,1000,1000,0.005,3,random,kmeans,0.996603991649163,1902158.48148143
8,1000,1000,0.005,3,random,kmeans,0.99364193342647,2045200.63633327
9,1000,1000,0.005,3,random,kmeans,0.983850151464581,2015637.0750873
10,1000,1000,0.005,3,random,kmeans,0.983454714990189,1980296.29657157
11,1000,1000,0.005,3,random,kmeans,0.987308824367548,1941786.49930646
12,1000,1000,0.005,3,random,kmeans,0.996490674255581,1996397.32248555
13,1000,1000,0.005,3,random,kmeans,0.986908263630478,1909928.26734902
14,1000,1000,0.005,3,random,kmeans,0.99708185540835,1984644.05606259
15,1000,1000,0.005,3,random,kmeans,0.990283722188517,1977331.34829527
16,1000,1000,0.005,3,random,kmeans,0.98346915418,2034016.06962037
17,1000,1000,0.005,3,random,kmeans,0.993213213564357,2069855.88071601
18,1000,1000,0.005,3,random,kmeans,0.994873320063501,2032127.57818333
19,1000,1000,0.005,3,random,kmeans,0.987263647544322,1932583.23853226
20,1000,1000,0.005,3,random,kmeans,0.972913372957306,2013811.13261461
1,1000,1000,0.01,3,random,kmeans,0.990716426619103,1987146.07012054
2,1000,1000,0.01,3,random,kmeans,0.976725716710438,1920600.40420598
3,1000,1000,0.01,3,random,kmeans,0.987267700698812,1988524.02587516
4,1000,1000,0.01,3,random,kmeans,0.993686067827162,2063767.78838328
5,1000,1000,0.01,3,random,kmeans,0.993194734093452,1971632.01119881
6,1000,1000,0.01,3,random,kmeans,0.98348148404057,1988684.87998555
7,1000,1000,0.01,3,random,kmeans,0.996538317559397,1909185.79550558
8,1000,1000,0.01,3,random,kmeans,0.988337699019101,1940905.37893271
9,1000,1000,0.01,3,random,kmeans,0.990273917992909,2128134.7526558
10,1000,1000,0.01,3,random,kmeans,0.996620766994874,2049594.3388522
11,1000,1000,0.01,3,random,kmeans,0.993208919045108,1940792.77437107
12,1000,1000,0.01,3,random,kmeans,0.997005245659689,2001301.4076806
13,1000,1000,0.01,3,random,kmeans,0.993608286313423,1941921.2258185
14,1000,1000,0.01,3,random,kmeans,0.981412554100829,1952887.49470799
15,1000,1000,0.01,3,random,kmeans,0.987287903048342,1953092.8131978
16,1000,1000,0.01,3,random,kmeans,0.9901973677222,1893819.59631422
17,1000,1000,0.01,3,random,kmeans,0.983862889971523,1945653.58351804
18,1000,1000,0.01,3,random,kmeans,1,1977754.16867076
19,1000,1000,0.01,3,random,kmeans,0.99318735511797,2003333.09551288
20,1000,1000,0.01,3,random,kmeans,0.993125916391224,1956324.6068047
1,1000,1000,0.05,3,random,kmeans,0.987310199879083,2025360.36659215
2,1000,1000,0.05,3,random,kmeans,0.990286978198404,1944321.2598554
3,1000,1000,0.05,3,random,kmeans,0.993629877585478,1944765.09367203
4,1000,1000,0.05,3,random,kmeans,0.997030350031084,2008260.24255222
5,1000,1000,0.05,3,random,kmeans,0.978270053728042,1990140.65145667
6,1000,1000,0.05,3,random,kmeans,0.993615103445192,1921927.03814276
7,1000,1000,0.05,3,random,kmeans,0.988065102600073,1914615.88088705
8,1000,1000,0.05,3,random,kmeans,0.990816824874902,1981989.12758378
9,1000,1000,0.05,3,random,kmeans,1,1853332.97135653
10,1000,1000,0.05,3,random,kmeans,1,2070701.35830969
11,1000,1000,0.05,3,random,kmeans,0.9872348713622,1922345.26271114
12,1000,1000,0.05,3,random,kmeans,0.990676273197114,1965020.70730277
13,1000,1000,0.05,3,random,kmeans,0.990284791894263,2118578.43850251
14,1000,1000,0.05,3,random,kmeans,0.993415750405481,1960728.38603119
15,1000,1000,0.05,3,random,kmeans,0.980978270226167,1977937.72892828
16,1000,1000,0.05,3,random,kmeans,0.990293732166321,2039957.48770107
17,1000,1000,0.05,3,random,kmeans,0.980953641101559,2099953.11336376
18,1000,1000,0.05,3,random,kmeans,0.987688430117036,1954839.59590361
19,1000,1000,0.05,3,random,kmeans,0.989693950296714,1999948.06200916
20,1000,1000,0.05,3,random,kmeans,0.993228283265411,2041162.79462524
1,1000,1000,0.1,3,random,kmeans,0.990587565114396,1960804.73516221
2,1000,1000,0.1,3,random,kmeans,0.990566782519026,1895144.12318164
3,1000,1000,0.1,3,random,kmeans,0.979884444418563,1964035.72012713
4,1000,1000,0.1,3,random,kmeans,0.991093200338177,2037071.39792694
5,1000,1000,0.1,3,random,kmeans,0.986973745773208,2001550.17695957
