"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS"
72,1000,1000,0.005,3,random,mbkmeans,0.978365506703894,3534293.85605586
73,1000,1000,0.005,3,random,mbkmeans,0.993398850578312,3542045.4094426
74,1000,1000,0.005,3,random,mbkmeans,0.973249981817312,3230221.38492245
75,1000,1000,0.005,3,random,mbkmeans,0.967881140273149,3178743.15329768
76,1000,1000,0.005,3,random,mbkmeans,0.955085628095846,3437076.53703021
77,1000,1000,0.005,3,random,mbkmeans,0.950995585830636,3138262.8166388
78,1000,1000,0.005,3,random,mbkmeans,0.961882903713952,3758342.69542218
79,1000,1000,0.005,3,random,mbkmeans,0.98411613447056,3864949.32164313
80,1000,1000,0.005,3,random,mbkmeans,0.991545715720507,3429960.99921688
1,1000,1000,0.01,3,random,mbkmeans,0.986478262413368,2399105.85628296
2,1000,1000,0.01,3,random,mbkmeans,0.964522936844841,3064350.65203172
3,1000,1000,0.01,3,random,mbkmeans,0.987925818478838,2605700.16070001
4,1000,1000,0.01,3,random,mbkmeans,0.991649806768662,2407288.72576055
5,1000,1000,0.01,3,random,mbkmeans,0.966823446667918,3032334.54521749
6,1000,1000,0.01,3,random,mbkmeans,0.993675018483348,2686196.06755484
7,1000,1000,0.01,3,random,mbkmeans,0.909827047491882,3651240.41565736
8,1000,1000,0.01,3,random,mbkmeans,0.985314250620574,2824516.89888488
9,1000,1000,0.01,3,random,mbkmeans,0.98811808504773,3340568.01552474
10,1000,1000,0.01,3,random,mbkmeans,0.966216686426777,3198787.43862861
11,1000,1000,0.01,3,random,mbkmeans,0.982777841359997,2149133.83986996
12,1000,1000,0.01,3,random,mbkmeans,0.986823896004609,2330284.56227929
13,1000,1000,0.01,3,random,mbkmeans,0.967166728391773,2658249.31257229
14,1000,1000,0.01,3,random,mbkmeans,0.996605361911563,2220939.09278369
15,1000,1000,0.01,3,random,mbkmeans,0.97889194100938,2832334.18454088
16,1000,1000,0.01,3,random,mbkmeans,0.989787544108543,2225548.957217
17,1000,1000,0.01,3,random,mbkmeans,0.997009859160588,2508490.38523747
18,1000,1000,0.01,3,random,mbkmeans,0.983347769765876,2579061.3891146
19,1000,1000,0.01,3,random,mbkmeans,0.981336080675534,2764154.37436908
20,1000,1000,0.01,3,random,mbkmeans,0.98346915418,2493505.10042892
21,1000,1000,0.01,3,random,mbkmeans,0.974552313232037,3410827.89977698
22,1000,1000,0.01,3,random,mbkmeans,0.963625560519115,3881495.69268201
23,1000,1000,0.01,3,random,mbkmeans,0.993659216110631,2555936.1692882
24,1000,1000,0.01,3,random,mbkmeans,0.989036214918866,2589278.21731989
25,1000,1000,0.01,3,random,mbkmeans,0.990973555168609,2991528.05793939
26,1000,1000,0.01,3,random,mbkmeans,0.95778187257039,2955881.51559638
27,1000,1000,0.01,3,random,mbkmeans,0.990621552956698,2473290.81398494
28,1000,1000,0.01,3,random,mbkmeans,0.98567775843271,2385146.11480089
29,1000,1000,0.01,3,random,mbkmeans,0.967812542314961,3328494.93960929
30,1000,1000,0.01,3,random,mbkmeans,0.941675795704392,2959111.03850681
31,1000,1000,0.01,3,random,mbkmeans,0.985719277087209,2717393.33394813
32,1000,1000,0.01,3,random,mbkmeans,0.965267014857367,2745889.15648598
33,1000,1000,0.01,3,random,mbkmeans,0.986838385210799,2446977.48140446
34,1000,1000,0.01,3,random,mbkmeans,0.984299534124555,2759834.07046948
35,1000,1000,0.01,3,random,mbkmeans,0.99656080837111,3504660.44274041
36,1000,1000,0.01,3,random,mbkmeans,0.994456006621769,2977413.66325382
37,1000,1000,0.01,3,random,mbkmeans,0.978704196498847,2837920.31290012
38,1000,1000,0.01,3,random,mbkmeans,0.958350239919115,3206727.56699922
39,1000,1000,0.01,3,random,mbkmeans,0.99092385667034,2635944.63692105
40,1000,1000,0.01,3,random,mbkmeans,0.976860907504803,3310718.2704744
41,1000,1000,0.01,3,random,mbkmeans,0.964569365480124,2680933.33998995
42,1000,1000,0.01,3,random,mbkmeans,0.98319495838453,2767184.06421688
43,1000,1000,0.01,3,random,mbkmeans,0.989747424240159,2920585.88848565
44,1000,1000,0.01,3,random,mbkmeans,0.990230017729715,2182455.55986987
45,1000,1000,0.01,3,random,mbkmeans,0.97855519261499,2451356.29286505
46,1000,1000,0.01,3,random,mbkmeans,0.996542484120847,2544617.41327248
47,1000,1000,0.01,3,random,mbkmeans,0.983325775029517,2322900.40285106
48,1000,1000,0.01,3,random,mbkmeans,0.978480214692558,3144042.51829143
49,1000,1000,0.01,3,random,mbkmeans,0.981430708138418,2767367.70918571
50,1000,1000,0.01,3,random,mbkmeans,0.96366019253689,3814822.35032179
51,1000,1000,0.01,3,random,mbkmeans,0.987895788148205,2588556.01065672
52,1000,1000,0.01,3,random,mbkmeans,0.987757899925874,2734455.1899222
53,1000,1000,0.01,3,random,mbkmeans,0.966339161790368,2679232.12253051
54,1000,1000,0.01,3,random,mbkmeans,0.976548490377182,2903259.90067695
55,1000,1000,0.01,3,random,mbkmeans,0.934305985638397,3600166.0136775
56,1000,1000,0.01,3,random,mbkmeans,0.977932524208565,4070821.87726768
57,1000,1000,0.01,3,random,mbkmeans,0.989797847376065,2547508.80510644
58,1000,1000,0.01,3,random,mbkmeans,0.990628438718821,2345898.85009518
59,1000,1000,0.01,3,random,mbkmeans,0.997063883716935,2602409.11674769
60,1000,1000,0.01,3,random,mbkmeans,0.968160337995132,3394784.98624227
61,1000,1000,0.01,3,random,mbkmeans,0.996681833793922,2933682.18372552
62,1000,1000,0.01,3,random,mbkmeans,0.98519810322818,2752980.89744768
63,1000,1000,0.01,3,random,mbkmeans,0.978917093980431,2827544.87978875
64,1000,1000,0.01,3,random,mbkmeans,0.972158934313974,2613453.53607212
65,1000,1000,0.01,3,random,mbkmeans,0.98349851759762,2867968.23333646
66,1000,1000,0.01,3,random,mbkmeans,0.990227709061686,2641473.2363914
67,1000,1000,0.01,3,random,mbkmeans,0.978019986778037,2630703.62054125
68,1000,1000,0.01,3,random,mbkmeans,0.959881400811429,3532947.78492951
69,1000,1000,0.01,3,random,mbkmeans,0.993200789353625,2542412.18882161
70,1000,1000,0.01,3,random,mbkmeans,0.990180973426328,2468783.96176359
71,1000,1000,0.01,3,random,mbkmeans,0.987710114343528,2716412.82256923
72,1000,1000,0.01,3,random,mbkmeans,0.987218690738331,2625995.35096559
73,1000,1000,0.01,3,random,mbkmeans,0.997840459079623,2710419.0529982
74,1000,1000,0.01,3,random,mbkmeans,0.968288814655105,2886121.79190659
75,1000,1000,0.01,3,random,mbkmeans,0.961559053972108,2680579.35106565
76,1000,1000,0.01,3,random,mbkmeans,0.973080500801672,2672338.06205309
77,1000,1000,0.01,3,random,mbkmeans,0.97666142971684,2510881.24754791
78,1000,1000,0.01,3,random,mbkmeans,0.996577595117002,2510701.59215979
79,1000,1000,0.01,3,random,mbkmeans,0.987715733929172,2781817.30538585
80,1000,1000,0.01,3,random,mbkmeans,0.989802254105616,2582829.6459162
1,1000,1000,0.05,3,random,mbkmeans,0.984180009719909,2058679.92031889
2,1000,1000,0.05,3,random,mbkmeans,0.987697533132531,2029303.44607932
3,1000,1000,0.05,3,random,mbkmeans,0.993601626525124,2241720.35005704
4,1000,1000,0.05,3,random,mbkmeans,0.993651217013266,2281441.35552229
5,1000,1000,0.05,3,random,mbkmeans,0.990239300077373,2136860.09497726
6,1000,1000,0.05,3,random,mbkmeans,0.987211874194434,2034077.9630768
7,1000,1000,0.05,3,random,mbkmeans,0.977530722975687,2002271.40949208
8,1000,1000,0.05,3,random,mbkmeans,0.994432660027933,2094388.9709616
9,1000,1000,0.05,3,random,mbkmeans,0.990212380889165,2060300.76434717
10,1000,1000,0.05,3,random,mbkmeans,0.986210543807002,2062465.42765295
11,1000,1000,0.05,3,random,mbkmeans,0.983859892152392,1962712.34717375
12,1000,1000,0.05,3,random,mbkmeans,0.988238916592734,2097622.71902535
13,1000,1000,0.05,3,random,mbkmeans,0.963818087204611,2166809.97333157
14,1000,1000,0.05,3,random,mbkmeans,0.996595128550217,2160515.10087008
15,1000,1000,0.05,3,random,mbkmeans,0.986272599904544,2113896.12339319
16,1000,1000,0.05,3,random,mbkmeans,1,2032232.12987468
17,1000,1000,0.05,3,random,mbkmeans,0.989882615279769,2077630.51476542
18,1000,1000,0.05,3,random,mbkmeans,0.980190657220394,2272698.30933646
19,1000,1000,0.05,3,random,mbkmeans,0.986787381646091,1989444.57188438
20,1000,1000,0.05,3,random,mbkmeans,0.990562206146683,1996637.66972559
21,1000,1000,0.05,3,random,mbkmeans,0.993606015327564,2109484.12564645
22,1000,1000,0.05,3,random,mbkmeans,0.980242925200888,2129228.38328795
23,1000,1000,0.05,3,random,mbkmeans,0.98724981764855,2088735.86942638
24,1000,1000,0.05,3,random,mbkmeans,0.994224588519417,2080701.83222334
25,1000,1000,0.05,3,random,mbkmeans,0.990791060191782,2116854.41665942
26,1000,1000,0.05,3,random,mbkmeans,0.990712252831424,2067122.92803355
27,1000,1000,0.05,3,random,mbkmeans,0.993295124052386,2273945.75053939
28,1000,1000,0.05,3,random,mbkmeans,0.994403513474451,2217247.23897957
29,1000,1000,0.05,3,random,mbkmeans,0.993102971144211,2285844.09072201
30,1000,1000,0.05,3,random,mbkmeans,0.996584770310022,2007772.88879062
31,1000,1000,0.05,3,random,mbkmeans,1,2136277.49569
32,1000,1000,0.05,3,random,mbkmeans,0.989850008027323,2214047.49546482
33,1000,1000,0.05,3,random,mbkmeans,0.978150819859262,2151893.98241238
34,1000,1000,0.05,3,random,mbkmeans,0.98790932111009,2208571.69530454
35,1000,1000,0.05,3,random,mbkmeans,0.99777971420378,2403200.99727765
36,1000,1000,0.05,3,random,mbkmeans,0.993339892638616,2010977.86103694
37,1000,1000,0.05,3,random,mbkmeans,0.990173150872012,2054835.24005393
38,1000,1000,0.05,3,random,mbkmeans,0.99655994388942,2146481.68605244
39,1000,1000,0.05,3,random,mbkmeans,0.989906134766235,2035045.12201023
40,1000,1000,0.05,3,random,mbkmeans,0.980521298445059,2221314.90970129
41,1000,1000,0.05,3,random,mbkmeans,0.990243024195228,2176782.53323006
42,1000,1000,0.05,3,random,mbkmeans,0.990672502371604,2134601.12001347
43,1000,1000,0.05,3,random,mbkmeans,0.993074534133582,2046622.41816198
44,1000,1000,0.05,3,random,mbkmeans,0.984426983081225,2149653.35544607
45,1000,1000,0.05,3,random,mbkmeans,0.9901973677222,2149326.46847601
46,1000,1000,0.05,3,random,mbkmeans,0.980315842228717,2123309.54685071
47,1000,1000,0.05,3,random,mbkmeans,0.996917215951794,2068926.13713542
48,1000,1000,0.05,3,random,mbkmeans,0.979083925436745,2191307.24830238
49,1000,1000,0.05,3,random,mbkmeans,0.987730736861656,2169614.04249247
50,1000,1000,0.05,3,random,mbkmeans,0.997106059540686,2276814.21393061
51,1000,1000,0.05,3,random,mbkmeans,0.990721111245375,2224193.41971789
52,1000,1000,0.05,3,random,mbkmeans,0.99097306853106,2206668.15913533
53,1000,1000,0.05,3,random,mbkmeans,0.978085893121257,2215510.63159085
54,1000,1000,0.05,3,random,mbkmeans,0.993618164060643,2071313.24002732
55,1000,1000,0.05,3,random,mbkmeans,0.996606559464041,2110861.95643597
56,1000,1000,0.05,3,random,mbkmeans,0.994211915189938,2319850.36595606
57,1000,1000,0.05,3,random,mbkmeans,0.99664214920558,2087150.47326878
58,1000,1000,0.05,3,random,mbkmeans,0.99361691412742,2136254.83583303
59,1000,1000,0.05,3,random,mbkmeans,0.993165111073915,2051445.73025373
60,1000,1000,0.05,3,random,mbkmeans,0.99325411629069,2117207.38011616
61,1000,1000,0.05,3,random,mbkmeans,0.990270735702743,2175822.85229017
62,1000,1000,0.05,3,random,mbkmeans,0.993639221831539,2031233.18888256
63,1000,1000,0.05,3,random,mbkmeans,0.993209938346579,2142560.61243311
64,1000,1000,0.05,3,random,mbkmeans,0.98386272990785,2019623.91757019
65,1000,1000,0.05,3,random,mbkmeans,1,2230762.74149488
66,1000,1000,0.05,3,random,mbkmeans,0.993235147235935,2133295.93417501
67,1000,1000,0.05,3,random,mbkmeans,0.99024811334471,2109156.04069189
68,1000,1000,0.05,3,random,mbkmeans,1,2079457.43057588
69,1000,1000,0.05,3,random,mbkmeans,0.997066585391884,2060048.22845386
70,1000,1000,0.05,3,random,mbkmeans,0.990269550087223,2052640.55880994
71,1000,1000,0.05,3,random,mbkmeans,0.970558358858702,2196453.62092286
72,1000,1000,0.05,3,random,mbkmeans,0.990583598026545,2063144.95556154
73,1000,1000,0.05,3,random,mbkmeans,0.990536329248834,2049771.01356249
74,1000,1000,0.05,3,random,mbkmeans,0.989630294633827,2139908.58878935
75,1000,1000,0.05,3,random,mbkmeans,0.993640473830374,2218143.11050561
76,1000,1000,0.05,3,random,mbkmeans,0.990707557820148,2167028.19095504
77,1000,1000,0.05,3,random,mbkmeans,0.987284554991154,2209157.34867936
78,1000,1000,0.05,3,random,mbkmeans,0.997024314346572,1963990.38085219
79,1000,1000,0.05,3,random,mbkmeans,0.979674882165319,2133694.50535353
80,1000,1000,0.05,3,random,mbkmeans,0.987314822533018,2237273.19763056
1,1000,1000,0.1,3,random,mbkmeans,0.996970808636908,2066420.24608945
2,1000,1000,0.1,3,random,mbkmeans,0.993597494576246,2129932.03072202
3,1000,1000,0.1,3,random,mbkmeans,0.993107885233895,1959109.5418912
4,1000,1000,0.1,3,random,mbkmeans,0.986810348745337,2011210.82333391
5,1000,1000,0.1,3,random,mbkmeans,0.987928392462152,2007181.34390558
6,1000,1000,0.1,3,random,mbkmeans,0.987304621783739,2051810.20062269
7,1000,1000,0.1,3,random,mbkmeans,0.987453321358735,1913038.64665838
8,1000,1000,0.1,3,random,mbkmeans,0.982486666966457,2103156.66353648
9,1000,1000,0.1,3,random,mbkmeans,0.990243348726006,1974979.75614438
10,1000,1000,0.1,3,random,mbkmeans,0.990286160996981,2073446.00424191
11,1000,1000,0.1,3,random,mbkmeans,0.986960565197952,2118304.05870245
12,1000,1000,0.1,3,random,mbkmeans,0.991076904025035,1995019.45910471
13,1000,1000,0.1,3,random,mbkmeans,0.980489678652291,2092712.73816931
14,1000,1000,0.1,3,random,mbkmeans,0.976056576930226,1979354.20903172
15,1000,1000,0.1,3,random,mbkmeans,0.987268866075715,2024367.89563345
16,1000,1000,0.1,3,random,mbkmeans,0.993314306475909,2094119.88594993
17,1000,1000,0.1,3,random,mbkmeans,0.990749922014946,2100728.12335486
