"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS","iterations","fault"
6,1e+05,1000,0.01,7,kmeans++,mbkmeans,0.556316272809636,391268791.320888,20,NA
7,1e+05,1000,0.01,7,kmeans++,mbkmeans,0.556846194071819,389245248.660931,22,NA
8,1e+05,1000,0.01,7,kmeans++,mbkmeans,0.555495359202505,406554261.788127,25,NA
9,1e+05,1000,0.01,7,kmeans++,mbkmeans,0.555855726429035,410785948.487829,16,NA
10,1e+05,1000,0.01,7,kmeans++,mbkmeans,0.557293471237238,384112571.024681,34,NA
1,1e+05,1000,0.01,8,kmeans++,mbkmeans,0.583972007056455,375925532.841252,18,NA
2,1e+05,1000,0.01,8,kmeans++,mbkmeans,0.583320252326916,327057635.885926,16,NA
3,1e+05,1000,0.01,8,kmeans++,mbkmeans,0.611168511164002,370248418.652442,36,NA
4,1e+05,1000,0.01,8,kmeans++,mbkmeans,0.583307354109801,380664796.59802,23,NA
5,1e+05,1000,0.01,8,kmeans++,mbkmeans,0.566809891363432,366667198.096405,16,NA
6,1e+05,1000,0.01,8,kmeans++,mbkmeans,0.583104701397836,332211229.19963,26,NA
7,1e+05,1000,0.01,8,kmeans++,mbkmeans,0.581704345017886,341021665.952829,15,NA
8,1e+05,1000,0.01,8,kmeans++,mbkmeans,0.586219016614116,456667703.167023,26,NA
9,1e+05,1000,0.01,8,kmeans++,mbkmeans,0.583514172994493,336620687.834985,14,NA
10,1e+05,1000,0.01,8,kmeans++,mbkmeans,0.582667781279776,354908299.639674,29,NA
1,1e+05,1000,0.01,9,kmeans++,mbkmeans,0.644378838413169,304751991.899528,19,NA
2,1e+05,1000,0.01,9,kmeans++,mbkmeans,0.643441099791151,300301594.52415,17,NA
3,1e+05,1000,0.01,9,kmeans++,mbkmeans,0.610235427569573,308239672.769229,40,NA
4,1e+05,1000,0.01,9,kmeans++,mbkmeans,0.614299078447906,318163441.481344,18,NA
5,1e+05,1000,0.01,9,kmeans++,mbkmeans,0.633837690864154,303184560.204965,21,NA
6,1e+05,1000,0.01,9,kmeans++,mbkmeans,0.642099770209238,359511324.3143,16,NA
7,1e+05,1000,0.01,9,kmeans++,mbkmeans,0.64262206908204,295418609.844883,15,NA
8,1e+05,1000,0.01,9,kmeans++,mbkmeans,0.626867482848442,304289019.493499,17,NA
9,1e+05,1000,0.01,9,kmeans++,mbkmeans,0.632621254124153,298808003.923688,14,NA
10,1e+05,1000,0.01,9,kmeans++,mbkmeans,0.644495302609369,316008036.436028,21,NA
1,1e+05,1000,0.01,10,kmeans++,mbkmeans,0.679620852695369,273374032.749382,14,NA
2,1e+05,1000,0.01,10,kmeans++,mbkmeans,0.658008867186526,277190540.372793,13,NA
3,1e+05,1000,0.01,10,kmeans++,mbkmeans,0.680338070573657,279929312.330184,16,NA
4,1e+05,1000,0.01,10,kmeans++,mbkmeans,0.702364692599056,266225200.033315,15,NA
5,1e+05,1000,0.01,10,kmeans++,mbkmeans,0.677473281462127,267828107.886566,28,NA
6,1e+05,1000,0.01,10,kmeans++,mbkmeans,0.697976543563467,271837297.034403,33,NA
7,1e+05,1000,0.01,10,kmeans++,mbkmeans,0.675902716935812,276549642.678251,29,NA
8,1e+05,1000,0.01,10,kmeans++,mbkmeans,0.703039745252756,264324336.504518,28,NA
9,1e+05,1000,0.01,10,kmeans++,mbkmeans,0.678491456497249,274251574.004588,30,NA
10,1e+05,1000,0.01,10,kmeans++,mbkmeans,0.678383811292397,269371519.671509,17,NA
1,1e+05,1000,0.01,11,kmeans++,mbkmeans,0.74278281424111,247958290.799606,28,NA
2,1e+05,1000,0.01,11,kmeans++,mbkmeans,0.742937612493237,238947438.219995,14,NA
3,1e+05,1000,0.01,11,kmeans++,mbkmeans,0.740237695479555,245209440.724734,15,NA
4,1e+05,1000,0.01,11,kmeans++,mbkmeans,0.742312190908275,242859124.176699,26,NA
5,1e+05,1000,0.01,11,kmeans++,mbkmeans,0.627491327542211,273842836.082604,16,NA
6,1e+05,1000,0.01,11,kmeans++,mbkmeans,0.742436747860392,238505402.79174,26,NA
7,1e+05,1000,0.01,11,kmeans++,mbkmeans,0.742485441798682,245118799.132331,16,NA
8,1e+05,1000,0.01,11,kmeans++,mbkmeans,0.742337356069764,247078271.412786,15,NA
9,1e+05,1000,0.01,11,kmeans++,mbkmeans,0.693779418898199,250393769.577662,29,NA
10,1e+05,1000,0.01,11,kmeans++,mbkmeans,0.715774355252327,249283775.871508,22,NA
1,1e+05,1000,0.01,12,kmeans++,mbkmeans,0.770953463925563,234405622.408795,17,NA
2,1e+05,1000,0.01,12,kmeans++,mbkmeans,0.767475504166066,227058735.974148,25,NA
3,1e+05,1000,0.01,12,kmeans++,mbkmeans,0.771355457602329,243103189.016011,18,NA
4,1e+05,1000,0.01,12,kmeans++,mbkmeans,0.774159171846405,234998822.428273,22,NA
5,1e+05,1000,0.01,12,kmeans++,mbkmeans,0.784726736684561,215263745.311342,26,NA
6,1e+05,1000,0.01,12,kmeans++,mbkmeans,0.78681306068462,213022269.716165,25,NA
7,1e+05,1000,0.01,12,kmeans++,mbkmeans,0.767199801094804,224700399.243445,23,NA
8,1e+05,1000,0.01,12,kmeans++,mbkmeans,0.667415389324495,256311079.107273,22,NA
9,1e+05,1000,0.01,12,kmeans++,mbkmeans,0.705154774284032,245126036.499612,14,NA
10,1e+05,1000,0.01,12,kmeans++,mbkmeans,0.678823591595963,246828906.145,19,NA
1,1e+05,1000,0.01,13,kmeans++,mbkmeans,0.781241050913485,204852557.085406,28,NA
