"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS","iterations","fault"
5,1e+05,1000,0.01,8,random,kmeans,0.58214519607729,343780857.407868,3,0
6,1e+05,1000,0.01,8,random,kmeans,0.581813945398104,333994333.565021,4,0
7,1e+05,1000,0.01,8,random,kmeans,0.611060917444559,361630878.857376,3,0
8,1e+05,1000,0.01,8,random,kmeans,0.581924997599367,330017949.398355,3,0
9,1e+05,1000,0.01,8,random,kmeans,0.582401555025119,337205176.584188,3,0
10,1e+05,1000,0.01,8,random,kmeans,0.581759959797607,330442180.400445,3,0
1,1e+05,1000,0.01,9,random,kmeans,0.611215939387686,306958225.832868,3,0
2,1e+05,1000,0.01,9,random,kmeans,0.664149797917052,335992247.094224,3,0
3,1e+05,1000,0.01,9,random,kmeans,0.643672073195194,294112566.580255,3,0
4,1e+05,1000,0.01,9,random,kmeans,0.611675043410259,308591128.506181,3,0
5,1e+05,1000,0.01,9,random,kmeans,0.642666521228819,305067026.665319,3,0
6,1e+05,1000,0.01,9,random,kmeans,0.609069283942465,303886757.948526,3,0
7,1e+05,1000,0.01,9,random,kmeans,0.631150704154014,305152504.195206,3,0
8,1e+05,1000,0.01,9,random,kmeans,0.644010895696576,293890928.420175,3,0
9,1e+05,1000,0.01,9,random,kmeans,0.643993039432374,302467455.213296,3,0
10,1e+05,1000,0.01,9,random,kmeans,0.642253236168361,305114854.187972,7,0
1,1e+05,1000,0.01,10,random,kmeans,0.680277735482609,266015711.011288,3,0
2,1e+05,1000,0.01,10,random,kmeans,0.677995408420679,270228381.13492,5,0
3,1e+05,1000,0.01,10,random,kmeans,0.664691463790577,266940675.676146,2,0
4,1e+05,1000,0.01,10,random,kmeans,0.701796720594228,264661994.044613,5,0
5,1e+05,1000,0.01,10,random,kmeans,0.676628293801223,275440806.258652,4,0
6,1e+05,1000,0.01,10,random,kmeans,0.676686762677526,256059203.033199,3,0
7,1e+05,1000,0.01,10,random,kmeans,0.676818397603625,269699000.361729,3,0
8,1e+05,1000,0.01,10,random,kmeans,0.677273853077274,276261083.040724,3,0
9,1e+05,1000,0.01,10,random,kmeans,0.701354534407702,265610611.359953,3,0
10,1e+05,1000,0.01,10,random,kmeans,0.664023677269316,274334804.974895,3,0
1,1e+05,1000,0.01,11,random,kmeans,0.684241415896369,261738664.916719,3,0
2,1e+05,1000,0.01,11,random,kmeans,0.705678645843444,239683410.666198,2,0
3,1e+05,1000,0.01,11,random,kmeans,0.742746656267203,239153551.072462,5,0
4,1e+05,1000,0.01,11,random,kmeans,0.705784812401172,245719629.654161,4,0
5,1e+05,1000,0.01,11,random,kmeans,0.741445803774739,236781268.908262,3,0
6,1e+05,1000,0.01,11,random,kmeans,0.739949370573715,229050521.830004,3,0
