B,observations,genes,batch_size,k,initializer,method,ARI,WCSS,iterations,fault
9,1.00E+05,1000,0.001,8,random,kmeans,0.599227436,378739767.7,3,0
10,1.00E+05,1000,0.001,8,random,kmeans,0.610700351,367192557.6,3,0
1,1.00E+05,1000,0.001,9,random,kmeans,0.642282511,312849459.8,3,0
2,1.00E+05,1000,0.001,9,random,kmeans,0.643247567,298427882.4,3,0
3,1.00E+05,1000,0.001,9,random,kmeans,0.62985746,297437876.9,3,0
4,1.00E+05,1000,0.001,9,random,kmeans,0.642105608,297252899.2,4,0
5,1.00E+05,1000,0.001,9,random,kmeans,0.615182766,318174352.9,3,0
6,1.00E+05,1000,0.001,9,random,kmeans,0.642446004,299308513.2,2,0
7,1.00E+05,1000,0.001,9,random,kmeans,0.662673031,328071938.3,3,0
8,1.00E+05,1000,0.001,9,random,kmeans,0.631099733,313191121.3,3,0
9,1.00E+05,1000,0.001,9,random,kmeans,0.629571681,302828410.9,3,0
10,1.00E+05,1000,0.001,9,random,kmeans,0.642916898,300222233.9,3,0
1,1.00E+05,1000,0.001,10,random,kmeans,0.644895565,280112215.6,3,0
2,1.00E+05,1000,0.001,10,random,kmeans,0.674754232,265281272.7,4,0
3,1.00E+05,1000,0.001,10,random,kmeans,0.703665667,262135856.5,3,0
4,1.00E+05,1000,0.001,10,random,kmeans,0.702536388,262557398.8,3,0
5,1.00E+05,1000,0.001,10,random,kmeans,0.700681444,271830291,3,0
6,1.00E+05,1000,0.001,10,random,kmeans,0.70220605,261427809.7,3,0
7,1.00E+05,1000,0.001,10,random,kmeans,0.667595311,279629107.8,3,0
8,1.00E+05,1000,0.001,10,random,kmeans,0.7021732,262040336.7,3,0
9,1.00E+05,1000,0.001,10,random,kmeans,0.679436632,276155892.6,3,0
10,1.00E+05,1000,0.001,10,random,kmeans,0.677787262,272980879.3,3,0
1,1.00E+05,1000,0.001,11,random,kmeans,0.739876706,239322131,3,0
2,1.00E+05,1000,0.001,11,random,kmeans,0.688563311,273158028.5,5,0
3,1.00E+05,1000,0.001,11,random,kmeans,0.742046819,233524583.2,3,0
4,1.00E+05,1000,0.001,11,random,kmeans,0.716342727,244028071,3,0
5,1.00E+05,1000,0.001,11,random,kmeans,0.742192837,236664729.7,4,0
6,1.00E+05,1000,0.001,11,random,kmeans,0.743917179,240098069.5,3,0
7,1.00E+05,1000,0.001,11,random,kmeans,0.72751073,249510383.8,4,0
8,1.00E+05,1000,0.001,11,random,kmeans,0.744081158,244856814.9,4,0
9,1.00E+05,1000,0.001,11,random,kmeans,0.744282657,241268234,4,0
10,1.00E+05,1000,0.001,11,random,kmeans,0.692549734,268750604.4,5,0
1,1.00E+05,1000,0.001,12,random,kmeans,0.766169391,229643161.9,4,0
2,1.00E+05,1000,0.001,12,random,kmeans,0.767113945,212244990.4,4,0
3,1.00E+05,1000,0.001,12,random,kmeans,0.76530882,215292000.7,3,0
4,1.00E+05,1000,0.001,12,random,kmeans,0.697812399,244030504.7,3,0
5,1.00E+05,1000,0.001,12,random,kmeans,0.670524904,259978451.8,3,0
6,1.00E+05,1000,0.001,12,random,kmeans,0.774361017,230614744.3,3,0
