B,observations,genes,batch_size,k,initializer,method,ARI,WCSS,iterations,fault
4,1.00E+05,1000,75,8,kmeans++,hdf5,0.567408926,430969824.9,33,NA
5,1.00E+05,1000,75,8,kmeans++,hdf5,0.580252878,357967183.1,25,NA
6,1.00E+05,1000,75,8,kmeans++,hdf5,0.584527391,375631809.2,23,NA
7,1.00E+05,1000,75,8,kmeans++,hdf5,0.608161495,379420531.8,32,NA
8,1.00E+05,1000,75,8,kmeans++,hdf5,0.575924055,401972656.4,14,NA
9,1.00E+05,1000,75,8,kmeans++,hdf5,0.579606294,368160293,19,NA
10,1.00E+05,1000,75,8,kmeans++,hdf5,0.583119069,378330018.3,23,NA
1,1.00E+05,1000,75,9,kmeans++,hdf5,0.664130596,357334392.5,21,NA
2,1.00E+05,1000,75,9,kmeans++,hdf5,0.630017021,326997691,32,NA
3,1.00E+05,1000,75,9,kmeans++,hdf5,0.624326191,328079887.7,16,NA
4,1.00E+05,1000,75,9,kmeans++,hdf5,0.634512112,377372217.1,27,NA
5,1.00E+05,1000,75,9,kmeans++,hdf5,0.594193456,343118875,15,NA
6,1.00E+05,1000,75,9,kmeans++,hdf5,0.630606315,340094693.8,14,NA
7,1.00E+05,1000,75,9,kmeans++,hdf5,0.626186504,349330742.5,28,NA
8,1.00E+05,1000,75,9,kmeans++,hdf5,0.610129587,338539121.4,19,NA
9,1.00E+05,1000,75,9,kmeans++,hdf5,0.608836614,317537188.1,16,NA
10,1.00E+05,1000,75,9,kmeans++,hdf5,0.6390901,326893892,13,NA
1,1.00E+05,1000,75,10,kmeans++,hdf5,0.633697832,351970918.9,16,NA
2,1.00E+05,1000,75,10,kmeans++,hdf5,0.658803418,310204969.9,15,NA
3,1.00E+05,1000,75,10,kmeans++,hdf5,0.65960855,310972667.4,30,NA
4,1.00E+05,1000,75,10,kmeans++,hdf5,0.702339065,330977548.6,32,NA
5,1.00E+05,1000,75,10,kmeans++,hdf5,0.694825129,352695688.5,45,NA
6,1.00E+05,1000,75,10,kmeans++,hdf5,0.698191535,293628996.5,21,NA
7,1.00E+05,1000,75,10,kmeans++,hdf5,0.685212374,301622992.4,27,NA
8,1.00E+05,1000,75,10,kmeans++,hdf5,0.67406686,314206372.3,24,NA
9,1.00E+05,1000,75,10,kmeans++,hdf5,0.675339921,293042412.5,15,NA
10,1.00E+05,1000,75,10,kmeans++,hdf5,0.655439636,317682249.3,27,NA
1,1.00E+05,1000,75,11,kmeans++,hdf5,0.648997132,311963394.1,18,NA
2,1.00E+05,1000,75,11,kmeans++,hdf5,0.712334928,282265878.7,17,NA
3,1.00E+05,1000,75,11,kmeans++,hdf5,0.659589719,294825873,16,NA
4,1.00E+05,1000,75,11,kmeans++,hdf5,0.721872916,304710333.1,17,NA
5,1.00E+05,1000,75,11,kmeans++,hdf5,0.73491995,275512914.1,28,NA
6,1.00E+05,1000,75,11,kmeans++,hdf5,0.720740987,314116153.8,25,NA
7,1.00E+05,1000,75,11,kmeans++,hdf5,0.716303283,302955529.5,19,NA
8,1.00E+05,1000,75,11,kmeans++,hdf5,0.728986528,265330999.7,13,NA
9,1.00E+05,1000,75,11,kmeans++,hdf5,0.711757966,275092422,15,NA
