B,observations,genes,batch_size,k,initializer,method,ARI,WCSS,iterations,fault
7,25000,1000,75,8,kmeans++,mbkmeans,0.580092522,99928321.46,16,NA
8,25000,1000,75,8,kmeans++,mbkmeans,0.612149984,92959921.28,18,NA
9,25000,1000,75,8,kmeans++,mbkmeans,0.581681525,100268134.1,34,NA
10,25000,1000,75,8,kmeans++,mbkmeans,0.579947414,87090682.85,24,NA
1,25000,1000,75,9,kmeans++,mbkmeans,0.615445828,84893053.05,13,NA
2,25000,1000,75,9,kmeans++,mbkmeans,0.606051944,92806870.94,30,NA
3,25000,1000,75,9,kmeans++,mbkmeans,0.610272711,90987091.99,16,NA
4,25000,1000,75,9,kmeans++,mbkmeans,0.605416816,82356256.42,24,NA
5,25000,1000,75,9,kmeans++,mbkmeans,0.637992487,81183553.8,25,NA
6,25000,1000,75,9,kmeans++,mbkmeans,0.628080798,81437366.9,22,NA
7,25000,1000,75,9,kmeans++,mbkmeans,0.64179381,86097633.22,36,NA
8,25000,1000,75,9,kmeans++,mbkmeans,0.622086347,91186955.95,26,NA
9,25000,1000,75,9,kmeans++,mbkmeans,0.628159838,95848361.79,35,NA
10,25000,1000,75,9,kmeans++,mbkmeans,0.612598753,85811057.48,24,NA
1,25000,1000,75,10,kmeans++,mbkmeans,0.704529637,78027741.98,20,NA
2,25000,1000,75,10,kmeans++,mbkmeans,0.665201025,74035445.84,13,NA
3,25000,1000,75,10,kmeans++,mbkmeans,0.635274666,84483469.41,15,NA
4,25000,1000,75,10,kmeans++,mbkmeans,0.625463991,81010435.57,24,NA
5,25000,1000,75,10,kmeans++,mbkmeans,0.664292332,75749694.5,15,NA
6,25000,1000,75,10,kmeans++,mbkmeans,0.631824729,88833311.72,13,NA
7,25000,1000,75,10,kmeans++,mbkmeans,0.656952437,78435262.12,29,NA
8,25000,1000,75,10,kmeans++,mbkmeans,0.611544518,80598637.84,14,NA
9,25000,1000,75,10,kmeans++,mbkmeans,0.599147462,78748314.92,20,NA
10,25000,1000,75,10,kmeans++,mbkmeans,0.699301735,74332412.3,19,NA
1,25000,1000,75,11,kmeans++,mbkmeans,0.739304845,70036058.26,30,NA
2,25000,1000,75,11,kmeans++,mbkmeans,0.700236881,74828573.72,27,NA
3,25000,1000,75,11,kmeans++,mbkmeans,0.697211716,81131518.54,16,NA
4,25000,1000,75,11,kmeans++,mbkmeans,0.713667677,77702753.51,23,NA
5,25000,1000,75,11,kmeans++,mbkmeans,0.669041329,71120117.01,24,NA
6,25000,1000,75,11,kmeans++,mbkmeans,0.654117334,75503517.9,35,NA
7,25000,1000,75,11,kmeans++,mbkmeans,0.690109351,73724499.59,22,NA
8,25000,1000,75,11,kmeans++,mbkmeans,0.719911408,78594952.73,36,NA
9,25000,1000,75,11,kmeans++,mbkmeans,0.705138474,67441987.76,24,NA
10,25000,1000,75,11,kmeans++,mbkmeans,0.676760726,71358448.21,48,NA
1,25000,1000,75,12,kmeans++,mbkmeans,0.760748828,61474555.72,33,NA
2,25000,1000,75,12,kmeans++,mbkmeans,0.701911441,66752514.88,21,NA
3,25000,1000,75,12,kmeans++,mbkmeans,0.773007518,66707265.06,30,NA
4,25000,1000,75,12,kmeans++,mbkmeans,0.75343669,62447528.05,27,NA
5,25000,1000,75,12,kmeans++,mbkmeans,0.729334687,69070144.15,13,NA
6,25000,1000,75,12,kmeans++,mbkmeans,0.776874087,62235886.35,14,NA
7,25000,1000,75,12,kmeans++,mbkmeans,0.743308344,67756225.96,25,NA
8,25000,1000,75,12,kmeans++,mbkmeans,0.715644611,72274169.3,22,NA
9,25000,1000,75,12,kmeans++,mbkmeans,0.738151713,63254361.93,32,NA
10,25000,1000,75,12,kmeans++,mbkmeans,0.722680724,70058612.53,29,NA
1,25000,1000,75,13,kmeans++,mbkmeans,0.708498813,69516508.22,26,NA
2,25000,1000,75,13,kmeans++,mbkmeans,0.707911661,66012510.61,26,NA
3,25000,1000,75,13,kmeans++,mbkmeans,0.812445134,57465875.68,29,NA
4,25000,1000,75,13,kmeans++,mbkmeans,0.775487525,60592052.84,20,NA
5,25000,1000,75,13,kmeans++,mbkmeans,0.738532326,62876572.96,39,NA
6,25000,1000,75,13,kmeans++,mbkmeans,0.725947109,63408068.48,27,NA
7,25000,1000,75,13,kmeans++,mbkmeans,0.811373053,57817398.12,30,NA
8,25000,1000,75,13,kmeans++,mbkmeans,0.759171346,65335716.79,38,NA
9,25000,1000,75,13,kmeans++,mbkmeans,0.759751997,62386981.57,20,NA
10,25000,1000,75,13,kmeans++,mbkmeans,0.743232159,64171540.37,13,NA
1,25000,1000,75,14,kmeans++,mbkmeans,0.720251902,63114972.36,26,NA
2,25000,1000,75,14,kmeans++,mbkmeans,0.702041218,67116084.16,19,NA
3,25000,1000,75,14,kmeans++,mbkmeans,0.777911902,59277352.31,16,NA
4,25000,1000,75,14,kmeans++,mbkmeans,0.675653899,68794633.99,21,NA
5,25000,1000,75,14,kmeans++,mbkmeans,0.856123913,52553952.41,26,NA
6,25000,1000,75,14,kmeans++,mbkmeans,0.715016711,63674880.53,49,NA
7,25000,1000,75,14,kmeans++,mbkmeans,0.778242202,62607822.69,23,NA
8,25000,1000,75,14,kmeans++,mbkmeans,0.7370097,65024071.91,24,NA
9,25000,1000,75,14,kmeans++,mbkmeans,0.757438981,64207898.34,15,NA
10,25000,1000,75,14,kmeans++,mbkmeans,0.70507031,63583523.1,32,NA
1,25000,1000,75,15,kmeans++,mbkmeans,0.75259611,62936916.36,33,NA
2,25000,1000,75,15,kmeans++,mbkmeans,0.761306201,66215951.52,30,NA
3,25000,1000,75,15,kmeans++,mbkmeans,0.784486196,57528275.81,12,NA
4,25000,1000,75,15,kmeans++,mbkmeans,0.835848474,56035543.04,30,NA
5,25000,1000,75,15,kmeans++,mbkmeans,0.839197888,54507354.78,24,NA
6,25000,1000,75,15,kmeans++,mbkmeans,0.780560802,58322740.16,17,NA
7,25000,1000,75,15,kmeans++,mbkmeans,0.820309449,58643722.52,15,NA
8,25000,1000,75,15,kmeans++,mbkmeans,0.799697939,60621735.85,20,NA
9,25000,1000,75,15,kmeans++,mbkmeans,0.773022665,58063437.31,16,NA
10,25000,1000,75,15,kmeans++,mbkmeans,0.75399554,58147021.33,23,NA
1,25000,1000,75,16,kmeans++,mbkmeans,0.752400785,59244448.69,21,NA
2,25000,1000,75,16,kmeans++,mbkmeans,0.773801774,60197262.83,20,NA
3,25000,1000,75,16,kmeans++,mbkmeans,0.82753781,52309036.04,12,NA
4,25000,1000,75,16,kmeans++,mbkmeans,0.692471944,63122698.41,16,NA
5,25000,1000,75,16,kmeans++,mbkmeans,0.720548044,61203997.58,26,NA
6,25000,1000,75,16,kmeans++,mbkmeans,0.778284371,59395973.41,23,NA
7,25000,1000,75,16,kmeans++,mbkmeans,0.836056189,55272728.74,16,NA
8,25000,1000,75,16,kmeans++,mbkmeans,0.783665457,64253049.42,27,NA
9,25000,1000,75,16,kmeans++,mbkmeans,0.739948663,61032157.39,33,NA
10,25000,1000,75,16,kmeans++,mbkmeans,0.811590838,54605413.89,13,NA
1,25000,1000,75,17,kmeans++,mbkmeans,0.812002112,55991891.99,29,NA
2,25000,1000,75,17,kmeans++,mbkmeans,0.782267486,54964717.36,20,NA
3,25000,1000,75,17,kmeans++,mbkmeans,0.749625877,55242990.68,16,NA
4,25000,1000,75,17,kmeans++,mbkmeans,0.745243969,53771838.63,24,NA
5,25000,1000,75,17,kmeans++,mbkmeans,0.796006006,53466720.75,13,NA
6,25000,1000,75,17,kmeans++,mbkmeans,0.780568948,54950781.09,25,NA
7,25000,1000,75,17,kmeans++,mbkmeans,0.822091653,54705796.71,14,NA
8,25000,1000,75,17,kmeans++,mbkmeans,0.773076896,60919869.55,15,NA
9,25000,1000,75,17,kmeans++,mbkmeans,0.81910052,52813787.46,24,NA
10,25000,1000,75,17,kmeans++,mbkmeans,0.812266429,55317909.89,21,NA
1,25000,1000,75,18,kmeans++,mbkmeans,0.724404551,65293499.35,23,NA
2,25000,1000,75,18,kmeans++,mbkmeans,0.723732919,57413762.09,31,NA
3,25000,1000,75,18,kmeans++,mbkmeans,0.785965076,53038777.32,30,NA
4,25000,1000,75,18,kmeans++,mbkmeans,0.778016846,54134150.74,28,NA
5,25000,1000,75,18,kmeans++,mbkmeans,0.753479219,53030782.83,17,NA
6,25000,1000,75,18,kmeans++,mbkmeans,0.80828253,52325771.46,23,NA
7,25000,1000,75,18,kmeans++,mbkmeans,0.755480748,57056853.56,18,NA
8,25000,1000,75,18,kmeans++,mbkmeans,0.797593541,53200467.65,22,NA
9,25000,1000,75,18,kmeans++,mbkmeans,0.798254269,51634370.11,30,NA
10,25000,1000,75,18,kmeans++,mbkmeans,0.816438521,53370212.44,12,NA
1,25000,1000,75,19,kmeans++,mbkmeans,0.782503898,54032577.23,14,NA
2,25000,1000,75,19,kmeans++,mbkmeans,0.785092199,53241144.96,21,NA
3,25000,1000,75,19,kmeans++,mbkmeans,0.796121862,52113715.05,38,NA
4,25000,1000,75,19,kmeans++,mbkmeans,0.76548909,57362692.43,21,NA
5,25000,1000,75,19,kmeans++,mbkmeans,0.784608734,57901530.15,17,NA
6,25000,1000,75,19,kmeans++,mbkmeans,0.746343862,55624458.53,31,NA
7,25000,1000,75,19,kmeans++,mbkmeans,0.77245441,53286866.84,17,NA
8,25000,1000,75,19,kmeans++,mbkmeans,0.796587003,55852732.66,17,NA
9,25000,1000,75,19,kmeans++,mbkmeans,0.783322895,56008773.33,41,NA
10,25000,1000,75,19,kmeans++,mbkmeans,0.75825666,57258253.83,18,NA
1,25000,1000,75,20,kmeans++,mbkmeans,0.806667945,51817679.18,19,NA
2,25000,1000,75,20,kmeans++,mbkmeans,0.789543323,54197539.75,20,NA
3,25000,1000,75,20,kmeans++,mbkmeans,0.786326391,54178506.56,29,NA
4,25000,1000,75,20,kmeans++,mbkmeans,0.800129441,52188793.7,21,NA
5,25000,1000,75,20,kmeans++,mbkmeans,0.730700674,54082992.31,26,NA
6,25000,1000,75,20,kmeans++,mbkmeans,0.761507047,53389459.68,28,NA
7,25000,1000,75,20,kmeans++,mbkmeans,0.739941594,54868981.07,12,NA
8,25000,1000,75,20,kmeans++,mbkmeans,0.741198199,52960980.3,17,NA
9,25000,1000,75,20,kmeans++,mbkmeans,0.736956863,53092462.72,16,NA
10,25000,1000,75,20,kmeans++,mbkmeans,0.746429409,53827757.3,15,NA
1,25000,1000,500,2,kmeans++,mbkmeans,0.087829453,884757953.3,28,NA
2,25000,1000,500,2,kmeans++,mbkmeans,0.088347668,889318982.5,17,NA
3,25000,1000,500,2,kmeans++,mbkmeans,0.088082142,951249265.7,28,NA
4,25000,1000,500,2,kmeans++,mbkmeans,0.089050273,895607903.7,37,NA
5,25000,1000,500,2,kmeans++,mbkmeans,0.089032127,830271819.6,16,NA
6,25000,1000,500,2,kmeans++,mbkmeans,0.087509323,865634461.1,17,NA
7,25000,1000,500,2,kmeans++,mbkmeans,0.088049674,908747318.4,19,NA
8,25000,1000,500,2,kmeans++,mbkmeans,0.085306636,869034986.2,19,NA
9,25000,1000,500,2,kmeans++,mbkmeans,0.087827918,895563179.1,23,NA
10,25000,1000,500,2,kmeans++,mbkmeans,0.088535409,954328337.8,15,NA
1,25000,1000,500,3,kmeans++,mbkmeans,0.224503394,431110008.5,24,NA
2,25000,1000,500,3,kmeans++,mbkmeans,0.216445297,405521432.5,19,NA
3,25000,1000,500,3,kmeans++,mbkmeans,0.223319985,418414152.3,23,NA
4,25000,1000,500,3,kmeans++,mbkmeans,0.22209501,422257739.6,45,NA
5,25000,1000,500,3,kmeans++,mbkmeans,0.224316318,390090672.8,11,NA
6,25000,1000,500,3,kmeans++,mbkmeans,0.215449363,426659380.9,12,NA
7,25000,1000,500,3,kmeans++,mbkmeans,0.212685155,443149914.2,29,NA
8,25000,1000,500,3,kmeans++,mbkmeans,0.216849674,392419420.1,18,NA
9,25000,1000,500,3,kmeans++,mbkmeans,0.22535446,397235823.1,14,NA
10,25000,1000,500,3,kmeans++,mbkmeans,0.223842939,408462548.7,24,NA
1,25000,1000,500,4,kmeans++,mbkmeans,0.34581987,293693644.7,19,NA
2,25000,1000,500,4,kmeans++,mbkmeans,0.34045835,296972775.6,28,NA
3,25000,1000,500,4,kmeans++,mbkmeans,0.333468219,299080334.8,27,NA
4,25000,1000,500,4,kmeans++,mbkmeans,0.344047681,288300380,21,NA
5,25000,1000,500,4,kmeans++,mbkmeans,0.335615276,288782432.8,20,NA
6,25000,1000,500,4,kmeans++,mbkmeans,0.347299833,277006385.9,16,NA
7,25000,1000,500,4,kmeans++,mbkmeans,0.346889727,277012412.8,16,NA
8,25000,1000,500,4,kmeans++,mbkmeans,0.344058678,282945155.7,34,NA
9,25000,1000,500,4,kmeans++,mbkmeans,0.342814159,292562966,16,NA
10,25000,1000,500,4,kmeans++,mbkmeans,0.347643183,280278152.3,21,NA
1,25000,1000,500,5,kmeans++,mbkmeans,0.421456708,187500838.2,22,NA
2,25000,1000,500,5,kmeans++,mbkmeans,0.423374142,184298779.8,13,NA
3,25000,1000,500,5,kmeans++,mbkmeans,0.415536979,179897191,18,NA
4,25000,1000,500,5,kmeans++,mbkmeans,0.417107406,181423038.6,25,NA
5,25000,1000,500,5,kmeans++,mbkmeans,0.419972772,180525730,28,NA
6,25000,1000,500,5,kmeans++,mbkmeans,0.417146453,181047047.1,37,NA
7,25000,1000,500,5,kmeans++,mbkmeans,0.420717227,191799109.8,17,NA
8,25000,1000,500,5,kmeans++,mbkmeans,0.408673966,185400322.7,17,NA
9,25000,1000,500,5,kmeans++,mbkmeans,0.420242989,185104133.3,23,NA
10,25000,1000,500,5,kmeans++,mbkmeans,0.421223995,188482046.3,16,NA
1,25000,1000,500,6,kmeans++,mbkmeans,0.4605484,141790936.3,25,NA
2,25000,1000,500,6,kmeans++,mbkmeans,0.462790151,139000813.7,19,NA
3,25000,1000,500,6,kmeans++,mbkmeans,0.464439757,136892902.1,21,NA
4,25000,1000,500,6,kmeans++,mbkmeans,0.462299147,141287644.5,14,NA
5,25000,1000,500,6,kmeans++,mbkmeans,0.456904404,144270316.4,21,NA
6,25000,1000,500,6,kmeans++,mbkmeans,0.462501514,139519340.7,21,NA
7,25000,1000,500,6,kmeans++,mbkmeans,0.461698746,135463207.2,32,NA
8,25000,1000,500,6,kmeans++,mbkmeans,0.502814519,146565802.8,20,NA
9,25000,1000,500,6,kmeans++,mbkmeans,0.457916917,140806090.5,18,NA
10,25000,1000,500,6,kmeans++,mbkmeans,0.503887245,144078591.1,17,NA
1,25000,1000,500,7,kmeans++,mbkmeans,0.55349478,97042101.15,14,NA
2,25000,1000,500,7,kmeans++,mbkmeans,0.556610446,101760180.6,13,NA
3,25000,1000,500,7,kmeans++,mbkmeans,0.556721332,100097401.2,25,NA
4,25000,1000,500,7,kmeans++,mbkmeans,0.553427919,102344561.6,20,NA
5,25000,1000,500,7,kmeans++,mbkmeans,0.522748378,138543585.9,29,NA
6,25000,1000,500,7,kmeans++,mbkmeans,0.558939517,99781201.77,22,NA
7,25000,1000,500,7,kmeans++,mbkmeans,0.556328492,102208149.4,26,NA
8,25000,1000,500,7,kmeans++,mbkmeans,0.5537072,105622519.2,19,NA
9,25000,1000,500,7,kmeans++,mbkmeans,0.554899337,100623105.4,41,NA
10,25000,1000,500,7,kmeans++,mbkmeans,0.554905259,101413491.3,20,NA
1,25000,1000,500,8,kmeans++,mbkmeans,0.613124193,90946468.41,43,NA
2,25000,1000,500,8,kmeans++,mbkmeans,0.59788769,91141489.01,16,NA
3,25000,1000,500,8,kmeans++,mbkmeans,0.576925053,95377588.73,36,NA
4,25000,1000,500,8,kmeans++,mbkmeans,0.595549935,94459352.27,21,NA
5,25000,1000,500,8,kmeans++,mbkmeans,0.578407684,87278679.75,23,NA
6,25000,1000,500,8,kmeans++,mbkmeans,0.601706031,93953237.27,14,NA
