observations,genes,batch size,abs batch size,memory,geometry,dimension_1,dimension_2,calc_label,label2
500000,5000,0.001,500,1259.31387,best,5000,1,Labels,Best-HDF5
500000,5000,0.002,1000,1259.31387,best,5000,1,Labels,Best-HDF5
500000,5000,0.003,1500,1259.31387,best,5000,1,Labels,Best-HDF5
500000,5000,0.006,3000,1259.31387,best,5000,1,Labels,Best-HDF5
500000,5000,0.01,5000,1259.31387,best,5000,1,Labels,Best-HDF5
500000,5000,0.015,7500,1259.31387,best,5000,1,Labels,Best-HDF5
500000,5000,0.02,10000,1259.31387,best,5000,1,Labels,Best-HDF5
75000,5000,0.001,75,2890.026615,best,5000,1,Labels,mbkmeans
75000,5000,0.002,150,2890.026615,best,5000,1,Labels,mbkmeans
75000,5000,0.006666667,500,2890.026615,best,5000,1,Labels,mbkmeans
75000,5000,0.01,750,2890.026615,best,5000,1,Labels,mbkmeans
75000,5000,0.01333333,999,2890.026615,best,5000,1,Labels,mbkmeans
75000,5000,0.02,1500,2890.026615,best,5000,1,Labels,mbkmeans
75000,5000,0.04,3000,2890.026615,best,5000,1,Labels,mbkmeans
75000,5000,0.06666667,5000,2890.026615,best,5000,1,Labels,mbkmeans
75000,5000,0.1,7500,2890.026615,best,5000,1,Labels,mbkmeans
75000,5000,0.13333333,9999,2890.026615,best,5000,1,Labels,mbkmeans
500000,5000,0.00015,75,17218.18947,best,5000,1,Labels,mbkmeans
500000,5000,3.00E-04,150,17218.18947,best,5000,1,Labels,mbkmeans
500000,5000,6.00E-04,300,17218.18947,best,5000,1,Labels,mbkmeans
500000,5000,0.001,500,17218.18947,best,5000,1,Labels,mbkmeans
500000,5000,0.002,1000,17218.18947,best,5000,1,Labels,mbkmeans
500000,5000,0.003,1500,17218.18947,best,5000,1,Labels,mbkmeans
500000,5000,0.006,3000,17218.18947,best,5000,1,Labels,mbkmeans
500000,5000,0.01,5000,17218.18947,best,5000,1,Labels,mbkmeans
500000,5000,0.015,7500,17218.18947,best,5000,1,Labels,mbkmeans
500000,5000,0.02,10000,17218.18947,best,5000,1,Labels,mbkmeans
75000,5000,0.001,75,1009.64175,worst,1,75000,Labels,Worst-HDF5
75000,5000,0.002,150,1009.64175,worst,1,75000,Labels,Worst-HDF5
75000,5000,0.006666667,500,1009.64175,worst,1,75000,Labels,Worst-HDF5
75000,5000,0.01,750,1009.64175,worst,1,75000,Labels,Worst-HDF5
75000,5000,0.01333333,999,1009.64175,worst,1,75000,Labels,Worst-HDF5
75000,5000,0.02,1500,1009.64175,worst,1,75000,Labels,Worst-HDF5
75000,5000,0.04,3000,1009.64175,worst,1,75000,Labels,Worst-HDF5
75000,5000,0.06666667,5000,1009.64175,worst,1,75000,Labels,Worst-HDF5
75000,5000,0.1,7500,1009.64175,worst,1,75000,Labels,Worst-HDF5
75000,5000,0.13333333,9999,1009.64175,worst,1,75000,Labels,Worst-HDF5
500000,5000,0.00015,75,1636.255377,worst,1,500000,Labels,Worst-HDF5
500000,5000,3.00E-04,150,1636.255377,worst,1,500000,Labels,Worst-HDF5
500000,5000,6.00E-04,300,1636.255377,worst,1,500000,Labels,Worst-HDF5
500000,5000,0.001,500,1636.255377,worst,1,500000,Labels,Worst-HDF5
500000,5000,0.002,1000,1636.255377,worst,1,500000,Labels,Worst-HDF5
500000,5000,0.003,1500,1636.255377,worst,1,500000,Labels,Worst-HDF5
500000,5000,0.006,3000,1636.255377,worst,1,500000,Labels,Worst-HDF5
