observations,genes,batch size,abs batch size,memory,geometry,dimension_1,dimension_2,calc_label,,,,,,,,
150000,5000,0.066666667,10000,5500.36582,worst,1,150000,full,,,,,,,,
500000,5000,0.02,10000,28512.68661,worst,1,500000,full,mbkmeans,,,,,,,
150000,5000,0.066666667,10000,5500.365888,worst,1,150000,FALSE,,,,,,,,
500000,5000,0.02,10000,28512.6862,worst,1,500000,FALSE,mbkmeans,,,,,,,
300000,5000,0.00025,75,10507.21231,worst,1,300000,full,,,,,,,,
300000,5000,0.00025,75,10507.21238,worst,1,300000,FALSE,,,,,,,,
150000,5000,0.066666667,10000,1094.769429,worst,1,150000,TRUE,,,,,,,,
300000,5000,0.00025,75,1162.73605,worst,1,300000,TRUE,,,,,,,,
500000,5000,0.02,10000,19648.56753,worst,1,500000,TRUE,mbkmeans,,,,,,,
500000,5000,3.00E-04,150,22494.28804,worst,1,500000,full,mbkmeans,,,,,,,
500000,5000,3.00E-04,150,22377.86401,worst,1,500000,FALSE,mbkmeans,,,,,,,
300000,5000,5.00E-04,150,10507.21231,worst,1,300000,full,,,,,,,,
300000,5000,5.00E-04,150,10507.21238,worst,1,300000,FALSE,,,,,,,,
500000,5000,3.00E-04,150,19648.56753,worst,1,500000,TRUE,mbkmeans,,,,,,,
300000,5000,5.00E-04,150,1162.73605,worst,1,300000,TRUE,,,,,,,,
500000,5000,6.00E-04,300,23203.76399,worst,1,500000,full,mbkmeans,,,,,,,
500000,5000,6.00E-04,300,22822.79888,worst,1,500000,FALSE,mbkmeans,,,,,,,
300000,5000,0.001666667,500,10507.21231,worst,1,300000,full,,,,,,,,
300000,5000,0.001666667,500,10507.21238,worst,1,300000,FALSE,,,,,,,,
300000,5000,0.001666667,500,1162.73605,worst,1,300000,TRUE,,,,,,,,
500000,5000,6.00E-04,300,19648.56753,worst,1,500000,TRUE,mbkmeans,,,,,,,
500000,5000,0.002,1000,23866.65359,worst,1,500000,full,mbkmeans,,,,,,,
500000,5000,0.002,1000,24692.19483,worst,1,500000,FALSE,mbkmeans,,,,,,,
300000,5000,0.003333333,999,10507.21231,worst,1,300000,full,,,,,,,,
300000,5000,0.003333333,999,10507.21238,worst,1,300000,FALSE,,,,,,,,
500000,5000,0.002,1000,19648.56753,worst,1,500000,TRUE,mbkmeans,,,,,,,
300000,5000,0.003333333,999,1162.73605,worst,1,300000,TRUE,,,,,,,,
500000,5000,0.003,1500,26799.63181,worst,1,500000,full,mbkmeans,,,,,,,
500000,5000,0.003,1500,24722.98331,worst,1,500000,FALSE,mbkmeans,,,,,,,
300000,5000,0.005,1500,10507.21231,worst,1,300000,full,,,,,,,,
300000,5000,0.005,1500,10507.21238,worst,1,300000,FALSE,,,,,,,,
500000,5000,0.003,1500,19648.56753,worst,1,500000,TRUE,mbkmeans,,,,,,,
300000,5000,0.005,1500,1162.73605,worst,1,300000,TRUE,,,,,,,,
300000,5000,0.016666667,5000,10507.21231,worst,1,300000,full,,,,,,,,
300000,5000,0.016666667,5000,10507.21238,worst,1,300000,FALSE,,,,,,,,
300000,5000,0.016666667,5000,1162.73605,worst,1,300000,TRUE,,,,,,,,
300000,5000,0.025,7500,10507.21231,worst,1,300000,full,,,,,,,,
300000,5000,0.025,7500,10507.21238,worst,1,300000,FALSE,,,,,,,,
300000,5000,0.025,7500,1162.73605,worst,1,300000,TRUE,,,,,,,,
300000,5000,0.03333333,9999,10507.21231,worst,1,300000,full,,,,,,,,
300000,5000,0.03333333,9999,10507.21238,worst,1,300000,FALSE,,,,,,,,
300000,5000,0.03333333,9999,1162.73605,worst,1,300000,TRUE,,,,,,,,
75000,5000,0.001,75,4534.499163,worst,1,75000,full,mbkmeans,,,,,,,
75000,5000,0.001,75,3858.144462,worst,1,75000,FALSE,mbkmeans,,,,,,,
75000,5000,0.001,75,3061.658901,worst,1,75000,full,,,,,,,,
75000,5000,0.001,75,2897.561672,worst,1,75000,FALSE,,,,,,,,
75000,5000,0.001,75,3257.845242,worst,1,75000,TRUE,mbkmeans,,,,,,,
75000,5000,0.002,150,4569.89358,worst,1,75000,full,mbkmeans,,,,,,,
75000,5000,0.002,150,3967.689552,worst,1,75000,FALSE,mbkmeans,,,,,,,
75000,5000,0.001,75,780.4614745,worst,1,75000,TRUE,,,,,,,,
75000,5000,0.002,150,2970.016697,worst,1,75000,full,,,,,,,,
75000,5000,0.002,150,2897.561672,worst,1,75000,FALSE,,,,,,,,
500000,5000,0.00015,75,28207.52271,worst,1,500000,full,mbkmeans,,,,,,,
75000,5000,0.002,150,3257.845242,worst,1,75000,TRUE,mbkmeans,,,,,,,
75000,5000,0.006666667,500,4600.115763,worst,1,75000,full,mbkmeans,,,,,,,
75000,5000,0.006666667,500,4600.115832,worst,1,75000,FALSE,mbkmeans,,,,,,,
75000,5000,0.002,150,780.4614745,worst,1,75000,TRUE,,,,,,,,
500000,5000,0.00015,75,22536.05155,worst,1,500000,FALSE,mbkmeans,,,,,,,
75000,5000,0.006666667,500,2967.528034,worst,1,75000,full,,,,,,,,
500000,5000,0.00015,75,17265.37882,worst,1,500000,full,,,,,,,,
75000,5000,0.006666667,500,3257.845242,worst,1,75000,TRUE,mbkmeans,,,,,,,
75000,5000,0.006666667,500,2897.561672,worst,1,75000,FALSE,,,,,,,,
75000,5000,0.01,750,4593.615191,worst,1,75000,full,mbkmeans,,,,,,,
75000,5000,0.01,750,4593.615259,worst,1,75000,FALSE,mbkmeans,,,,,,,
75000,5000,0.006666667,500,780.4614745,worst,1,75000,TRUE,,,,,,,,
75000,5000,0.01,750,3257.845242,worst,1,75000,TRUE,mbkmeans,,,,,,,
75000,5000,0.01,750,2962.52306,worst,1,75000,full,,,,,,,,
500000,5000,0.00015,75,17265.37889,worst,1,500000,FALSE,,,,,,,,
75000,5000,0.01333333,999,4574.175837,worst,1,75000,full,mbkmeans,,,,,,,
75000,5000,0.01333333,999,4574.175905,worst,1,75000,FALSE,mbkmeans,,,,,,,
75000,5000,0.01,750,2981.625278,worst,1,75000,FALSE,,,,,,,,
75000,5000,0.01,750,780.4614745,worst,1,75000,TRUE,,,,,,,,
75000,5000,0.01333333,999,3257.845242,worst,1,75000,TRUE,mbkmeans,,,,,,,
75000,5000,0.02,1500,4575.780512,worst,1,75000,full,mbkmeans,,,,,,,
75000,5000,0.02,1500,4575.780581,worst,1,75000,FALSE,mbkmeans,,,,,,,
75000,5000,0.01333333,999,2970.331379,worst,1,75000,full,,,,,,,,
75000,5000,0.01333333,999,2957.817684,worst,1,75000,FALSE,,,,,,,,
75000,5000,0.02,1500,3257.845242,worst,1,75000,TRUE,mbkmeans,,,,,,,
75000,5000,0.04,3000,4571.019724,worst,1,75000,full,mbkmeans,,,,,,,
75000,5000,0.01333333,999,780.4614745,worst,1,75000,TRUE,,,,,,,,
75000,5000,0.04,3000,4539.882296,worst,1,75000,FALSE,mbkmeans,,,,,,,
75000,5000,0.02,1500,2961.146923,worst,1,75000,full,,,,,,,,
75000,5000,0.02,1500,2961.146991,worst,1,75000,FALSE,,,,,,,,
75000,5000,0.04,3000,3257.845242,worst,1,75000,TRUE,mbkmeans,,,,,,,
500000,5000,0.00015,75,19648.57199,worst,1,500000,TRUE,mbkmeans,,,,,,,
75000,5000,0.06666667,5000,4574.608225,worst,1,75000,full,mbkmeans,,,,,,,
75000,5000,0.06666667,5000,4574.608294,worst,1,75000,FALSE,mbkmeans,,,,,,,
75000,5000,0.02,1500,780.4614745,worst,1,75000,TRUE,,,,,,,,
75000,5000,0.06666667,5000,3257.845242,worst,1,75000,TRUE,mbkmeans,,,,,,,
75000,5000,0.04,3000,2960.833439,worst,1,75000,full,,,,,,,,
75000,5000,0.04,3000,2910.45663,worst,1,75000,FALSE,,,,,,,,
500000,5000,0.00015,75,1866.513175,worst,1,500000,TRUE,,,,,,,,
75000,5000,0.1,7500,4619.210886,worst,1,75000,full,mbkmeans,,,,,,,
75000,5000,0.1,7500,4619.210955,worst,1,75000,FALSE,mbkmeans,,,,,,,
500000,5000,3.00E-04,150,28165.83199,worst,1,500000,full,mbkmeans,,,,,,,
75000,5000,0.04,3000,780.4614745,worst,1,75000,TRUE,,,,,,,,
75000,5000,0.1,7500,3257.845242,worst,1,75000,TRUE,mbkmeans,,,,,,,
75000,5000,0.06666667,5000,2937.640911,worst,1,75000,full,,,,,,,,
500000,5000,3.00E-04,150,22429.96381,worst,1,500000,FALSE,mbkmeans,,,,,,,
75000,5000,0.13333333,9999,4570.755938,worst,1,75000,full,mbkmeans,,,,,,,
75000,5000,0.06666667,5000,2937.640979,worst,1,75000,FALSE,,,,,,,,
75000,5000,0.13333333,9999,4570.756006,worst,1,75000,FALSE,mbkmeans,,,,,,,
75000,5000,0.06666667,5000,780.4614745,worst,1,75000,TRUE,,,,,,,,
75000,5000,0.13333333,9999,3257.845242,worst,1,75000,TRUE,mbkmeans,,,,,,,
75000,5000,0.1,7500,2962.522953,worst,1,75000,full,,,,,,,,
500000,5000,3.00E-04,150,17265.37882,worst,1,500000,full,,,,,,,,
75000,5000,0.1,7500,2897.561672,worst,1,75000,FALSE,,,,,,,,
500000,5000,3.00E-04,150,17265.37889,worst,1,500000,FALSE,,,,,,,,
75000,5000,0.1,7500,780.4614745,worst,1,75000,TRUE,,,,,,,,
75000,5000,0.13333333,9999,3069.888119,worst,1,75000,full,,,,,,,,
75000,5000,0.13333333,9999,3069.888188,worst,1,75000,FALSE,,,,,,,,
75000,5000,0.13333333,9999,780.4614745,worst,1,75000,TRUE,,,,,,,,
500000,5000,3.00E-04,150,19648.57199,worst,1,500000,TRUE,mbkmeans,,,,,,,
500000,5000,6.00E-04,300,28165.79374,worst,1,500000,full,mbkmeans,,,,,,,
500000,5000,6.00E-04,300,22592.34559,worst,1,500000,FALSE,mbkmeans,,,,,,,
500000,5000,3.00E-04,150,1866.513175,worst,1,500000,TRUE,,,,,,,,
500000,5000,6.00E-04,300,17265.37882,worst,1,500000,full,,,,,,,,
500000,5000,6.00E-04,300,17265.37889,worst,1,500000,FALSE,,,,,,,,
