observations,genes,batch size,abs batch size,time1,time2,time3,geometry,dimension_1,dimension_2,choice,label2
500000,5000,0.006,3000,65.795,401.548,632.512,best,5000,1,two steps,mbkmeans
500000,5000,0.01,5000,65.097,444.095,647.182,best,5000,1,two steps,mbkmeans
500000,5000,0.015,7500,68.885,497.148,600.076,best,5000,1,two steps,mbkmeans
500000,5000,0.02,10000,64.166,539.49,604.682,best,5000,1,two steps,mbkmeans
75000,5000,0.001,75,1.387,40.902,100.179,best,5000,1,two steps,Best-HDF5
75000,5000,0.002,150,1.238,38.632,97.814,best,5000,1,two steps,Best-HDF5
75000,5000,0.006666667,500,1.201,56.511,97.79,best,5000,1,two steps,Best-HDF5
75000,5000,0.01,750,1.196,47.805,92.69,best,5000,1,two steps,Best-HDF5
75000,5000,0.01333333,1000,1.084,57.032,104.703,best,5000,1,two steps,Best-HDF5
75000,5000,0.02,1500,1.134,113.719,71.117,best,5000,1,two steps,Best-HDF5
75000,5000,0.04,3000,1.135,117.318,101.773,best,5000,1,two steps,Best-HDF5
75000,5000,0.06666667,5000,1.283,122.794,104.602,best,5000,1,two steps,Best-HDF5
75000,5000,0.1,7500,1.923,230.47,98.279,best,5000,1,two steps,Best-HDF5
75000,5000,0.13333333,10000,1.132,197.602,103.474,best,5000,1,two steps,Best-HDF5
75000,5000,0.001,75,1.175,103.838,139.41,worst,1,75000,two steps,Worst-HDF5
75000,5000,0.002,150,1.126,140.216,128.642,worst,1,75000,two steps,Worst-HDF5
75000,5000,0.006666667,500,1.17,215.328,128.944,worst,1,75000,two steps,Worst-HDF5
75000,5000,0.01,750,1.087,136.946,139.367,worst,1,75000,two steps,Worst-HDF5
75000,5000,0.01333333,999,1.068,171.354,163.49,worst,1,75000,two steps,Worst-HDF5
75000,5000,0.02,1500,1.632,218.248,102.484,worst,1,75000,two steps,Worst-HDF5
75000,5000,0.04,3000,1.065,178.595,145.785,worst,1,75000,two steps,Worst-HDF5
75000,5000,0.06666667,5000,1.748,217.274,173.692,worst,1,75000,two steps,Worst-HDF5
75000,5000,0.1,7500,1.168,504.984,162.808,worst,1,75000,two steps,Worst-HDF5
75000,5000,0.13333333,9999,1.228,591.814,139.537,worst,1,75000,two steps,Worst-HDF5
500000,5000,0.00015,75,6.21,738.924,1074.325,worst,1,500000,two steps,Worst-HDF5
500000,5000,3.00E-04,150,6.167,1075.072,1037.081,worst,1,500000,two steps,Worst-HDF5
