"B","observations","genes","batch_size","k","initializer","method","user_time","system_time","elapsed_time"
5,5000,1000,0.005,3,random,hdf5,3.783,0.463,7.89
6,5000,1000,0.005,3,random,hdf5,3.351,0.461,7.013
7,5000,1000,0.005,3,random,hdf5,3.971,0.494,8.599
8,5000,1000,0.005,3,random,hdf5,3.767,0.528,8.442
9,5000,1000,0.005,3,random,hdf5,4.15,0.481,9.145
10,5000,1000,0.005,3,random,hdf5,3.816,0.474,8.045
1,5000,1000,0.01,3,random,hdf5,4.545,0.765,14.821
2,5000,1000,0.01,3,random,hdf5,4.018,0.549,12.687
3,5000,1000,0.01,3,random,hdf5,4.103,0.548,12.375
4,5000,1000,0.01,3,random,hdf5,4.544,0.642,14.873
5,5000,1000,0.01,3,random,hdf5,4.975,0.588,15.32
6,5000,1000,0.01,3,random,hdf5,3.743,0.506,11.647
7,5000,1000,0.01,3,random,hdf5,4.551,0.612,13.922
8,5000,1000,0.01,3,random,hdf5,3.952,0.569,12.268
9,5000,1000,0.01,3,random,hdf5,4.603,0.567,14.855
10,5000,1000,0.01,3,random,hdf5,4.918,0.653,15.392
1,5000,1000,0.05,3,random,hdf5,8.85,1.247,26.412
2,5000,1000,0.05,3,random,hdf5,8.992,1.386,27.698
3,5000,1000,0.05,3,random,hdf5,8.774,1.316,26.654
4,5000,1000,0.05,3,random,hdf5,9.246,1.28,28.367
5,5000,1000,0.05,3,random,hdf5,8.387,1.419,25.837
6,5000,1000,0.05,3,random,hdf5,8.946,1.326,27.109
7,5000,1000,0.05,3,random,hdf5,9.421,1.359,28.545
8,5000,1000,0.05,3,random,hdf5,9.353,1.318,28.331
9,5000,1000,0.05,3,random,hdf5,7.953,1.126,23.922
10,5000,1000,0.05,3,random,hdf5,10.491,1.465,31.37
1,5000,1000,0.1,3,random,hdf5,13.068,1.268,27.553
2,5000,1000,0.1,3,random,hdf5,14.081,1.301,29.3
3,5000,1000,0.1,3,random,hdf5,13.462,1.322,28.798
4,5000,1000,0.1,3,random,hdf5,13.971,1.294,29.607
5,5000,1000,0.1,3,random,hdf5,14.599,1.562,30.96
6,5000,1000,0.1,3,random,hdf5,16.296,1.601,34.246
7,5000,1000,0.1,3,random,hdf5,15.011,1.426,31.715
8,5000,1000,0.1,3,random,hdf5,17.495,1.594,36.423
9,5000,1000,0.1,3,random,hdf5,15.417,1.613,33.089
10,5000,1000,0.1,3,random,hdf5,16.179,1.571,33.339
1,5000,1000,0.2,3,random,hdf5,24.939,2.019,39.869
2,5000,1000,0.2,3,random,hdf5,32.819,3.101,52.025
3,5000,1000,0.2,3,random,hdf5,27.597,2.539,45.009
4,5000,1000,0.2,3,random,hdf5,25.206,2.176,40.548
5,5000,1000,0.2,3,random,hdf5,24.462,2.037,39.622
6,5000,1000,0.2,3,random,hdf5,25.053,2.389,40.621
7,5000,1000,0.2,3,random,hdf5,27.466,2.624,45.73
8,5000,1000,0.2,3,random,hdf5,28.648,3.002,47.094
9,5000,1000,0.2,3,random,hdf5,28.459,2.554,45.561
10,5000,1000,0.2,3,random,hdf5,29.836,2.799,48.485
1,5000,1000,0.5,3,random,hdf5,80.431,5.822,100.277
2,5000,1000,0.5,3,random,hdf5,67.729,4.287,84.475
3,5000,1000,0.5,3,random,hdf5,87.66,6.319,108.818
4,5000,1000,0.5,3,random,hdf5,74.731,4.985,93.307
5,5000,1000,0.5,3,random,hdf5,91.157,6.119,111.471
6,5000,1000,0.5,3,random,hdf5,105.407,7.194,127.488
7,5000,1000,0.5,3,random,hdf5,71.091,4.451,87.58
8,5000,1000,0.5,3,random,hdf5,78.225,5.017,97.455
9,5000,1000,0.5,3,random,hdf5,86.2,5.659,106.685
10,5000,1000,0.5,3,random,hdf5,91.302,6.259,111.676
1,5000,1000,0.8,3,random,hdf5,104.935,12.779,132.219
2,5000,1000,0.8,3,random,hdf5,89.464,11.35,113.788
3,5000,1000,0.8,3,random,hdf5,94.961,11.842,120.567
4,5000,1000,0.8,3,random,hdf5,106.472,13.102,134.203
5,5000,1000,0.8,3,random,hdf5,109.509,13.34,137.096
6,5000,1000,0.8,3,random,hdf5,94.69,12.518,121.27
7,5000,1000,0.8,3,random,hdf5,84.892,9.79,107.548
8,5000,1000,0.8,3,random,hdf5,82.01,9.559,103.01
9,5000,1000,0.8,3,random,hdf5,98.735,12.573,125.488
10,5000,1000,0.8,3,random,hdf5,107.408,12.798,134.287
1,5000,1000,1,3,random,hdf5,126.016,8.313,137.341
2,5000,1000,1,3,random,hdf5,76.407,6.432,85.437
3,5000,1000,1,3,random,hdf5,74.231,6.163,82.891
4,5000,1000,1,3,random,hdf5,65.768,4.509,72.457
5,5000,1000,1,3,random,hdf5,141.313,9.959,154.483
6,5000,1000,1,3,random,hdf5,88.736,6.62,98.56
7,5000,1000,1,3,random,hdf5,94.839,8.86,106.778
8,5000,1000,1,3,random,hdf5,85.005,5.854,93.18
9,5000,1000,1,3,random,hdf5,102.078,7.093,111.901
10,5000,1000,1,3,random,hdf5,98.018,6.241,106.954
1,25000,1000,0.005,3,random,hdf5,8.427,1.328,32.165
2,25000,1000,0.005,3,random,hdf5,8.772,1.347,34.074
3,25000,1000,0.005,3,random,hdf5,8.195,1.21,31.341
4,25000,1000,0.005,3,random,hdf5,8.203,1.239,29.375
5,25000,1000,0.005,3,random,hdf5,8.998,1.304,31.46
6,25000,1000,0.005,3,random,hdf5,8.458,1.457,31.665
7,25000,1000,0.005,3,random,hdf5,9.206,1.323,35.489
8,25000,1000,0.005,3,random,hdf5,9.201,1.351,35.448
9,25000,1000,0.005,3,random,hdf5,8.106,1.364,32.049
10,25000,1000,0.005,3,random,hdf5,8.834,1.414,31.686
1,25000,1000,0.01,3,random,hdf5,11.938,2.308,68.587
2,25000,1000,0.01,3,random,hdf5,13.359,2.649,75.394
3,25000,1000,0.01,3,random,hdf5,11.282,2.733,66.207
4,25000,1000,0.01,3,random,hdf5,13.034,2.35,73.795
5,25000,1000,0.01,3,random,hdf5,12.954,2.876,72.808
6,25000,1000,0.01,3,random,hdf5,13.353,2.502,75.619
7,25000,1000,0.01,3,random,hdf5,11.258,2.053,62.738
8,25000,1000,0.01,3,random,hdf5,11.086,2.23,65.337
9,25000,1000,0.01,3,random,hdf5,11.471,2.204,66.659
10,25000,1000,0.01,3,random,hdf5,12.339,2.493,69.037
1,25000,1000,0.05,3,random,hdf5,37.804,6.409,108.846
2,25000,1000,0.05,3,random,hdf5,35.741,4.544,101.181
3,25000,1000,0.05,3,random,hdf5,36.796,5.205,103.127
4,25000,1000,0.05,3,random,hdf5,37.235,5.495,107.252
5,25000,1000,0.05,3,random,hdf5,37.839,5.297,107.97
6,25000,1000,0.05,3,random,hdf5,39.506,5.569,115.564
7,25000,1000,0.05,3,random,hdf5,38.778,6.305,110.817
8,25000,1000,0.05,3,random,hdf5,29.919,4.096,84.191
9,25000,1000,0.05,3,random,hdf5,40.395,5.802,118.255
10,25000,1000,0.05,3,random,hdf5,38.86,6.173,110.88
1,25000,1000,0.1,3,random,hdf5,54.693,7.184,112.599
2,25000,1000,0.1,3,random,hdf5,66.966,7.614,135.005
3,25000,1000,0.1,3,random,hdf5,71.872,7.602,139.03
4,25000,1000,0.1,3,random,hdf5,63.469,6.875,126.009
5,25000,1000,0.1,3,random,hdf5,60.246,6.72,120.532
6,25000,1000,0.1,3,random,hdf5,80.493,10.395,165.72
7,25000,1000,0.1,3,random,hdf5,67.22,7.431,132.859
8,25000,1000,0.1,3,random,hdf5,67.332,7.408,133.964
9,25000,1000,0.1,3,random,hdf5,75.258,8.058,147.652
10,25000,1000,0.1,3,random,hdf5,69.157,7.688,138.393
1,25000,1000,0.2,3,random,hdf5,159.739,20.03,251.343
2,25000,1000,0.2,3,random,hdf5,136.071,17.029,218.915
3,25000,1000,0.2,3,random,hdf5,122.301,15.445,191.604
4,25000,1000,0.2,3,random,hdf5,152.4,19.263,242.619
5,25000,1000,0.2,3,random,hdf5,154.398,20.97,251.294
6,25000,1000,0.2,3,random,hdf5,156.242,20.003,249.533
7,25000,1000,0.2,3,random,hdf5,138.451,17.278,225.615
8,25000,1000,0.2,3,random,hdf5,138.675,18.079,218.344
9,25000,1000,0.2,3,random,hdf5,125.725,15.726,195.857
10,25000,1000,0.2,3,random,hdf5,130.412,14.916,201.524
1,25000,1000,0.5,3,random,hdf5,296.269,38.606,595.45
2,25000,1000,0.5,3,random,hdf5,267.373,34.814,542.976
3,25000,1000,0.5,3,random,hdf5,293.609,37.383,589.894
4,25000,1000,0.5,3,random,hdf5,312.921,39.765,613.776
5,25000,1000,0.5,3,random,hdf5,270.866,35.423,545.826
6,25000,1000,0.5,3,random,hdf5,303.452,38.474,607.188
7,25000,1000,0.5,3,random,hdf5,296.857,36.949,594.462
8,25000,1000,0.5,3,random,hdf5,330.67,42.797,634.904
9,25000,1000,0.5,3,random,hdf5,236.822,29.806,478.227
10,25000,1000,0.5,3,random,hdf5,306.424,37.813,607.647
1,25000,1000,0.8,3,random,hdf5,444.834,52.206,853.138
2,25000,1000,0.8,3,random,hdf5,426.188,49.494,829.294
3,25000,1000,0.8,3,random,hdf5,417.926,49.005,809.683
4,25000,1000,0.8,3,random,hdf5,471.079,54.722,907
5,25000,1000,0.8,3,random,hdf5,523.695,61.327,967.057
6,25000,1000,0.8,3,random,hdf5,528.62,60.741,967.686
7,25000,1000,0.8,3,random,hdf5,503.675,57.939,951.107
8,25000,1000,0.8,3,random,hdf5,457.171,53.911,880.697
9,25000,1000,0.8,3,random,hdf5,441.876,53.023,852.417
10,25000,1000,0.8,3,random,hdf5,421.578,50.85,824.653
1,25000,1000,1,3,random,hdf5,437.614,58.092,745.894
2,25000,1000,1,3,random,hdf5,244.487,31.691,458.224
3,25000,1000,1,3,random,hdf5,252.798,35.747,495.976
4,25000,1000,1,3,random,hdf5,177.547,26.081,349.037
5,25000,1000,1,3,random,hdf5,388.457,52.047,685.512
6,25000,1000,1,3,random,hdf5,189.995,27.548,375.855
7,25000,1000,1,3,random,hdf5,177.146,23.283,333.133
8,25000,1000,1,3,random,hdf5,707.161,95.459,1058.796
9,25000,1000,1,3,random,hdf5,330.097,44.666,618.905
10,25000,1000,1,3,random,hdf5,273.274,38.026,535.005
1,75000,1000,0.005,3,random,hdf5,20.961,4.126,110.028
2,75000,1000,0.005,3,random,hdf5,19.363,3.579,99.343
3,75000,1000,0.005,3,random,hdf5,20.299,3.861,105.414
4,75000,1000,0.005,3,random,hdf5,18.53,3.852,90.167
5,75000,1000,0.005,3,random,hdf5,17.805,3.546,91.01
6,75000,1000,0.005,3,random,hdf5,18.986,3.639,98.556
7,75000,1000,0.005,3,random,hdf5,23.188,4.651,126.156
8,75000,1000,0.005,3,random,hdf5,18.305,3.423,90.36
9,75000,1000,0.005,3,random,hdf5,22,4.609,113.683
10,75000,1000,0.005,3,random,hdf5,22.728,4.245,117.271
1,75000,1000,0.01,3,random,hdf5,29.211,6.897,215.655
2,75000,1000,0.01,3,random,hdf5,29.272,6.618,214.703
3,75000,1000,0.01,3,random,hdf5,28.419,6.557,211.921
4,75000,1000,0.01,3,random,hdf5,26.375,6.227,189.434
5,75000,1000,0.01,3,random,hdf5,30.163,6.856,219.394
6,75000,1000,0.01,3,random,hdf5,27.96,6.796,208.995
7,75000,1000,0.01,3,random,hdf5,30.758,6.493,222.392
8,75000,1000,0.01,3,random,hdf5,25.492,5.156,176.275
9,75000,1000,0.01,3,random,hdf5,30.926,6.783,224.71
10,75000,1000,0.01,3,random,hdf5,27.771,6.531,201.376
1,75000,1000,0.05,3,random,hdf5,92.22,12.689,283.135
2,75000,1000,0.05,3,random,hdf5,96.768,13.784,288.453
3,75000,1000,0.05,3,random,hdf5,97.104,13.902,293.612
4,75000,1000,0.05,3,random,hdf5,112.067,17.991,341.566
5,75000,1000,0.05,3,random,hdf5,100.704,16.177,312.04
6,75000,1000,0.05,3,random,hdf5,90.213,13.432,281.58
7,75000,1000,0.05,3,random,hdf5,95.64,17.724,295.399
8,75000,1000,0.05,3,random,hdf5,88.326,14.126,265.837
9,75000,1000,0.05,3,random,hdf5,111.415,18.968,341.712
10,75000,1000,0.05,3,random,hdf5,81.031,14.146,253.053
1,75000,1000,0.1,3,random,hdf5,158.134,23.206,334.742
2,75000,1000,0.1,3,random,hdf5,154.984,24.247,328.84
3,75000,1000,0.1,3,random,hdf5,181.508,28.007,379.896
4,75000,1000,0.1,3,random,hdf5,150.159,21.469,314.599
5,75000,1000,0.1,3,random,hdf5,186.758,27.683,393.507
