B,observations,genes,batch_size,k,initializer,method,user_time,system_time,elapsed_time,max_iters,num_init
1,1.00E+05,1000,0.001,2,random,kmeans,213.86,13.218,320.11,10,1
2,1.00E+05,1000,0.001,2,random,kmeans,237.363,10.822,326.128,10,1
3,1.00E+05,1000,0.001,2,random,kmeans,216.247,12.832,308.636,10,1
4,1.00E+05,1000,0.001,2,random,kmeans,224.392,11.448,290.641,10,1
5,1.00E+05,1000,0.001,2,random,kmeans,220.772,12.414,279.334,10,1
6,1.00E+05,1000,0.001,2,random,kmeans,213.043,13.818,308.992,10,1
7,1.00E+05,1000,0.001,2,random,kmeans,217.047,12.109,269.776,10,1
8,1.00E+05,1000,0.001,2,random,kmeans,225.449,10.526,324.081,10,1
9,1.00E+05,1000,0.001,2,random,kmeans,209.773,13.989,301.37,10,1
10,1.00E+05,1000,0.001,2,random,kmeans,270.89,10.425,343.579,10,1
1,1.00E+05,1000,0.001,3,random,kmeans,241.92,14.709,312.09,10,1
2,1.00E+05,1000,0.001,3,random,kmeans,237.309,12.893,315.936,10,1
3,1.00E+05,1000,0.001,3,random,kmeans,240.045,13.211,307.622,10,1
4,1.00E+05,1000,0.001,3,random,kmeans,231.075,13.471,297.422,10,1
5,1.00E+05,1000,0.001,3,random,kmeans,241.773,14.032,331.21,10,1
6,1.00E+05,1000,0.001,3,random,kmeans,208.534,15.269,260.516,10,1
7,1.00E+05,1000,0.001,3,random,kmeans,238.627,14.209,317.586,10,1
8,1.00E+05,1000,0.001,3,random,kmeans,213.428,12.441,269.736,10,1
9,1.00E+05,1000,0.001,3,random,kmeans,221.62,14.049,282.463,10,1
10,1.00E+05,1000,0.001,3,random,kmeans,223.303,13.448,301.996,10,1
1,1.00E+05,1000,0.001,4,random,kmeans,272.495,13.341,357.513,10,1
2,1.00E+05,1000,0.001,4,random,kmeans,254.341,11.845,328.295,10,1
3,1.00E+05,1000,0.001,4,random,kmeans,253.54,12.596,325.636,10,1
4,1.00E+05,1000,0.001,4,random,kmeans,251.752,14.641,336.402,10,1
5,1.00E+05,1000,0.001,4,random,kmeans,291.121,14.05,371.671,10,1
6,1.00E+05,1000,0.001,4,random,kmeans,251.216,13.951,321.184,10,1
7,1.00E+05,1000,0.001,4,random,kmeans,269.388,14.037,351.216,10,1
8,1.00E+05,1000,0.001,4,random,kmeans,266.367,14.636,346.588,10,1
9,1.00E+05,1000,0.001,4,random,kmeans,245.06,13.288,309.843,10,1
10,1.00E+05,1000,0.001,4,random,kmeans,266.451,13.819,357.726,10,1
1,1.00E+05,1000,0.001,5,random,kmeans,299.366,14.164,403.44,10,1
2,1.00E+05,1000,0.001,5,random,kmeans,276.155,12.099,365.664,10,1
3,1.00E+05,1000,0.001,5,random,kmeans,301.494,16.604,348.282,10,1
4,1.00E+05,1000,0.001,5,random,kmeans,321.903,14.468,392.356,10,1
5,1.00E+05,1000,0.001,5,random,kmeans,294.238,14.109,393.528,10,1
6,1.00E+05,1000,0.001,5,random,kmeans,295.623,15.859,379.185,10,1
7,1.00E+05,1000,0.001,5,random,kmeans,275.287,13.246,361.452,10,1
8,1.00E+05,1000,0.001,5,random,kmeans,255.899,14.372,344.599,10,1
9,1.00E+05,1000,0.001,5,random,kmeans,267.826,15.486,356.693,10,1
10,1.00E+05,1000,0.001,5,random,kmeans,309.957,11.987,409.261,10,1
1,1.00E+05,1000,0.001,6,random,kmeans,294.476,12.244,389.871,10,1
2,1.00E+05,1000,0.001,6,random,kmeans,272.632,13.944,369.302,10,1
3,1.00E+05,1000,0.001,6,random,kmeans,286.136,12.079,421.027,10,1
4,1.00E+05,1000,0.001,6,random,kmeans,294.59,12.107,432.078,10,1
5,1.00E+05,1000,0.001,6,random,kmeans,264.636,13.848,366.298,10,1
6,1.00E+05,1000,0.001,6,random,kmeans,301.032,12.486,395.742,10,1
7,1.00E+05,1000,0.001,6,random,kmeans,256.919,12.986,366.206,10,1
8,1.00E+05,1000,0.001,6,random,kmeans,249.42,12.27,334.875,10,1
9,1.00E+05,1000,0.001,6,random,kmeans,323.881,13.077,445.572,10,1
10,1.00E+05,1000,0.001,6,random,kmeans,291.845,10.994,394.359,10,1
1,1.00E+05,1000,0.001,7,random,kmeans,326.44,12.099,415.183,10,1
2,1.00E+05,1000,0.001,7,random,kmeans,317.652,11.952,405.909,10,1
3,1.00E+05,1000,0.001,7,random,kmeans,343.639,14.819,444.004,10,1
4,1.00E+05,1000,0.001,7,random,kmeans,291.882,13.677,380.277,10,1
5,1.00E+05,1000,0.001,7,random,kmeans,314.727,11.342,406.648,10,1
