B,observations,genes,batch_size,k,initializer,method,user_time,system_time,elapsed_time,max_iters,num_init
1,1.00E+05,1000,0.01,2,random,mbkmeans,24.21,1.049,28.76,10,1
2,1.00E+05,1000,0.01,2,random,mbkmeans,25.087,1.21,35.136,10,1
3,1.00E+05,1000,0.01,2,random,mbkmeans,24.986,1.086,30.874,10,1
4,1.00E+05,1000,0.01,2,random,mbkmeans,24.826,1.123,36.868,10,1
5,1.00E+05,1000,0.01,2,random,mbkmeans,24.657,1.063,30.531,10,1
6,1.00E+05,1000,0.01,2,random,mbkmeans,24.67,1.054,28.534,10,1
7,1.00E+05,1000,0.01,2,random,mbkmeans,25.158,1.237,31.27,10,1
8,1.00E+05,1000,0.01,2,random,mbkmeans,24.424,0.978,27.958,10,1
9,1.00E+05,1000,0.01,2,random,mbkmeans,24.37,1.439,37.343,10,1
10,1.00E+05,1000,0.01,2,random,mbkmeans,24.297,1.072,28.201,10,1
1,1.00E+05,1000,0.01,3,random,mbkmeans,27.712,1.322,40.76,10,1
2,1.00E+05,1000,0.01,3,random,mbkmeans,28.531,1.426,39.061,10,1
3,1.00E+05,1000,0.01,3,random,mbkmeans,26.075,1.321,33.521,10,1
4,1.00E+05,1000,0.01,3,random,mbkmeans,26.531,1.162,31.57,10,1
5,1.00E+05,1000,0.01,3,random,mbkmeans,26.158,1.262,36.161,10,1
6,1.00E+05,1000,0.01,3,random,mbkmeans,27.09,1.263,37.062,10,1
7,1.00E+05,1000,0.01,3,random,mbkmeans,25.4,1.193,32.642,10,1
8,1.00E+05,1000,0.01,3,random,mbkmeans,25.782,1.197,33.178,10,1
9,1.00E+05,1000,0.01,3,random,mbkmeans,23.809,1.15,25.18,10,1
10,1.00E+05,1000,0.01,3,random,mbkmeans,27.284,1.515,36.516,10,1
1,1.00E+05,1000,0.01,4,random,mbkmeans,26.42,1.282,38.297,10,1
2,1.00E+05,1000,0.01,4,random,mbkmeans,27.567,1.817,39.131,10,1
3,1.00E+05,1000,0.01,4,random,mbkmeans,26.461,1.234,37.688,10,1
4,1.00E+05,1000,0.01,4,random,mbkmeans,26.389,1.913,33.858,10,1
5,1.00E+05,1000,0.01,4,random,mbkmeans,26.674,1.287,38.588,10,1
6,1.00E+05,1000,0.01,4,random,mbkmeans,27.265,1.791,41.198,10,1
7,1.00E+05,1000,0.01,4,random,mbkmeans,26.324,1.257,34.59,10,1
8,1.00E+05,1000,0.01,4,random,mbkmeans,27.159,1.918,36.978,10,1
9,1.00E+05,1000,0.01,4,random,mbkmeans,27.912,1.808,40.001,10,1
10,1.00E+05,1000,0.01,4,random,mbkmeans,26.59,1.222,37.75,10,1
1,1.00E+05,1000,0.01,5,random,mbkmeans,28.476,1.205,44.357,10,1
2,1.00E+05,1000,0.01,5,random,mbkmeans,26.69,1.177,40.852,10,1
3,1.00E+05,1000,0.01,5,random,mbkmeans,25.574,1.468,27.971,10,1
4,1.00E+05,1000,0.01,5,random,mbkmeans,27.402,1.18,29.759,10,1
5,1.00E+05,1000,0.01,5,random,mbkmeans,27.215,1.452,30.424,10,1
6,1.00E+05,1000,0.01,5,random,mbkmeans,27.344,1.206,41.959,10,1
7,1.00E+05,1000,0.01,5,random,mbkmeans,26.627,1.021,33.458,10,1
8,1.00E+05,1000,0.01,5,random,mbkmeans,28.42,1.304,46.956,10,1
9,1.00E+05,1000,0.01,5,random,mbkmeans,27.687,1.179,29.625,10,1
10,1.00E+05,1000,0.01,5,random,mbkmeans,27.058,1.21,28.763,10,1
1,1.00E+05,1000,0.01,6,random,mbkmeans,27.31,1.246,29.085,10,1
2,1.00E+05,1000,0.01,6,random,mbkmeans,29.588,1.466,33.227,10,1
3,1.00E+05,1000,0.01,6,random,mbkmeans,28.867,1.017,35.552,10,1
4,1.00E+05,1000,0.01,6,random,mbkmeans,29.002,1.124,41.472,10,1
5,1.00E+05,1000,0.01,6,random,mbkmeans,29.269,1.086,33.115,10,1
6,1.00E+05,1000,0.01,6,random,mbkmeans,27.886,1.161,29.715,10,1
7,1.00E+05,1000,0.01,6,random,mbkmeans,28.87,1.146,43.635,10,1
8,1.00E+05,1000,0.01,6,random,mbkmeans,29.027,1.072,41.556,10,1
9,1.00E+05,1000,0.01,6,random,mbkmeans,30.117,1.24,46.577,10,1
10,1.00E+05,1000,0.01,6,random,mbkmeans,29.342,1.236,46.17,10,1
1,1.00E+05,1000,0.01,7,random,mbkmeans,29.033,1.048,31.736,10,1
2,1.00E+05,1000,0.01,7,random,mbkmeans,28.195,1.108,29.646,10,1
3,1.00E+05,1000,0.01,7,random,mbkmeans,28.891,1.03,31.9,10,1
4,1.00E+05,1000,0.01,7,random,mbkmeans,28.911,1.015,32.621,10,1
5,1.00E+05,1000,0.01,7,random,mbkmeans,27.963,1.1,29.366,10,1
6,1.00E+05,1000,0.01,7,random,mbkmeans,28.806,1.048,31.85,10,1
7,1.00E+05,1000,0.01,7,random,mbkmeans,28.675,1.058,34.447,10,1
8,1.00E+05,1000,0.01,7,random,mbkmeans,28.514,1.03,30.635,10,1
9,1.00E+05,1000,0.01,7,random,mbkmeans,29.331,0.993,32.287,10,1
10,1.00E+05,1000,0.01,7,random,mbkmeans,29.341,1.073,33.707,10,1
1,1.00E+05,1000,0.01,8,random,mbkmeans,29.445,1.106,33.731,10,1
2,1.00E+05,1000,0.01,8,random,mbkmeans,29.985,1.256,32.266,10,1
3,1.00E+05,1000,0.01,8,random,mbkmeans,29.055,1.245,34.346,10,1
4,1.00E+05,1000,0.01,8,random,mbkmeans,29.047,1.084,31.861,10,1
5,1.00E+05,1000,0.01,8,random,mbkmeans,28.442,1.275,30.305,10,1
6,1.00E+05,1000,0.01,8,random,mbkmeans,29.354,1.113,32.425,10,1
7,1.00E+05,1000,0.01,8,random,mbkmeans,28.708,1.137,30.031,10,1
8,1.00E+05,1000,0.01,8,random,mbkmeans,29.429,1.211,35.042,10,1
9,1.00E+05,1000,0.01,8,random,mbkmeans,28.76,1.217,35.309,10,1
10,1.00E+05,1000,0.01,8,random,mbkmeans,28.942,1.105,31.834,10,1
1,1.00E+05,1000,0.01,9,random,mbkmeans,29.94,1.25,41.366,10,1
2,1.00E+05,1000,0.01,9,random,mbkmeans,30.511,1.227,44.174,10,1
3,1.00E+05,1000,0.01,9,random,mbkmeans,30.534,1.206,43.133,10,1
4,1.00E+05,1000,0.01,9,random,mbkmeans,30.081,1.108,40.442,10,1
5,1.00E+05,1000,0.01,9,random,mbkmeans,27.497,1.189,31.248,10,1
6,1.00E+05,1000,0.01,9,random,mbkmeans,29.56,1.202,40.826,10,1
7,1.00E+05,1000,0.01,9,random,mbkmeans,28.874,1.232,34.713,10,1
8,1.00E+05,1000,0.01,9,random,mbkmeans,28.86,1.172,32.443,10,1
9,1.00E+05,1000,0.01,9,random,mbkmeans,28.852,1.111,31.539,10,1
10,1.00E+05,1000,0.01,9,random,mbkmeans,29.082,1.167,43.22,10,1
1,1.00E+05,1000,0.01,10,random,mbkmeans,30.865,1.133,52.087,10,1
2,1.00E+05,1000,0.01,10,random,mbkmeans,31.355,1.076,43.998,10,1
3,1.00E+05,1000,0.01,10,random,mbkmeans,31.777,1.667,44.782,10,1
4,1.00E+05,1000,0.01,10,random,mbkmeans,30.345,1.145,44.854,10,1
5,1.00E+05,1000,0.01,10,random,mbkmeans,30.345,1.127,45.06,10,1
6,1.00E+05,1000,0.01,10,random,mbkmeans,32.414,1.105,54.732,10,1
7,1.00E+05,1000,0.01,10,random,mbkmeans,32.127,1.122,52.732,10,1
8,1.00E+05,1000,0.01,10,random,mbkmeans,32.173,1.175,55.927,10,1
9,1.00E+05,1000,0.01,10,random,mbkmeans,31.826,1.058,52.143,10,1
10,1.00E+05,1000,0.01,10,random,mbkmeans,31.398,1.209,47.318,10,1
1,1.00E+05,1000,0.01,11,random,mbkmeans,32.668,1.087,39.837,10,1
2,1.00E+05,1000,0.01,11,random,mbkmeans,31.978,1.181,38.858,10,1
3,1.00E+05,1000,0.01,11,random,mbkmeans,31.86,1.117,34.201,10,1
4,1.00E+05,1000,0.01,11,random,mbkmeans,32.107,1.063,39.464,10,1
5,1.00E+05,1000,0.01,11,random,mbkmeans,32.589,1.607,47.161,10,1
6,1.00E+05,1000,0.01,11,random,mbkmeans,31.872,1.136,37.946,10,1
7,1.00E+05,1000,0.01,11,random,mbkmeans,32.691,1.274,46.141,10,1
8,1.00E+05,1000,0.01,11,random,mbkmeans,31.904,1.486,44.341,10,1
9,1.00E+05,1000,0.01,11,random,mbkmeans,33.03,1.266,44.082,10,1
10,1.00E+05,1000,0.01,11,random,mbkmeans,30.141,1.085,31.378,10,1
1,1.00E+05,1000,0.01,12,random,mbkmeans,32.234,1.099,46.706,10,1
2,1.00E+05,1000,0.01,12,random,mbkmeans,33.297,1.31,47.943,10,1
3,1.00E+05,1000,0.01,12,random,mbkmeans,33.713,1.123,48.492,10,1
4,1.00E+05,1000,0.01,12,random,mbkmeans,33.082,1.122,43.375,10,1
5,1.00E+05,1000,0.01,12,random,mbkmeans,31.452,1.077,36.637,10,1
6,1.00E+05,1000,0.01,12,random,mbkmeans,32.622,1.172,47.731,10,1
7,1.00E+05,1000,0.01,12,random,mbkmeans,33.631,1.018,46.475,10,1
8,1.00E+05,1000,0.01,12,random,mbkmeans,31.638,0.97,36.543,10,1
9,1.00E+05,1000,0.01,12,random,mbkmeans,33.527,1.119,48.415,10,1
10,1.00E+05,1000,0.01,12,random,mbkmeans,32.415,1.024,44.547,10,1
1,1.00E+05,1000,0.01,13,random,mbkmeans,32.945,1.098,37.771,10,1
2,1.00E+05,1000,0.01,13,random,mbkmeans,31.091,1.061,35.034,10,1
3,1.00E+05,1000,0.01,13,random,mbkmeans,30.913,1.09,34.689,10,1
4,1.00E+05,1000,0.01,13,random,mbkmeans,32.214,1.157,34.534,10,1
5,1.00E+05,1000,0.01,13,random,mbkmeans,32.958,0.96,38.634,10,1
6,1.00E+05,1000,0.01,13,random,mbkmeans,31.329,1.069,33.801,10,1
7,1.00E+05,1000,0.01,13,random,mbkmeans,32.57,1.008,36.611,10,1
8,1.00E+05,1000,0.01,13,random,mbkmeans,32.783,1.05,34.87,10,1
9,1.00E+05,1000,0.01,13,random,mbkmeans,32.267,1.13,34.822,10,1
10,1.00E+05,1000,0.01,13,random,mbkmeans,32.826,1.197,36.998,10,1
1,1.00E+05,1000,0.01,14,random,mbkmeans,33.63,0.949,50.763,10,1
2,1.00E+05,1000,0.01,14,random,mbkmeans,33.717,1.058,47.69,10,1
3,1.00E+05,1000,0.01,14,random,mbkmeans,33.575,1.076,52.908,10,1
4,1.00E+05,1000,0.01,14,random,mbkmeans,33.742,1.018,47.533,10,1
5,1.00E+05,1000,0.01,14,random,mbkmeans,33.493,1.027,49.874,10,1
6,1.00E+05,1000,0.01,14,random,mbkmeans,32.651,0.958,45.113,10,1
7,1.00E+05,1000,0.01,14,random,mbkmeans,34.429,0.958,53.052,10,1
8,1.00E+05,1000,0.01,14,random,mbkmeans,33.774,0.961,48.628,10,1
9,1.00E+05,1000,0.01,14,random,mbkmeans,34.639,0.951,53.752,10,1
10,1.00E+05,1000,0.01,14,random,mbkmeans,33.05,1.119,46.148,10,1
1,1.00E+05,1000,0.01,15,random,mbkmeans,35.779,1.059,45.168,10,1
2,1.00E+05,1000,0.01,15,random,mbkmeans,35.723,0.941,43.385,10,1
3,1.00E+05,1000,0.01,15,random,mbkmeans,35.488,0.883,40.871,10,1
4,1.00E+05,1000,0.01,15,random,mbkmeans,35.465,0.965,42.181,10,1
5,1.00E+05,1000,0.01,15,random,mbkmeans,35.297,0.884,43.8,10,1
6,1.00E+05,1000,0.01,15,random,mbkmeans,35.944,1.08,44.784,10,1
7,1.00E+05,1000,0.01,15,random,mbkmeans,34.447,1.12,38.545,10,1
8,1.00E+05,1000,0.01,15,random,mbkmeans,35.506,0.847,37.766,10,1
9,1.00E+05,1000,0.01,15,random,mbkmeans,33.94,1.066,35.462,10,1
10,1.00E+05,1000,0.01,15,random,mbkmeans,33.076,1.172,36.669,10,1
1,1.00E+05,1000,0.01,16,random,mbkmeans,33.627,1.221,61.841,10,1
2,1.00E+05,1000,0.01,16,random,mbkmeans,36.202,1.196,44.429,10,1
3,1.00E+05,1000,0.01,16,random,mbkmeans,34.458,1.188,62.343,10,1
4,1.00E+05,1000,0.01,16,random,mbkmeans,33.315,1.107,39.768,10,1
5,1.00E+05,1000,0.01,16,random,mbkmeans,34.536,1.217,60.242,10,1
6,1.00E+05,1000,0.01,16,random,mbkmeans,36.526,1.153,43.431,10,1
7,1.00E+05,1000,0.01,16,random,mbkmeans,36.385,1.153,43.445,10,1
8,1.00E+05,1000,0.01,16,random,mbkmeans,34.57,1.358,58.356,10,1
9,1.00E+05,1000,0.01,16,random,mbkmeans,36.464,1.132,45.853,10,1
10,1.00E+05,1000,0.01,16,random,mbkmeans,36.154,1.264,62.326,10,1
1,1.00E+05,1000,0.01,17,random,mbkmeans,35.288,1.046,48.158,10,1
2,1.00E+05,1000,0.01,17,random,mbkmeans,34.457,1.023,45.693,10,1
3,1.00E+05,1000,0.01,17,random,mbkmeans,35.402,1.039,48.529,10,1
4,1.00E+05,1000,0.01,17,random,mbkmeans,36.466,1.152,62.837,10,1
