B,observations,genes,batch_size,k,initializer,method,user_time,system_time,elapsed_time,max_iters,num_init
1,1.00E+05,1000,0.001,2,random,mbkmeans,21.774,0.63,24.221,1,1
2,1.00E+05,1000,0.001,2,random,mbkmeans,22.136,0.666,22.979,1,1
3,1.00E+05,1000,0.001,2,random,mbkmeans,21.8,0.555,23.009,1,1
4,1.00E+05,1000,0.001,2,random,mbkmeans,21.771,0.552,22.838,1,1
5,1.00E+05,1000,0.001,2,random,mbkmeans,21.954,0.58,23.048,1,1
6,1.00E+05,1000,0.001,2,random,mbkmeans,22.109,0.655,23.146,1,1
7,1.00E+05,1000,0.001,2,random,mbkmeans,22.05,0.678,24.437,1,1
8,1.00E+05,1000,0.001,2,random,mbkmeans,21.985,0.703,23.344,1,1
9,1.00E+05,1000,0.001,2,random,mbkmeans,21.95,0.551,23.599,1,1
10,1.00E+05,1000,0.001,2,random,mbkmeans,21.904,0.57,23.041,1,1
1,1.00E+05,1000,0.001,3,random,mbkmeans,22.584,0.598,24.651,1,1
2,1.00E+05,1000,0.001,3,random,mbkmeans,22.695,0.56,24.303,1,1
3,1.00E+05,1000,0.001,3,random,mbkmeans,22.435,0.551,23.33,1,1
4,1.00E+05,1000,0.001,3,random,mbkmeans,22.821,0.66,24.318,1,1
5,1.00E+05,1000,0.001,3,random,mbkmeans,22.573,0.674,23.981,1,1
6,1.00E+05,1000,0.001,3,random,mbkmeans,22.443,0.59,23.856,1,1
7,1.00E+05,1000,0.001,3,random,mbkmeans,22.483,0.555,23.923,1,1
8,1.00E+05,1000,0.001,3,random,mbkmeans,22.288,0.515,23.949,1,1
9,1.00E+05,1000,0.001,3,random,mbkmeans,22.227,0.421,22.796,1,1
10,1.00E+05,1000,0.001,3,random,mbkmeans,22.455,0.522,23.158,1,1
1,1.00E+05,1000,0.001,4,random,mbkmeans,22.682,0.513,23.822,1,1
2,1.00E+05,1000,0.001,4,random,mbkmeans,22.862,0.56,23.651,1,1
3,1.00E+05,1000,0.001,4,random,mbkmeans,22.755,0.599,23.51,1,1
4,1.00E+05,1000,0.001,4,random,mbkmeans,22.948,0.551,23.503,1,1
5,1.00E+05,1000,0.001,4,random,mbkmeans,23.355,0.599,24.007,1,1
6,1.00E+05,1000,0.001,4,random,mbkmeans,22.599,0.513,23.271,1,1
7,1.00E+05,1000,0.001,4,random,mbkmeans,23.248,0.571,23.823,1,1
8,1.00E+05,1000,0.001,4,random,mbkmeans,22.989,0.602,23.61,1,1
9,1.00E+05,1000,0.001,4,random,mbkmeans,23.068,0.559,23.631,1,1
10,1.00E+05,1000,0.001,4,random,mbkmeans,22.797,0.512,23.493,1,1
1,1.00E+05,1000,0.001,5,random,mbkmeans,22.922,0.525,23.53,1,1
2,1.00E+05,1000,0.001,5,random,mbkmeans,23.304,0.567,23.974,1,1
3,1.00E+05,1000,0.001,5,random,mbkmeans,23.019,0.527,24.298,1,1
4,1.00E+05,1000,0.001,5,random,mbkmeans,22.915,0.531,23.644,1,1
