B,observations,genes,batch_size,k,initializer,method,user_time,system_time,elapsed_time,max_iters,num_init
1,1.00E+05,1000,0.001,2,kmeans++,mbkmeans,25.658,0.904,26.646,10,1
2,1.00E+05,1000,0.001,2,kmeans++,mbkmeans,24.956,0.904,25.985,10,1
3,1.00E+05,1000,0.001,2,kmeans++,mbkmeans,24.959,0.817,25.78,10,1
4,1.00E+05,1000,0.001,2,kmeans++,mbkmeans,26.508,0.837,27.453,10,1
5,1.00E+05,1000,0.001,2,kmeans++,mbkmeans,24.414,0.926,25.391,10,1
6,1.00E+05,1000,0.001,2,kmeans++,mbkmeans,25.149,0.967,26.122,10,1
7,1.00E+05,1000,0.001,2,kmeans++,mbkmeans,27.621,1.09,28.719,10,1
8,1.00E+05,1000,0.001,2,kmeans++,mbkmeans,24.757,0.858,25.646,10,1
9,1.00E+05,1000,0.001,2,kmeans++,mbkmeans,25.726,0.931,26.727,10,1
10,1.00E+05,1000,0.001,2,kmeans++,mbkmeans,24.776,0.875,25.722,10,1
1,1.00E+05,1000,0.001,3,kmeans++,mbkmeans,28.978,0.86,29.913,10,1
2,1.00E+05,1000,0.001,3,kmeans++,mbkmeans,26.142,1.072,27.219,10,1
3,1.00E+05,1000,0.001,3,kmeans++,mbkmeans,26.803,1.018,28.059,10,1
4,1.00E+05,1000,0.001,3,kmeans++,mbkmeans,26.073,1.038,27.128,10,1
5,1.00E+05,1000,0.001,3,kmeans++,mbkmeans,25.584,0.905,26.495,10,1
6,1.00E+05,1000,0.001,3,kmeans++,mbkmeans,25.625,0.939,26.591,10,1
7,1.00E+05,1000,0.001,3,kmeans++,mbkmeans,25.671,0.793,26.468,10,1
8,1.00E+05,1000,0.001,3,kmeans++,mbkmeans,26.145,1.076,27.228,10,1
9,1.00E+05,1000,0.001,3,kmeans++,mbkmeans,25.655,0.806,26.465,10,1
10,1.00E+05,1000,0.001,3,kmeans++,mbkmeans,25.538,0.933,26.475,10,1
1,1.00E+05,1000,0.001,4,kmeans++,mbkmeans,27.257,0.921,28.207,10,1
2,1.00E+05,1000,0.001,4,kmeans++,mbkmeans,26.855,0.868,27.788,10,1
3,1.00E+05,1000,0.001,4,kmeans++,mbkmeans,27.103,1.001,28.187,10,1
4,1.00E+05,1000,0.001,4,kmeans++,mbkmeans,26.925,0.886,27.817,10,1
5,1.00E+05,1000,0.001,4,kmeans++,mbkmeans,26.702,1.043,27.936,10,1
6,1.00E+05,1000,0.001,4,kmeans++,mbkmeans,27.111,0.898,28.015,10,1
7,1.00E+05,1000,0.001,4,kmeans++,mbkmeans,27.831,0.818,28.654,10,1
8,1.00E+05,1000,0.001,4,kmeans++,mbkmeans,27.022,0.791,27.986,10,1
9,1.00E+05,1000,0.001,4,kmeans++,mbkmeans,27.239,0.841,28.151,10,1
10,1.00E+05,1000,0.001,4,kmeans++,mbkmeans,26.853,0.842,27.75,10,1
1,1.00E+05,1000,0.001,5,kmeans++,mbkmeans,31.29,0.994,32.743,10,1
2,1.00E+05,1000,0.001,5,kmeans++,mbkmeans,28.966,0.894,29.865,10,1
3,1.00E+05,1000,0.001,5,kmeans++,mbkmeans,28.729,0.932,29.665,10,1
4,1.00E+05,1000,0.001,5,kmeans++,mbkmeans,27.946,0.819,28.771,10,1
5,1.00E+05,1000,0.001,5,kmeans++,mbkmeans,27.88,0.917,28.896,10,1
6,1.00E+05,1000,0.001,5,kmeans++,mbkmeans,27.992,0.919,28.952,10,1
7,1.00E+05,1000,0.001,5,kmeans++,mbkmeans,32.314,0.945,33.379,10,1
8,1.00E+05,1000,0.001,5,kmeans++,mbkmeans,28.456,0.911,29.372,10,1
9,1.00E+05,1000,0.001,5,kmeans++,mbkmeans,29.214,0.961,30.181,10,1
10,1.00E+05,1000,0.001,5,kmeans++,mbkmeans,28.07,0.919,29.009,10,1
1,1.00E+05,1000,0.001,6,kmeans++,mbkmeans,31.646,0.916,32.767,10,1
2,1.00E+05,1000,0.001,6,kmeans++,mbkmeans,30.44,1.117,31.574,10,1
3,1.00E+05,1000,0.001,6,kmeans++,mbkmeans,29.314,0.892,30.212,10,1
4,1.00E+05,1000,0.001,6,kmeans++,mbkmeans,30.531,1.073,31.984,10,1
5,1.00E+05,1000,0.001,6,kmeans++,mbkmeans,29.171,0.985,30.296,10,1
6,1.00E+05,1000,0.001,6,kmeans++,mbkmeans,28.457,0.812,29.282,10,1
7,1.00E+05,1000,0.001,6,kmeans++,mbkmeans,29.18,0.936,30.128,10,1
8,1.00E+05,1000,0.001,6,kmeans++,mbkmeans,28.845,1.005,29.855,10,1
9,1.00E+05,1000,0.001,6,kmeans++,mbkmeans,29.343,0.814,30.163,10,1
10,1.00E+05,1000,0.001,6,kmeans++,mbkmeans,30.388,1.159,31.592,10,1
1,1.00E+05,1000,0.001,7,kmeans++,mbkmeans,31.775,0.96,32.783,10,1
2,1.00E+05,1000,0.001,7,kmeans++,mbkmeans,31.032,0.853,31.891,10,1
3,1.00E+05,1000,0.001,7,kmeans++,mbkmeans,33.21,1.064,34.589,10,1
4,1.00E+05,1000,0.001,7,kmeans++,mbkmeans,30.984,0.926,31.915,10,1
5,1.00E+05,1000,0.001,7,kmeans++,mbkmeans,30.724,0.83,31.572,10,1
6,1.00E+05,1000,0.001,7,kmeans++,mbkmeans,30.542,1.067,31.728,10,1
7,1.00E+05,1000,0.001,7,kmeans++,mbkmeans,30.36,0.945,31.368,10,1
8,1.00E+05,1000,0.001,7,kmeans++,mbkmeans,30.876,0.941,31.823,10,1
9,1.00E+05,1000,0.001,7,kmeans++,mbkmeans,31.57,0.989,32.615,10,1
10,1.00E+05,1000,0.001,7,kmeans++,mbkmeans,30.911,0.855,31.772,10,1
1,1.00E+05,1000,0.001,8,kmeans++,mbkmeans,34.548,1.059,35.614,10,1
2,1.00E+05,1000,0.001,8,kmeans++,mbkmeans,31.672,0.895,32.572,10,1
3,1.00E+05,1000,0.001,8,kmeans++,mbkmeans,32.256,0.824,33.087,10,1
4,1.00E+05,1000,0.001,8,kmeans++,mbkmeans,32.072,0.872,32.948,10,1
5,1.00E+05,1000,0.001,8,kmeans++,mbkmeans,31.215,0.848,32.087,10,1
6,1.00E+05,1000,0.001,8,kmeans++,mbkmeans,31.387,0.875,32.267,10,1
7,1.00E+05,1000,0.001,8,kmeans++,mbkmeans,31.506,0.823,32.394,10,1
8,1.00E+05,1000,0.001,8,kmeans++,mbkmeans,32.351,0.927,33.284,10,1
9,1.00E+05,1000,0.001,8,kmeans++,mbkmeans,34.491,1.075,35.573,10,1
10,1.00E+05,1000,0.001,8,kmeans++,mbkmeans,31.525,0.817,32.349,10,1
1,1.00E+05,1000,0.001,9,kmeans++,mbkmeans,36.209,1.191,38.103,10,1
2,1.00E+05,1000,0.001,9,kmeans++,mbkmeans,35.449,1.063,37.548,10,1
3,1.00E+05,1000,0.001,9,kmeans++,mbkmeans,34.763,1.028,36.026,10,1
4,1.00E+05,1000,0.001,9,kmeans++,mbkmeans,36.825,1.179,38.711,10,1
5,1.00E+05,1000,0.001,9,kmeans++,mbkmeans,34.996,1.009,36.868,10,1
6,1.00E+05,1000,0.001,9,kmeans++,mbkmeans,36.106,1.202,38.664,10,1
7,1.00E+05,1000,0.001,9,kmeans++,mbkmeans,33.66,0.92,35.271,10,1
8,1.00E+05,1000,0.001,9,kmeans++,mbkmeans,34.074,0.844,35.374,10,1
