B,observations,genes,batch_size,k,initializer,method,user_time,system_time,elapsed_time,max_iters,num_init
1,1.00E+05,1000,0.01,2,random,mbkmeans,21.906,0.84,22.795,1,1
2,1.00E+05,1000,0.01,2,random,mbkmeans,22.273,0.874,27.738,1,1
3,1.00E+05,1000,0.01,2,random,mbkmeans,21.638,0.881,22.56,1,1
4,1.00E+05,1000,0.01,2,random,mbkmeans,22.334,0.841,26.387,1,1
5,1.00E+05,1000,0.01,2,random,mbkmeans,21.147,0.897,22.166,1,1
6,1.00E+05,1000,0.01,2,random,mbkmeans,23.055,0.906,28.605,1,1
7,1.00E+05,1000,0.01,2,random,mbkmeans,22.499,0.881,25.945,1,1
8,1.00E+05,1000,0.01,2,random,mbkmeans,23.048,1.013,28.536,1,1
9,1.00E+05,1000,0.01,2,random,mbkmeans,21.7,0.832,23.759,1,1
10,1.00E+05,1000,0.01,2,random,mbkmeans,22.81,0.87,24.505,1,1
1,1.00E+05,1000,0.01,3,random,mbkmeans,23.994,1.014,28.981,1,1
2,1.00E+05,1000,0.01,3,random,mbkmeans,23.649,1.055,26.56,1,1
3,1.00E+05,1000,0.01,3,random,mbkmeans,23.632,1.032,26.59,1,1
4,1.00E+05,1000,0.01,3,random,mbkmeans,24.055,1.113,27.093,1,1
5,1.00E+05,1000,0.01,3,random,mbkmeans,24.74,0.963,31.067,1,1
6,1.00E+05,1000,0.01,3,random,mbkmeans,24.132,0.907,26.74,1,1
7,1.00E+05,1000,0.01,3,random,mbkmeans,23.567,1.047,27.965,1,1
8,1.00E+05,1000,0.01,3,random,mbkmeans,24.595,1.052,29.751,1,1
9,1.00E+05,1000,0.01,3,random,mbkmeans,23.108,0.856,27.094,1,1
10,1.00E+05,1000,0.01,3,random,mbkmeans,22.944,0.948,28.48,1,1
1,1.00E+05,1000,0.01,4,random,mbkmeans,24.039,1.386,34.764,1,1
2,1.00E+05,1000,0.01,4,random,mbkmeans,23.888,1.195,36.214,1,1
3,1.00E+05,1000,0.01,4,random,mbkmeans,23.786,1.261,34.776,1,1
4,1.00E+05,1000,0.01,4,random,mbkmeans,23.996,1.149,37.312,1,1
5,1.00E+05,1000,0.01,4,random,mbkmeans,22.211,1.055,24.392,1,1
6,1.00E+05,1000,0.01,4,random,mbkmeans,23.919,1.211,37.082,1,1
7,1.00E+05,1000,0.01,4,random,mbkmeans,23.321,1.164,31.255,1,1
8,1.00E+05,1000,0.01,4,random,mbkmeans,24.228,1.148,38.276,1,1
9,1.00E+05,1000,0.01,4,random,mbkmeans,24.192,1.233,35.867,1,1
10,1.00E+05,1000,0.01,4,random,mbkmeans,24.174,1.332,34.808,1,1
1,1.00E+05,1000,0.01,5,random,mbkmeans,23.558,1.365,25.313,1,1
2,1.00E+05,1000,0.01,5,random,mbkmeans,24.808,1.215,27.069,1,1
3,1.00E+05,1000,0.01,5,random,mbkmeans,24.119,1.161,29.658,1,1
4,1.00E+05,1000,0.01,5,random,mbkmeans,24.919,1.064,33.84,1,1
5,1.00E+05,1000,0.01,5,random,mbkmeans,25.245,1.369,27.02,1,1
6,1.00E+05,1000,0.01,5,random,mbkmeans,23.543,0.989,26.053,1,1
7,1.00E+05,1000,0.01,5,random,mbkmeans,24.296,1.133,29.648,1,1
8,1.00E+05,1000,0.01,5,random,mbkmeans,23.453,1.141,25.033,1,1
9,1.00E+05,1000,0.01,5,random,mbkmeans,25.151,1.113,34.256,1,1
10,1.00E+05,1000,0.01,5,random,mbkmeans,24.11,1.195,29.146,1,1
1,1.00E+05,1000,0.01,6,random,mbkmeans,24.5,0.902,29.747,1,1
2,1.00E+05,1000,0.01,6,random,mbkmeans,24.159,0.98,25.834,1,1
3,1.00E+05,1000,0.01,6,random,mbkmeans,23.371,0.851,25.993,1,1
4,1.00E+05,1000,0.01,6,random,mbkmeans,23.211,0.945,24.838,1,1
5,1.00E+05,1000,0.01,6,random,mbkmeans,24.541,0.861,25.569,1,1
6,1.00E+05,1000,0.01,6,random,mbkmeans,24.228,0.775,25.491,1,1
7,1.00E+05,1000,0.01,6,random,mbkmeans,23.88,0.928,27.828,1,1
8,1.00E+05,1000,0.01,6,random,mbkmeans,24.015,0.875,26.594,1,1
9,1.00E+05,1000,0.01,6,random,mbkmeans,23.898,0.849,25.71,1,1
10,1.00E+05,1000,0.01,6,random,mbkmeans,22.979,0.859,23.962,1,1
1,1.00E+05,1000,0.01,7,random,mbkmeans,22.791,0.683,23.68,1,1
2,1.00E+05,1000,0.01,7,random,mbkmeans,23.727,0.689,26.747,1,1
