B,observations,genes,batch_size,k,initializer,method,user_time,system_time,elapsed_time,max_iters,num_init
2,1.00E+05,1000,0.001,8,kmeans++,hdf5,34.049,3.768,38.93,10,1
3,1.00E+05,1000,0.001,8,kmeans++,hdf5,39.807,4.56,45.264,10,1
4,1.00E+05,1000,0.001,8,kmeans++,hdf5,38.175,3.8,43.498,10,1
5,1.00E+05,1000,0.001,8,kmeans++,hdf5,46.994,5.629,52.91,10,1
6,1.00E+05,1000,0.001,8,kmeans++,hdf5,40.613,3.973,45.853,10,1
7,1.00E+05,1000,0.001,8,kmeans++,hdf5,37.476,3.795,41.924,10,1
8,1.00E+05,1000,0.001,8,kmeans++,hdf5,39.777,4.27,45.018,10,1
9,1.00E+05,1000,0.001,8,kmeans++,hdf5,40.247,3.941,44.313,10,1
10,1.00E+05,1000,0.001,8,kmeans++,hdf5,41.554,4.433,47.064,10,1
1,1.00E+05,1000,0.001,9,kmeans++,hdf5,61.297,5.092,66.448,10,1
2,1.00E+05,1000,0.001,9,kmeans++,hdf5,46.836,6.397,53.31,10,1
3,1.00E+05,1000,0.001,9,kmeans++,hdf5,45.251,5.486,52.461,10,1
4,1.00E+05,1000,0.001,9,kmeans++,hdf5,53.99,7.201,62.1,10,1
5,1.00E+05,1000,0.001,9,kmeans++,hdf5,58.679,6.414,65.622,10,1
6,1.00E+05,1000,0.001,9,kmeans++,hdf5,45.309,5.869,51.29,10,1
7,1.00E+05,1000,0.001,9,kmeans++,hdf5,53.43,6.244,60.196,10,1
8,1.00E+05,1000,0.001,9,kmeans++,hdf5,50.075,6.126,57.139,10,1
9,1.00E+05,1000,0.001,9,kmeans++,hdf5,49.064,5.191,55.205,10,1
10,1.00E+05,1000,0.001,9,kmeans++,hdf5,42.388,4.994,47.466,10,1
1,1.00E+05,1000,0.001,10,kmeans++,hdf5,52.628,6.004,59.396,10,1
2,1.00E+05,1000,0.001,10,kmeans++,hdf5,44.169,3.779,48.448,10,1
3,1.00E+05,1000,0.001,10,kmeans++,hdf5,50.879,4.765,55.706,10,1
4,1.00E+05,1000,0.001,10,kmeans++,hdf5,45.708,5.312,51.679,10,1
5,1.00E+05,1000,0.001,10,kmeans++,hdf5,62.31,5.731,68.068,10,1
6,1.00E+05,1000,0.001,10,kmeans++,hdf5,37.775,3.628,42.22,10,1
7,1.00E+05,1000,0.001,10,kmeans++,hdf5,56.941,6.6,63.594,10,1
8,1.00E+05,1000,0.001,10,kmeans++,hdf5,44.821,4.091,49.683,10,1
9,1.00E+05,1000,0.001,10,kmeans++,hdf5,39.423,3.819,44.766,10,1
10,1.00E+05,1000,0.001,10,kmeans++,hdf5,39.539,4.208,44.967,10,1
1,1.00E+05,1000,0.001,11,kmeans++,hdf5,55.619,6.38,63.048,10,1
2,1.00E+05,1000,0.001,11,kmeans++,hdf5,48.03,5.071,53.557,10,1
3,1.00E+05,1000,0.001,11,kmeans++,hdf5,54.927,5.01,60.206,10,1
4,1.00E+05,1000,0.001,11,kmeans++,hdf5,42.372,4.891,49.128,10,1
5,1.00E+05,1000,0.001,11,kmeans++,hdf5,63.917,5.374,69.489,10,1
6,1.00E+05,1000,0.001,11,kmeans++,hdf5,54.109,6.221,60.4,10,1
7,1.00E+05,1000,0.001,11,kmeans++,hdf5,53.607,5.548,60.671,10,1
8,1.00E+05,1000,0.001,11,kmeans++,hdf5,42.957,3.878,48.108,10,1
9,1.00E+05,1000,0.001,11,kmeans++,hdf5,48.642,4.948,54.731,10,1
10,1.00E+05,1000,0.001,11,kmeans++,hdf5,36.682,3.619,40.538,10,1
1,1.00E+05,1000,0.001,12,kmeans++,hdf5,46.832,3.664,52.073,10,1
2,1.00E+05,1000,0.001,12,kmeans++,hdf5,47.383,3.578,52.536,10,1
3,1.00E+05,1000,0.001,12,kmeans++,hdf5,59.19,5.593,65.247,10,1
4,1.00E+05,1000,0.001,12,kmeans++,hdf5,48.308,3.471,51.82,10,1
5,1.00E+05,1000,0.001,12,kmeans++,hdf5,43.132,3.386,47.527,10,1
6,1.00E+05,1000,0.001,12,kmeans++,hdf5,46.808,4.026,52.553,10,1
7,1.00E+05,1000,0.001,12,kmeans++,hdf5,54.571,5.412,60.045,10,1
8,1.00E+05,1000,0.001,12,kmeans++,hdf5,41.589,3.431,46.481,10,1
9,1.00E+05,1000,0.001,12,kmeans++,hdf5,42.028,3.389,45.742,10,1
10,1.00E+05,1000,0.001,12,kmeans++,hdf5,51.781,5.316,57.51,10,1
1,1.00E+05,1000,0.001,13,kmeans++,hdf5,49.522,4.267,55.286,10,1
2,1.00E+05,1000,0.001,13,kmeans++,hdf5,52.225,5.165,57.585,10,1
3,1.00E+05,1000,0.001,13,kmeans++,hdf5,52.553,4.67,57.631,10,1
4,1.00E+05,1000,0.001,13,kmeans++,hdf5,47.48,4.623,52.591,10,1
5,1.00E+05,1000,0.001,13,kmeans++,hdf5,64.463,5.565,70.238,10,1
6,1.00E+05,1000,0.001,13,kmeans++,hdf5,47.479,4.722,53.671,10,1
7,1.00E+05,1000,0.001,13,kmeans++,hdf5,52.329,4.442,56.938,10,1
8,1.00E+05,1000,0.001,13,kmeans++,hdf5,50.265,3.989,55.799,10,1
9,1.00E+05,1000,0.001,13,kmeans++,hdf5,49.234,4.183,53.468,10,1
10,1.00E+05,1000,0.001,13,kmeans++,hdf5,48.796,4.052,53.521,10,1
1,1.00E+05,1000,0.001,14,kmeans++,hdf5,55.652,4.774,61.306,10,1
2,1.00E+05,1000,0.001,14,kmeans++,hdf5,51.117,3.863,55.102,10,1
3,1.00E+05,1000,0.001,14,kmeans++,hdf5,54.583,4.375,60.264,10,1
4,1.00E+05,1000,0.001,14,kmeans++,hdf5,50.986,5.172,57.646,10,1
5,1.00E+05,1000,0.001,14,kmeans++,hdf5,74.73,5.3,80.076,10,1
6,1.00E+05,1000,0.001,14,kmeans++,hdf5,45.78,4.544,50.946,10,1
7,1.00E+05,1000,0.001,14,kmeans++,hdf5,50.225,4.087,54.507,10,1
8,1.00E+05,1000,0.001,14,kmeans++,hdf5,56.208,5.588,62.698,10,1
9,1.00E+05,1000,0.001,14,kmeans++,hdf5,55.714,5.271,62.508,10,1
10,1.00E+05,1000,0.001,14,kmeans++,hdf5,64.657,5.487,70.215,10,1
1,1.00E+05,1000,0.001,15,kmeans++,hdf5,69.629,6.663,76.336,10,1
2,1.00E+05,1000,0.001,15,kmeans++,hdf5,49.542,4.155,55.045,10,1
3,1.00E+05,1000,0.001,15,kmeans++,hdf5,45.796,3.499,50.45,10,1
4,1.00E+05,1000,0.001,15,kmeans++,hdf5,50.778,3.698,56.007,10,1
5,1.00E+05,1000,0.001,15,kmeans++,hdf5,64.98,4.035,69.099,10,1
6,1.00E+05,1000,0.001,15,kmeans++,hdf5,66.473,6.553,74.307,10,1
7,1.00E+05,1000,0.001,15,kmeans++,hdf5,52.832,3.971,57.085,10,1
8,1.00E+05,1000,0.001,15,kmeans++,hdf5,56.217,5.195,62.869,10,1
9,1.00E+05,1000,0.001,15,kmeans++,hdf5,49.767,3.705,54.411,10,1
10,1.00E+05,1000,0.001,15,kmeans++,hdf5,62.811,5.495,68.351,10,1
1,1.00E+05,1000,0.001,16,kmeans++,hdf5,51.7,4.5,57.327,10,1
2,1.00E+05,1000,0.001,16,kmeans++,hdf5,58.951,5.294,65.197,10,1
3,1.00E+05,1000,0.001,16,kmeans++,hdf5,59.946,4.877,65.722,10,1
4,1.00E+05,1000,0.001,16,kmeans++,hdf5,45.627,4.333,50.553,10,1
5,1.00E+05,1000,0.001,16,kmeans++,hdf5,73.695,6.262,80.104,10,1
6,1.00E+05,1000,0.001,16,kmeans++,hdf5,51.518,4.018,56.266,10,1
7,1.00E+05,1000,0.001,16,kmeans++,hdf5,62.876,5.368,68.584,10,1
