B,observations,genes,batch_size,k,initializer,method,user_time,system_time,elapsed_time,max_iters,num_init
9,1.00E+05,1000,0.001,7,kmeans++,mbkmeans,25.662,0.978,29.629,1,1
10,1.00E+05,1000,0.001,7,kmeans++,mbkmeans,25.623,0.855,36.726,1,1
1,1.00E+05,1000,0.001,8,kmeans++,mbkmeans,25.701,0.887,28.733,1,1
2,1.00E+05,1000,0.001,8,kmeans++,mbkmeans,25.541,0.957,28.358,1,1
3,1.00E+05,1000,0.001,8,kmeans++,mbkmeans,25.03,0.872,28.446,1,1
4,1.00E+05,1000,0.001,8,kmeans++,mbkmeans,25.62,0.953,28.166,1,1
5,1.00E+05,1000,0.001,8,kmeans++,mbkmeans,25.964,1.002,39.398,1,1
6,1.00E+05,1000,0.001,8,kmeans++,mbkmeans,26.329,0.891,27.67,1,1
7,1.00E+05,1000,0.001,8,kmeans++,mbkmeans,26.738,0.936,34.389,1,1
8,1.00E+05,1000,0.001,8,kmeans++,mbkmeans,25.818,0.928,27.083,1,1
9,1.00E+05,1000,0.001,8,kmeans++,mbkmeans,26.551,0.955,29.02,1,1
10,1.00E+05,1000,0.001,8,kmeans++,mbkmeans,25.695,0.9,27.203,1,1
1,1.00E+05,1000,0.001,9,kmeans++,mbkmeans,26.219,1.015,36.365,1,1
2,1.00E+05,1000,0.001,9,kmeans++,mbkmeans,26.632,0.876,29.26,1,1
3,1.00E+05,1000,0.001,9,kmeans++,mbkmeans,26.709,0.928,29.35,1,1
4,1.00E+05,1000,0.001,9,kmeans++,mbkmeans,26.245,0.8,37.925,1,1
5,1.00E+05,1000,0.001,9,kmeans++,mbkmeans,26.719,0.886,36.126,1,1
6,1.00E+05,1000,0.001,9,kmeans++,mbkmeans,25.956,0.743,36.14,1,1
7,1.00E+05,1000,0.001,9,kmeans++,mbkmeans,26.381,0.798,37.021,1,1
8,1.00E+05,1000,0.001,9,kmeans++,mbkmeans,27.657,0.879,29.247,1,1
9,1.00E+05,1000,0.001,9,kmeans++,mbkmeans,26.468,0.861,30.028,1,1
10,1.00E+05,1000,0.001,9,kmeans++,mbkmeans,27.516,0.933,38.806,1,1
1,1.00E+05,1000,0.001,10,kmeans++,mbkmeans,26.49,0.949,33.48,1,1
2,1.00E+05,1000,0.001,10,kmeans++,mbkmeans,27.326,1.258,29.196,1,1
3,1.00E+05,1000,0.001,10,kmeans++,mbkmeans,27.211,1.021,32.226,1,1
4,1.00E+05,1000,0.001,10,kmeans++,mbkmeans,27.178,0.919,30.515,1,1
5,1.00E+05,1000,0.001,10,kmeans++,mbkmeans,26.733,0.755,27.599,1,1
6,1.00E+05,1000,0.001,10,kmeans++,mbkmeans,27.508,0.931,30.135,1,1
7,1.00E+05,1000,0.001,10,kmeans++,mbkmeans,25.799,1.018,31.714,1,1
8,1.00E+05,1000,0.001,10,kmeans++,mbkmeans,27.54,1.152,32.515,1,1
9,1.00E+05,1000,0.001,10,kmeans++,mbkmeans,27.153,0.936,35.546,1,1
10,1.00E+05,1000,0.001,10,kmeans++,mbkmeans,27.018,0.883,28.912,1,1
1,1.00E+05,1000,0.001,11,kmeans++,mbkmeans,27.015,0.96,34.389,1,1
2,1.00E+05,1000,0.001,11,kmeans++,mbkmeans,26.947,0.935,31.683,1,1
3,1.00E+05,1000,0.001,11,kmeans++,mbkmeans,27.845,1.201,41.847,1,1
4,1.00E+05,1000,0.001,11,kmeans++,mbkmeans,26.847,0.981,39.637,1,1
5,1.00E+05,1000,0.001,11,kmeans++,mbkmeans,27.92,1.081,30.562,1,1
6,1.00E+05,1000,0.001,11,kmeans++,mbkmeans,27.384,0.937,40.466,1,1
7,1.00E+05,1000,0.001,11,kmeans++,mbkmeans,27.589,0.995,40.255,1,1
8,1.00E+05,1000,0.001,11,kmeans++,mbkmeans,27.871,1.048,42.144,1,1
9,1.00E+05,1000,0.001,11,kmeans++,mbkmeans,28.216,1.083,42.412,1,1
10,1.00E+05,1000,0.001,11,kmeans++,mbkmeans,27.099,0.969,38.396,1,1
1,1.00E+05,1000,0.001,12,kmeans++,mbkmeans,28.009,1.024,47.828,1,1
2,1.00E+05,1000,0.001,12,kmeans++,mbkmeans,27.849,0.929,35.998,1,1
3,1.00E+05,1000,0.001,12,kmeans++,mbkmeans,29.194,1.309,48.79,1,1
4,1.00E+05,1000,0.001,12,kmeans++,mbkmeans,28.575,1.202,51.028,1,1
5,1.00E+05,1000,0.001,12,kmeans++,mbkmeans,29.03,1.335,48.617,1,1
6,1.00E+05,1000,0.001,12,kmeans++,mbkmeans,28.333,1.294,50.201,1,1
7,1.00E+05,1000,0.001,12,kmeans++,mbkmeans,28.816,1.324,49.754,1,1
8,1.00E+05,1000,0.001,12,kmeans++,mbkmeans,27.255,1.049,36.508,1,1
9,1.00E+05,1000,0.001,12,kmeans++,mbkmeans,28.693,1.207,47.837,1,1
10,1.00E+05,1000,0.001,12,kmeans++,mbkmeans,29.284,1.129,47.612,1,1
1,1.00E+05,1000,0.001,13,kmeans++,mbkmeans,28.55,1.201,32.166,1,1
2,1.00E+05,1000,0.001,13,kmeans++,mbkmeans,28.964,1.009,34.581,1,1
3,1.00E+05,1000,0.001,13,kmeans++,mbkmeans,28.392,1.244,32.785,1,1
4,1.00E+05,1000,0.001,13,kmeans++,mbkmeans,28.455,0.952,30.946,1,1
5,1.00E+05,1000,0.001,13,kmeans++,mbkmeans,29.214,1.375,36.566,1,1
6,1.00E+05,1000,0.001,13,kmeans++,mbkmeans,27.794,0.995,30.111,1,1
7,1.00E+05,1000,0.001,13,kmeans++,mbkmeans,28.785,1.28,31.304,1,1
8,1.00E+05,1000,0.001,13,kmeans++,mbkmeans,27.898,0.996,29.937,1,1
9,1.00E+05,1000,0.001,13,kmeans++,mbkmeans,28.322,1.306,33.698,1,1
10,1.00E+05,1000,0.001,13,kmeans++,mbkmeans,28.687,0.966,30.395,1,1
1,1.00E+05,1000,0.001,14,kmeans++,mbkmeans,30.022,1.272,46.726,1,1
2,1.00E+05,1000,0.001,14,kmeans++,mbkmeans,29.645,1.132,41.535,1,1
3,1.00E+05,1000,0.001,14,kmeans++,mbkmeans,30.661,1.146,40.131,1,1
4,1.00E+05,1000,0.001,14,kmeans++,mbkmeans,29.518,1.237,36.647,1,1
5,1.00E+05,1000,0.001,14,kmeans++,mbkmeans,29.718,1.356,40.97,1,1
6,1.00E+05,1000,0.001,14,kmeans++,mbkmeans,29.572,1.2,33.311,1,1
7,1.00E+05,1000,0.001,14,kmeans++,mbkmeans,29.547,1.312,49.365,1,1
8,1.00E+05,1000,0.001,14,kmeans++,mbkmeans,29.292,1.239,45.468,1,1
9,1.00E+05,1000,0.001,14,kmeans++,mbkmeans,30.079,1.219,43.36,1,1
10,1.00E+05,1000,0.001,14,kmeans++,mbkmeans,30.59,1.148,40.828,1,1
1,1.00E+05,1000,0.001,15,kmeans++,mbkmeans,30.304,1.044,47.785,1,1
2,1.00E+05,1000,0.001,15,kmeans++,mbkmeans,30.401,1.221,47.836,1,1
3,1.00E+05,1000,0.001,15,kmeans++,mbkmeans,30.023,1.206,47.787,1,1
4,1.00E+05,1000,0.001,15,kmeans++,mbkmeans,29.729,0.911,40.905,1,1
5,1.00E+05,1000,0.001,15,kmeans++,mbkmeans,29.761,1.11,39.351,1,1
6,1.00E+05,1000,0.001,15,kmeans++,mbkmeans,30.545,1.213,52.141,1,1
7,1.00E+05,1000,0.001,15,kmeans++,mbkmeans,29.997,1.237,42.602,1,1
8,1.00E+05,1000,0.001,15,kmeans++,mbkmeans,29.57,1.098,38.985,1,1
9,1.00E+05,1000,0.001,15,kmeans++,mbkmeans,29.536,1.03,39.287,1,1
10,1.00E+05,1000,0.001,15,kmeans++,mbkmeans,30.224,1.224,49.99,1,1
1,1.00E+05,1000,0.001,16,kmeans++,mbkmeans,30.994,0.975,43.832,1,1
2,1.00E+05,1000,0.001,16,kmeans++,mbkmeans,30.914,1.011,41.633,1,1
3,1.00E+05,1000,0.001,16,kmeans++,mbkmeans,31.133,1.059,44.415,1,1
4,1.00E+05,1000,0.001,16,kmeans++,mbkmeans,30.678,1.024,43.494,1,1
