B,observations,genes,batch_size,k,initializer,method,user_time,system_time,elapsed_time,max_iters,num_init
1,1.00E+05,1000,0.01,2,random,hdf5,31.012,4.838,46.101,10,1
2,1.00E+05,1000,0.01,2,random,hdf5,32.311,4.681,46.281,10,1
3,1.00E+05,1000,0.01,2,random,hdf5,31.885,4.151,37.832,10,1
4,1.00E+05,1000,0.01,2,random,hdf5,30.213,4.471,46.171,10,1
5,1.00E+05,1000,0.01,2,random,hdf5,32.956,4.315,42.762,10,1
6,1.00E+05,1000,0.01,2,random,hdf5,28.758,4.207,35.071,10,1
7,1.00E+05,1000,0.01,2,random,hdf5,28.941,4.516,40.797,10,1
8,1.00E+05,1000,0.01,2,random,hdf5,32.354,4.554,40.828,10,1
9,1.00E+05,1000,0.01,2,random,hdf5,31.831,4.938,46.549,10,1
10,1.00E+05,1000,0.01,2,random,hdf5,31.093,4.678,48.079,10,1
1,1.00E+05,1000,0.01,3,random,hdf5,34.272,4.57,46.121,10,1
2,1.00E+05,1000,0.01,3,random,hdf5,37.225,4.796,51.282,10,1
3,1.00E+05,1000,0.01,3,random,hdf5,36.399,4.668,50.533,10,1
4,1.00E+05,1000,0.01,3,random,hdf5,36.247,4.903,53.976,10,1
5,1.00E+05,1000,0.01,3,random,hdf5,36.254,4.513,43.136,10,1
6,1.00E+05,1000,0.01,3,random,hdf5,39.151,4.788,56.279,10,1
7,1.00E+05,1000,0.01,3,random,hdf5,34.228,4.715,41.892,10,1
8,1.00E+05,1000,0.01,3,random,hdf5,31.784,4.664,47.012,10,1
9,1.00E+05,1000,0.01,3,random,hdf5,32.549,4.79,52.483,10,1
10,1.00E+05,1000,0.01,3,random,hdf5,34.532,4.816,53.33,10,1
1,1.00E+05,1000,0.01,4,random,hdf5,36.461,4.997,48.307,10,1
2,1.00E+05,1000,0.01,4,random,hdf5,37.476,4.969,53.881,10,1
3,1.00E+05,1000,0.01,4,random,hdf5,40.222,5.284,53.254,10,1
4,1.00E+05,1000,0.01,4,random,hdf5,38.712,5.31,52.814,10,1
5,1.00E+05,1000,0.01,4,random,hdf5,40.141,4.831,51.72,10,1
6,1.00E+05,1000,0.01,4,random,hdf5,36.69,4.632,52.298,10,1
7,1.00E+05,1000,0.01,4,random,hdf5,34.174,5.06,50.755,10,1
8,1.00E+05,1000,0.01,4,random,hdf5,41.97,4.967,51.927,10,1
9,1.00E+05,1000,0.01,4,random,hdf5,41.116,4.699,52.262,10,1
10,1.00E+05,1000,0.01,4,random,hdf5,33.976,4.98,45.398,10,1
1,1.00E+05,1000,0.01,5,random,hdf5,35.4,4.57,53.558,10,1
2,1.00E+05,1000,0.01,5,random,hdf5,36.687,4.867,49.861,10,1
3,1.00E+05,1000,0.01,5,random,hdf5,40.256,4.707,47.329,10,1
4,1.00E+05,1000,0.01,5,random,hdf5,36.3,4.231,53.768,10,1
5,1.00E+05,1000,0.01,5,random,hdf5,34.936,4.522,57.629,10,1
6,1.00E+05,1000,0.01,5,random,hdf5,36.395,4.532,45.409,10,1
7,1.00E+05,1000,0.01,5,random,hdf5,36.369,4.639,43.473,10,1
8,1.00E+05,1000,0.01,5,random,hdf5,32.769,4.682,45.151,10,1
9,1.00E+05,1000,0.01,5,random,hdf5,32.838,4.984,48.778,10,1
10,1.00E+05,1000,0.01,5,random,hdf5,35.371,4.908,46.933,10,1
1,1.00E+05,1000,0.01,6,random,hdf5,42.488,5.464,53.567,10,1
2,1.00E+05,1000,0.01,6,random,hdf5,37.825,5.382,52.245,10,1
3,1.00E+05,1000,0.01,6,random,hdf5,39.321,4.929,49.533,10,1
4,1.00E+05,1000,0.01,6,random,hdf5,40.673,5.812,50.755,10,1
5,1.00E+05,1000,0.01,6,random,hdf5,36.88,5.47,46.628,10,1
6,1.00E+05,1000,0.01,6,random,hdf5,40.196,5.1,51.715,10,1
7,1.00E+05,1000,0.01,6,random,hdf5,38.554,4.984,50.299,10,1
8,1.00E+05,1000,0.01,6,random,hdf5,41.444,5.27,51.743,10,1
9,1.00E+05,1000,0.01,6,random,hdf5,37.046,5.077,51.892,10,1
10,1.00E+05,1000,0.01,6,random,hdf5,41.53,5.068,52.37,10,1
1,1.00E+05,1000,0.01,7,random,hdf5,37.585,4.626,45.205,10,1
2,1.00E+05,1000,0.01,7,random,hdf5,35.146,4.778,42.179,10,1
3,1.00E+05,1000,0.01,7,random,hdf5,35.2,4.873,47.7,10,1
4,1.00E+05,1000,0.01,7,random,hdf5,35.036,4.43,42.176,10,1
5,1.00E+05,1000,0.01,7,random,hdf5,34.796,4.401,52.197,10,1
6,1.00E+05,1000,0.01,7,random,hdf5,32.331,4.225,43.303,10,1
7,1.00E+05,1000,0.01,7,random,hdf5,36.454,4.559,45.498,10,1
8,1.00E+05,1000,0.01,7,random,hdf5,34.609,4.802,52.036,10,1
9,1.00E+05,1000,0.01,7,random,hdf5,39.172,4.782,53.304,10,1
10,1.00E+05,1000,0.01,7,random,hdf5,38.948,4.902,49.623,10,1
1,1.00E+05,1000,0.01,8,random,hdf5,37.849,4.658,46.179,10,1
2,1.00E+05,1000,0.01,8,random,hdf5,33.655,4.739,53.072,10,1
3,1.00E+05,1000,0.01,8,random,hdf5,33.516,4.202,38.811,10,1
4,1.00E+05,1000,0.01,8,random,hdf5,35.174,4.568,42.535,10,1
5,1.00E+05,1000,0.01,8,random,hdf5,33.706,4.434,39.779,10,1
6,1.00E+05,1000,0.01,8,random,hdf5,35.702,5.222,48.214,10,1
7,1.00E+05,1000,0.01,8,random,hdf5,38.933,5.044,46.587,10,1
8,1.00E+05,1000,0.01,8,random,hdf5,37.405,4.756,47.098,10,1
9,1.00E+05,1000,0.01,8,random,hdf5,35.757,5.02,52.291,10,1
10,1.00E+05,1000,0.01,8,random,hdf5,37.023,4.775,47.594,10,1
1,1.00E+05,1000,0.01,9,random,hdf5,37.053,4.786,54.009,10,1
2,1.00E+05,1000,0.01,9,random,hdf5,37.052,5.086,53.977,10,1
3,1.00E+05,1000,0.01,9,random,hdf5,39.383,5.236,62.17,10,1
4,1.00E+05,1000,0.01,9,random,hdf5,33.775,4.429,47.32,10,1
5,1.00E+05,1000,0.01,9,random,hdf5,36.553,4.405,52.829,10,1
6,1.00E+05,1000,0.01,9,random,hdf5,39.37,4.714,64.68,10,1
7,1.00E+05,1000,0.01,9,random,hdf5,36.864,4.715,53.612,10,1
8,1.00E+05,1000,0.01,9,random,hdf5,40.236,4.941,62.869,10,1
9,1.00E+05,1000,0.01,9,random,hdf5,40.683,5.125,67.002,10,1
10,1.00E+05,1000,0.01,9,random,hdf5,41.694,4.82,63.546,10,1
1,1.00E+05,1000,0.01,10,random,hdf5,41.25,4.96,61.116,10,1
2,1.00E+05,1000,0.01,10,random,hdf5,40.605,5.029,58.317,10,1
3,1.00E+05,1000,0.01,10,random,hdf5,39.303,4.928,56.208,10,1
4,1.00E+05,1000,0.01,10,random,hdf5,35.987,4.713,54.016,10,1
5,1.00E+05,1000,0.01,10,random,hdf5,41.83,4.392,62.084,10,1
6,1.00E+05,1000,0.01,10,random,hdf5,36.579,5.156,56.696,10,1
7,1.00E+05,1000,0.01,10,random,hdf5,40.573,5.349,60.311,10,1
8,1.00E+05,1000,0.01,10,random,hdf5,38.564,4.912,56.192,10,1
9,1.00E+05,1000,0.01,10,random,hdf5,37.08,4.781,54.379,10,1
10,1.00E+05,1000,0.01,10,random,hdf5,42.86,4.854,62.237,10,1
1,1.00E+05,1000,0.01,11,random,hdf5,37.229,3.979,56.2,10,1
2,1.00E+05,1000,0.01,11,random,hdf5,38.889,4.007,59.628,10,1
3,1.00E+05,1000,0.01,11,random,hdf5,36.566,4.783,54.955,10,1
4,1.00E+05,1000,0.01,11,random,hdf5,36.552,4.453,43.637,10,1
5,1.00E+05,1000,0.01,11,random,hdf5,37.584,4.355,57.501,10,1
6,1.00E+05,1000,0.01,11,random,hdf5,36.991,4.795,55.719,10,1
7,1.00E+05,1000,0.01,11,random,hdf5,36.008,3.761,56.027,10,1
8,1.00E+05,1000,0.01,11,random,hdf5,37.365,4.09,51.76,10,1
9,1.00E+05,1000,0.01,11,random,hdf5,36.941,4.192,56.643,10,1
10,1.00E+05,1000,0.01,11,random,hdf5,35.311,4.527,53.681,10,1
1,1.00E+05,1000,0.01,12,random,hdf5,39.697,4.453,56.95,10,1
2,1.00E+05,1000,0.01,12,random,hdf5,43.106,4.444,51.691,10,1
3,1.00E+05,1000,0.01,12,random,hdf5,44.156,4.317,52.474,10,1
4,1.00E+05,1000,0.01,12,random,hdf5,42.944,4.93,52.692,10,1
