B,observations,genes,batch_size,k,initializer,method,user_time,system_time,elapsed_time,max_iters,num_init
8,1.00E+05,1000,0.01,8,random,kmeans,259.845,9.066,304.648,10,1
9,1.00E+05,1000,0.01,8,random,kmeans,238.224,8.272,284.712,10,1
10,1.00E+05,1000,0.01,8,random,kmeans,249.729,9.306,281.923,10,1
1,1.00E+05,1000,0.01,9,random,kmeans,252.471,10.121,276.527,10,1
2,1.00E+05,1000,0.01,9,random,kmeans,280.061,8.849,312.603,10,1
3,1.00E+05,1000,0.01,9,random,kmeans,262.146,8.771,285.722,10,1
4,1.00E+05,1000,0.01,9,random,kmeans,264.917,8.725,290.83,10,1
5,1.00E+05,1000,0.01,9,random,kmeans,252.838,9.702,285.682,10,1
6,1.00E+05,1000,0.01,9,random,kmeans,271.948,9.139,299.997,10,1
7,1.00E+05,1000,0.01,9,random,kmeans,272.355,10.02,304.775,10,1
8,1.00E+05,1000,0.01,9,random,kmeans,264.024,9.162,302.282,10,1
9,1.00E+05,1000,0.01,9,random,kmeans,282.856,9.107,310.076,10,1
10,1.00E+05,1000,0.01,9,random,kmeans,246.329,10.185,277.741,10,1
1,1.00E+05,1000,0.01,10,random,kmeans,266.325,9.71,309.053,10,1
2,1.00E+05,1000,0.01,10,random,kmeans,278.534,9.418,313.942,10,1
3,1.00E+05,1000,0.01,10,random,kmeans,292.654,9.656,336.086,10,1
4,1.00E+05,1000,0.01,10,random,kmeans,243,9.099,287.193,10,1
5,1.00E+05,1000,0.01,10,random,kmeans,282.269,8.342,318.229,10,1
6,1.00E+05,1000,0.01,10,random,kmeans,255.927,9.241,291.745,10,1
7,1.00E+05,1000,0.01,10,random,kmeans,291.145,10.454,336.76,10,1
8,1.00E+05,1000,0.01,10,random,kmeans,274.216,9.541,304.994,10,1
9,1.00E+05,1000,0.01,10,random,kmeans,279.08,9.093,323.521,10,1
10,1.00E+05,1000,0.01,10,random,kmeans,302.064,9.057,337.801,10,1
1,1.00E+05,1000,0.01,11,random,kmeans,291.031,8.734,312.496,10,1
2,1.00E+05,1000,0.01,11,random,kmeans,298.077,8.462,335.893,10,1
3,1.00E+05,1000,0.01,11,random,kmeans,266.279,9.852,285.025,10,1
4,1.00E+05,1000,0.01,11,random,kmeans,282.656,9.071,301.963,10,1
5,1.00E+05,1000,0.01,11,random,kmeans,302.785,8.454,334.149,10,1
6,1.00E+05,1000,0.01,11,random,kmeans,292.315,9.271,339.201,10,1
7,1.00E+05,1000,0.01,11,random,kmeans,271.569,10.446,295.561,10,1
8,1.00E+05,1000,0.01,11,random,kmeans,268.904,10.202,294.422,10,1
9,1.00E+05,1000,0.01,11,random,kmeans,291.595,7.914,326.551,10,1
10,1.00E+05,1000,0.01,11,random,kmeans,288.257,8.453,307.508,10,1
1,1.00E+05,1000,0.01,12,random,kmeans,299.397,8.14,328.081,10,1
2,1.00E+05,1000,0.01,12,random,kmeans,311.773,8.594,337.373,10,1
3,1.00E+05,1000,0.01,12,random,kmeans,285.396,8.082,311.027,10,1
4,1.00E+05,1000,0.01,12,random,kmeans,276.079,8.827,299.319,10,1
5,1.00E+05,1000,0.01,12,random,kmeans,253.162,8.743,278.003,10,1
6,1.00E+05,1000,0.01,12,random,kmeans,273.731,9.011,308.794,10,1
7,1.00E+05,1000,0.01,12,random,kmeans,269.24,9.896,297.426,10,1
