B,observations,genes,abs_batch,k,initializer,method,ARI,WCSS,iterations,fault
19,500,1000,35,3,kmeans++,mbkmeans,0.993108371,980041.5606,13,NA
20,500,1000,35,3,kmeans++,mbkmeans,0.979272629,1096481.022,22,NA
21,500,1000,35,3,kmeans++,mbkmeans,0.9866744,1121400.775,12,NA
22,500,1000,35,3,kmeans++,mbkmeans,0.993938359,1120278.076,22,NA
23,500,1000,35,3,kmeans++,mbkmeans,0.993216327,1087282.18,12,NA
24,500,1000,35,3,kmeans++,mbkmeans,0.974672125,1106883.896,16,NA
25,500,1000,35,3,kmeans++,mbkmeans,0.982020317,1142944.283,12,NA
26,500,1000,35,3,kmeans++,mbkmeans,0.979567776,1100185.446,12,NA
27,500,1000,35,3,kmeans++,mbkmeans,0.994161778,1085593.264,17,NA
28,500,1000,35,3,kmeans++,mbkmeans,0.987214349,1134132.334,22,NA
29,500,1000,35,3,kmeans++,mbkmeans,1,1017314.135,27,NA
30,500,1000,35,3,kmeans++,mbkmeans,0.974534202,1088695.338,20,NA
31,500,1000,35,3,kmeans++,mbkmeans,0.987270537,1108153.238,32,NA
32,500,1000,35,3,kmeans++,mbkmeans,0.975494888,1154924.257,18,NA
33,500,1000,35,3,kmeans++,mbkmeans,0.980454765,992082.5424,18,NA
34,500,1000,35,3,kmeans++,mbkmeans,0.966772324,1073909.382,22,NA
35,500,1000,35,3,kmeans++,mbkmeans,0.988111351,1112911.659,12,NA
36,500,1000,35,3,kmeans++,mbkmeans,0.987375114,1165622.553,20,NA
37,500,1000,35,3,kmeans++,mbkmeans,0.99322595,1108732.364,22,NA
38,500,1000,35,3,kmeans++,mbkmeans,1,1020361.695,11,NA
39,500,1000,35,3,kmeans++,mbkmeans,0.9959006,1025008.842,26,NA
40,500,1000,35,3,kmeans++,mbkmeans,0.986504916,1125993.13,22,NA
41,500,1000,35,3,kmeans++,mbkmeans,0.974512005,1145411.533,14,NA
42,500,1000,35,3,kmeans++,mbkmeans,0.994166027,1096821.314,17,NA
43,500,1000,35,3,kmeans++,mbkmeans,0.988060911,1175684.651,21,NA
44,500,1000,35,3,kmeans++,mbkmeans,0.986130809,1033012.676,15,NA
45,500,1000,35,3,kmeans++,mbkmeans,0.993155704,1106834.744,13,NA
46,500,1000,35,3,kmeans++,mbkmeans,0.9604425,1171535.314,25,NA
47,500,1000,35,3,kmeans++,mbkmeans,0.993108622,1127180.2,18,NA
48,500,1000,35,3,kmeans++,mbkmeans,0.984060396,1036718.092,24,NA
49,500,1000,35,3,kmeans++,mbkmeans,0.948009147,1162997.231,16,NA
50,500,1000,35,3,kmeans++,mbkmeans,0.980590762,1032026.34,17,NA
1,500,1000,75,3,kmeans++,mbkmeans,0.98731307,1094065.26,20,NA
2,500,1000,75,3,kmeans++,mbkmeans,1,990597.8905,22,NA
3,500,1000,75,3,kmeans++,mbkmeans,1,1057849.895,12,NA
4,500,1000,75,3,kmeans++,mbkmeans,0.993235957,987917.0036,16,NA
5,500,1000,75,3,kmeans++,mbkmeans,1,1060766.334,20,NA
6,500,1000,75,3,kmeans++,mbkmeans,0.980664379,982483.8611,14,NA
7,500,1000,75,3,kmeans++,mbkmeans,0.993250262,1090027.628,19,NA
8,500,1000,75,3,kmeans++,mbkmeans,0.988576403,1051085.46,14,NA
9,500,1000,75,3,kmeans++,mbkmeans,0.988092195,1063554.932,12,NA
10,500,1000,75,3,kmeans++,mbkmeans,0.979242214,1024161.468,26,NA
11,500,1000,75,3,kmeans++,mbkmeans,0.993054996,1057835.009,24,NA
12,500,1000,75,3,kmeans++,mbkmeans,0.987201948,1024605.926,22,NA
13,500,1000,75,3,kmeans++,mbkmeans,0.980628235,1027537.383,20,NA
14,500,1000,75,3,kmeans++,mbkmeans,1,1065768.55,14,NA
15,500,1000,75,3,kmeans++,mbkmeans,0.95794477,1013651.614,22,NA
16,500,1000,75,3,kmeans++,mbkmeans,1,1089799.713,27,NA
17,500,1000,75,3,kmeans++,mbkmeans,1,1031535.81,19,NA
18,500,1000,75,3,kmeans++,mbkmeans,0.99297561,1089320.227,24,NA
19,500,1000,75,3,kmeans++,mbkmeans,0.988190954,1050107.594,13,NA
20,500,1000,75,3,kmeans++,mbkmeans,0.980460724,1036932.312,17,NA
21,500,1000,75,3,kmeans++,mbkmeans,0.993102496,1031490.18,33,NA
22,500,1000,75,3,kmeans++,mbkmeans,0.987931151,1153361.785,22,NA
23,500,1000,75,3,kmeans++,mbkmeans,0.993072705,1048733.778,18,NA
24,500,1000,75,3,kmeans++,mbkmeans,0.987301662,1054464.231,22,NA
25,500,1000,75,3,kmeans++,mbkmeans,1,969373.0837,16,NA
26,500,1000,75,3,kmeans++,mbkmeans,0.993892436,1006937.066,15,NA
27,500,1000,75,3,kmeans++,mbkmeans,0.993031955,1076280.9,18,NA
28,500,1000,75,3,kmeans++,mbkmeans,0.982734808,1101765.389,20,NA
29,500,1000,75,3,kmeans++,mbkmeans,1,958227.3247,16,NA
30,500,1000,75,3,kmeans++,mbkmeans,0.993286826,1009247.9,12,NA
31,500,1000,75,3,kmeans++,mbkmeans,0.973851609,1009870.632,13,NA
32,500,1000,75,3,kmeans++,mbkmeans,1,1036265.645,31,NA
33,500,1000,75,3,kmeans++,mbkmeans,0.988021072,1037449.136,19,NA
34,500,1000,75,3,kmeans++,mbkmeans,0.98727377,1040251.189,20,NA
35,500,1000,75,3,kmeans++,mbkmeans,0.967846834,1022997.853,21,NA
36,500,1000,75,3,kmeans++,mbkmeans,0.994197062,1028933.29,15,NA
37,500,1000,75,3,kmeans++,mbkmeans,0.987282217,977865.8768,16,NA
38,500,1000,75,3,kmeans++,mbkmeans,0.981179988,1071507.787,20,NA
39,500,1000,75,3,kmeans++,mbkmeans,1,892560.04,19,NA
40,500,1000,75,3,kmeans++,mbkmeans,0.988179431,1027593.438,18,NA
41,500,1000,75,3,kmeans++,mbkmeans,0.99334389,991160.7366,14,NA
42,500,1000,75,3,kmeans++,mbkmeans,0.99425823,1052430.414,19,NA
43,500,1000,75,3,kmeans++,mbkmeans,0.993875393,1054327.467,17,NA
44,500,1000,75,3,kmeans++,mbkmeans,0.988796772,1045746.378,27,NA
45,500,1000,75,3,kmeans++,mbkmeans,1,1038585.447,24,NA
46,500,1000,75,3,kmeans++,mbkmeans,0.981303268,1064577.668,15,NA
47,500,1000,75,3,kmeans++,mbkmeans,0.993061241,1036158.163,16,NA
48,500,1000,75,3,kmeans++,mbkmeans,0.975173253,1051461.169,22,NA
49,500,1000,75,3,kmeans++,mbkmeans,0.987221749,1000664.442,18,NA
50,500,1000,75,3,kmeans++,mbkmeans,0.993124932,1079192.749,28,NA
1,500,1000,150,3,kmeans++,mbkmeans,0.993072456,1022233.781,19,NA
2,500,1000,150,3,kmeans++,mbkmeans,0.987272722,1004339.127,26,NA
3,500,1000,150,3,kmeans++,mbkmeans,0.980402822,953443.6219,14,NA
4,500,1000,150,3,kmeans++,mbkmeans,0.993164147,968456.2041,17,NA
5,500,1000,150,3,kmeans++,mbkmeans,0.994107955,989406.3777,21,NA
6,500,1000,150,3,kmeans++,mbkmeans,0.99400769,1071252.572,24,NA
7,500,1000,150,3,kmeans++,mbkmeans,0.993275337,1031712.868,25,NA
8,500,1000,150,3,kmeans++,mbkmeans,0.986601645,1051378.747,26,NA
9,500,1000,150,3,kmeans++,mbkmeans,0.986670698,989554.0069,20,NA
10,500,1000,150,3,kmeans++,mbkmeans,0.979161676,1020062.478,11,NA
11,500,1000,150,3,kmeans++,mbkmeans,0.993213808,1032119.893,13,NA
12,500,1000,150,3,kmeans++,mbkmeans,1,1031320.344,18,NA
13,500,1000,150,3,kmeans++,mbkmeans,0.980641437,1023611.969,17,NA
14,500,1000,150,3,kmeans++,mbkmeans,0.980637844,1014447.057,11,NA
15,500,1000,150,3,kmeans++,mbkmeans,1,916595.5504,25,NA
16,500,1000,150,3,kmeans++,mbkmeans,1,1030496.597,32,NA
17,500,1000,150,3,kmeans++,mbkmeans,0.987273736,1031642.624,25,NA
18,500,1000,150,3,kmeans++,mbkmeans,0.993082628,992457.9519,22,NA
19,500,1000,150,3,kmeans++,mbkmeans,0.979838568,1009246.421,28,NA
20,500,1000,150,3,kmeans++,mbkmeans,0.986726167,1037532.432,20,NA
21,500,1000,150,3,kmeans++,mbkmeans,0.981605084,987340.867,14,NA
22,500,1000,150,3,kmeans++,mbkmeans,0.993107485,1000425.978,18,NA
23,500,1000,150,3,kmeans++,mbkmeans,1,997846.7732,31,NA
24,500,1000,150,3,kmeans++,mbkmeans,1,1015547.596,24,NA
25,500,1000,150,3,kmeans++,mbkmeans,0.993979705,889036.2872,14,NA
26,500,1000,150,3,kmeans++,mbkmeans,0.988196074,1084488.888,11,NA
27,500,1000,150,3,kmeans++,mbkmeans,1,974918.8714,20,NA
28,500,1000,150,3,kmeans++,mbkmeans,0.987234142,1034264.097,12,NA
29,500,1000,150,3,kmeans++,mbkmeans,0.986551697,1011016.762,21,NA
30,500,1000,150,3,kmeans++,mbkmeans,0.994122802,1075052.068,24,NA
31,500,1000,150,3,kmeans++,mbkmeans,0.980364757,989016.5051,12,NA
32,500,1000,150,3,kmeans++,mbkmeans,0.960926624,1072247.286,13,NA
33,500,1000,150,3,kmeans++,mbkmeans,1,1033044.029,24,NA
34,500,1000,150,3,kmeans++,mbkmeans,0.97369764,1014451.294,19,NA
35,500,1000,150,3,kmeans++,mbkmeans,1,925106.1474,20,NA
36,500,1000,150,3,kmeans++,mbkmeans,1,1005410.086,20,NA
37,500,1000,150,3,kmeans++,mbkmeans,1,987977.3101,25,NA
38,500,1000,150,3,kmeans++,mbkmeans,0.993996382,1003378.902,22,NA
39,500,1000,150,3,kmeans++,mbkmeans,0.979537323,996836.9022,18,NA
40,500,1000,150,3,kmeans++,mbkmeans,0.99404718,963340.2258,20,NA
41,500,1000,150,3,kmeans++,mbkmeans,0.993404606,1000518.869,20,NA
42,500,1000,150,3,kmeans++,mbkmeans,0.987230553,990785.3528,31,NA
43,500,1000,150,3,kmeans++,mbkmeans,1,1026599.31,16,NA
44,500,1000,150,3,kmeans++,mbkmeans,0.993199251,979932.819,12,NA
45,500,1000,150,3,kmeans++,mbkmeans,0.955390778,1110520.84,21,NA
46,500,1000,150,3,kmeans++,mbkmeans,1,1091535.256,24,NA
47,500,1000,150,3,kmeans++,mbkmeans,0.993215899,1071070.631,16,NA
48,500,1000,150,3,kmeans++,mbkmeans,0.973359256,1009935.968,13,NA
49,500,1000,150,3,kmeans++,mbkmeans,0.98635053,985391.2115,19,NA
50,500,1000,150,3,kmeans++,mbkmeans,0.993273224,935566.7229,16,NA
1,500,1000,500,3,kmeans++,mbkmeans,0.987284754,1001421.57,4,NA
2,500,1000,500,3,kmeans++,mbkmeans,1,959616.7902,3,NA
3,500,1000,500,3,kmeans++,mbkmeans,0.994081089,1010408.42,4,NA
4,500,1000,500,3,kmeans++,mbkmeans,0.973546773,946969.9244,4,NA
5,500,1000,500,3,kmeans++,mbkmeans,0.993327165,939029.809,3,NA
6,500,1000,500,3,kmeans++,mbkmeans,0.972963157,998476.1698,4,NA
7,500,1000,500,3,kmeans++,mbkmeans,0.986467883,998670.4865,3,NA
8,500,1000,500,3,kmeans++,mbkmeans,1,924082.1942,3,NA
9,500,1000,500,3,kmeans++,mbkmeans,0.977036359,1013683.94,3,NA
10,500,1000,500,3,kmeans++,mbkmeans,0.986482558,1028635.708,3,NA
11,500,1000,500,3,kmeans++,mbkmeans,0.988418471,982187.7999,4,NA
12,500,1000,500,3,kmeans++,mbkmeans,0.988060294,1093794.322,4,NA
13,500,1000,500,3,kmeans++,mbkmeans,0.993195275,958604.2253,4,NA
14,500,1000,500,3,kmeans++,mbkmeans,0.980484459,1029008.188,4,NA
15,500,1000,500,3,kmeans++,mbkmeans,1,1003006.187,3,NA
