B,observations,genes,abs_batch,k,initializer,method,ARI,WCSS,iterations,fault
36,500,1000,35,3,kmeans++,kmeans,0.988874919,947316.0631,2,0
37,500,1000,35,3,kmeans++,kmeans,0.993264775,973357.4447,2,0
38,500,1000,35,3,kmeans++,kmeans,0.979761538,994803.4172,2,0
39,500,1000,35,3,kmeans++,kmeans,0.979112284,972452.0602,2,0
40,500,1000,35,3,kmeans++,kmeans,1,1026189.801,2,0
41,500,1000,35,3,kmeans++,kmeans,0.981582224,1052608.802,3,0
42,500,1000,35,3,kmeans++,kmeans,0.980524416,1095419.179,2,0
43,500,1000,35,3,kmeans++,kmeans,0.993046682,990522.9491,2,0
44,500,1000,35,3,kmeans++,kmeans,0.994254127,1108691.593,2,0
45,500,1000,35,3,kmeans++,kmeans,0.987222559,923829.6772,2,0
46,500,1000,35,3,kmeans++,kmeans,0.974379269,939300.4543,2,0
47,500,1000,35,3,kmeans++,kmeans,0.993094165,1016537.035,3,0
48,500,1000,35,3,kmeans++,kmeans,1,936271.9168,2,0
49,500,1000,35,3,kmeans++,kmeans,1,977953.1674,3,0
50,500,1000,35,3,kmeans++,kmeans,0.993188967,1005518.954,2,0
1,500,1000,75,3,kmeans++,kmeans,0.980541313,1021554.064,2,0
2,500,1000,75,3,kmeans++,kmeans,0.987274936,942783.7836,2,0
3,500,1000,75,3,kmeans++,kmeans,0.987262724,965002.5804,2,0
4,500,1000,75,3,kmeans++,kmeans,0.968687707,991287.8395,2,0
5,500,1000,75,3,kmeans++,kmeans,0.993137795,947310.6188,2,0
6,500,1000,75,3,kmeans++,kmeans,0.987226963,1009122.472,2,0
7,500,1000,75,3,kmeans++,kmeans,0.968278012,1010459.025,2,0
8,500,1000,75,3,kmeans++,kmeans,0.968006267,1020269.314,2,0
9,500,1000,75,3,kmeans++,kmeans,0.993291193,974128.3748,2,0
10,500,1000,75,3,kmeans++,kmeans,0.993348578,1006078.672,2,0
11,500,1000,75,3,kmeans++,kmeans,0.986204309,990727.9735,3,0
12,500,1000,75,3,kmeans++,kmeans,0.980990332,930419.333,2,0
13,500,1000,75,3,kmeans++,kmeans,0.993179044,978191.6829,2,0
14,500,1000,75,3,kmeans++,kmeans,1,979178.2464,2,0
15,500,1000,75,3,kmeans++,kmeans,0.980040951,1018470.286,2,0
16,500,1000,75,3,kmeans++,kmeans,0.993033828,950662.7164,2,0
17,500,1000,75,3,kmeans++,kmeans,1,964963.7445,2,0
18,500,1000,75,3,kmeans++,kmeans,0.98047855,940141.5235,2,0
19,500,1000,75,3,kmeans++,kmeans,0.987257807,986785.3805,1,0
20,500,1000,75,3,kmeans++,kmeans,0.980413907,932620.0833,2,0
21,500,1000,75,3,kmeans++,kmeans,0.994104275,989798.5306,2,0
22,500,1000,75,3,kmeans++,kmeans,0.981048489,1004365.592,2,0
23,500,1000,75,3,kmeans++,kmeans,0.993267495,1008583.029,2,0
24,500,1000,75,3,kmeans++,kmeans,0.987317095,993976.8911,2,0
25,500,1000,75,3,kmeans++,kmeans,0.993769088,922793.9239,1,0
26,500,1000,75,3,kmeans++,kmeans,1,999111.2824,2,0
27,500,1000,75,3,kmeans++,kmeans,0.982382044,914553.7883,2,0
