B,observations,genes,abs_batch,k,initializer,method,ARI,WCSS,iterations,fault
27,500,1000,35,3,random,mbkmeans,1,1024019.764,25,NA
28,500,1000,35,3,random,mbkmeans,0.973864884,1106030.68,16,NA
29,500,1000,35,3,random,mbkmeans,0.957741745,1087167.745,24,NA
30,500,1000,35,3,random,mbkmeans,0.962064243,1219654.058,16,NA
31,500,1000,35,3,random,mbkmeans,0.96792048,1069397.667,19,NA
32,500,1000,35,3,random,mbkmeans,0.98145245,1054204.033,16,NA
33,500,1000,35,3,random,mbkmeans,0.974592813,1058728.787,24,NA
34,500,1000,35,3,random,mbkmeans,1,1038152.966,13,NA
35,500,1000,35,3,random,mbkmeans,0.988262279,1082005.389,15,NA
36,500,1000,35,3,random,mbkmeans,0.981256765,1026584.835,12,NA
37,500,1000,35,3,random,mbkmeans,1,1139922.023,25,NA
38,500,1000,35,3,random,mbkmeans,0.993841732,1103208.532,25,NA
39,500,1000,35,3,random,mbkmeans,0.994030376,1021987.168,13,NA
40,500,1000,35,3,random,mbkmeans,0.986345057,1084296.893,14,NA
41,500,1000,35,3,random,mbkmeans,0.993127701,1047133.204,27,NA
42,500,1000,35,3,random,mbkmeans,0.974022689,1141841.147,30,NA
43,500,1000,35,3,random,mbkmeans,0.989826714,1164785.576,29,NA
44,500,1000,35,3,random,mbkmeans,1,1026336.946,18,NA
45,500,1000,35,3,random,mbkmeans,1,1217657.836,17,NA
46,500,1000,35,3,random,mbkmeans,0.967731669,1139117.099,32,NA
47,500,1000,35,3,random,mbkmeans,1,1091178.013,47,NA
48,500,1000,35,3,random,mbkmeans,1,1110585.882,15,NA
49,500,1000,35,3,random,mbkmeans,0.993331171,1162288.196,22,NA
50,500,1000,35,3,random,mbkmeans,0.993312368,1100571.368,26,NA
1,500,1000,75,3,random,mbkmeans,0.988957881,1099009.672,17,NA
2,500,1000,75,3,random,mbkmeans,0.966882506,1088177.393,15,NA
3,500,1000,75,3,random,mbkmeans,0.993729192,1041364.073,11,NA
4,500,1000,75,3,random,mbkmeans,0.994059865,943527.5414,20,NA
5,500,1000,75,3,random,mbkmeans,0.966999635,996700.6839,20,NA
6,500,1000,75,3,random,mbkmeans,0.994125991,1006955.641,24,NA
7,500,1000,75,3,random,mbkmeans,0.953014162,1046864.052,18,NA
8,500,1000,75,3,random,mbkmeans,1,1034058.042,15,NA
9,500,1000,75,3,random,mbkmeans,0.987296928,1059899.914,25,NA
10,500,1000,75,3,random,mbkmeans,0.993346833,1031976.919,19,NA
11,500,1000,75,3,random,mbkmeans,0.986516304,1024015.474,14,NA
12,500,1000,75,3,random,mbkmeans,0.993027109,1085089.743,19,NA
13,500,1000,75,3,random,mbkmeans,0.993254002,936693.0457,13,NA
14,500,1000,75,3,random,mbkmeans,0.993193284,1035661.576,24,NA
15,500,1000,75,3,random,mbkmeans,0.986638865,1045870.204,15,NA
16,500,1000,75,3,random,mbkmeans,0.987243202,973656.2677,24,NA
17,500,1000,75,3,random,mbkmeans,0.983128265,1018548.645,20,NA
18,500,1000,75,3,random,mbkmeans,0.993203767,1016186.253,15,NA
19,500,1000,75,3,random,mbkmeans,0.994049097,1024489.152,16,NA
20,500,1000,75,3,random,mbkmeans,0.993067855,1026687.88,20,NA
21,500,1000,75,3,random,mbkmeans,0.993119442,1053723.812,18,NA
22,500,1000,75,3,random,mbkmeans,0.987229723,1004725.293,17,NA
23,500,1000,75,3,random,mbkmeans,0.97905183,987490.2037,14,NA
24,500,1000,75,3,random,mbkmeans,1,963499.8183,27,NA
25,500,1000,75,3,random,mbkmeans,0.986683989,1014478.118,13,NA
26,500,1000,75,3,random,mbkmeans,0.974701828,1064307.404,20,NA
27,500,1000,75,3,random,mbkmeans,0.979645843,1058784.769,26,NA
28,500,1000,75,3,random,mbkmeans,1,994254.0053,19,NA
29,500,1000,75,3,random,mbkmeans,0.986587923,1023793.615,15,NA
30,500,1000,75,3,random,mbkmeans,0.993228461,1013742.658,14,NA
31,500,1000,75,3,random,mbkmeans,0.988384957,1158810.141,17,NA
32,500,1000,75,3,random,mbkmeans,1,1005963.229,17,NA
33,500,1000,75,3,random,mbkmeans,0.968503927,1021618.447,17,NA
34,500,1000,75,3,random,mbkmeans,0.99328632,1027486.504,26,NA
35,500,1000,75,3,random,mbkmeans,0.993342851,975351.4949,12,NA
36,500,1000,75,3,random,mbkmeans,0.994341518,1079186.595,20,NA
37,500,1000,75,3,random,mbkmeans,0.993020172,1030563.484,19,NA
38,500,1000,75,3,random,mbkmeans,0.980490452,1037579.072,24,NA
39,500,1000,75,3,random,mbkmeans,0.993304446,985303.8369,12,NA
40,500,1000,75,3,random,mbkmeans,0.972739142,1108545.032,11,NA
41,500,1000,75,3,random,mbkmeans,0.98106968,1000625.259,15,NA
42,500,1000,75,3,random,mbkmeans,0.980481873,1081814.236,13,NA
43,500,1000,75,3,random,mbkmeans,0.993232739,983710.8431,27,NA
