"B","observations","genes","abs_batch","k","initializer","method","ARI","WCSS","iterations","fault"
23,500,1000,35,3,random,hdf5,0.987268576900853,1023598.94165463,28,NA
24,500,1000,35,3,random,hdf5,0.973752533371195,1133335.52702881,14,NA
25,500,1000,35,3,random,hdf5,0.986672137391565,1061596.83307809,15,NA
26,500,1000,35,3,random,hdf5,1,1039709.96477628,20,NA
27,500,1000,35,3,random,hdf5,0.988918047579753,1043656.47013383,13,NA
28,500,1000,35,3,random,hdf5,0.975733129386042,1141468.7206452,22,NA
29,500,1000,35,3,random,hdf5,0.993938359220038,1152744.42185225,25,NA
30,500,1000,35,3,random,hdf5,0.973099740021167,1227380.83622145,16,NA
31,500,1000,35,3,random,hdf5,0.993442330381923,1008541.36330883,18,NA
32,500,1000,35,3,random,hdf5,1,1168883.67886223,25,NA
33,500,1000,35,3,random,hdf5,0.979457481945413,1083328.05630927,15,NA
34,500,1000,35,3,random,hdf5,0.987332991094842,1075589.51469545,16,NA
35,500,1000,35,3,random,hdf5,0.993623216495092,1065477.90090666,22,NA
36,500,1000,35,3,random,hdf5,0.987279844723506,1109503.61157685,38,NA
37,500,1000,35,3,random,hdf5,0.987450527694,1132737.10932907,30,NA
38,500,1000,35,3,random,hdf5,0.993173072310689,1108312.25870452,19,NA
39,500,1000,35,3,random,hdf5,0.986148538216265,1157418.92261933,16,NA
40,500,1000,35,3,random,hdf5,0.987018740393798,1133547.45123967,16,NA
41,500,1000,35,3,random,hdf5,0.98724174970305,1191333.59298734,21,NA
42,500,1000,35,3,random,hdf5,0.993189779372149,1072646.66921382,18,NA
43,500,1000,35,3,random,hdf5,0.986331999302135,1064025.00178313,21,NA
44,500,1000,35,3,random,hdf5,0.993350317048645,984401.949622093,15,NA
45,500,1000,35,3,random,hdf5,0.990221506180927,1026420.94054064,15,NA
46,500,1000,35,3,random,hdf5,0.987202933429597,1072420.29465434,12,NA
47,500,1000,35,3,random,hdf5,0.98122821960653,1092833.54857884,15,NA
48,500,1000,35,3,random,hdf5,0.980323003595382,980857.451382286,16,NA
49,500,1000,35,3,random,hdf5,0.99318078784131,1049729.95880373,18,NA
50,500,1000,35,3,random,hdf5,0.986171430998008,1114186.3854533,13,NA
1,500,1000,75,3,random,hdf5,0.961131947553777,1045450.72862177,27,NA
2,500,1000,75,3,random,hdf5,1,921115.117802631,17,NA
3,500,1000,75,3,random,hdf5,0.993904027189696,1027806.44986294,15,NA
4,500,1000,75,3,random,hdf5,0.993068251211072,1031943.6053764,17,NA
5,500,1000,75,3,random,hdf5,0.986256556712588,1074224.72061991,15,NA
6,500,1000,75,3,random,hdf5,0.987817015776305,978162.773674265,23,NA
7,500,1000,75,3,random,hdf5,0.982056340076487,1024236.74851537,23,NA
8,500,1000,75,3,random,hdf5,0.97456984329975,1090534.90090703,19,NA
9,500,1000,75,3,random,hdf5,0.987243480423688,1010634.34424369,13,NA
10,500,1000,75,3,random,hdf5,0.97648010914473,1062540.2219929,20,NA
11,500,1000,75,3,random,hdf5,0.995876172453099,1063839.6699084,18,NA
12,500,1000,75,3,random,hdf5,0.973897998119976,1000758.29290129,16,NA
13,500,1000,75,3,random,hdf5,0.988869631805849,998459.586099884,14,NA
14,500,1000,75,3,random,hdf5,1,997530.41352874,12,NA
15,500,1000,75,3,random,hdf5,0.995857934559649,997587.679972099,17,NA
16,500,1000,75,3,random,hdf5,0.986138761514637,1085295.87630554,23,NA
17,500,1000,75,3,random,hdf5,0.993693885347257,1010313.0314663,12,NA
18,500,1000,75,3,random,hdf5,1,1004194.74653807,15,NA
19,500,1000,75,3,random,hdf5,0.97358369095101,1089217.09008002,12,NA
20,500,1000,75,3,random,hdf5,0.987283956020984,1153248.55715983,20,NA
21,500,1000,75,3,random,hdf5,1,1025675.49471762,24,NA
22,500,1000,75,3,random,hdf5,0.986229284802452,1042493.87260944,14,NA
23,500,1000,75,3,random,hdf5,0.993886773923571,991752.462030776,13,NA
24,500,1000,75,3,random,hdf5,0.993265673865793,986841.226596473,15,NA
25,500,1000,75,3,random,hdf5,0.993179043641493,1025966.431548,26,NA
26,500,1000,75,3,random,hdf5,0.9930816065096,1050847.27703332,25,NA
27,500,1000,75,3,random,hdf5,0.993100108340825,1041798.41434159,13,NA
28,500,1000,75,3,random,hdf5,1,1010527.44711523,18,NA
29,500,1000,75,3,random,hdf5,0.994171302026367,1067835.56568211,36,NA
30,500,1000,75,3,random,hdf5,0.994273332387355,1083543.09964019,17,NA
31,500,1000,75,3,random,hdf5,0.993889973153529,1076694.49475374,21,NA
32,500,1000,75,3,random,hdf5,0.987236492317929,1000218.40705927,15,NA
33,500,1000,75,3,random,hdf5,0.967027135380036,1049798.59663067,47,NA
34,500,1000,75,3,random,hdf5,1,1018459.96955338,19,NA
35,500,1000,75,3,random,hdf5,0.980441617398776,1012233.74245852,24,NA
36,500,1000,75,3,random,hdf5,0.993889682734939,1051275.08727,20,NA
37,500,1000,75,3,random,hdf5,0.993189461915354,1016907.98676134,13,NA
38,500,1000,75,3,random,hdf5,0.980480256471506,1022951.34013659,13,NA
39,500,1000,75,3,random,hdf5,0.981264276552455,1018855.68271375,18,NA
40,500,1000,75,3,random,hdf5,1,955341.974282224,15,NA
