"B","observations","genes","abs_batch","k","initializer","method","ARI","WCSS","iterations","fault"
12,500,1000,35,3,kmeans++,mbkmeans,1,995463.400927417,23,NA
13,500,1000,35,3,kmeans++,mbkmeans,0.960546563555191,1107633.2743743,22,NA
14,500,1000,35,3,kmeans++,mbkmeans,0.980466551591254,1148561.50372122,11,NA
15,500,1000,35,3,kmeans++,mbkmeans,0.986585891056773,1173194.26605763,18,NA
16,500,1000,35,3,kmeans++,mbkmeans,0.993092153156012,1037803.05309677,20,NA
17,500,1000,35,3,kmeans++,mbkmeans,0.986487185364237,1087195.55426261,12,NA
18,500,1000,35,3,kmeans++,mbkmeans,0.993015466449224,1047981.47176251,19,NA
19,500,1000,35,3,kmeans++,mbkmeans,1,1059482.27329333,16,NA
20,500,1000,35,3,kmeans++,mbkmeans,1,1076019.16126174,12,NA
21,500,1000,35,3,kmeans++,mbkmeans,0.986357005959362,1249727.24845837,20,NA
22,500,1000,35,3,kmeans++,mbkmeans,0.993097508607044,1017848.33196241,17,NA
23,500,1000,35,3,kmeans++,mbkmeans,0.980576162917084,1053353.45113876,22,NA
24,500,1000,35,3,kmeans++,mbkmeans,1,985503.817449319,16,NA
25,500,1000,35,3,kmeans++,mbkmeans,0.973631054658922,1055198.07415115,11,NA
26,500,1000,35,3,kmeans++,mbkmeans,0.986402028357731,1073186.62062032,19,NA
27,500,1000,35,3,kmeans++,mbkmeans,0.981423412182493,1059171.5545869,19,NA
28,500,1000,35,3,kmeans++,mbkmeans,0.981708637763346,1285139.47245081,23,NA
29,500,1000,35,3,kmeans++,mbkmeans,0.986649105360252,1016383.4444343,11,NA
30,500,1000,35,3,kmeans++,mbkmeans,0.987233762071607,1006625.49899385,16,NA
31,500,1000,35,3,kmeans++,mbkmeans,0.993226788438734,1129478.3226916,32,NA
32,500,1000,35,3,kmeans++,mbkmeans,0.987234406943407,1130241.17543176,20,NA
33,500,1000,35,3,kmeans++,mbkmeans,0.987232301609243,1112898.56703228,22,NA
34,500,1000,35,3,kmeans++,mbkmeans,1,1091001.18978032,37,NA
35,500,1000,35,3,kmeans++,mbkmeans,0.993270305176376,1074585.07505564,14,NA
36,500,1000,35,3,kmeans++,mbkmeans,0.986419175293644,1013761.65807973,19,NA
37,500,1000,35,3,kmeans++,mbkmeans,0.993106287652017,1144131.48682556,12,NA
38,500,1000,35,3,kmeans++,mbkmeans,0.986191164032517,1137658.14058586,22,NA
39,500,1000,35,3,kmeans++,mbkmeans,0.98200175382845,1167877.61687496,18,NA
40,500,1000,35,3,kmeans++,mbkmeans,0.993206418308989,1087858.80114632,20,NA
41,500,1000,35,3,kmeans++,mbkmeans,1,1090308.57779626,29,NA
42,500,1000,35,3,kmeans++,mbkmeans,0.993162329199055,1090177.2612103,30,NA
43,500,1000,35,3,kmeans++,mbkmeans,0.979497586740711,1211809.7579629,24,NA
44,500,1000,35,3,kmeans++,mbkmeans,0.993250511993662,1040791.06425737,14,NA
45,500,1000,35,3,kmeans++,mbkmeans,1,1116759.84978332,16,NA
46,500,1000,35,3,kmeans++,mbkmeans,0.993206477719328,1040508.7949433,28,NA
47,500,1000,35,3,kmeans++,mbkmeans,0.972825754220829,1134170.82385048,17,NA
48,500,1000,35,3,kmeans++,mbkmeans,1,1135283.7267375,30,NA
49,500,1000,35,3,kmeans++,mbkmeans,0.993085877881951,1090071.59606214,19,NA
50,500,1000,35,3,kmeans++,mbkmeans,0.968483473516076,1001390.18354944,16,NA
1,500,1000,75,3,kmeans++,mbkmeans,0.993060101261393,1104684.83719482,15,NA
2,500,1000,75,3,kmeans++,mbkmeans,0.98033890432959,972407.324154248,16,NA
3,500,1000,75,3,kmeans++,mbkmeans,0.99383801012561,918095.267665763,12,NA
4,500,1000,75,3,kmeans++,mbkmeans,1,1088213.85675078,13,NA
5,500,1000,75,3,kmeans++,mbkmeans,0.975726506630792,1081445.11291127,24,NA
6,500,1000,75,3,kmeans++,mbkmeans,0.993911416570371,1005999.64803843,21,NA
7,500,1000,75,3,kmeans++,mbkmeans,1,1110086.05887262,25,NA
8,500,1000,75,3,kmeans++,mbkmeans,0.98729144252513,1022263.47018238,25,NA
9,500,1000,75,3,kmeans++,mbkmeans,0.979810105573379,1076313.65455144,12,NA
10,500,1000,75,3,kmeans++,mbkmeans,0.986109134787038,962518.302988062,11,NA
11,500,1000,75,3,kmeans++,mbkmeans,1,947117.17998914,12,NA
12,500,1000,75,3,kmeans++,mbkmeans,0.993152759806087,1031789.32644483,14,NA
13,500,1000,75,3,kmeans++,mbkmeans,1,1041393.12627345,18,NA
14,500,1000,75,3,kmeans++,mbkmeans,0.960334108468539,1029259.7782041,13,NA
15,500,1000,75,3,kmeans++,mbkmeans,0.993220489236522,975921.339839547,23,NA
16,500,1000,75,3,kmeans++,mbkmeans,0.98136451306179,987313.049455398,11,NA
17,500,1000,75,3,kmeans++,mbkmeans,0.993908834229426,942902.170969848,18,NA
18,500,1000,75,3,kmeans++,mbkmeans,0.9872599959083,1091797.01474701,37,NA
19,500,1000,75,3,kmeans++,mbkmeans,0.994103173857757,1024367.33152957,24,NA
20,500,1000,75,3,kmeans++,mbkmeans,1,1044824.17371213,21,NA
21,500,1000,75,3,kmeans++,mbkmeans,1,1028943.15894707,45,NA
22,500,1000,75,3,kmeans++,mbkmeans,0.987221176814187,943753.557749804,15,NA
23,500,1000,75,3,kmeans++,mbkmeans,1,1052950.95917793,16,NA
24,500,1000,75,3,kmeans++,mbkmeans,1,1020350.72532586,15,NA
25,500,1000,75,3,kmeans++,mbkmeans,0.988126008579313,934260.985573146,13,NA
26,500,1000,75,3,kmeans++,mbkmeans,0.967097801921501,1028514.81565098,12,NA
27,500,1000,75,3,kmeans++,mbkmeans,0.992950851056011,996730.872848925,22,NA
28,500,1000,75,3,kmeans++,mbkmeans,0.990080191913749,1055119.95378293,11,NA
29,500,1000,75,3,kmeans++,mbkmeans,0.988717133524322,1085148.74681777,17,NA
30,500,1000,75,3,kmeans++,mbkmeans,1,934338.075532566,23,NA
31,500,1000,75,3,kmeans++,mbkmeans,0.980980896240369,992345.959935677,44,NA
32,500,1000,75,3,kmeans++,mbkmeans,0.987332632805398,1074392.69829865,27,NA
33,500,1000,75,3,kmeans++,mbkmeans,0.986510769225419,1040727.01128679,27,NA
34,500,1000,75,3,kmeans++,mbkmeans,0.973285251046728,984897.636036502,19,NA
35,500,1000,75,3,kmeans++,mbkmeans,0.994162254589586,1083220.4546271,30,NA
36,500,1000,75,3,kmeans++,mbkmeans,0.9873241009951,1053534.62274765,18,NA
37,500,1000,75,3,kmeans++,mbkmeans,0.994066485931655,1077285.79982167,21,NA
38,500,1000,75,3,kmeans++,mbkmeans,1,1021004.60421604,24,NA
39,500,1000,75,3,kmeans++,mbkmeans,0.955073083857563,955500.880927702,19,NA
40,500,1000,75,3,kmeans++,mbkmeans,0.993276293990558,1042215.66997826,20,NA
41,500,1000,75,3,kmeans++,mbkmeans,1,940769.619149408,17,NA
42,500,1000,75,3,kmeans++,mbkmeans,0.994248323567298,1015206.15900387,13,NA
