B,observations,genes,abs_batch,k,initializer,method,ARI,WCSS,iterations,fault
22,500,1000,35,3,kmeans++,hdf5,0.990221056,1045964.628,12,NA
23,500,1000,35,3,kmeans++,hdf5,0.989906325,1093709.621,14,NA
24,500,1000,35,3,kmeans++,hdf5,0.993162179,1115876.36,12,NA
25,500,1000,35,3,kmeans++,hdf5,1,1081647.725,29,NA
26,500,1000,35,3,kmeans++,hdf5,0.986273079,1091358.274,31,NA
27,500,1000,35,3,kmeans++,hdf5,0.967926902,1123384.883,23,NA
28,500,1000,35,3,kmeans++,hdf5,0.973720349,1132493.649,18,NA
29,500,1000,35,3,kmeans++,hdf5,0.975287742,1056895.563,18,NA
30,500,1000,35,3,kmeans++,hdf5,0.986702678,1133786.558,16,NA
31,500,1000,35,3,kmeans++,hdf5,0.989008928,980178.4167,21,NA
32,500,1000,35,3,kmeans++,hdf5,1,1084775.042,21,NA
33,500,1000,35,3,kmeans++,hdf5,0.983702589,1015480.318,36,NA
34,500,1000,35,3,kmeans++,hdf5,0.987178682,1335563.391,15,NA
35,500,1000,35,3,kmeans++,hdf5,0.980945783,1003983.304,24,NA
36,500,1000,35,3,kmeans++,hdf5,0.993096417,1083285.96,26,NA
37,500,1000,35,3,kmeans++,hdf5,0.974462468,1074924.418,30,NA
38,500,1000,35,3,kmeans++,hdf5,0.973600987,1203416.952,12,NA
39,500,1000,35,3,kmeans++,hdf5,0.993953114,1005443.442,14,NA
40,500,1000,35,3,kmeans++,hdf5,0.993207122,1325983.194,17,NA
41,500,1000,35,3,kmeans++,hdf5,0.992940958,1071619.081,17,NA
42,500,1000,35,3,kmeans++,hdf5,0.979568587,1095202.46,18,NA
43,500,1000,35,3,kmeans++,hdf5,0.980189029,1147515.455,20,NA
44,500,1000,35,3,kmeans++,hdf5,0.9830377,1120793.092,25,NA
45,500,1000,35,3,kmeans++,hdf5,0.993241099,1110461.591,13,NA
46,500,1000,35,3,kmeans++,hdf5,0.993172326,1071137.543,17,NA
47,500,1000,35,3,kmeans++,hdf5,1,1133388.54,17,NA
48,500,1000,35,3,kmeans++,hdf5,0.969600852,1232485.916,20,NA
49,500,1000,35,3,kmeans++,hdf5,0.973689331,1190942.194,18,NA
50,500,1000,35,3,kmeans++,hdf5,0.98058995,1086544.235,20,NA
1,500,1000,75,3,kmeans++,hdf5,0.980508184,1133303.004,15,NA
2,500,1000,75,3,kmeans++,hdf5,0.986228467,1000692.74,17,NA
3,500,1000,75,3,kmeans++,hdf5,0.97969826,1063793.078,12,NA
4,500,1000,75,3,kmeans++,hdf5,0.993116644,1007251.199,13,NA
5,500,1000,75,3,kmeans++,hdf5,0.993336577,1024663.705,22,NA
6,500,1000,75,3,kmeans++,hdf5,0.993401776,1004587.063,25,NA
7,500,1000,75,3,kmeans++,hdf5,0.993148712,1094544.841,15,NA
8,500,1000,75,3,kmeans++,hdf5,0.987347385,1034525.287,14,NA
9,500,1000,75,3,kmeans++,hdf5,0.987258779,1041276.869,22,NA
10,500,1000,75,3,kmeans++,hdf5,1,1160494.786,24,NA
11,500,1000,75,3,kmeans++,hdf5,1,961780.4543,25,NA
12,500,1000,75,3,kmeans++,hdf5,1,972441.2079,23,NA
13,500,1000,75,3,kmeans++,hdf5,0.96691848,1022777.907,11,NA
14,500,1000,75,3,kmeans++,hdf5,0.969622096,992043.3102,23,NA
15,500,1000,75,3,kmeans++,hdf5,1,1137901.998,13,NA
16,500,1000,75,3,kmeans++,hdf5,0.994098819,1116451.248,25,NA
17,500,1000,75,3,kmeans++,hdf5,0.988365095,1081394.518,24,NA
18,500,1000,75,3,kmeans++,hdf5,1,1100918.941,24,NA
19,500,1000,75,3,kmeans++,hdf5,0.98625583,1049261.596,12,NA
20,500,1000,75,3,kmeans++,hdf5,0.993403759,1074474.495,22,NA
21,500,1000,75,3,kmeans++,hdf5,0.989299777,980096.0922,14,NA
22,500,1000,75,3,kmeans++,hdf5,1,1071269.449,20,NA
23,500,1000,75,3,kmeans++,hdf5,0.986414383,1135728.544,44,NA
24,500,1000,75,3,kmeans++,hdf5,0.972511546,1191016.116,18,NA
25,500,1000,75,3,kmeans++,hdf5,1,995572.5242,19,NA
26,500,1000,75,3,kmeans++,hdf5,0.986111679,1086723.695,13,NA
27,500,1000,75,3,kmeans++,hdf5,0.987322292,965195.6992,22,NA
28,500,1000,75,3,kmeans++,hdf5,0.993288059,1035615.087,20,NA
29,500,1000,75,3,kmeans++,hdf5,1,1041894.158,26,NA
30,500,1000,75,3,kmeans++,hdf5,1,1136620.312,18,NA
31,500,1000,75,3,kmeans++,hdf5,0.981313398,999321.5332,16,NA
32,500,1000,75,3,kmeans++,hdf5,0.993363272,981916.029,12,NA
33,500,1000,75,3,kmeans++,hdf5,0.98720382,1087078.526,18,NA
34,500,1000,75,3,kmeans++,hdf5,0.99391621,1121247.77,18,NA
35,500,1000,75,3,kmeans++,hdf5,0.987179413,1064547.509,18,NA
36,500,1000,75,3,kmeans++,hdf5,0.979902247,1045893.358,27,NA
37,500,1000,75,3,kmeans++,hdf5,0.986720504,972469.8733,14,NA
38,500,1000,75,3,kmeans++,hdf5,0.993385444,960770.1474,18,NA
39,500,1000,75,3,kmeans++,hdf5,0.994154466,1002125.807,21,NA
40,500,1000,75,3,kmeans++,hdf5,0.993110875,1058863.064,21,NA
41,500,1000,75,3,kmeans++,hdf5,0.980478389,1033637.643,17,NA
42,500,1000,75,3,kmeans++,hdf5,0.987332873,1110971.562,21,NA
43,500,1000,75,3,kmeans++,hdf5,0.979662024,979890.2583,20,NA
44,500,1000,75,3,kmeans++,hdf5,0.975798723,1076165.81,19,NA
45,500,1000,75,3,kmeans++,hdf5,0.981063865,1070705.587,19,NA
46,500,1000,75,3,kmeans++,hdf5,0.986551697,1022634.453,15,NA
47,500,1000,75,3,kmeans++,hdf5,0.987316165,1001130.035,16,NA
48,500,1000,75,3,kmeans++,hdf5,0.979834536,1022826.798,26,NA
49,500,1000,75,3,kmeans++,hdf5,0.99581582,1022462.828,27,NA
50,500,1000,75,3,kmeans++,hdf5,0.994408656,1158371.97,26,NA
1,500,1000,150,3,kmeans++,hdf5,0.980541824,973998.7406,13,NA
2,500,1000,150,3,kmeans++,hdf5,1,990072.2119,20,NA
3,500,1000,150,3,kmeans++,hdf5,1,992049.1378,14,NA
4,500,1000,150,3,kmeans++,hdf5,0.987215309,1036401.561,14,NA
5,500,1000,150,3,kmeans++,hdf5,0.980499892,1047272.412,18,NA
6,500,1000,150,3,kmeans++,hdf5,0.993323462,1030772.551,14,NA
7,500,1000,150,3,kmeans++,hdf5,0.97365769,1044336.081,14,NA
8,500,1000,150,3,kmeans++,hdf5,1,980306.7024,17,NA
9,500,1000,150,3,kmeans++,hdf5,0.981032346,1095134.097,39,NA
10,500,1000,150,3,kmeans++,hdf5,0.994224261,1050845.669,16,NA
11,500,1000,150,3,kmeans++,hdf5,1,912924.4993,26,NA
12,500,1000,150,3,kmeans++,hdf5,0.988247266,1069863.507,12,NA
13,500,1000,150,3,kmeans++,hdf5,0.971070462,979200.2892,26,NA
14,500,1000,150,3,kmeans++,hdf5,0.995626934,974165.0774,12,NA
15,500,1000,150,3,kmeans++,hdf5,0.982710568,988058.9769,11,NA
16,500,1000,150,3,kmeans++,hdf5,0.987241379,1038803.245,20,NA
17,500,1000,150,3,kmeans++,hdf5,0.979390034,960660.1059,15,NA
18,500,1000,150,3,kmeans++,hdf5,0.994260069,1083733.131,18,NA
19,500,1000,150,3,kmeans++,hdf5,1,950054.2249,14,NA
20,500,1000,150,3,kmeans++,hdf5,0.986391463,1064886.547,15,NA
21,500,1000,150,3,kmeans++,hdf5,0.987247533,1021324.089,19,NA
22,500,1000,150,3,kmeans++,hdf5,1,1048589.172,18,NA
23,500,1000,150,3,kmeans++,hdf5,0.986731808,1003322.607,19,NA
24,500,1000,150,3,kmeans++,hdf5,0.993200804,976727.8117,16,NA
25,500,1000,150,3,kmeans++,hdf5,0.974453366,1023451.196,21,NA
26,500,1000,150,3,kmeans++,hdf5,0.987197984,952762.9795,11,NA
27,500,1000,150,3,kmeans++,hdf5,0.994067207,981411.3606,23,NA
28,500,1000,150,3,kmeans++,hdf5,0.993812648,1013393.619,11,NA
29,500,1000,150,3,kmeans++,hdf5,0.986073804,996007.9233,16,NA
30,500,1000,150,3,kmeans++,hdf5,0.99337028,1010652.223,11,NA
31,500,1000,150,3,kmeans++,hdf5,0.993153078,999629.6478,24,NA
32,500,1000,150,3,kmeans++,hdf5,0.98727699,1034968.431,15,NA
33,500,1000,150,3,kmeans++,hdf5,0.981435791,951796.8787,23,NA
34,500,1000,150,3,kmeans++,hdf5,1,970298.5131,16,NA
35,500,1000,150,3,kmeans++,hdf5,0.980007215,1026036.395,13,NA
36,500,1000,150,3,kmeans++,hdf5,1,981352.0253,12,NA
37,500,1000,150,3,kmeans++,hdf5,0.973311182,1051873.657,19,NA
38,500,1000,150,3,kmeans++,hdf5,0.993912217,1000879.826,31,NA
39,500,1000,150,3,kmeans++,hdf5,0.987174215,974494.7632,12,NA
40,500,1000,150,3,kmeans++,hdf5,0.987394657,1060023.672,13,NA
41,500,1000,150,3,kmeans++,hdf5,1,1009311.677,19,NA
42,500,1000,150,3,kmeans++,hdf5,0.98729417,997216.0333,14,NA
43,500,1000,150,3,kmeans++,hdf5,0.987300267,1050882.933,15,NA
44,500,1000,150,3,kmeans++,hdf5,0.993777063,984649.7038,26,NA
45,500,1000,150,3,kmeans++,hdf5,1,1033522.994,13,NA
46,500,1000,150,3,kmeans++,hdf5,1,951894.0636,18,NA
47,500,1000,150,3,kmeans++,hdf5,0.987031012,1086812.874,22,NA
48,500,1000,150,3,kmeans++,hdf5,1,1010626.917,24,NA
49,500,1000,150,3,kmeans++,hdf5,0.993264775,989892.711,23,NA
50,500,1000,150,3,kmeans++,hdf5,0.993061757,983969.5462,21,NA
1,500,1000,500,3,kmeans++,hdf5,0.95702456,1074102.086,4,NA
2,500,1000,500,3,kmeans++,hdf5,0.994130142,1015350.167,3,NA
3,500,1000,500,3,kmeans++,hdf5,1,989277.6926,3,NA
