"B","observations","genes","abs_batch","k","method","WCSS"
16,10000,5000,75,15,hdf5,327109446.505443
17,10000,5000,75,15,hdf5,352995098.412495
18,10000,5000,75,15,hdf5,657426607.333868
19,10000,5000,75,15,hdf5,443645950.418848
20,10000,5000,75,15,hdf5,386491030.687128
21,10000,5000,75,15,hdf5,358713286.661588
22,10000,5000,75,15,hdf5,582006127.517149
23,10000,5000,75,15,hdf5,395729248.957056
24,10000,5000,75,15,hdf5,700695338.607122
25,10000,5000,75,15,hdf5,409360769.838524
26,10000,5000,75,15,hdf5,639942201.742696
27,10000,5000,75,15,hdf5,587752512.557543
28,10000,5000,75,15,hdf5,350950229.795596
29,10000,5000,75,15,hdf5,391731262.480211
30,10000,5000,75,15,hdf5,443939063.200904
31,10000,5000,75,15,hdf5,593250905.479589
32,10000,5000,75,15,hdf5,326727433.75613
33,10000,5000,75,15,hdf5,669297102.514785
34,10000,5000,75,15,hdf5,452073929.98643
35,10000,5000,75,15,hdf5,401271411.320905
36,10000,5000,75,15,hdf5,720760207.021448
37,10000,5000,75,15,hdf5,465384742.436519
38,10000,5000,75,15,hdf5,404201381.91106
39,10000,5000,75,15,hdf5,356441321.268958
40,10000,5000,75,15,hdf5,697327482.741359
41,10000,5000,75,15,hdf5,343498120.034614
42,10000,5000,75,15,hdf5,347136279.345204
43,10000,5000,75,15,hdf5,466177375.235967
44,10000,5000,75,15,hdf5,731567057.949585
45,10000,5000,75,15,hdf5,405494481.042764
46,10000,5000,75,15,hdf5,334394260.549938
47,10000,5000,75,15,hdf5,371732593.861476
48,10000,5000,75,15,hdf5,318317374.956716
49,10000,5000,75,15,hdf5,350164151.241309
50,10000,5000,75,15,hdf5,321314470.17692
1,10000,5000,150,15,hdf5,349028279.879525
2,10000,5000,150,15,hdf5,318566476.671928
3,10000,5000,150,15,hdf5,558750215.759948
4,10000,5000,150,15,hdf5,424810188.360299
5,10000,5000,150,15,hdf5,378583772.205306
6,10000,5000,150,15,hdf5,307645125.818894
7,10000,5000,150,15,hdf5,365963656.824362
8,10000,5000,150,15,hdf5,355682806.366497
9,10000,5000,150,15,hdf5,359809371.924705
10,10000,5000,150,15,hdf5,325940337.383934
11,10000,5000,150,15,hdf5,521975966.561442
12,10000,5000,150,15,hdf5,341188227.408729
13,10000,5000,150,15,hdf5,313286044.684853
14,10000,5000,150,15,hdf5,417206888.460159
15,10000,5000,150,15,hdf5,294577303.669522
16,10000,5000,150,15,hdf5,290727859.810524
17,10000,5000,150,15,hdf5,370939460.816229
18,10000,5000,150,15,hdf5,332847995.321728
19,10000,5000,150,15,hdf5,420801059.475315
20,10000,5000,150,15,hdf5,369169707.364263
21,10000,5000,150,15,hdf5,313636513.953746
22,10000,5000,150,15,hdf5,379581923.76841
23,10000,5000,150,15,hdf5,304952920.050217
24,10000,5000,150,15,hdf5,19930280208.0609
25,10000,5000,150,15,hdf5,338780580.78955
26,10000,5000,150,15,hdf5,284914105.588696
27,10000,5000,150,15,hdf5,502376247.354142
28,10000,5000,150,15,hdf5,292633424.248505
29,10000,5000,150,15,hdf5,286578472.880083
30,10000,5000,150,15,hdf5,438007777.202895
31,10000,5000,150,15,hdf5,303471528.960797
32,10000,5000,150,15,hdf5,353629521.196488
33,10000,5000,150,15,hdf5,336368691.021172
34,10000,5000,150,15,hdf5,352296078.617835
35,10000,5000,150,15,hdf5,289718537.503312
36,10000,5000,150,15,hdf5,418711624.152262
37,10000,5000,150,15,hdf5,395657879.953787
38,10000,5000,150,15,hdf5,538303534.749931
39,10000,5000,150,15,hdf5,337969423.765867
40,10000,5000,150,15,hdf5,301640184.124816
41,10000,5000,150,15,hdf5,302331022.276057
42,10000,5000,150,15,hdf5,371496792.267927
43,10000,5000,150,15,hdf5,398787963.713902
44,10000,5000,150,15,hdf5,308733148.205537
45,10000,5000,150,15,hdf5,433824904.704654
46,10000,5000,150,15,hdf5,349981206.477431
47,10000,5000,150,15,hdf5,336509240.332396
48,10000,5000,150,15,hdf5,342731350.910413
49,10000,5000,150,15,hdf5,392325379.55645
50,10000,5000,150,15,hdf5,353362525.90277
1,10000,5000,500,15,hdf5,322041035.248177
2,10000,5000,500,15,hdf5,373999093.584036
3,10000,5000,500,15,hdf5,256029811.941608
4,10000,5000,500,15,hdf5,289179967.799165
5,10000,5000,500,15,hdf5,258831594.067233
6,10000,5000,500,15,hdf5,350238121.45302
7,10000,5000,500,15,hdf5,349447826.863874
8,10000,5000,500,15,hdf5,286753175.026149
9,10000,5000,500,15,hdf5,317562265.070585
10,10000,5000,500,15,hdf5,400864422.4991
11,10000,5000,500,15,hdf5,332103242.84243
12,10000,5000,500,15,hdf5,289106129.155632
13,10000,5000,500,15,hdf5,253333167.661266
14,10000,5000,500,15,hdf5,323903730.797609
15,10000,5000,500,15,hdf5,419529254.144715
16,10000,5000,500,15,hdf5,317543473.709853
17,10000,5000,500,15,hdf5,370506480.781253
18,10000,5000,500,15,hdf5,279338810.546129
19,10000,5000,500,15,hdf5,270840101.201254
20,10000,5000,500,15,hdf5,365992062.288461
21,10000,5000,500,15,hdf5,343540896.965938
22,10000,5000,500,15,hdf5,294597468.085033
23,10000,5000,500,15,hdf5,324567693.582185
24,10000,5000,500,15,hdf5,267836565.339066
25,10000,5000,500,15,hdf5,279384211.513367
26,10000,5000,500,15,hdf5,260168376.682002
27,10000,5000,500,15,hdf5,269367417.524365
28,10000,5000,500,15,hdf5,284326746.327285
29,10000,5000,500,15,hdf5,294076838.234573
30,10000,5000,500,15,hdf5,257819965.285438
31,10000,5000,500,15,hdf5,268599481.001927
32,10000,5000,500,15,hdf5,292668692.963584
33,10000,5000,500,15,hdf5,322837269.072367
34,10000,5000,500,15,hdf5,325185888.223116
35,10000,5000,500,15,hdf5,291777996.22768
36,10000,5000,500,15,hdf5,274244288.649842
37,10000,5000,500,15,hdf5,265510682.902365
38,10000,5000,500,15,hdf5,250267090.281007
39,10000,5000,500,15,hdf5,325441868.596778
40,10000,5000,500,15,hdf5,294739390.954662
41,10000,5000,500,15,hdf5,304589438.859014
42,10000,5000,500,15,hdf5,263399076.400466
43,10000,5000,500,15,hdf5,260799597.623128
44,10000,5000,500,15,hdf5,268807202.062122
45,10000,5000,500,15,hdf5,297609070.027538
46,10000,5000,500,15,hdf5,260206498.82163
47,10000,5000,500,15,hdf5,248441312.201216
48,10000,5000,500,15,hdf5,359204689.308347
49,10000,5000,500,15,hdf5,286462032.482572
50,10000,5000,500,15,hdf5,303053218.375015
1,10000,5000,750,15,hdf5,254532207.550711
2,10000,5000,750,15,hdf5,254435292.766289
3,10000,5000,750,15,hdf5,291477096.848461
4,10000,5000,750,15,hdf5,347891741.078161
5,10000,5000,750,15,hdf5,254015026.118896
6,10000,5000,750,15,hdf5,322909014.472174
7,10000,5000,750,15,hdf5,281721801.334471
8,10000,5000,750,15,hdf5,274588735.21288
9,10000,5000,750,15,hdf5,307631869.993885
10,10000,5000,750,15,hdf5,266375002.607025
11,10000,5000,750,15,hdf5,261777400.206044
12,10000,5000,750,15,hdf5,404681553.357442
13,10000,5000,750,15,hdf5,239984717.354799
14,10000,5000,750,15,hdf5,346744549.475657
15,10000,5000,750,15,hdf5,267790271.522778
16,10000,5000,750,15,hdf5,329740344.175115
17,10000,5000,750,15,hdf5,276656378.57687
18,10000,5000,750,15,hdf5,258859497.883433
19,10000,5000,750,15,hdf5,318234795.56211
20,10000,5000,750,15,hdf5,257434022.193815
21,10000,5000,750,15,hdf5,291866970.998293
22,10000,5000,750,15,hdf5,255656122.966214
23,10000,5000,750,15,hdf5,263652374.208869
24,10000,5000,750,15,hdf5,260705695.66925
25,10000,5000,750,15,hdf5,267275387.899981
26,10000,5000,750,15,hdf5,262993553.667744
27,10000,5000,750,15,hdf5,286718343.421322
28,10000,5000,750,15,hdf5,262094764.585633
29,10000,5000,750,15,hdf5,286324718.707814
30,10000,5000,750,15,hdf5,321247172.583609
31,10000,5000,750,15,hdf5,264178548.848022
32,10000,5000,750,15,hdf5,315010294.137526
33,10000,5000,750,15,hdf5,294010033.560549
34,10000,5000,750,15,hdf5,294268126.411898
35,10000,5000,750,15,hdf5,273292600.024865
36,10000,5000,750,15,hdf5,272269441.980976
37,10000,5000,750,15,hdf5,255509024.244115
38,10000,5000,750,15,hdf5,333374176.460162
39,10000,5000,750,15,hdf5,236917124.784952
40,10000,5000,750,15,hdf5,293679835.930819
41,10000,5000,750,15,hdf5,250530038.730069
42,10000,5000,750,15,hdf5,258265201.879276
43,10000,5000,750,15,hdf5,256860023.910382
44,10000,5000,750,15,hdf5,351081742.708739
45,10000,5000,750,15,hdf5,378088727.267695
46,10000,5000,750,15,hdf5,301294562.842384
47,10000,5000,750,15,hdf5,331464602.439222
48,10000,5000,750,15,hdf5,282382864.50968
49,10000,5000,750,15,hdf5,350654543.025991
50,10000,5000,750,15,hdf5,266407419.61985
1,10000,5000,1000,15,hdf5,258776639.641124
2,10000,5000,1000,15,hdf5,310070836.981238
3,10000,5000,1000,15,hdf5,259321197.697064
4,10000,5000,1000,15,hdf5,270919682.287326
5,10000,5000,1000,15,hdf5,316853619.156072
6,10000,5000,1000,15,hdf5,307571084.218828
7,10000,5000,1000,15,hdf5,316019594.587295
8,10000,5000,1000,15,hdf5,310348562.788538
9,10000,5000,1000,15,hdf5,362777236.946031
10,10000,5000,1000,15,hdf5,256129907.283159
11,10000,5000,1000,15,hdf5,229838992.542954
12,10000,5000,1000,15,hdf5,247204368.96866
13,10000,5000,1000,15,hdf5,247968205.073427
14,10000,5000,1000,15,hdf5,229969540.6633
15,10000,5000,1000,15,hdf5,263280981.630126
16,10000,5000,1000,15,hdf5,255729915.172564
17,10000,5000,1000,15,hdf5,257659329.647908
18,10000,5000,1000,15,hdf5,312872496.083135
19,10000,5000,1000,15,hdf5,242904452.403913
20,10000,5000,1000,15,hdf5,329343234.210961
21,10000,5000,1000,15,hdf5,312560045.511232
22,10000,5000,1000,15,hdf5,260700652.727233
23,10000,5000,1000,15,hdf5,239977932.641771
24,10000,5000,1000,15,hdf5,337513922.146504
25,10000,5000,1000,15,hdf5,252931603.502363
26,10000,5000,1000,15,hdf5,256784155.170966
27,10000,5000,1000,15,hdf5,249836744.256158
28,10000,5000,1000,15,hdf5,346932649.585574
29,10000,5000,1000,15,hdf5,254852703.719059
30,10000,5000,1000,15,hdf5,335271313.847769
31,10000,5000,1000,15,hdf5,257167451.180089
32,10000,5000,1000,15,hdf5,280623811.096516
33,10000,5000,1000,15,hdf5,232945808.050409
34,10000,5000,1000,15,hdf5,268606020.926102
35,10000,5000,1000,15,hdf5,273573395.930188
36,10000,5000,1000,15,hdf5,242867130.502108
37,10000,5000,1000,15,hdf5,249090540.39873
38,10000,5000,1000,15,hdf5,269784972.311496
39,10000,5000,1000,15,hdf5,255897659.313582
40,10000,5000,1000,15,hdf5,263695617.491932
41,10000,5000,1000,15,hdf5,279998324.07009
42,10000,5000,1000,15,hdf5,287986664.302763
43,10000,5000,1000,15,hdf5,251494054.808272
44,10000,5000,1000,15,hdf5,326453919.696791
45,10000,5000,1000,15,hdf5,238411656.459787
46,10000,5000,1000,15,hdf5,248791909.522176
47,10000,5000,1000,15,hdf5,253643121.003473
48,10000,5000,1000,15,hdf5,259352966.328306
49,10000,5000,1000,15,hdf5,250613952.000514
50,10000,5000,1000,15,hdf5,317010050.428572
