"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS"
12,1000,1000,0.1,3,random,mbkmeans,0.980933005151922,2042888.57138782
13,1000,1000,0.1,3,random,mbkmeans,0.99306267466741,2084156.45754526
14,1000,1000,0.1,3,random,mbkmeans,0.983622614969978,2059980.36994896
15,1000,1000,0.1,3,random,mbkmeans,0.991532995549021,2049474.48298864
16,1000,1000,0.1,3,random,mbkmeans,0.984315443346787,1972856.91204887
17,1000,1000,0.1,3,random,mbkmeans,0.996584639973546,2067102.38311689
18,1000,1000,0.1,3,random,mbkmeans,0.989896302978256,1976702.33013612
19,1000,1000,0.1,3,random,mbkmeans,0.990266133244368,2147273.24242009
20,1000,1000,0.1,3,random,mbkmeans,0.993155339453676,2070032.74716509
1,1000,1000,0.2,3,random,mbkmeans,0.971951374419671,2164375.00142435
2,1000,1000,0.2,3,random,mbkmeans,0.986799465584141,1994284.27681552
3,1000,1000,0.2,3,random,mbkmeans,0.980218157778322,2018331.75653338
4,1000,1000,0.2,3,random,mbkmeans,0.99361819445049,2060913.77932086
5,1000,1000,0.2,3,random,mbkmeans,0.990308792196992,1994457.91804032
6,1000,1000,0.2,3,random,mbkmeans,0.993705019168446,2136070.99568269
7,1000,1000,0.2,3,random,mbkmeans,0.993637065321277,2033044.17487086
8,1000,1000,0.2,3,random,mbkmeans,0.986825532780554,2059503.95089079
9,1000,1000,0.2,3,random,mbkmeans,0.983869164208467,1973677.17903922
10,1000,1000,0.2,3,random,mbkmeans,0.980594971059461,2114625.54155649
11,1000,1000,0.2,3,random,mbkmeans,0.990720124018237,1854250.82585449
12,1000,1000,0.2,3,random,mbkmeans,0.986870240137032,2122904.14144613
13,1000,1000,0.2,3,random,mbkmeans,0.996661650435271,2167621.69872407
14,1000,1000,0.2,3,random,mbkmeans,0.993932355466252,1991469.565284
15,1000,1000,0.2,3,random,mbkmeans,0.984792657794264,1939720.74587412
16,1000,1000,0.2,3,random,mbkmeans,0.987726108578161,1932087.52239693
17,1000,1000,0.2,3,random,mbkmeans,0.996610338796541,2141434.09205573
18,1000,1000,0.2,3,random,mbkmeans,0.983433592728527,2015082.31766354
19,1000,1000,0.2,3,random,mbkmeans,0.996636152447364,2082752.28534426
20,1000,1000,0.2,3,random,mbkmeans,0.990223673335804,1993708.56268991
1,1000,1000,0.5,3,random,mbkmeans,1,2055595.70862401
2,1000,1000,0.5,3,random,mbkmeans,0.987978375734457,2104459.58153144
