"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS"
2,500,1000,0.2,3,random,kmeans,0.97982700145905,1080634.98720033
3,500,1000,0.2,3,random,kmeans,0.994197062410328,963737.442283518
4,500,1000,0.2,3,random,kmeans,1,1000360.97328268
5,500,1000,0.2,3,random,kmeans,0.986239936393048,1051196.3763943
6,500,1000,0.2,3,random,kmeans,0.987211138987247,958068.873016965
7,500,1000,0.2,3,random,kmeans,0.993158430268566,976756.316626862
8,500,1000,0.2,3,random,kmeans,0.996272709855486,899831.857475349
9,500,1000,0.2,3,random,kmeans,0.973525644581971,1007707.1090584
10,500,1000,0.2,3,random,kmeans,0.993056463561633,958419.845065186
11,500,1000,0.2,3,random,kmeans,1,994746.537284136
12,500,1000,0.2,3,random,kmeans,0.979939195676474,1055058.98312166
13,500,1000,0.2,3,random,kmeans,1,961431.282944352
14,500,1000,0.2,3,random,kmeans,0.987176013127216,911580.605344224
15,500,1000,0.2,3,random,kmeans,0.993925884985931,991131.6595807
16,500,1000,0.2,3,random,kmeans,0.986514362402044,940193.377797587
17,500,1000,0.2,3,random,kmeans,0.993304332223263,935056.968062432
18,500,1000,0.2,3,random,kmeans,1,972668.700118299
19,500,1000,0.2,3,random,kmeans,0.966460104165926,994349.719574081
20,500,1000,0.2,3,random,kmeans,0.987244257548202,990872.421189196
1,500,1000,0.35,3,random,kmeans,0.979627845837077,1013509.5978062
2,500,1000,0.35,3,random,kmeans,0.973736514634571,907140.026425616
3,500,1000,0.35,3,random,kmeans,0.993289368721643,987001.974789125
4,500,1000,0.35,3,random,kmeans,0.993132750149232,947456.145953238
5,500,1000,0.35,3,random,kmeans,0.986399405942005,997642.17959638
6,500,1000,0.35,3,random,kmeans,0.975734231420053,953827.087571714
7,500,1000,0.35,3,random,kmeans,0.972995946054099,989890.614126834
8,500,1000,0.35,3,random,kmeans,0.980404726524952,901618.386981037
9,500,1000,0.35,3,random,kmeans,0.993773005629703,960203.193692262
10,500,1000,0.35,3,random,kmeans,0.993319629083861,940044.495728116
11,500,1000,0.35,3,random,kmeans,0.987383878018934,977778.913928033
12,500,1000,0.35,3,random,kmeans,0.973965342803286,1051220.06007574
13,500,1000,0.35,3,random,kmeans,0.993210401661637,1000594.05079693
14,500,1000,0.35,3,random,kmeans,0.986390004465268,1024809.00175942
15,500,1000,0.35,3,random,kmeans,0.987260441973107,960593.065008323
16,500,1000,0.35,3,random,kmeans,0.993223638430916,982605.472893012
17,500,1000,0.35,3,random,kmeans,1,941039.014965743
18,500,1000,0.35,3,random,kmeans,0.979687148695796,1028078.8533836
