"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS"
20,500,1000,0.1,3,random,hdf5,0.98648738685571,1006428.61410181
1,500,1000,0.2,3,random,hdf5,1,922087.053038399
2,500,1000,0.2,3,random,hdf5,0.993193318106329,964535.248315601
3,500,1000,0.2,3,random,hdf5,1,997458.045256374
4,500,1000,0.2,3,random,hdf5,0.993303011399786,982290.260914416
5,500,1000,0.2,3,random,hdf5,0.993223638430916,922883.821301616
6,500,1000,0.2,3,random,hdf5,0.993149866512904,1038148.82374911
7,500,1000,0.2,3,random,hdf5,0.986583729281843,1037203.16094398
8,500,1000,0.2,3,random,hdf5,0.99338260971028,986240.190521118
9,500,1000,0.2,3,random,hdf5,0.986548778243494,1014432.52743459
10,500,1000,0.2,3,random,hdf5,0.980441641057657,1013733.6427073
11,500,1000,0.2,3,random,hdf5,0.981491675554086,1061798.24083469
12,500,1000,0.2,3,random,hdf5,0.993991168603822,996833.445753865
13,500,1000,0.2,3,random,hdf5,0.994158773959731,974703.598781519
14,500,1000,0.2,3,random,hdf5,0.993023962131355,1004057.73919614
15,500,1000,0.2,3,random,hdf5,1,1010979.83253871
16,500,1000,0.2,3,random,hdf5,0.993393208103596,1032700.57405961
17,500,1000,0.2,3,random,hdf5,0.993165993079493,998222.335580941
18,500,1000,0.2,3,random,hdf5,1,954094.390104253
19,500,1000,0.2,3,random,hdf5,0.979038349047793,1091188.70771319
20,500,1000,0.2,3,random,hdf5,0.993211912087007,1069900.90366736
1,500,1000,0.35,3,random,hdf5,0.993256057447559,995052.635396731
2,500,1000,0.35,3,random,hdf5,0.987376199784669,1000341.22706113
3,500,1000,0.35,3,random,hdf5,1,1026032.17945963
4,500,1000,0.35,3,random,hdf5,0.993148711797787,1091120.55675567
5,500,1000,0.35,3,random,hdf5,0.994091671916091,930549.906045194
6,500,1000,0.35,3,random,hdf5,1,961250.016428721
7,500,1000,0.35,3,random,hdf5,0.980418377919283,967143.375587155
8,500,1000,0.35,3,random,hdf5,1,999736.216079408
9,500,1000,0.35,3,random,hdf5,0.993901467713455,1032004.59651833
10,500,1000,0.35,3,random,hdf5,0.993355543946351,951274.433798678
11,500,1000,0.35,3,random,hdf5,0.995982102742764,972030.53906576
12,500,1000,0.35,3,random,hdf5,0.993333539317874,964671.963332405
13,500,1000,0.35,3,random,hdf5,0.986180257586164,908510.537066187
14,500,1000,0.35,3,random,hdf5,0.993822803616415,1031754.72932902
15,500,1000,0.35,3,random,hdf5,0.99319874201967,979473.84039779
16,500,1000,0.35,3,random,hdf5,0.986273922362011,1036058.24513903
17,500,1000,0.35,3,random,hdf5,0.986903822548805,1041877.8074187
18,500,1000,0.35,3,random,hdf5,0.99317812800451,975350.724899885
19,500,1000,0.35,3,random,hdf5,0.993186796856134,957249.006023914
20,500,1000,0.35,3,random,hdf5,0.994299370450347,1003419.40218456
1,500,1000,0.5,3,random,hdf5,0.986753766208244,985730.439420691
2,500,1000,0.5,3,random,hdf5,1,985194.613352766
3,500,1000,0.5,3,random,hdf5,0.993155704213817,997280.483450233
4,500,1000,0.5,3,random,hdf5,0.980446426782941,1019318.56953842
5,500,1000,0.5,3,random,hdf5,1,995133.833333004
6,500,1000,0.5,3,random,hdf5,0.981437194296898,1067398.4623744
7,500,1000,0.5,3,random,hdf5,0.987178594508188,946767.840831227
8,500,1000,0.5,3,random,hdf5,0.97361212358364,951763.78357181
9,500,1000,0.5,3,random,hdf5,0.9863976861067,1031316.39396207
10,500,1000,0.5,3,random,hdf5,1,973043.337003336
11,500,1000,0.5,3,random,hdf5,0.987315018775265,1030735.10384407
12,500,1000,0.5,3,random,hdf5,0.993908289372187,1028168.62374735
13,500,1000,0.5,3,random,hdf5,0.993316928259148,916204.124044886
14,500,1000,0.5,3,random,hdf5,0.988670237326298,966145.435589876
15,500,1000,0.5,3,random,hdf5,1,995481.788478143
16,500,1000,0.5,3,random,hdf5,0.987425110894479,973432.764229745
17,500,1000,0.5,3,random,hdf5,1,998296.656184721
18,500,1000,0.5,3,random,hdf5,0.98630478566847,984406.446633623
19,500,1000,0.5,3,random,hdf5,0.981548936931204,945460.679061675
20,500,1000,0.5,3,random,hdf5,0.993074977035568,1073383.87104504
1,2000,1000,0.005,3,random,hdf5,0.987089009083534,4880435.4109343
2,2000,1000,0.005,3,random,hdf5,0.977118914771693,5197276.18778522
3,2000,1000,0.005,3,random,hdf5,0.985976958514042,5110588.0158601
4,2000,1000,0.005,3,random,hdf5,0.973958887683997,5027409.59966444
5,2000,1000,0.005,3,random,hdf5,0.94950184705305,7667524.7711314
6,2000,1000,0.005,3,random,hdf5,0.983886455548849,5045607.52284108
7,2000,1000,0.005,3,random,hdf5,0.979827808756967,5293953.78347523
8,2000,1000,0.005,3,random,hdf5,0.997035549372427,5805281.6467557
9,2000,1000,0.005,3,random,hdf5,0.98678098096195,6220614.82640481
10,2000,1000,0.005,3,random,hdf5,0.990268898119145,4869941.09686114
11,2000,1000,0.005,3,random,hdf5,0.983851270704842,6916610.2999995
12,2000,1000,0.005,3,random,hdf5,0.980730483924732,5196456.43406021
13,2000,1000,0.005,3,random,hdf5,0.98538198518377,4661284.59434227
14,2000,1000,0.005,3,random,hdf5,0.995129483358671,5529672.3652185
15,2000,1000,0.005,3,random,hdf5,0.984096256920884,6265890.66044347
16,2000,1000,0.005,3,random,hdf5,0.953815505459991,7644253.55156932
17,2000,1000,0.005,3,random,hdf5,0.985479234460543,4989376.52283561
18,2000,1000,0.005,3,random,hdf5,0.985918155006138,4999122.3239315
19,2000,1000,0.005,3,random,hdf5,0.995109880665567,5111324.67793525
20,2000,1000,0.005,3,random,hdf5,0.984926824267655,5692529.54823883
1,2000,1000,0.01,3,random,hdf5,0.986088523265232,5292020.69890156
2,2000,1000,0.01,3,random,hdf5,0.990857604759372,5128576.67563685
3,2000,1000,0.01,3,random,hdf5,0.998315098313873,4687105.21947881
4,2000,1000,0.01,3,random,hdf5,0.98408303335152,4386411.06275361
5,2000,1000,0.01,3,random,hdf5,0.986895335285021,5019317.42901289
6,2000,1000,0.01,3,random,hdf5,0.985855642905031,4364816.05237576
7,2000,1000,0.01,3,random,hdf5,0.955471754229266,5856168.12490329
8,2000,1000,0.01,3,random,hdf5,0.988572154124341,4793535.50770632
9,2000,1000,0.01,3,random,hdf5,0.986237207847726,4525469.17140393
10,2000,1000,0.01,3,random,hdf5,0.97615871549789,4800677.12594564
11,2000,1000,0.01,3,random,hdf5,0.990468176773168,4438116.15037018
12,2000,1000,0.01,3,random,hdf5,0.989753639845014,4580641.70464392
13,2000,1000,0.01,3,random,hdf5,0.982159289206787,5110892.18053302
14,2000,1000,0.01,3,random,hdf5,0.994920974557946,4467907.07087463
15,2000,1000,0.01,3,random,hdf5,0.994888354167561,4317124.20162379
16,2000,1000,0.01,3,random,hdf5,0.99682461215284,4727997.12767011
17,2000,1000,0.01,3,random,hdf5,0.990265020102685,4790019.84899321
18,2000,1000,0.01,3,random,hdf5,0.990127064120204,4348634.23195182
19,2000,1000,0.01,3,random,hdf5,0.989210736000259,4283925.9963882
20,2000,1000,0.01,3,random,hdf5,0.982740952501248,4756502.30581447
1,2000,1000,0.05,3,random,hdf5,0.991692165724095,4014799.89451793
2,2000,1000,0.05,3,random,hdf5,0.993418382726868,4436684.69620432
3,2000,1000,0.05,3,random,hdf5,0.983470148267063,3993344.54796829
4,2000,1000,0.05,3,random,hdf5,0.993639608317772,4046591.38187779
5,2000,1000,0.05,3,random,hdf5,0.993871596862824,4052328.76998261
6,2000,1000,0.05,3,random,hdf5,0.991696306723834,4156498.6200048
7,2000,1000,0.05,3,random,hdf5,0.991957148245756,4000761.06212144
8,2000,1000,0.05,3,random,hdf5,0.992879148251791,4214210.80310667
9,2000,1000,0.05,3,random,hdf5,0.985818152966195,3895533.75463365
10,2000,1000,0.05,3,random,hdf5,0.97641339829305,4138766.60003056
11,2000,1000,0.05,3,random,hdf5,0.995334098187888,3974344.58132556
12,2000,1000,0.05,3,random,hdf5,0.995096849152767,4082602.38901565
13,2000,1000,0.05,3,random,hdf5,0.990882467851439,4176890.3995009
14,2000,1000,0.05,3,random,hdf5,0.983685900911196,4017993.40548458
15,2000,1000,0.05,3,random,hdf5,0.989775700755806,3960406.27206205
16,2000,1000,0.05,3,random,hdf5,0.98861140739528,4119360.94013796
17,2000,1000,0.05,3,random,hdf5,0.996601197064967,4163811.95229625
18,2000,1000,0.05,3,random,hdf5,0.996616399224288,4251688.76423534
19,2000,1000,0.05,3,random,hdf5,0.984046967197053,4150667.84795652
20,2000,1000,0.05,3,random,hdf5,0.988590010929959,4014743.60506908
1,2000,1000,0.1,3,random,hdf5,0.990492352501925,3940026.73776871
2,2000,1000,0.1,3,random,hdf5,0.99344651328115,4279622.9029852
3,2000,1000,0.1,3,random,hdf5,0.98526700385512,4126615.43760735
4,2000,1000,0.1,3,random,hdf5,0.988785380662912,4218739.12363595
5,2000,1000,0.1,3,random,hdf5,0.983911320797095,4128082.5597102
