"B","observations","genes","batch_size","k","initializer","method","user_time","system_time","elapsed_time"
1,1e+05,1000,0.001,2,kmeans++,kmeans,50.813,3.403,69.085,1,1
2,1e+05,1000,0.001,2,kmeans++,kmeans,54.068,3.467,74.635,1,1
3,1e+05,1000,0.001,2,kmeans++,kmeans,77.013,3.253,97.361,1,1
4,1e+05,1000,0.001,2,kmeans++,kmeans,83.52,3.328,97.282,1,1
5,1e+05,1000,0.001,2,kmeans++,kmeans,47.493,3.665,55.853,1,1
6,1e+05,1000,0.001,2,kmeans++,kmeans,56.562,3.31,69.932,1,1
7,1e+05,1000,0.001,2,kmeans++,kmeans,44.476,3.341,51.173,1,1
8,1e+05,1000,0.001,2,kmeans++,kmeans,51.903,3.99,59.15,1,1
9,1e+05,1000,0.001,2,kmeans++,kmeans,51.698,3.779,62.367,1,1
10,1e+05,1000,0.001,2,kmeans++,kmeans,48.057,3.559,55.94,1,1
1,1e+05,1000,0.001,3,kmeans++,kmeans,51.034,3.963,64.135,1,1
2,1e+05,1000,0.001,3,kmeans++,kmeans,60.897,3.861,73.444,1,1
3,1e+05,1000,0.001,3,kmeans++,kmeans,55.42,4.248,71.327,1,1
4,1e+05,1000,0.001,3,kmeans++,kmeans,46.895,3.807,59.825,1,1
5,1e+05,1000,0.001,3,kmeans++,kmeans,45.949,3.631,52.791,1,1
6,1e+05,1000,0.001,3,kmeans++,kmeans,50.846,3.848,61.856,1,1
7,1e+05,1000,0.001,3,kmeans++,kmeans,52.381,3.606,67.812,1,1
8,1e+05,1000,0.001,3,kmeans++,kmeans,50.079,4.01,66.817,1,1
9,1e+05,1000,0.001,3,kmeans++,kmeans,39.476,3.307,47.151,1,1
10,1e+05,1000,0.001,3,kmeans++,kmeans,50.459,4.325,63.57,1,1
1,1e+05,1000,0.001,4,kmeans++,kmeans,55.74,3.776,67.626,1,1
2,1e+05,1000,0.001,4,kmeans++,kmeans,57.62,3.274,79.674,1,1
3,1e+05,1000,0.001,4,kmeans++,kmeans,55.562,2.67,75.4,1,1
4,1e+05,1000,0.001,4,kmeans++,kmeans,56.408,3.597,78.843,1,1
5,1e+05,1000,0.001,4,kmeans++,kmeans,58.217,3.421,69.114,1,1
6,1e+05,1000,0.001,4,kmeans++,kmeans,52.173,4.074,72.436,1,1
7,1e+05,1000,0.001,4,kmeans++,kmeans,52.384,4.439,64.179,1,1
8,1e+05,1000,0.001,4,kmeans++,kmeans,53.54,3.752,66.571,1,1
9,1e+05,1000,0.001,4,kmeans++,kmeans,54.545,4.147,62.749,1,1
10,1e+05,1000,0.001,4,kmeans++,kmeans,59.173,4.671,76.617,1,1
1,1e+05,1000,0.001,5,kmeans++,kmeans,54.451,4.078,69.745,1,1
2,1e+05,1000,0.001,5,kmeans++,kmeans,46.917,4.327,57.41,1,1
3,1e+05,1000,0.001,5,kmeans++,kmeans,54.699,3.613,68.374,1,1
4,1e+05,1000,0.001,5,kmeans++,kmeans,56.37,3.539,79.523,1,1
5,1e+05,1000,0.001,5,kmeans++,kmeans,61.431,3.634,76.366,1,1
6,1e+05,1000,0.001,5,kmeans++,kmeans,58.419,3.545,81.845,1,1
7,1e+05,1000,0.001,5,kmeans++,kmeans,56.378,3.227,80.251,1,1
8,1e+05,1000,0.001,5,kmeans++,kmeans,69.053,3.847,90.439,1,1
9,1e+05,1000,0.001,5,kmeans++,kmeans,49.259,3.815,59.638,1,1
10,1e+05,1000,0.001,5,kmeans++,kmeans,44.138,3.885,58.201,1,1
1,1e+05,1000,0.001,6,kmeans++,kmeans,60.198,3.54,72.807,1,1
2,1e+05,1000,0.001,6,kmeans++,kmeans,62.692,3.725,75.476,1,1
3,1e+05,1000,0.001,6,kmeans++,kmeans,57.321,4.589,69.835,1,1
4,1e+05,1000,0.001,6,kmeans++,kmeans,69.087,3.48,88.483,1,1
5,1e+05,1000,0.001,6,kmeans++,kmeans,62.307,4.319,78.705,1,1
6,1e+05,1000,0.001,6,kmeans++,kmeans,71.96,3.096,89.001,1,1
7,1e+05,1000,0.001,6,kmeans++,kmeans,66.084,3.602,77.206,1,1
8,1e+05,1000,0.001,6,kmeans++,kmeans,50.601,4.198,61.381,1,1
9,1e+05,1000,0.001,6,kmeans++,kmeans,49.625,3.976,57.216,1,1
10,1e+05,1000,0.001,6,kmeans++,kmeans,59.233,3.017,75.51,1,1
1,1e+05,1000,0.001,7,kmeans++,kmeans,56.983,3.613,74.117,1,1
2,1e+05,1000,0.001,7,kmeans++,kmeans,62.18,2.649,88.233,1,1
