"B","observations","genes","batch_size","k","initializer","method","user_time","system_time","elapsed_time"
8,25000,1000,1000,8,kmeans++,kmeans,14.637,0.833,15.475
9,25000,1000,1000,8,kmeans++,kmeans,15.078,0.856,15.943
10,25000,1000,1000,8,kmeans++,kmeans,13.449,0.851,14.306
1,25000,1000,1000,9,kmeans++,kmeans,28.586,1.137,29.787
2,25000,1000,1000,9,kmeans++,kmeans,28.954,1.104,30.128
3,25000,1000,1000,9,kmeans++,kmeans,31.768,1.054,32.876
4,25000,1000,1000,9,kmeans++,kmeans,28.948,1.113,30.1
5,25000,1000,1000,9,kmeans++,kmeans,27.792,1.151,28.999
6,25000,1000,1000,9,kmeans++,kmeans,27.853,1.137,29.041
7,25000,1000,1000,9,kmeans++,kmeans,15.524,0.827,16.356
8,25000,1000,1000,9,kmeans++,kmeans,13.956,0.85,14.811
9,25000,1000,1000,9,kmeans++,kmeans,14.065,0.818,14.887
10,25000,1000,1000,9,kmeans++,kmeans,14.138,0.843,14.986
1,25000,1000,1000,10,kmeans++,kmeans,31.405,1.141,32.574
2,25000,1000,1000,10,kmeans++,kmeans,32.039,1.123,33.19
3,25000,1000,1000,10,kmeans++,kmeans,30.813,1.145,31.992
4,25000,1000,1000,10,kmeans++,kmeans,33.383,1.127,34.542
5,25000,1000,1000,10,kmeans++,kmeans,31.614,1.141,32.787
6,25000,1000,1000,10,kmeans++,kmeans,33.004,1.093,34.122
7,25000,1000,1000,10,kmeans++,kmeans,15.365,0.858,16.229
8,25000,1000,1000,10,kmeans++,kmeans,17.246,0.814,18.067
9,25000,1000,1000,10,kmeans++,kmeans,17.376,0.862,18.248
10,25000,1000,1000,10,kmeans++,kmeans,16.808,0.827,17.641
1,25000,1000,1000,11,kmeans++,kmeans,33.807,1.259,35.403
2,25000,1000,1000,11,kmeans++,kmeans,35.389,1.151,36.886
3,25000,1000,1000,11,kmeans++,kmeans,32.287,1.246,33.889
4,25000,1000,1000,11,kmeans++,kmeans,35.053,1.2,36.58
5,25000,1000,1000,11,kmeans++,kmeans,34.372,1.229,36.011
6,25000,1000,1000,11,kmeans++,kmeans,33.943,1.214,35.49
7,25000,1000,1000,11,kmeans++,kmeans,17.639,0.833,18.478
8,25000,1000,1000,11,kmeans++,kmeans,15.947,0.876,16.831
9,25000,1000,1000,11,kmeans++,kmeans,15.936,0.886,16.829
10,25000,1000,1000,11,kmeans++,kmeans,16.114,0.83,16.949
1,25000,1000,1000,12,kmeans++,kmeans,32.047,1.241,33.577
2,25000,1000,1000,12,kmeans++,kmeans,36.945,1.204,38.479
3,25000,1000,1000,12,kmeans++,kmeans,31.543,1.173,33.008
4,25000,1000,1000,12,kmeans++,kmeans,37.302,1.233,38.842
5,25000,1000,1000,12,kmeans++,kmeans,36.35,1.279,37.907
6,25000,1000,1000,12,kmeans++,kmeans,37.116,1.204,38.604
7,25000,1000,1000,12,kmeans++,kmeans,16.976,0.983,17.966
8,25000,1000,1000,12,kmeans++,kmeans,17.548,0.832,18.386
9,25000,1000,1000,12,kmeans++,kmeans,16.277,1.012,17.31
10,25000,1000,1000,12,kmeans++,kmeans,15.165,0.858,16.029
1,25000,1000,1000,13,kmeans++,kmeans,38.011,1.222,39.563
2,25000,1000,1000,13,kmeans++,kmeans,38.502,1.24,40.143
3,25000,1000,1000,13,kmeans++,kmeans,37.656,1.205,39.17
4,25000,1000,1000,13,kmeans++,kmeans,39.5,1.174,41.02
5,25000,1000,1000,13,kmeans++,kmeans,37.146,1.272,38.738
6,25000,1000,1000,13,kmeans++,kmeans,38.589,1.292,40.246
7,25000,1000,1000,13,kmeans++,kmeans,18.747,0.871,19.625
8,25000,1000,1000,13,kmeans++,kmeans,18.122,0.915,19.044
9,25000,1000,1000,13,kmeans++,kmeans,19.331,0.88,20.22
10,25000,1000,1000,13,kmeans++,kmeans,19.982,0.84,20.829
1,25000,1000,1000,14,kmeans++,kmeans,41.057,1.147,42.278
2,25000,1000,1000,14,kmeans++,kmeans,44.368,1.134,45.549
3,25000,1000,1000,14,kmeans++,kmeans,40.365,1.165,41.589
4,25000,1000,1000,14,kmeans++,kmeans,38.244,1.188,39.494
5,25000,1000,1000,14,kmeans++,kmeans,43.878,1.159,45.091
6,25000,1000,1000,14,kmeans++,kmeans,42.411,1.087,43.553
7,25000,1000,1000,14,kmeans++,kmeans,20.805,0.954,21.767
8,25000,1000,1000,14,kmeans++,kmeans,19.946,0.838,20.792
9,25000,1000,1000,14,kmeans++,kmeans,21.2,0.93,22.139
10,25000,1000,1000,14,kmeans++,kmeans,21.622,0.973,22.603
1,25000,1000,1000,15,kmeans++,kmeans,41.127,1.157,42.322
2,25000,1000,1000,15,kmeans++,kmeans,41.517,1.147,42.718
3,25000,1000,1000,15,kmeans++,kmeans,42.521,1.126,43.693
4,25000,1000,1000,15,kmeans++,kmeans,39.417,1.203,40.66
5,25000,1000,1000,15,kmeans++,kmeans,40.521,1.195,41.76
6,25000,1000,1000,15,kmeans++,kmeans,39.209,1.17,40.431
7,25000,1000,1000,15,kmeans++,kmeans,17.74,0.919,18.664
8,25000,1000,1000,15,kmeans++,kmeans,17.782,0.886,18.674
9,25000,1000,1000,15,kmeans++,kmeans,17.956,0.863,18.825
10,25000,1000,1000,15,kmeans++,kmeans,19.231,0.917,20.157
1,25000,1000,1000,16,kmeans++,kmeans,42.268,1.171,43.497
2,25000,1000,1000,16,kmeans++,kmeans,45.361,1.183,46.636
3,25000,1000,1000,16,kmeans++,kmeans,39.433,1.223,40.737
4,25000,1000,1000,16,kmeans++,kmeans,41.679,1.162,42.915
5,25000,1000,1000,16,kmeans++,kmeans,43.777,1.186,45.036
6,25000,1000,1000,16,kmeans++,kmeans,47.81,1.133,49.016
7,25000,1000,1000,16,kmeans++,kmeans,24.991,0.915,25.92
8,25000,1000,1000,16,kmeans++,kmeans,21.817,0.918,22.744
9,25000,1000,1000,16,kmeans++,kmeans,23.091,0.997,24.102
10,25000,1000,1000,16,kmeans++,kmeans,22.517,0.963,23.5
1,25000,1000,1000,17,kmeans++,kmeans,46.535,1.269,48.209
2,25000,1000,1000,17,kmeans++,kmeans,46.299,1.304,47.991
3,25000,1000,1000,17,kmeans++,kmeans,45.879,1.286,47.55
4,25000,1000,1000,17,kmeans++,kmeans,48.197,1.179,49.827
