B,observations,genes,batch_size,k,initializer,method,user_time,system_time,elapsed_time
1,1.00E+05,1000,0.001,9,random,mbkmeans,35.331,0.857,40.637
2,1.00E+05,1000,0.001,9,random,mbkmeans,36.958,0.887,43.87
3,1.00E+05,1000,0.001,9,random,mbkmeans,36.611,0.681,41.648
4,1.00E+05,1000,0.001,9,random,mbkmeans,37.403,0.901,53.544
5,1.00E+05,1000,0.001,9,random,mbkmeans,36.391,0.668,41.515
6,1.00E+05,1000,0.001,9,random,mbkmeans,34.785,0.911,51.347
7,1.00E+05,1000,0.001,9,random,mbkmeans,38.76,0.958,48.998
8,1.00E+05,1000,0.001,9,random,mbkmeans,37.023,0.968,40.092
9,1.00E+05,1000,0.001,9,random,mbkmeans,37.889,0.883,43.239
10,1.00E+05,1000,0.001,9,random,mbkmeans,36.923,0.908,41.946
1,1.00E+05,1000,0.001,10,random,mbkmeans,36.631,0.725,40.373
2,1.00E+05,1000,0.001,10,random,mbkmeans,37.658,0.825,43.858
3,1.00E+05,1000,0.001,10,random,mbkmeans,36.474,0.729,37.632
4,1.00E+05,1000,0.001,10,random,mbkmeans,37.848,0.833,44.86
5,1.00E+05,1000,0.001,10,random,mbkmeans,37.093,0.802,39.224
6,1.00E+05,1000,0.001,10,random,mbkmeans,40.517,0.894,47.447
7,1.00E+05,1000,0.001,10,random,mbkmeans,36.841,0.832,40.151
8,1.00E+05,1000,0.001,10,random,mbkmeans,35.207,0.743,36.125
9,1.00E+05,1000,0.001,10,random,mbkmeans,36.913,0.828,40.818
10,1.00E+05,1000,0.001,10,random,mbkmeans,37.126,0.761,38.925
1,1.00E+05,1000,0.001,11,random,mbkmeans,37.68,0.812,39.919
2,1.00E+05,1000,0.001,11,random,mbkmeans,40.592,0.954,44.031
3,1.00E+05,1000,0.001,11,random,mbkmeans,36.851,0.784,39.302
4,1.00E+05,1000,0.001,11,random,mbkmeans,37.667,0.859,39.226
5,1.00E+05,1000,0.001,11,random,mbkmeans,39.482,0.874,41.013
6,1.00E+05,1000,0.001,11,random,mbkmeans,38.834,0.893,49.554
7,1.00E+05,1000,0.001,11,random,mbkmeans,37.53,0.825,40.204
8,1.00E+05,1000,0.001,11,random,mbkmeans,39.053,0.883,45.777
9,1.00E+05,1000,0.001,11,random,mbkmeans,41.02,1.002,52.857
10,1.00E+05,1000,0.001,11,random,mbkmeans,36.564,0.82,38.812
1,1.00E+05,1000,0.001,12,random,mbkmeans,38.536,0.969,50.972
2,1.00E+05,1000,0.001,12,random,mbkmeans,42.007,0.854,63.127
3,1.00E+05,1000,0.001,12,random,mbkmeans,37.721,0.797,39.1
4,1.00E+05,1000,0.001,12,random,mbkmeans,38.274,1.027,62.726
5,1.00E+05,1000,0.001,12,random,mbkmeans,40.445,0.761,54.877
6,1.00E+05,1000,0.001,12,random,mbkmeans,37.883,0.976,60.311
7,1.00E+05,1000,0.001,12,random,mbkmeans,36.719,0.984,56.014
8,1.00E+05,1000,0.001,12,random,mbkmeans,36.956,0.92,54.465
9,1.00E+05,1000,0.001,12,random,mbkmeans,42.376,0.86,43.665
10,1.00E+05,1000,0.001,12,random,mbkmeans,38.603,0.914,66.48
1,1.00E+05,1000,0.001,13,random,mbkmeans,43.976,0.865,65.455
2,1.00E+05,1000,0.001,13,random,mbkmeans,42.4,0.836,55.818
3,1.00E+05,1000,0.001,13,random,mbkmeans,39.515,0.864,45.995
4,1.00E+05,1000,0.001,13,random,mbkmeans,40.784,0.89,62.384
5,1.00E+05,1000,0.001,13,random,mbkmeans,41.105,0.899,51.792
6,1.00E+05,1000,0.001,13,random,mbkmeans,38.464,0.878,51.145
7,1.00E+05,1000,0.001,13,random,mbkmeans,39.382,0.773,55.251
8,1.00E+05,1000,0.001,13,random,mbkmeans,38.616,0.902,57.012
9,1.00E+05,1000,0.001,13,random,mbkmeans,39.84,0.902,52.283
10,1.00E+05,1000,0.001,13,random,mbkmeans,41.12,0.809,50.482
1,1.00E+05,1000,0.001,14,random,mbkmeans,38.662,0.759,40.586
2,1.00E+05,1000,0.001,14,random,mbkmeans,39.777,0.665,40.85
3,1.00E+05,1000,0.001,14,random,mbkmeans,41.197,0.764,46.185
4,1.00E+05,1000,0.001,14,random,mbkmeans,42.21,0.758,45.766
5,1.00E+05,1000,0.001,14,random,mbkmeans,42.941,0.908,48.238
6,1.00E+05,1000,0.001,14,random,mbkmeans,40.593,0.705,41.588
7,1.00E+05,1000,0.001,14,random,mbkmeans,43.227,0.78,48.647
8,1.00E+05,1000,0.001,14,random,mbkmeans,41.221,0.749,48.226
9,1.00E+05,1000,0.001,14,random,mbkmeans,42.701,0.769,48.848
10,1.00E+05,1000,0.001,14,random,mbkmeans,42.94,0.736,47.889
1,1.00E+05,1000,0.001,15,random,mbkmeans,45.689,0.813,46.615
2,1.00E+05,1000,0.001,15,random,mbkmeans,43.7,0.878,54.19
3,1.00E+05,1000,0.001,15,random,mbkmeans,44.135,0.881,50.527
4,1.00E+05,1000,0.001,15,random,mbkmeans,43.12,0.802,45.759
5,1.00E+05,1000,0.001,15,random,mbkmeans,43.456,0.869,50.068
6,1.00E+05,1000,0.001,15,random,mbkmeans,43.466,0.923,49.985
7,1.00E+05,1000,0.001,15,random,mbkmeans,47.003,1.035,54.817
8,1.00E+05,1000,0.001,15,random,mbkmeans,43.36,0.863,49.131
9,1.00E+05,1000,0.001,15,random,mbkmeans,42.145,0.738,43.086
10,1.00E+05,1000,0.001,15,random,mbkmeans,39.871,0.86,44.143
1,1.00E+05,1000,0.001,16,random,mbkmeans,45.544,1.015,51.371
2,1.00E+05,1000,0.001,16,random,mbkmeans,43.366,0.775,46.918
3,1.00E+05,1000,0.001,16,random,mbkmeans,43.195,0.75,48.536
4,1.00E+05,1000,0.001,16,random,mbkmeans,43.635,0.728,47.646
5,1.00E+05,1000,0.001,16,random,mbkmeans,46.515,0.797,51.356
6,1.00E+05,1000,0.001,16,random,mbkmeans,42.158,0.868,44.289
7,1.00E+05,1000,0.001,16,random,mbkmeans,48.129,1.014,53.468
8,1.00E+05,1000,0.001,16,random,mbkmeans,45.031,0.982,50.169
9,1.00E+05,1000,0.001,16,random,mbkmeans,44.193,1.004,48.126
10,1.00E+05,1000,0.001,16,random,mbkmeans,41.471,0.781,45.647
1,1.00E+05,1000,0.001,17,random,mbkmeans,48.094,1.146,62.041
2,1.00E+05,1000,0.001,17,random,mbkmeans,43.755,0.933,53.121
3,1.00E+05,1000,0.001,17,random,mbkmeans,46.82,0.841,51.57
4,1.00E+05,1000,0.001,17,random,mbkmeans,44.963,0.849,50.586
5,1.00E+05,1000,0.001,17,random,mbkmeans,42.815,1.004,48.047
6,1.00E+05,1000,0.001,17,random,mbkmeans,48.216,0.912,60.266
7,1.00E+05,1000,0.001,17,random,mbkmeans,46.305,0.918,62.427
8,1.00E+05,1000,0.001,17,random,mbkmeans,43.125,0.881,54.062
9,1.00E+05,1000,0.001,17,random,mbkmeans,43.265,0.893,57.579
10,1.00E+05,1000,0.001,17,random,mbkmeans,45.454,0.967,61.038
1,1.00E+05,1000,0.001,18,random,mbkmeans,46.832,0.77,56.922
2,1.00E+05,1000,0.001,18,random,mbkmeans,46.337,0.774,52.306
3,1.00E+05,1000,0.001,18,random,mbkmeans,48.073,0.838,53.821
4,1.00E+05,1000,0.001,18,random,mbkmeans,47.004,0.891,50.007
5,1.00E+05,1000,0.001,18,random,mbkmeans,44.254,0.916,49.708
6,1.00E+05,1000,0.001,18,random,mbkmeans,46.498,0.776,50.065
7,1.00E+05,1000,0.001,18,random,mbkmeans,43.88,0.655,52.046
8,1.00E+05,1000,0.001,18,random,mbkmeans,46.239,0.862,49.502
9,1.00E+05,1000,0.001,18,random,mbkmeans,47.739,0.881,55.846
10,1.00E+05,1000,0.001,18,random,mbkmeans,43.11,0.71,45.299
1,1.00E+05,1000,0.001,19,random,mbkmeans,44.638,0.846,51.595
2,1.00E+05,1000,0.001,19,random,mbkmeans,50.173,0.844,57.008
3,1.00E+05,1000,0.001,19,random,mbkmeans,48.175,0.862,64.169
4,1.00E+05,1000,0.001,19,random,mbkmeans,51.291,0.93,63.741
5,1.00E+05,1000,0.001,19,random,mbkmeans,45.058,0.778,46.927
6,1.00E+05,1000,0.001,19,random,mbkmeans,52.061,0.987,62.279
7,1.00E+05,1000,0.001,19,random,mbkmeans,48.301,0.911,58.449
8,1.00E+05,1000,0.001,19,random,mbkmeans,44.579,0.879,50.902
9,1.00E+05,1000,0.001,19,random,mbkmeans,49.979,0.923,60.956
10,1.00E+05,1000,0.001,19,random,mbkmeans,49.806,0.833,58.89
1,1.00E+05,1000,0.001,20,random,mbkmeans,48.801,1.035,62.368
2,1.00E+05,1000,0.001,20,random,mbkmeans,45.718,0.924,58.205
3,1.00E+05,1000,0.001,20,random,mbkmeans,50.933,0.971,69.464
4,1.00E+05,1000,0.001,20,random,mbkmeans,47.134,0.976,59.921
5,1.00E+05,1000,0.001,20,random,mbkmeans,52.467,0.964,67.298
6,1.00E+05,1000,0.001,20,random,mbkmeans,47.771,0.896,59.921
7,1.00E+05,1000,0.001,20,random,mbkmeans,50.469,0.941,63.789
8,1.00E+05,1000,0.001,20,random,mbkmeans,52.577,1.01,65.916
9,1.00E+05,1000,0.001,20,random,mbkmeans,49.516,0.943,58.31
10,1.00E+05,1000,0.001,20,random,mbkmeans,49.511,0.836,59.807
1,1.00E+05,1000,0.2,2,random,mbkmeans,520.223,36.198,672.239
2,1.00E+05,1000,0.2,2,random,mbkmeans,513.853,35.517,674.163
3,1.00E+05,1000,0.2,2,random,mbkmeans,482.455,34.7,632.495
4,1.00E+05,1000,0.2,2,random,mbkmeans,429.113,33.129,523.187
5,1.00E+05,1000,0.2,2,random,mbkmeans,494.3,35.114,613.851
6,1.00E+05,1000,0.2,2,random,mbkmeans,495.32,35.06,633.573
7,1.00E+05,1000,0.2,2,random,mbkmeans,411.685,30.16,524.16
8,1.00E+05,1000,0.2,2,random,mbkmeans,483.238,36.805,600.054
9,1.00E+05,1000,0.2,2,random,mbkmeans,514.586,37.503,667.379
10,1.00E+05,1000,0.2,2,random,mbkmeans,496.204,35.32,633.848
1,1.00E+05,1000,0.2,3,random,mbkmeans,778.853,30.713,905.849
2,1.00E+05,1000,0.2,3,random,mbkmeans,618.954,29.139,657.955
3,1.00E+05,1000,0.2,3,random,mbkmeans,837.898,31.006,960.403
4,1.00E+05,1000,0.2,3,random,mbkmeans,614.56,22.67,717.678
5,1.00E+05,1000,0.2,3,random,mbkmeans,647.991,26.307,728.468
6,1.00E+05,1000,0.2,3,random,mbkmeans,617.083,25.483,721.252
7,1.00E+05,1000,0.2,3,random,mbkmeans,652.727,26.109,762.596
8,1.00E+05,1000,0.2,3,random,mbkmeans,753.048,26.458,878.236
9,1.00E+05,1000,0.2,3,random,mbkmeans,716.037,24.488,845.18
10,1.00E+05,1000,0.2,3,random,mbkmeans,667.745,29.157,735.495
1,1.00E+05,1000,0.2,4,random,mbkmeans,893.789,26.973,999.072
2,1.00E+05,1000,0.2,4,random,mbkmeans,805.727,22.639,882.07
3,1.00E+05,1000,0.2,4,random,mbkmeans,1103.2,33.072,1261.002
4,1.00E+05,1000,0.2,4,random,mbkmeans,999.448,34.417,1102.759
5,1.00E+05,1000,0.2,4,random,mbkmeans,900.666,26.037,972.736
6,1.00E+05,1000,0.2,4,random,mbkmeans,862.256,23.261,916.893
7,1.00E+05,1000,0.2,4,random,mbkmeans,974.268,27.615,1094.715
8,1.00E+05,1000,0.2,4,random,mbkmeans,890.652,23.645,941.08
9,1.00E+05,1000,0.2,4,random,mbkmeans,909.98,28.23,1065.797
10,1.00E+05,1000,0.2,4,random,mbkmeans,840.634,26.17,956.064
1,1.00E+05,1000,0.2,5,random,mbkmeans,1089.326,27.389,1272.378
2,1.00E+05,1000,0.2,5,random,mbkmeans,1011.636,26.95,1160.328
3,1.00E+05,1000,0.2,5,random,mbkmeans,1065.15,26.557,1254.671
4,1.00E+05,1000,0.2,5,random,mbkmeans,976.349,24.29,1145.527
5,1.00E+05,1000,0.2,5,random,mbkmeans,948.407,23.255,1119.674
6,1.00E+05,1000,0.2,5,random,mbkmeans,1110.233,28.339,1311.05
7,1.00E+05,1000,0.2,5,random,mbkmeans,1127.423,26.975,1316.338
8,1.00E+05,1000,0.2,5,random,mbkmeans,1023.007,27.29,1229.882
9,1.00E+05,1000,0.2,5,random,mbkmeans,953.515,24.23,1140.027
10,1.00E+05,1000,0.2,5,random,mbkmeans,1015.134,24.312,1204.135
1,1.00E+05,1000,0.2,6,random,mbkmeans,1230.907,31.613,1375.134
2,1.00E+05,1000,0.2,6,random,mbkmeans,1158.142,26.499,1357.368
3,1.00E+05,1000,0.2,6,random,mbkmeans,1192.506,27.979,1348.477
4,1.00E+05,1000,0.2,6,random,mbkmeans,1055.871,30.749,1164.092
5,1.00E+05,1000,0.2,6,random,mbkmeans,1039.159,24.335,1210.573
6,1.00E+05,1000,0.2,6,random,mbkmeans,1427.33,30.985,1644.095
7,1.00E+05,1000,0.2,6,random,mbkmeans,1221.324,27.767,1410.467
8,1.00E+05,1000,0.2,6,random,mbkmeans,1234.887,28.188,1417.961
9,1.00E+05,1000,0.2,6,random,mbkmeans,1237.592,31.529,1394.27
10,1.00E+05,1000,0.2,6,random,mbkmeans,1189.459,29.264,1343.103
1,1.00E+05,1000,0.2,7,random,mbkmeans,1448.345,28.917,1622.899
2,1.00E+05,1000,0.2,7,random,mbkmeans,1228.013,23.172,1398.089
3,1.00E+05,1000,0.2,7,random,mbkmeans,1499.395,27.653,1671.504
4,1.00E+05,1000,0.2,7,random,mbkmeans,1598.829,30.805,1776.688
5,1.00E+05,1000,0.2,7,random,mbkmeans,1308.24,25.346,1485.312
6,1.00E+05,1000,0.2,7,random,mbkmeans,1222.293,24.567,1342.805
7,1.00E+05,1000,0.2,7,random,mbkmeans,1248.472,24.367,1404.077
8,1.00E+05,1000,0.2,7,random,mbkmeans,1437.37,26.858,1618.402
9,1.00E+05,1000,0.2,7,random,mbkmeans,1537.766,28.723,1722.713
10,1.00E+05,1000,0.2,7,random,mbkmeans,1288.966,24.737,1424.065
