"B","observations","genes","abs_batch","k","initializer","method","ARI","WCSS","iterations","fault"
20,500,1000,35,3,random,mbkmeans,0.987192980405392,1087488.34603198,35,NA
21,500,1000,35,3,random,mbkmeans,0.994135289134041,1094840.27965097,18,NA
22,500,1000,35,3,random,mbkmeans,0.995884352107658,1103358.6108003,29,NA
23,500,1000,35,3,random,mbkmeans,0.98721271171629,1064449.50977764,21,NA
24,500,1000,35,3,random,mbkmeans,0.987378157669604,1237117.82672819,20,NA
25,500,1000,35,3,random,mbkmeans,0.976277926473047,1176211.65154316,15,NA
26,500,1000,35,3,random,mbkmeans,0.987368923153779,1146764.48087781,15,NA
27,500,1000,35,3,random,mbkmeans,0.993158737728477,1053029.69394329,13,NA
28,500,1000,35,3,random,mbkmeans,1,1043308.86674084,13,NA
29,500,1000,35,3,random,mbkmeans,1,1093741.26830998,14,NA
30,500,1000,35,3,random,mbkmeans,1,1074501.04492876,12,NA
31,500,1000,35,3,random,mbkmeans,0.988315664179031,1083527.71539327,28,NA
32,500,1000,35,3,random,mbkmeans,0.99397381848361,1070903.87445372,17,NA
33,500,1000,35,3,random,mbkmeans,1,1075337.57738726,20,NA
34,500,1000,35,3,random,mbkmeans,0.981016666940802,1022568.47222734,12,NA
35,500,1000,35,3,random,mbkmeans,0.967846834027956,1189563.54413627,28,NA
36,500,1000,35,3,random,mbkmeans,0.970175101628869,1110613.81184991,14,NA
37,500,1000,35,3,random,mbkmeans,0.987252654575924,1040751.52617531,16,NA
38,500,1000,35,3,random,mbkmeans,0.99316954821141,1126566.84719572,19,NA
39,500,1000,35,3,random,mbkmeans,0.994002298734706,1092481.08496686,16,NA
40,500,1000,35,3,random,mbkmeans,0.995986699062762,1087593.65396477,30,NA
41,500,1000,35,3,random,mbkmeans,0.947134446059864,1138949.37597646,19,NA
42,500,1000,35,3,random,mbkmeans,0.993193808081106,1137244.30792294,17,NA
43,500,1000,35,3,random,mbkmeans,0.995914921144834,1033182.71369398,25,NA
44,500,1000,35,3,random,mbkmeans,0.993212097241431,1210034.76214874,25,NA
45,500,1000,35,3,random,mbkmeans,1,1102721.75627275,19,NA
46,500,1000,35,3,random,mbkmeans,0.994046805906296,1173252.57271042,17,NA
47,500,1000,35,3,random,mbkmeans,0.993169905918781,961344.77743753,22,NA
48,500,1000,35,3,random,mbkmeans,0.99410493597787,1015555.03071171,26,NA
49,500,1000,35,3,random,mbkmeans,1,1046554.44616995,19,NA
50,500,1000,35,3,random,mbkmeans,0.981470981209219,1053960.47486352,16,NA
1,500,1000,75,3,random,mbkmeans,0.986594098786546,1026211.57662315,34,NA
2,500,1000,75,3,random,mbkmeans,0.972505352813064,1020343.55053766,21,NA
3,500,1000,75,3,random,mbkmeans,1,1106895.75457803,30,NA
4,500,1000,75,3,random,mbkmeans,0.993124931855638,1009191.54201141,15,NA
5,500,1000,75,3,random,mbkmeans,0.99308713982457,1138621.40520252,15,NA
6,500,1000,75,3,random,mbkmeans,0.980432281163226,1023501.64421169,35,NA
7,500,1000,75,3,random,mbkmeans,1,975494.534094871,21,NA
8,500,1000,75,3,random,mbkmeans,0.993816011090109,1088125.13906987,26,NA
9,500,1000,75,3,random,mbkmeans,0.981511640128648,1016933.94685798,15,NA
10,500,1000,75,3,random,mbkmeans,0.976065757732936,1078385.27159252,12,NA
11,500,1000,75,3,random,mbkmeans,0.980030059237947,1070905.41124058,27,NA
12,500,1000,75,3,random,mbkmeans,1,1035550.24385519,28,NA
13,500,1000,75,3,random,mbkmeans,1,1001062.48104734,15,NA
14,500,1000,75,3,random,mbkmeans,0.994036245472196,1071923.8011809,25,NA
15,500,1000,75,3,random,mbkmeans,0.993059235256935,1038608.18137346,17,NA
16,500,1000,75,3,random,mbkmeans,0.980393565609945,1029656.19789025,21,NA
17,500,1000,75,3,random,mbkmeans,0.987234822941549,960468.014729325,23,NA
18,500,1000,75,3,random,mbkmeans,0.968605412737921,1128291.94549242,24,NA
19,500,1000,75,3,random,mbkmeans,0.969297717404527,1063016.74062501,13,NA
20,500,1000,75,3,random,mbkmeans,0.993269320514131,955359.25836928,15,NA
21,500,1000,75,3,random,mbkmeans,0.993342414631306,1062439.16572595,17,NA
22,500,1000,75,3,random,mbkmeans,0.994052507404787,983017.157963552,17,NA
23,500,1000,75,3,random,mbkmeans,0.986441165271755,1007286.9510545,14,NA
24,500,1000,75,3,random,mbkmeans,1,1126917.56759977,18,NA
25,500,1000,75,3,random,mbkmeans,0.974669267518805,1053625.320597,14,NA
26,500,1000,75,3,random,mbkmeans,1,1073967.48982264,14,NA
27,500,1000,75,3,random,mbkmeans,0.980527826056302,1050953.24386974,18,NA
28,500,1000,75,3,random,mbkmeans,0.993276659387262,993221.713313341,15,NA
29,500,1000,75,3,random,mbkmeans,0.993949656834448,1073554.94695099,14,NA
30,500,1000,75,3,random,mbkmeans,0.976231065993649,1131189.71423861,29,NA
31,500,1000,75,3,random,mbkmeans,0.980480168369783,1065825.68300622,26,NA
32,500,1000,75,3,random,mbkmeans,0.994151835087266,972431.158329771,18,NA
33,500,1000,75,3,random,mbkmeans,0.979720254920942,1060862.53710834,13,NA
34,500,1000,75,3,random,mbkmeans,0.988576403241263,937602.632044341,14,NA
35,500,1000,75,3,random,mbkmeans,0.99323660537795,1040450.91310372,20,NA
36,500,1000,75,3,random,mbkmeans,1,1038599.56508026,25,NA
37,500,1000,75,3,random,mbkmeans,0.981070935449903,973425.635708709,31,NA
38,500,1000,75,3,random,mbkmeans,0.987219711324763,1036734.78643905,24,NA
39,500,1000,75,3,random,mbkmeans,0.986283056664817,1041004.63603518,13,NA
40,500,1000,75,3,random,mbkmeans,0.976535486380983,1078089.20284584,36,NA
41,500,1000,75,3,random,mbkmeans,0.975223178578844,1024973.95983523,11,NA
42,500,1000,75,3,random,mbkmeans,0.987296061897244,1083072.01734071,15,NA
43,500,1000,75,3,random,mbkmeans,0.987183531075101,1058450.29721943,24,NA
44,500,1000,75,3,random,mbkmeans,0.994117754050071,1038953.04011072,16,NA
45,500,1000,75,3,random,mbkmeans,0.987322040784321,1047923.54636064,12,NA
46,500,1000,75,3,random,mbkmeans,1,1007804.69559389,12,NA
47,500,1000,75,3,random,mbkmeans,0.988222773208317,990163.966798245,13,NA
48,500,1000,75,3,random,mbkmeans,0.961001256252628,1038033.77890654,20,NA
