"B","observations","genes","abs_batch","k","initializer","method","ARI","WCSS","iterations","fault"
22,500,1000,35,3,random,hdf5,0.994209583629255,1153910.22047303,29,NA
23,500,1000,35,3,random,hdf5,0.989036531036204,1062842.66841693,17,NA
24,500,1000,35,3,random,hdf5,0.970380105817358,1253451.2188468,13,NA
25,500,1000,35,3,random,hdf5,0.986380257746025,1074096.62368753,18,NA
26,500,1000,35,3,random,hdf5,0.980632158801396,1184652.23787871,29,NA
27,500,1000,35,3,random,hdf5,0.987174441828382,1067097.72172132,22,NA
28,500,1000,35,3,random,hdf5,0.988098997324117,1064961.2379834,21,NA
29,500,1000,35,3,random,hdf5,1,1069326.43849234,21,NA
30,500,1000,35,3,random,hdf5,0.953131907608528,1227339.64798058,24,NA
31,500,1000,35,3,random,hdf5,0.986239943671891,1138246.07400071,17,NA
32,500,1000,35,3,random,hdf5,0.995854236965667,1140913.44795798,15,NA
33,500,1000,35,3,random,hdf5,1,1087075.15905587,22,NA
34,500,1000,35,3,random,hdf5,0.994108321545601,1037692.73252916,17,NA
35,500,1000,35,3,random,hdf5,0.98059935628813,1180990.47903494,13,NA
36,500,1000,35,3,random,hdf5,0.976207590501539,1151594.11490954,16,NA
37,500,1000,35,3,random,hdf5,0.993244776746244,1062391.58876859,32,NA
38,500,1000,35,3,random,hdf5,0.98027970864218,1112246.91239984,18,NA
39,500,1000,35,3,random,hdf5,0.993170439000324,1099318.11192197,18,NA
40,500,1000,35,3,random,hdf5,0.99421851174717,1082489.44953284,23,NA
41,500,1000,35,3,random,hdf5,0.986417052741384,1063717.91178753,23,NA
42,500,1000,35,3,random,hdf5,0.987367242826453,1128320.58336401,14,NA
43,500,1000,35,3,random,hdf5,1,1101333.83435693,26,NA
44,500,1000,35,3,random,hdf5,0.983090932945845,975487.340744604,16,NA
45,500,1000,35,3,random,hdf5,0.979760377855309,1052320.17560099,24,NA
46,500,1000,35,3,random,hdf5,0.981053650184063,1068430.62287268,14,NA
47,500,1000,35,3,random,hdf5,0.987204737699847,1060769.11278985,15,NA
48,500,1000,35,3,random,hdf5,0.987154570834268,1136489.71328641,11,NA
49,500,1000,35,3,random,hdf5,0.986256487703772,1034949.29110133,17,NA
50,500,1000,35,3,random,hdf5,0.974470351801887,1068172.58217457,12,NA
1,500,1000,75,3,random,hdf5,0.981529095698848,1061505.08517989,18,NA
2,500,1000,75,3,random,hdf5,0.979706730236648,1014600.40842785,16,NA
3,500,1000,75,3,random,hdf5,0.980563998624391,1028214.40459387,12,NA
4,500,1000,75,3,random,hdf5,0.986055347755931,1001429.26086429,15,NA
5,500,1000,75,3,random,hdf5,0.993370279874344,970790.523363784,22,NA
6,500,1000,75,3,random,hdf5,0.987206994008987,1029604.89561434,17,NA
7,500,1000,75,3,random,hdf5,1,990452.143089689,16,NA
8,500,1000,75,3,random,hdf5,0.993285144393355,1039753.81895713,13,NA
9,500,1000,75,3,random,hdf5,0.992986967223637,1044173.82848235,22,NA
10,500,1000,75,3,random,hdf5,0.966849501479833,1015649.74598804,17,NA
11,500,1000,75,3,random,hdf5,0.994024535072992,976618.197641335,19,NA
12,500,1000,75,3,random,hdf5,0.980442315669823,994965.685968201,19,NA
13,500,1000,75,3,random,hdf5,0.993149922163877,1047514.61480977,16,NA
14,500,1000,75,3,random,hdf5,0.986504916316943,1051257.94677848,19,NA
15,500,1000,75,3,random,hdf5,0.993114004130649,1171108.28864038,17,NA
16,500,1000,75,3,random,hdf5,0.993805220581692,966300.929998503,26,NA
17,500,1000,75,3,random,hdf5,1,990412.570706035,22,NA
18,500,1000,75,3,random,hdf5,1,1101415.27848343,16,NA
19,500,1000,75,3,random,hdf5,0.987233521925237,991345.237424387,17,NA
20,500,1000,75,3,random,hdf5,0.987314121665675,1114488.37976648,13,NA
21,500,1000,75,3,random,hdf5,0.987167277039009,944496.095889622,13,NA
22,500,1000,75,3,random,hdf5,0.993105972598419,1091646.48041951,16,NA
23,500,1000,75,3,random,hdf5,1,1056519.78678705,12,NA
24,500,1000,75,3,random,hdf5,0.993179043641493,991139.000586569,18,NA
25,500,1000,75,3,random,hdf5,0.988209777945828,1003252.5984599,13,NA
26,500,1000,75,3,random,hdf5,0.986446083264304,1153663.43431938,18,NA
27,500,1000,75,3,random,hdf5,0.994069028819443,1056907.28987198,20,NA
28,500,1000,75,3,random,hdf5,0.994369360141751,1094873.29838012,22,NA
29,500,1000,75,3,random,hdf5,1,977863.092428795,17,NA
30,500,1000,75,3,random,hdf5,1,976295.447568456,19,NA
31,500,1000,75,3,random,hdf5,1,1053990.47041943,21,NA
32,500,1000,75,3,random,hdf5,0.988668159312806,1078982.14662015,12,NA
33,500,1000,75,3,random,hdf5,0.980417127458131,1089587.20723712,15,NA
34,500,1000,75,3,random,hdf5,1,947821.028689892,19,NA
35,500,1000,75,3,random,hdf5,0.994144828266358,1051284.92440761,25,NA
36,500,1000,75,3,random,hdf5,0.986415045937638,1082948.36105119,13,NA
37,500,1000,75,3,random,hdf5,0.993823418266787,1041290.3298752,14,NA
38,500,1000,75,3,random,hdf5,1,1079097.7227195,14,NA
39,500,1000,75,3,random,hdf5,0.993126051750464,1064048.28012087,25,NA
40,500,1000,75,3,random,hdf5,0.9930892479911,1005120.77040287,14,NA
41,500,1000,75,3,random,hdf5,0.987883769956301,1107155.55645022,12,NA
42,500,1000,75,3,random,hdf5,0.981455018479256,1081613.52697714,11,NA
43,500,1000,75,3,random,hdf5,0.986363305384984,1065410.41274138,17,NA
44,500,1000,75,3,random,hdf5,0.97627072757516,1099818.9960171,11,NA
45,500,1000,75,3,random,hdf5,0.986396279775982,1053125.6487052,20,NA
46,500,1000,75,3,random,hdf5,0.994362280904641,974827.54314098,24,NA
47,500,1000,75,3,random,hdf5,1,970117.809527522,16,NA
48,500,1000,75,3,random,hdf5,0.958398779694774,1024207.48592275,14,NA
49,500,1000,75,3,random,hdf5,0.98837055741217,1069677.20560765,21,NA
50,500,1000,75,3,random,hdf5,1,958647.244153028,37,NA
1,500,1000,150,3,random,hdf5,0.993294049106315,1018974.25934067,28,NA
2,500,1000,150,3,random,hdf5,0.987176456878073,962249.483996225,28,NA
3,500,1000,150,3,random,hdf5,0.987227756080582,1003533.98879721,14,NA
4,500,1000,150,3,random,hdf5,0.995514441913722,1107943.94330388,21,NA
5,500,1000,150,3,random,hdf5,1,990809.438333364,17,NA
6,500,1000,150,3,random,hdf5,0.989532655004004,1038616.31261726,21,NA
7,500,1000,150,3,random,hdf5,0.986426191446693,1013895.94792101,21,NA
8,500,1000,150,3,random,hdf5,0.974732080728798,1010390.10822911,29,NA
9,500,1000,150,3,random,hdf5,0.987291943076864,1038672.57577159,24,NA
10,500,1000,150,3,random,hdf5,0.993117399125279,1004968.00225712,18,NA
11,500,1000,150,3,random,hdf5,0.986587218264341,1077428.65526786,17,NA
12,500,1000,150,3,random,hdf5,0.984335936265902,1077973.9856987,14,NA
13,500,1000,150,3,random,hdf5,0.989613612084728,1011172.56340479,19,NA
14,500,1000,150,3,random,hdf5,0.980382189631876,971001.718545279,18,NA
15,500,1000,150,3,random,hdf5,0.993168616427347,1007177.21229515,14,NA
16,500,1000,150,3,random,hdf5,0.98040056314356,1057251.97983571,23,NA
