"B","observations","genes","batch_size","k","initializer","method","memory"
1,1000,1000,0.005,3,random,hdf5,599.823175783275
1,1000,1000,0.01,3,random,hdf5,606.589594265804
1,1000,1000,0.05,3,random,hdf5,527.892839513683
1,1000,1000,0.1,3,random,hdf5,532.348756888873
1,1000,1000,0.2,3,random,hdf5,481.087129498437
1,1000,1000,0.5,3,random,hdf5,454.201654238433
1,1000,1000,0.8,3,random,hdf5,476.22612178969
1,1000,1000,1,3,random,hdf5,440.079934824866
1,5000,1000,0.005,3,random,hdf5,651.538256239384
1,5000,1000,0.01,3,random,hdf5,660.667376146833
1,5000,1000,0.05,3,random,hdf5,550.933176209393
1,5000,1000,0.1,3,random,hdf5,518.470346497219
1,5000,1000,0.2,3,random,hdf5,511.74520303926
1,5000,1000,0.5,3,random,hdf5,511.715524694421
1,5000,1000,0.8,3,random,hdf5,511.798067114166
1,5000,1000,1,3,random,hdf5,521.232965526184
1,25000,1000,0.005,3,random,hdf5,851.219485629543
1,25000,1000,0.01,3,random,hdf5,913.371623620099
1,25000,1000,0.05,3,random,hdf5,836.027819922881
1,25000,1000,0.1,3,random,hdf5,836.321528725258
1,25000,1000,0.2,3,random,hdf5,836.027819922881
1,25000,1000,0.5,3,random,hdf5,836.027819922881
1,25000,1000,0.8,3,random,hdf5,934.18867844708
1,25000,1000,1,3,random,hdf5,1039.85875330817
1,75000,1000,0.005,3,random,hdf5,1430.41277089318
1,75000,1000,0.01,3,random,hdf5,1633.76975102961
1,75000,1000,0.05,3,random,hdf5,1500.20997422017
1,75000,1000,0.1,3,random,hdf5,1445.93872615189
1,75000,1000,0.2,3,random,hdf5,1435.55467765084
1,75000,1000,0.5,3,random,hdf5,1503.4772395523
1,75000,1000,0.8,3,random,hdf5,2129.93579141251
1,75000,1000,1,3,random,hdf5,2472.36725785183
1,1e+05,1000,0.005,3,random,hdf5,1948.80550355954
1,1e+05,1000,0.01,3,random,hdf5,1984.8747862272
1,1e+05,1000,0.05,3,random,hdf5,1851.74655849165
1,1e+05,1000,0.1,3,random,hdf5,1791.34381015612
1,1e+05,1000,0.2,3,random,hdf5,1780.95978454326
1,1e+05,1000,0.5,3,random,hdf5,1901.24893141989
1,1e+05,1000,0.8,3,random,hdf5,2590.31009124305
1,1e+05,1000,1,3,random,hdf5,3235.73276213224
