"B","observations","genes","batch_size","k","initializer","method","memory"
1,1000,1000,0.005,3,random,hdf5,600.161585208378
1,1000,1000,0.01,3,random,hdf5,605.815645593454
1,1000,1000,0.05,3,random,hdf5,529.111238566126
1,1000,1000,0.1,3,random,hdf5,487.363008428337
1,1000,1000,0.2,3,random,hdf5,481.283395673493
1,1000,1000,0.5,3,random,hdf5,451.022805959852
1,1000,1000,0.8,3,random,hdf5,475.082673909404
1,1000,1000,1,3,random,hdf5,440.12615369711
1,5000,1000,0.005,3,random,hdf5,658.811449626167
1,5000,1000,0.01,3,random,hdf5,661.005785571936
1,5000,1000,0.05,3,random,hdf5,551.109613587988
1,5000,1000,0.1,3,random,hdf5,518.570497559608
1,5000,1000,0.2,3,random,hdf5,511.869905493343
1,5000,1000,0.5,3,random,hdf5,511.915094397322
1,5000,1000,0.8,3,random,hdf5,511.923830054093
1,5000,1000,1,3,random,hdf5,521.365701732739
1,25000,1000,0.005,3,random,hdf5,854.000102400275
1,25000,1000,0.01,3,random,hdf5,914.295756924363
1,25000,1000,0.05,3,random,hdf5,836.151461891121
1,25000,1000,0.1,3,random,hdf5,836.445170693497
1,25000,1000,0.2,3,random,hdf5,836.151461891121
1,25000,1000,0.5,3,random,hdf5,836.151461891121
1,25000,1000,0.8,3,random,hdf5,934.423480694058
1,25000,1000,1,3,random,hdf5,1039.99041377009
1,75000,1000,0.005,3,random,hdf5,1513.92693899354
1,75000,1000,0.01,3,random,hdf5,1645.62481546638
1,75000,1000,0.05,3,random,hdf5,1496.84032241303
1,75000,1000,0.1,3,random,hdf5,1446.08788081553
1,75000,1000,0.2,3,random,hdf5,1435.69701163575
1,75000,1000,0.5,3,random,hdf5,1503.61968797813
1,75000,1000,0.8,3,random,hdf5,2130.07848397897
1,75000,1000,1,3,random,hdf5,2472.49353959058
1,1e+05,1000,0.005,3,random,hdf5,1925.15291557979
1,1e+05,1000,0.01,3,random,hdf5,1985.07279953361
1,1e+05,1000,0.05,3,random,hdf5,1851.90935451277
1,1e+05,1000,0.1,3,random,hdf5,1791.49296481977
1,1e+05,1000,0.2,3,random,hdf5,1781.10211852817
1,1e+05,1000,0.5,3,random,hdf5,1901.37116195013
1,1e+05,1000,0.8,3,random,hdf5,2590.54056762331
1,1e+05,1000,1,3,random,hdf5,3235.85873869522
