"B","observations","genes","batch_size","k","initializer","method","memory"
3,175000,1000,0.005,3,random,mbkmeans,2409.09327842638
3,175000,1000,0.01,3,random,mbkmeans,2402.29961537588
3,175000,1000,0.05,3,random,mbkmeans,2776.18167397472
3,175000,1000,0.1,3,random,mbkmeans,2776.17500588388
3,175000,1000,0.2,3,random,mbkmeans,2776.17199990242
3,175000,1000,0.5,3,random,mbkmeans,3043.33216478856
3,175000,1000,0.8,3,random,mbkmeans,3844.8300163196
3,175000,1000,1,3,random,mbkmeans,3043.34639360942
