observations,genes,batch size,abs batch size,time1,time2,time3,geometry,dimension_1,dimension_2,choice,label2
500000,5000,0.02,10000,955.757,NA,NA,best,5000,1,full,mbkmeans
500000,5000,0.02,10000,62.203,430.371,1002.56,best,5000,1,two steps,mbkmeans
75000,5000,0.001,75,404.734,NA,NA,worst,1,75000,full,Worst-HDF5
75000,5000,0.001,75,1.113,136.983,491.038,worst,1,75000,two steps,Worst-HDF5
75000,5000,0.002,150,275.52,NA,NA,worst,1,75000,full,Worst-HDF5
75000,5000,0.002,150,1.117,102.673,420.715,worst,1,75000,two steps,Worst-HDF5
75000,5000,0.006666667,500,290.026,NA,NA,worst,1,75000,full,Worst-HDF5
75000,5000,0.006666667,500,1.843,121.417,434.799,worst,1,75000,two steps,Worst-HDF5
75000,5000,0.01,750,496.16,NA,NA,worst,1,75000,full,Worst-HDF5
75000,5000,0.01,750,1.402,127.966,498.25,worst,1,75000,two steps,Worst-HDF5
75000,5000,0.01333333,1000,378.393,NA,NA,worst,1,75000,full,Worst-HDF5
75000,5000,0.01333333,1000,1.214,201.68,570.261,worst,1,75000,two steps,Worst-HDF5
75000,5000,0.02,1500,302.944,NA,NA,worst,1,75000,full,Worst-HDF5
75000,5000,0.04,3000,463.688,NA,NA,worst,1,75000,full,Worst-HDF5
75000,5000,0.06666667,5000,479.526,NA,NA,worst,1,75000,full,Worst-HDF5
75000,5000,0.1,7500,500.156,NA,NA,worst,1,75000,full,Worst-HDF5
75000,5000,0.13333333,10000,832.84,NA,NA,worst,1,75000,full,Worst-HDF5
75000,5000,0.13333333,10000,1.083,274.342,347.048,worst,1,75000,two steps,Worst-HDF5
500000,5000,0.00015,75,2934.113,NA,NA,worst,1,500000,full,Worst-HDF5
500000,5000,0.00015,75,11.035,1492.333,2560.342,worst,1,500000,two steps,Worst-HDF5
500000,5000,3.00E-04,150,2894.364,NA,NA,worst,1,500000,full,Worst-HDF5
500000,5000,3.00E-04,150,10.401,1384.462,3131.66,worst,1,500000,two steps,Worst-HDF5
500000,5000,6.00E-04,300,2927.229,NA,NA,worst,1,500000,full,Worst-HDF5
500000,5000,6.00E-04,300,8.294,1284.914,3117.379,worst,1,500000,two steps,Worst-HDF5
500000,5000,0.001,500,2524.192,NA,NA,worst,1,500000,full,Worst-HDF5
500000,5000,0.001,500,7.755,1218.91,3688.739,worst,1,500000,two steps,Worst-HDF5
500000,5000,0.002,1000,2767.919,NA,NA,worst,1,500000,full,Worst-HDF5
500000,5000,0.002,1000,8.298,1183.708,3100.313,worst,1,500000,two steps,Worst-HDF5
500000,5000,0.003,1500,2865.234,NA,NA,worst,1,500000,full,Worst-HDF5
500000,5000,0.003,1500,7.192,1103.358,3418.146,worst,1,500000,two steps,Worst-HDF5
500000,5000,0.006,3000,2674.761,NA,NA,worst,1,500000,full,Worst-HDF5
500000,5000,0.006,3000,7.437,1598.453,3159.815,worst,1,500000,two steps,Worst-HDF5
500000,5000,0.01,5000,2971.848,NA,NA,worst,1,500000,full,Worst-HDF5
500000,5000,0.01,5000,6.509,1022.282,3251.091,worst,1,500000,two steps,Worst-HDF5
500000,5000,0.015,7500,2395.986,NA,NA,worst,1,500000,full,Worst-HDF5
500000,5000,0.015,7500,6.643,1533.193,2944.632,worst,1,500000,two steps,Worst-HDF5
500000,5000,0.02,10000,2673.908,NA,NA,worst,1,500000,full,Worst-HDF5
500000,5000,0.02,10000,6.89,1904.915,2682.799,worst,1,500000,two steps,Worst-HDF5
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
