observations,genes,batch size,abs batch size,memory,geometry,dimension_1,dimension_2,calc_label,,,,,,,,
150000,5000,0.02,3000,5517.215193,best,5000,1,FALSE,,,,,,,,
500000,5000,0.02,10000,28512.68613,best,5000,1,FALSE,mbkmeans,,,,,,,
150000,5000,0.02,3000,1094.769368,best,5000,1,TRUE,,,,,,,,
150000,5000,0.033333333,4999,5435.432073,best,5000,1,full,,,,,,,,
150000,5000,0.033333333,4999,5501.831518,best,5000,1,FALSE,,,,,,,,
500000,5000,0.02,10000,19648.56747,best,5000,1,TRUE,mbkmeans,,,,,,,
150000,5000,0.033333333,4999,1094.769368,best,5000,1,TRUE,,,,,,,,
150000,5000,0.05,7500,5443.268308,best,5000,1,full,,,,,,,,
150000,5000,0.05,7500,5434.60066,best,5000,1,FALSE,,,,,,,,
150000,5000,0.05,7500,1094.769368,best,5000,1,TRUE,,,,,,,,
150000,5000,0.066666667,10000,5501.484533,best,5000,1,full,,,,,,,,
300000,5000,0.00025,75,10507.21225,best,5000,1,full,,,,,,,,
150000,5000,0.066666667,10000,5501.484602,best,5000,1,FALSE,,,,,,,,
300000,5000,0.00025,75,10507.21232,best,5000,1,FALSE,,,,,,,,
150000,5000,0.066666667,10000,1094.769368,best,5000,1,TRUE,,,,,,,,
300000,5000,0.00025,75,1162.735989,best,5000,1,TRUE,,,,,,,,
300000,5000,5.00E-04,150,10507.21225,best,5000,1,full,,,,,,,,
300000,5000,5.00E-04,150,10507.21232,best,5000,1,FALSE,,,,,,,,
300000,5000,5.00E-04,150,1162.735989,best,5000,1,TRUE,,,,,,,,
300000,5000,0.001666667,500,10507.21225,best,5000,1,full,,,,,,,,
300000,5000,0.001666667,500,10507.21232,best,5000,1,FALSE,,,,,,,,
300000,5000,0.001666667,500,1162.735989,best,5000,1,TRUE,,,,,,,,
300000,5000,0.003333333,999,10507.21225,best,5000,1,full,,,,,,,,
300000,5000,0.003333333,999,10507.21232,best,5000,1,FALSE,,,,,,,,
300000,5000,0.003333333,999,1162.735989,best,5000,1,TRUE,,,,,,,,
300000,5000,0.005,1500,10507.21225,best,5000,1,full,,,,,,,,
300000,5000,0.005,1500,10507.21232,best,5000,1,FALSE,,,,,,,,
300000,5000,0.005,1500,1162.735989,best,5000,1,TRUE,,,,,,,,
300000,5000,0.016666667,5000,10507.21225,best,5000,1,full,,,,,,,,
300000,5000,0.016666667,5000,10507.21232,best,5000,1,FALSE,,,,,,,,
300000,5000,0.016666667,5000,1162.735989,best,5000,1,TRUE,,,,,,,,
300000,5000,0.025,7500,10507.21225,best,5000,1,full,,,,,,,,
300000,5000,0.025,7500,10507.21232,best,5000,1,FALSE,,,,,,,,
300000,5000,0.025,7500,1162.735989,best,5000,1,TRUE,,,,,,,,
300000,5000,0.03333333,9999,10507.21225,best,5000,1,full,,,,,,,,
300000,5000,0.03333333,9999,10507.21232,best,5000,1,FALSE,,,,,,,,
300000,5000,0.03333333,9999,1162.735989,best,5000,1,TRUE,,,,,,,,
75000,5000,0.001,75,4518.649042,best,5000,1,full,mbkmeans,,,,,,,
75000,5000,0.001,75,2924.985454,best,5000,1,full,,,,,,,,
75000,5000,0.001,75,3830.95626,best,5000,1,FALSE,mbkmeans,,,,,,,
75000,5000,0.001,75,2897.561611,best,5000,1,FALSE,,,,,,,,
75000,5000,0.001,75,3257.845181,best,5000,1,TRUE,mbkmeans,,,,,,,
75000,5000,0.001,75,780.4523803,best,5000,1,TRUE,,,,,,,,
75000,5000,0.002,150,4620.951578,best,5000,1,full,mbkmeans,,,,,,,
75000,5000,0.002,150,4109.384835,best,5000,1,FALSE,mbkmeans,,,,,,,
500000,5000,0.00015,75,28175.47077,best,5000,1,full,mbkmeans,,,,,,,
75000,5000,0.002,150,2905.451358,best,5000,1,full,,,,,,,,
500000,5000,0.00015,75,17265.37876,best,5000,1,full,,,,,,,,
75000,5000,0.002,150,2897.561611,best,5000,1,FALSE,,,,,,,,
500000,5000,0.00015,75,17265.37883,best,5000,1,FALSE,,,,,,,,
75000,5000,0.002,150,3257.845181,best,5000,1,TRUE,mbkmeans,,,,,,,
500000,5000,0.00015,75,22280.20921,best,5000,1,FALSE,mbkmeans,,,,,,,
75000,5000,0.006666667,500,4606.992045,best,5000,1,full,mbkmeans,,,,,,,
75000,5000,0.006666667,500,4600.115771,best,5000,1,FALSE,mbkmeans,,,,,,,
75000,5000,0.002,150,780.4523803,best,5000,1,TRUE,,,,,,,,
75000,5000,0.006666667,500,2915.32677,best,5000,1,full,,,,,,,,
75000,5000,0.006666667,500,2897.561611,best,5000,1,FALSE,,,,,,,,
75000,5000,0.006666667,500,3257.845181,best,5000,1,TRUE,mbkmeans,,,,,,,
75000,5000,0.01,750,4593.61513,best,5000,1,full,mbkmeans,,,,,,,
75000,5000,0.01,750,4593.615198,best,5000,1,FALSE,mbkmeans,,,,,,,
75000,5000,0.006666667,500,780.4523803,best,5000,1,TRUE,,,,,,,,
75000,5000,0.01,750,2982.000881,best,5000,1,full,,,,,,,,
75000,5000,0.01,750,2982.00095,best,5000,1,FALSE,,,,,,,,
75000,5000,0.01,750,3257.845181,best,5000,1,TRUE,mbkmeans,,,,,,,
75000,5000,0.01333333,999,4592.03969,best,5000,1,full,mbkmeans,,,,,,,
75000,5000,0.01333333,999,4574.175844,best,5000,1,FALSE,mbkmeans,,,,,,,
75000,5000,0.01,750,780.4523803,best,5000,1,TRUE,,,,,,,,
75000,5000,0.01333333,999,3257.845181,best,5000,1,TRUE,mbkmeans,,,,,,,
75000,5000,0.01333333,999,2958.109791,best,5000,1,full,,,,,,,,
75000,5000,0.02,1500,4575.711748,best,5000,1,full,mbkmeans,,,,,,,
75000,5000,0.01333333,999,2958.109859,best,5000,1,FALSE,,,,,,,,
75000,5000,0.02,1500,4575.78052,best,5000,1,FALSE,mbkmeans,,,,,,,
