observations,genes,batch size,abs batch size,time,geometry,dimension_1,dimension_2,,,,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.01333333,999,75.269,NA,NA,best,5000,1,full,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.01333333,999,13.132,46.657,71.654,best,5000,1,two steps,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.02,1500,77.175,NA,NA,best,5000,1,full,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.02,1500,11.965,64.857,509.116,best,5000,1,two steps,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.06666667,5000,124.003,NA,NA,best,5000,1,full,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.06666667,5000,10.418,113.869,547.59,best,5000,1,two steps,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.1,7500,149.798,NA,NA,best,5000,1,full,,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.1,7500,11.043,165.188,542.859,best,5000,1,two steps75000,5000,0.002,150,64.998,NA,NA,best,5000,1,full,mbkmeans,,,,,,,,,,,
75000,5000,0.002,150,12.074,34.281,153.882,best,5000,1,two steps,mbkmeans,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.006666667,500,68.372,NA,NA,best,5000,1,full,mbkmeans,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.006666667,500,12.153,39.58,68.323,best,5000,1,two steps,mbkmeans,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.01333333,999,83.468,NA,NA,best,5000,1,full,mbkmeans,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.01333333,999,13.085,43.986,73.387,best,5000,1,two steps,mbkmeans,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.02,1500,107.216,NA,NA,best,5000,1,full,mbkmeans,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.02,1500,12.256,57.719,541.601,best,5000,1,two steps,mbkmeans,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.06666667,5000,128.286,NA,NA,best,5000,1,full,mbkmeans,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.06666667,5000,11.482,172.251,586.933,best,5000,1,two steps,mbkmeans,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.1,7500,233.638,NA,NA,best,5000,1,full,mbkmeans,,,,,,,,,,,,,,,,,,,,,
75000,5000,0.1,7500,10.45,206.071,591.612,best,5000,1,two steps,mbkmeans,,,,,,,,,,,,,,,,,,,,,
150000,5000,5.00E-04,75,195.711,NA,NA,best,5000,1,full,,,,,,,,,,,,,,,,,,,,,,
300000,5000,0.001,300,367.572,NA,NA,best,5000,1,full,,,,,,,,,,,,,,,,,,,,,,
500000,5000,0.002,1000,560.183,NA,NA,best,5000,1,full,mbkmeans,,,,,,,,,,,,,,,,,,,,,
