observations,genes,batch size,abs batch size,memory,geometry,dimension_1,dimension_2,calc_label,label2
75000,5000,0.01,750,780.4523803,best,5000,1,Labels,Best-HDF5
75000,5000,0.01333333,1000,2958.109791,best,5000,1,Whole,Best-HDF5
75000,5000,0.01333333,1000,2958.109859,best,5000,1,Centroid,Best-HDF5
75000,5000,0.01333333,1000,780.4523803,best,5000,1,Labels,Best-HDF5
500000,5000,0.002,1000,17265.37876,best,5000,1,Whole,Best-HDF5
500000,5000,0.002,1000,17265.37883,best,5000,1,Centroid,Best-HDF5
500000,5000,0.002,1000,1866.513114,best,5000,1,Labels,Best-HDF5
75000,5000,0.02,1500,2961.546764,best,5000,1,Whole,Best-HDF5
500000,5000,0.003,1500,17265.37876,best,5000,1,Whole,Best-HDF5
75000,5000,0.02,1500,2961.546833,best,5000,1,Centroid,Best-HDF5
500000,5000,0.003,1500,17265.37883,best,5000,1,Centroid,Best-HDF5
75000,5000,0.02,1500,780.4523803,best,5000,1,Labels,Best-HDF5
500000,5000,0.003,1500,1866.513114,best,5000,1,Labels,Best-HDF5
75000,5000,0.04,3000,2910.913654,best,5000,1,Whole,Best-HDF5
500000,5000,0.006,3000,17265.37876,best,5000,1,Whole,Best-HDF5
75000,5000,0.04,3000,2910.913723,best,5000,1,Centroid,Best-HDF5
500000,5000,0.006,3000,17265.37883,best,5000,1,Centroid,Best-HDF5
75000,5000,0.04,3000,780.4523803,best,5000,1,Labels,Best-HDF5
500000,5000,0.006,3000,1866.513114,best,5000,1,Labels,Best-HDF5
75000,5000,0.06666667,5000,2938.196758,best,5000,1,Whole,Best-HDF5
500000,5000,0.01,5000,17265.37876,best,5000,1,Whole,Best-HDF5
75000,5000,0.06666667,5000,2938.196827,best,5000,1,Centroid,Best-HDF5
500000,5000,0.01,5000,17265.37883,best,5000,1,Centroid,Best-HDF5
75000,5000,0.06666667,5000,780.4523803,best,5000,1,Labels,Best-HDF5
500000,5000,0.01,5000,1866.513114,best,5000,1,Labels,Best-HDF5
75000,5000,0.1,7500,2897.561542,best,5000,1,Whole,Best-HDF5
500000,5000,0.015,7500,17265.37876,best,5000,1,Whole,Best-HDF5
75000,5000,0.1,7500,2897.561611,best,5000,1,Centroid,Best-HDF5
500000,5000,0.015,7500,17265.37883,best,5000,1,Centroid,Best-HDF5
75000,5000,0.1,7500,780.4523803,best,5000,1,Labels,Best-HDF5
500000,5000,0.015,7500,1866.513114,best,5000,1,Labels,Best-HDF5
75000,5000,0.13333333,10000,3070.260983,best,5000,1,Whole,Best-HDF5
75000,5000,0.13333333,10000,3070.261051,best,5000,1,Centroid,Best-HDF5
75000,5000,0.13333333,10000,780.4523803,best,5000,1,Labels,Best-HDF5
500000,5000,0.02,10000,17265.37876,best,5000,1,Whole,Best-HDF5
500000,5000,0.02,10000,17265.37883,best,5000,1,Centroid,Best-HDF5
500000,5000,0.02,10000,1866.513114,best,5000,1,Labels,Best-HDF5
75000,5000,0.001,75,3061.658901,worst,1,75000,Whole,Worst-HDF5
75000,5000,0.001,75,2897.561672,worst,1,75000,Centroid,Worst-HDF5
75000,5000,0.001,75,780.4614745,worst,1,75000,Labels,Worst-HDF5
75000,5000,0.002,150,2970.016697,worst,1,75000,Whole,Worst-HDF5
75000,5000,0.002,150,2897.561672,worst,1,75000,Centroid,Worst-HDF5
75000,5000,0.002,150,780.4614745,worst,1,75000,Labels,Worst-HDF5
75000,5000,0.006666667,500,2967.528034,worst,1,75000,Whole,Worst-HDF5
75000,5000,0.006666667,500,2897.561672,worst,1,75000,Centroid,Worst-HDF5
75000,5000,0.006666667,500,780.4614745,worst,1,75000,Labels,Worst-HDF5
75000,5000,0.01,750,2962.52306,worst,1,75000,Whole,Worst-HDF5
75000,5000,0.01,750,2981.625278,worst,1,75000,Centroid,Worst-HDF5
75000,5000,0.01,750,780.4614745,worst,1,75000,Labels,Worst-HDF5
75000,5000,0.01333333,1000,2970.331379,worst,1,75000,Whole,Worst-HDF5
75000,5000,0.01333333,1000,2957.817684,worst,1,75000,Centroid,Worst-HDF5
75000,5000,0.01333333,1000,780.4614745,worst,1,75000,Labels,Worst-HDF5
75000,5000,0.02,1500,2961.146923,worst,1,75000,Whole,Worst-HDF5
75000,5000,0.02,1500,2961.146991,worst,1,75000,Centroid,Worst-HDF5
75000,5000,0.02,1500,780.4614745,worst,1,75000,Labels,Worst-HDF5
75000,5000,0.04,3000,2960.833439,worst,1,75000,Whole,Worst-HDF5
75000,5000,0.04,3000,2910.45663,worst,1,75000,Centroid,Worst-HDF5
75000,5000,0.04,3000,780.4614745,worst,1,75000,Labels,Worst-HDF5
75000,5000,0.06666667,5000,2937.640911,worst,1,75000,Whole,Worst-HDF5
75000,5000,0.06666667,5000,2937.640979,worst,1,75000,Centroid,Worst-HDF5
75000,5000,0.06666667,5000,780.4614745,worst,1,75000,Labels,Worst-HDF5
75000,5000,0.1,7500,2962.522953,worst,1,75000,Whole,Worst-HDF5
75000,5000,0.1,7500,2897.561672,worst,1,75000,Centroid,Worst-HDF5
75000,5000,0.1,7500,780.4614745,worst,1,75000,Labels,Worst-HDF5
75000,5000,0.13333333,10000,3069.888119,worst,1,75000,Whole,Worst-HDF5
75000,5000,0.13333333,10000,3069.888188,worst,1,75000,Centroid,Worst-HDF5
75000,5000,0.13333333,10000,780.4614745,worst,1,75000,Labels,Worst-HDF5
500000,5000,0.00015,75,17265.37882,worst,1,500000,Whole,Worst-HDF5
500000,5000,0.00015,75,17265.37889,worst,1,500000,Centroid,Worst-HDF5
500000,5000,0.00015,75,1866.513175,worst,1,500000,Labels,Worst-HDF5
