"B","observations","genes","abs_batch","k","method","WCSS"
11,10000,1000,75,15,ClusterR,559309766.256417
12,10000,1000,75,15,ClusterR,3831685047.07145
13,10000,1000,75,15,ClusterR,16360781559.2555
14,10000,1000,75,15,ClusterR,511646256.035125
15,10000,1000,75,15,ClusterR,436951426.164721
16,10000,1000,75,15,ClusterR,417313135.497584
17,10000,1000,75,15,ClusterR,622787497.330346
18,10000,1000,75,15,ClusterR,420814067.648093
19,10000,1000,75,15,ClusterR,497320615.22463
20,10000,1000,75,15,ClusterR,656177605.917951
21,10000,1000,75,15,ClusterR,548282323.848747
22,10000,1000,75,15,ClusterR,1208376553.02959
23,10000,1000,75,15,ClusterR,534774275.694807
24,10000,1000,75,15,ClusterR,541974623.025922
25,10000,1000,75,15,ClusterR,491747338.647046
26,10000,1000,75,15,ClusterR,387588804.54695
27,10000,1000,75,15,ClusterR,344295663.702784
28,10000,1000,75,15,ClusterR,674125538.298775
29,10000,1000,75,15,ClusterR,1046443565.25486
30,10000,1000,75,15,ClusterR,1831977301.68974
31,10000,1000,75,15,ClusterR,487488108.315357
32,10000,1000,75,15,ClusterR,663225679.986277
33,10000,1000,75,15,ClusterR,824958457.100978
34,10000,1000,75,15,ClusterR,976589993.122696
35,10000,1000,75,15,ClusterR,650858071.177575
36,10000,1000,75,15,ClusterR,415439148.53526
37,10000,1000,75,15,ClusterR,448786487.394238
38,10000,1000,75,15,ClusterR,364992591.268029
39,10000,1000,75,15,ClusterR,367797798.392006
40,10000,1000,75,15,ClusterR,464449691.476298
41,10000,1000,75,15,ClusterR,691180782.602293
42,10000,1000,75,15,ClusterR,509830180.162377
43,10000,1000,75,15,ClusterR,1057982468.19769
44,10000,1000,75,15,ClusterR,365865783.182608
45,10000,1000,75,15,ClusterR,486033226.620962
46,10000,1000,75,15,ClusterR,370464392.060276
47,10000,1000,75,15,ClusterR,474441011.797165
48,10000,1000,75,15,ClusterR,373631401.358482
49,10000,1000,75,15,ClusterR,413590240.051778
50,10000,1000,75,15,ClusterR,340445435.333889
1,10000,1000,150,15,ClusterR,401812773.536173
2,10000,1000,150,15,ClusterR,323565222.170974
3,10000,1000,150,15,ClusterR,311346791.23211
4,10000,1000,150,15,ClusterR,300863225.714165
5,10000,1000,150,15,ClusterR,441126654.767566
6,10000,1000,150,15,ClusterR,325692161.313219
7,10000,1000,150,15,ClusterR,934284029.07917
8,10000,1000,150,15,ClusterR,531479308.271957
9,10000,1000,150,15,ClusterR,548804580.653559
10,10000,1000,150,15,ClusterR,328906154.683266
11,10000,1000,150,15,ClusterR,798103719.648099
12,10000,1000,150,15,ClusterR,452928411.446462
13,10000,1000,150,15,ClusterR,21566651193.902
14,10000,1000,150,15,ClusterR,408979679.271091
15,10000,1000,150,15,ClusterR,331935427.09718
16,10000,1000,150,15,ClusterR,282858723.682947
17,10000,1000,150,15,ClusterR,1806296171.44308
