"B","observations","genes","abs_batch","k","method","WCSS"
8,5000,1000,75,15,mbkmeans,160853851.3412
9,5000,1000,75,15,mbkmeans,174792404.951006
10,5000,1000,75,15,mbkmeans,195006447.742267
11,5000,1000,75,15,mbkmeans,164295297.65321
12,5000,1000,75,15,mbkmeans,216522151.243773
13,5000,1000,75,15,mbkmeans,310160540.996077
14,5000,1000,75,15,mbkmeans,192121028.523342
15,5000,1000,75,15,mbkmeans,179564810.194521
16,5000,1000,75,15,mbkmeans,168423039.166205
17,5000,1000,75,15,mbkmeans,187929271.520382
18,5000,1000,75,15,mbkmeans,242133705.953323
19,5000,1000,75,15,mbkmeans,196362658.916509
20,5000,1000,75,15,mbkmeans,324397654.487589
21,5000,1000,75,15,mbkmeans,172124287.346139
22,5000,1000,75,15,mbkmeans,218917442.183359
23,5000,1000,75,15,mbkmeans,200347339.440066
24,5000,1000,75,15,mbkmeans,183917446.623372
25,5000,1000,75,15,mbkmeans,245460434.836811
26,5000,1000,75,15,mbkmeans,221338287.699386
27,5000,1000,75,15,mbkmeans,242520688.349633
28,5000,1000,75,15,mbkmeans,256561549.294144
29,5000,1000,75,15,mbkmeans,357041100.011349
30,5000,1000,75,15,mbkmeans,207522411.140537
31,5000,1000,75,15,mbkmeans,204458909.282512
32,5000,1000,75,15,mbkmeans,191554402.80464
33,5000,1000,75,15,mbkmeans,170967932.457166
34,5000,1000,75,15,mbkmeans,220526096.798508
35,5000,1000,75,15,mbkmeans,285869473.389013
36,5000,1000,75,15,mbkmeans,270498698.63412
37,5000,1000,75,15,mbkmeans,197190618.146035
38,5000,1000,75,15,mbkmeans,181688424.019343
39,5000,1000,75,15,mbkmeans,212232720.384741
40,5000,1000,75,15,mbkmeans,208212317.71096
41,5000,1000,75,15,mbkmeans,223045901.509869
42,5000,1000,75,15,mbkmeans,372319191.258314
43,5000,1000,75,15,mbkmeans,400540295.628947
44,5000,1000,75,15,mbkmeans,184371244.514792
