"B","observations","genes","abs_batch","k","method","WCSS"
1,25000,5000,10,15,kmeans,563108903.518093
2,25000,5000,10,15,kmeans,565953745.079103
3,25000,5000,10,15,kmeans,565954719.043574
4,25000,5000,10,15,kmeans,565216618.430752
5,25000,5000,10,15,kmeans,690496353.543124
6,25000,5000,10,15,kmeans,688509864.440323
7,25000,5000,10,15,kmeans,688993279.853366
8,25000,5000,10,15,kmeans,565231280.825631
9,25000,5000,10,15,kmeans,563119167.997691
10,25000,5000,10,15,kmeans,565952402.761147
11,25000,5000,10,15,kmeans,690336932.11368
12,25000,5000,10,15,kmeans,690651770.93145
13,25000,5000,10,15,kmeans,688917359.240386
14,25000,5000,10,15,kmeans,690334115.650935
15,25000,5000,10,15,kmeans,690335662.168091
16,25000,5000,10,15,kmeans,692296658.272512
17,25000,5000,10,15,kmeans,564302590.994183
18,25000,5000,10,15,kmeans,688495095.100144
19,25000,5000,10,15,kmeans,690332241.907993
20,25000,5000,10,15,kmeans,688498378.48802
21,25000,5000,10,15,kmeans,563108771.292542
22,25000,5000,10,15,kmeans,689170927.600157
23,25000,5000,10,15,kmeans,688978620.669327
24,25000,5000,10,15,kmeans,693310321.280722
25,25000,5000,10,15,kmeans,563114686.127749
26,25000,5000,10,15,kmeans,687693470.584006
27,25000,5000,10,15,kmeans,688934741.879492
28,25000,5000,10,15,kmeans,688495109.551888
29,25000,5000,10,15,kmeans,565955309.75444
30,25000,5000,10,15,kmeans,565955616.827421
31,25000,5000,10,15,kmeans,687698041.749511
32,25000,5000,10,15,kmeans,561559371.646505
33,25000,5000,10,15,kmeans,688713148.633684
34,25000,5000,10,15,kmeans,561589378.707759
35,25000,5000,10,15,kmeans,688223074.902881
36,25000,5000,10,15,kmeans,688153898.216784
37,25000,5000,10,15,kmeans,688494995.265924
38,25000,5000,10,15,kmeans,690907519.59775
39,25000,5000,10,15,kmeans,565955336.278297
40,25000,5000,10,15,kmeans,690377959.591252
41,25000,5000,10,15,kmeans,692939711.288989
42,25000,5000,10,15,kmeans,689540114.338445
43,25000,5000,10,15,kmeans,688978620.669327
44,25000,5000,10,15,kmeans,690496353.543124
45,25000,5000,10,15,kmeans,689540137.583038
