"B","observations","genes","abs_batch","k","method","WCSS"
11,10000,1000,75,15,ClusterR,10227170861.7443
12,10000,1000,75,15,ClusterR,330098487.742389
13,10000,1000,75,15,ClusterR,1460593121.33845
14,10000,1000,75,15,ClusterR,528649512.887081
15,10000,1000,75,15,ClusterR,1092299537.9501
16,10000,1000,75,15,ClusterR,2754908955.36763
17,10000,1000,75,15,ClusterR,1623681358.33689
18,10000,1000,75,15,ClusterR,552141452.329157
19,10000,1000,75,15,ClusterR,329397826.729499
20,10000,1000,75,15,ClusterR,380833728.760178
21,10000,1000,75,15,ClusterR,553389680.085012
22,10000,1000,75,15,ClusterR,335601027.971103
23,10000,1000,75,15,ClusterR,410317112.674549
24,10000,1000,75,15,ClusterR,592339528.110918
25,10000,1000,75,15,ClusterR,2421781604.52501
26,10000,1000,75,15,ClusterR,976197744.638483
27,10000,1000,75,15,ClusterR,1555911314.77605
28,10000,1000,75,15,ClusterR,1821405700.1115
29,10000,1000,75,15,ClusterR,347093197.791231
30,10000,1000,75,15,ClusterR,412283995.062986
31,10000,1000,75,15,ClusterR,422741273.333902
32,10000,1000,75,15,ClusterR,367253905.942759
33,10000,1000,75,15,ClusterR,369962884.526196
34,10000,1000,75,15,ClusterR,535868330.396299
35,10000,1000,75,15,ClusterR,476751054.021492
36,10000,1000,75,15,ClusterR,271130027.044233
37,10000,1000,75,15,ClusterR,369771863.339684
38,10000,1000,75,15,ClusterR,334786130.615784
39,10000,1000,75,15,ClusterR,925453033.069996
40,10000,1000,75,15,ClusterR,744435943.316719
41,10000,1000,75,15,ClusterR,354351653.461054
42,10000,1000,75,15,ClusterR,363133476.079209
43,10000,1000,75,15,ClusterR,513433423.321502
44,10000,1000,75,15,ClusterR,659019584.660096
45,10000,1000,75,15,ClusterR,690177871.761231
46,10000,1000,75,15,ClusterR,583744356.640958
47,10000,1000,75,15,ClusterR,195566833526.771
48,10000,1000,75,15,ClusterR,360974839.212868
49,10000,1000,75,15,ClusterR,564477992.666215
50,10000,1000,75,15,ClusterR,649448328.428437
1,10000,1000,150,15,ClusterR,283565425.11637
2,10000,1000,150,15,ClusterR,491364062.373365
3,10000,1000,150,15,ClusterR,525181552.453591
4,10000,1000,150,15,ClusterR,395764585.818074
5,10000,1000,150,15,ClusterR,382807912.117409
6,10000,1000,150,15,ClusterR,300236885.629444
7,10000,1000,150,15,ClusterR,469211456.086673
8,10000,1000,150,15,ClusterR,389600135.772645
9,10000,1000,150,15,ClusterR,339537498.526163
10,10000,1000,150,15,ClusterR,556935799.178656
11,10000,1000,150,15,ClusterR,412692288.46284
12,10000,1000,150,15,ClusterR,378467295.452244
13,10000,1000,150,15,ClusterR,317384669.803407
14,10000,1000,150,15,ClusterR,570198674.032772
15,10000,1000,150,15,ClusterR,1586098776.63213
16,10000,1000,150,15,ClusterR,607974268.18061
