"B","observations","genes","abs_batch","k","method","WCSS"
16,5000,5000,75,15,kmeans,146067156.844869
17,5000,5000,75,15,kmeans,114629551.399498
18,5000,5000,75,15,kmeans,146189659.373115
19,5000,5000,75,15,kmeans,114434702.44937
20,5000,5000,75,15,kmeans,146762536.018473
21,5000,5000,75,15,kmeans,145966155.230654
22,5000,5000,75,15,kmeans,114371698.604554
23,5000,5000,75,15,kmeans,145944324.16301
24,5000,5000,75,15,kmeans,114709740.060386
25,5000,5000,75,15,kmeans,146038129.130978
26,5000,5000,75,15,kmeans,115008208.030578
27,5000,5000,75,15,kmeans,145950885.509418
28,5000,5000,75,15,kmeans,114349055.424155
29,5000,5000,75,15,kmeans,146412953.036874
30,5000,5000,75,15,kmeans,114538616.084002
31,5000,5000,75,15,kmeans,145968131.149604
32,5000,5000,75,15,kmeans,145968706.839334
33,5000,5000,75,15,kmeans,146382350.298283
34,5000,5000,75,15,kmeans,146081641.18109
35,5000,5000,75,15,kmeans,146485119.62917
36,5000,5000,75,15,kmeans,145976296.680421
37,5000,5000,75,15,kmeans,114263928.535693
38,5000,5000,75,15,kmeans,145750903.148438
39,5000,5000,75,15,kmeans,114242186.036661
40,5000,5000,75,15,kmeans,114299885.44669
41,5000,5000,75,15,kmeans,114593333.607486
42,5000,5000,75,15,kmeans,146276147.148577
43,5000,5000,75,15,kmeans,114259993.394701
44,5000,5000,75,15,kmeans,146299471.63743
45,5000,5000,75,15,kmeans,145967751.349124
46,5000,5000,75,15,kmeans,114624582.127269
47,5000,5000,75,15,kmeans,146214651.690416
48,5000,5000,75,15,kmeans,114352515.858118
49,5000,5000,75,15,kmeans,114629551.399498
50,5000,5000,75,15,kmeans,114494062.015252
1,5000,5000,150,15,kmeans,146303033.476863
2,5000,5000,150,15,kmeans,145980400.539087
3,5000,5000,150,15,kmeans,146049034.066022
4,5000,5000,150,15,kmeans,146050997.818837
5,5000,5000,150,15,kmeans,146053523.694285
6,5000,5000,150,15,kmeans,146293844.337197
7,5000,5000,150,15,kmeans,114807762.33812
8,5000,5000,150,15,kmeans,146306891.493628
9,5000,5000,150,15,kmeans,146186266.622088
10,5000,5000,150,15,kmeans,146126572.597758
11,5000,5000,150,15,kmeans,146053523.694285
12,5000,5000,150,15,kmeans,114484668.183943
13,5000,5000,150,15,kmeans,114241531.222766
14,5000,5000,150,15,kmeans,114755901.130245
15,5000,5000,150,15,kmeans,146200471.908237
16,5000,5000,150,15,kmeans,146682798.642781
17,5000,5000,150,15,kmeans,146049032.31774
18,5000,5000,150,15,kmeans,145966180.026187
19,5000,5000,150,15,kmeans,146184126.77011
20,5000,5000,150,15,kmeans,114266714.215993
21,5000,5000,150,15,kmeans,114241664.282239
22,5000,5000,150,15,kmeans,145883171.649415
23,5000,5000,150,15,kmeans,114775197.475131
24,5000,5000,150,15,kmeans,146351723.589953
25,5000,5000,150,15,kmeans,145973582.112914
26,5000,5000,150,15,kmeans,146023133.446995
27,5000,5000,150,15,kmeans,114348927.996491
28,5000,5000,150,15,kmeans,146311764.28703
29,5000,5000,150,15,kmeans,114489780.066532
30,5000,5000,150,15,kmeans,145891434.776234
31,5000,5000,150,15,kmeans,114417196.150758
