"B","observations","genes","abs_batch","k","method","WCSS"
8,10000,5000,75,15,mbkmeans,327428040.607095
9,10000,5000,75,15,mbkmeans,357724916.908528
10,10000,5000,75,15,mbkmeans,394730609.356308
11,10000,5000,75,15,mbkmeans,291481105.275527
12,10000,5000,75,15,mbkmeans,354286695.419382
13,10000,5000,75,15,mbkmeans,367173714.700681
14,10000,5000,75,15,mbkmeans,459839705.217855
15,10000,5000,75,15,mbkmeans,315810771.166302
16,10000,5000,75,15,mbkmeans,341709229.617711
17,10000,5000,75,15,mbkmeans,378842697.375961
18,10000,5000,75,15,mbkmeans,355541049.08892
19,10000,5000,75,15,mbkmeans,320467593.564482
20,10000,5000,75,15,mbkmeans,350980755.371021
21,10000,5000,75,15,mbkmeans,368081804.815365
22,10000,5000,75,15,mbkmeans,390624987.692642
23,10000,5000,75,15,mbkmeans,309757318.459867
24,10000,5000,75,15,mbkmeans,387849323.461813
25,10000,5000,75,15,mbkmeans,451292810.036067
26,10000,5000,75,15,mbkmeans,378449442.945452
27,10000,5000,75,15,mbkmeans,333908280.119282
28,10000,5000,75,15,mbkmeans,320268605.728408
29,10000,5000,75,15,mbkmeans,308281262.128541
30,10000,5000,75,15,mbkmeans,506125226.795458
31,10000,5000,75,15,mbkmeans,308627963.712067
32,10000,5000,75,15,mbkmeans,302486369.291116
33,10000,5000,75,15,mbkmeans,468825465.839201
34,10000,5000,75,15,mbkmeans,383655624.216157
35,10000,5000,75,15,mbkmeans,399323281.795711
36,10000,5000,75,15,mbkmeans,464640372.079042
37,10000,5000,75,15,mbkmeans,438495303.31918
38,10000,5000,75,15,mbkmeans,318262095.050796
39,10000,5000,75,15,mbkmeans,328875723.948294
40,10000,5000,75,15,mbkmeans,497571627.976623
41,10000,5000,75,15,mbkmeans,385838072.566722
42,10000,5000,75,15,mbkmeans,483388672.843409
43,10000,5000,75,15,mbkmeans,368310062.24121
44,10000,5000,75,15,mbkmeans,328445877.387763
45,10000,5000,75,15,mbkmeans,456042557.87985
46,10000,5000,75,15,mbkmeans,307534420.573017
47,10000,5000,75,15,mbkmeans,426163357.1763
48,10000,5000,75,15,mbkmeans,678151242.8835
49,10000,5000,75,15,mbkmeans,285216005.483478
50,10000,5000,75,15,mbkmeans,313517089.781793
1,10000,5000,150,15,mbkmeans,332416959.016079
2,10000,5000,150,15,mbkmeans,270236151.850297
3,10000,5000,150,15,mbkmeans,442129558.169934
4,10000,5000,150,15,mbkmeans,456348829.88312
5,10000,5000,150,15,mbkmeans,356783399.690805
6,10000,5000,150,15,mbkmeans,338460759.871728
7,10000,5000,150,15,mbkmeans,372402849.071643
8,10000,5000,150,15,mbkmeans,311515204.255785
9,10000,5000,150,15,mbkmeans,341068732.967065
10,10000,5000,150,15,mbkmeans,356677853.870551
11,10000,5000,150,15,mbkmeans,447485064.138799
12,10000,5000,150,15,mbkmeans,270701463.806423
13,10000,5000,150,15,mbkmeans,401301230.833689
14,10000,5000,150,15,mbkmeans,323641015.290841
15,10000,5000,150,15,mbkmeans,310122475.251446
16,10000,5000,150,15,mbkmeans,348813440.521746
17,10000,5000,150,15,mbkmeans,334795451.195026
18,10000,5000,150,15,mbkmeans,333658329.656031
19,10000,5000,150,15,mbkmeans,294889074.969798
20,10000,5000,150,15,mbkmeans,360453926.490611
21,10000,5000,150,15,mbkmeans,325129080.300913
22,10000,5000,150,15,mbkmeans,310748904.424552
23,10000,5000,150,15,mbkmeans,509683119.945555
24,10000,5000,150,15,mbkmeans,303959934.797603
25,10000,5000,150,15,mbkmeans,371873182.282269
26,10000,5000,150,15,mbkmeans,278744938.098668
27,10000,5000,150,15,mbkmeans,310433385.209626
28,10000,5000,150,15,mbkmeans,346181844.144297
29,10000,5000,150,15,mbkmeans,312587137.470037
30,10000,5000,150,15,mbkmeans,325102622.303306
31,10000,5000,150,15,mbkmeans,410458123.870713
32,10000,5000,150,15,mbkmeans,400743727.280512
33,10000,5000,150,15,mbkmeans,266861246.118554
34,10000,5000,150,15,mbkmeans,337344689.129855
35,10000,5000,150,15,mbkmeans,361758997.070933
36,10000,5000,150,15,mbkmeans,294103235.808749
37,10000,5000,150,15,mbkmeans,372346655.410852
38,10000,5000,150,15,mbkmeans,336262631.371312
39,10000,5000,150,15,mbkmeans,305414482.5335
40,10000,5000,150,15,mbkmeans,369767948.798831
41,10000,5000,150,15,mbkmeans,340170980.283311
42,10000,5000,150,15,mbkmeans,290435457.789469
43,10000,5000,150,15,mbkmeans,333556509.638103
44,10000,5000,150,15,mbkmeans,454393931.762573
45,10000,5000,150,15,mbkmeans,313401604.756077
46,10000,5000,150,15,mbkmeans,350480311.406614
47,10000,5000,150,15,mbkmeans,342038891.513772
48,10000,5000,150,15,mbkmeans,332857161.940926
49,10000,5000,150,15,mbkmeans,351314706.422439
50,10000,5000,150,15,mbkmeans,341840085.168881
1,10000,5000,500,15,mbkmeans,302668254.817727
2,10000,5000,500,15,mbkmeans,268311416.214996
3,10000,5000,500,15,mbkmeans,334898353.391328
4,10000,5000,500,15,mbkmeans,284430640.973972
5,10000,5000,500,15,mbkmeans,309825586.871258
6,10000,5000,500,15,mbkmeans,268752437.762927
7,10000,5000,500,15,mbkmeans,327293607.029066
8,10000,5000,500,15,mbkmeans,234780354.362435
9,10000,5000,500,15,mbkmeans,257034318.665162
10,10000,5000,500,15,mbkmeans,265818398.087752
11,10000,5000,500,15,mbkmeans,277621040.443229
12,10000,5000,500,15,mbkmeans,259821893.216685
13,10000,5000,500,15,mbkmeans,279568290.216827
14,10000,5000,500,15,mbkmeans,247921098.45027
15,10000,5000,500,15,mbkmeans,239779391.325625
16,10000,5000,500,15,mbkmeans,295197797.742567
17,10000,5000,500,15,mbkmeans,283663028.825519
18,10000,5000,500,15,mbkmeans,267529407.740644
19,10000,5000,500,15,mbkmeans,318411343.650643
20,10000,5000,500,15,mbkmeans,278849159.355494
21,10000,5000,500,15,mbkmeans,271500325.155173
22,10000,5000,500,15,mbkmeans,296003010.472824
23,10000,5000,500,15,mbkmeans,272951104.278261
24,10000,5000,500,15,mbkmeans,274810099.007466
25,10000,5000,500,15,mbkmeans,287049520.005578
26,10000,5000,500,15,mbkmeans,237313815.168416
27,10000,5000,500,15,mbkmeans,270042343.803864
28,10000,5000,500,15,mbkmeans,269899375.65357
29,10000,5000,500,15,mbkmeans,260328583.976342
30,10000,5000,500,15,mbkmeans,296343193.262426
31,10000,5000,500,15,mbkmeans,339848330.0945
32,10000,5000,500,15,mbkmeans,275589407.953133
33,10000,5000,500,15,mbkmeans,322018976.317207
34,10000,5000,500,15,mbkmeans,282940204.657267
35,10000,5000,500,15,mbkmeans,281009071.742148
36,10000,5000,500,15,mbkmeans,294432979.304614
37,10000,5000,500,15,mbkmeans,252009245.002741
38,10000,5000,500,15,mbkmeans,320200192.393507
39,10000,5000,500,15,mbkmeans,278292269.751861
40,10000,5000,500,15,mbkmeans,262220643.381806
41,10000,5000,500,15,mbkmeans,262193724.289973
42,10000,5000,500,15,mbkmeans,276050748.289962
43,10000,5000,500,15,mbkmeans,263205401.050045
44,10000,5000,500,15,mbkmeans,291882000.239653
45,10000,5000,500,15,mbkmeans,279350753.93017
46,10000,5000,500,15,mbkmeans,260859799.387265
47,10000,5000,500,15,mbkmeans,254384458.51141
48,10000,5000,500,15,mbkmeans,369870277.274025
49,10000,5000,500,15,mbkmeans,343787326.28879
50,10000,5000,500,15,mbkmeans,332474230.461875
1,10000,5000,750,15,mbkmeans,255119168.559447
2,10000,5000,750,15,mbkmeans,250806391.032372
3,10000,5000,750,15,mbkmeans,252244264.244502
4,10000,5000,750,15,mbkmeans,340465816.143754
5,10000,5000,750,15,mbkmeans,252337160.146532
6,10000,5000,750,15,mbkmeans,269229824.336739
7,10000,5000,750,15,mbkmeans,312520381.092879
8,10000,5000,750,15,mbkmeans,254263278.553041
9,10000,5000,750,15,mbkmeans,275940453.124742
10,10000,5000,750,15,mbkmeans,262007131.44322
11,10000,5000,750,15,mbkmeans,278529556.630818
12,10000,5000,750,15,mbkmeans,284104725.238621
13,10000,5000,750,15,mbkmeans,263336619.863042
14,10000,5000,750,15,mbkmeans,255155128.328434
15,10000,5000,750,15,mbkmeans,253300814.859601
16,10000,5000,750,15,mbkmeans,254773130.47255
17,10000,5000,750,15,mbkmeans,336143633.844349
18,10000,5000,750,15,mbkmeans,252131387.320973
19,10000,5000,750,15,mbkmeans,260757509.562431
20,10000,5000,750,15,mbkmeans,238186763.228591
21,10000,5000,750,15,mbkmeans,273177420.364154
22,10000,5000,750,15,mbkmeans,266444730.714007
23,10000,5000,750,15,mbkmeans,314769779.971234
24,10000,5000,750,15,mbkmeans,244486049.494723
25,10000,5000,750,15,mbkmeans,301187397.24574
26,10000,5000,750,15,mbkmeans,256414905.377203
27,10000,5000,750,15,mbkmeans,228915865.96559
28,10000,5000,750,15,mbkmeans,259165360.764181
29,10000,5000,750,15,mbkmeans,268068532.408358
30,10000,5000,750,15,mbkmeans,264886159.09042
31,10000,5000,750,15,mbkmeans,255145834.342364
32,10000,5000,750,15,mbkmeans,257757064.42503
33,10000,5000,750,15,mbkmeans,273814611.779532
34,10000,5000,750,15,mbkmeans,261231526.202181
35,10000,5000,750,15,mbkmeans,269507178.49675
36,10000,5000,750,15,mbkmeans,237485437.6209
37,10000,5000,750,15,mbkmeans,318220969.997283
38,10000,5000,750,15,mbkmeans,255556322.808076
39,10000,5000,750,15,mbkmeans,266934128.045527
40,10000,5000,750,15,mbkmeans,261347033.267315
41,10000,5000,750,15,mbkmeans,249205422.920206
42,10000,5000,750,15,mbkmeans,320656775.644007
43,10000,5000,750,15,mbkmeans,260603437.728765
44,10000,5000,750,15,mbkmeans,264949723.076002
45,10000,5000,750,15,mbkmeans,241134400.851917
46,10000,5000,750,15,mbkmeans,271630721.053504
47,10000,5000,750,15,mbkmeans,266701041.007762
48,10000,5000,750,15,mbkmeans,247769676.611142
49,10000,5000,750,15,mbkmeans,259874574.190063
50,10000,5000,750,15,mbkmeans,338166073.812634
1,10000,5000,1000,15,mbkmeans,323386691.931114
2,10000,5000,1000,15,mbkmeans,259269507.799935
3,10000,5000,1000,15,mbkmeans,244956118.716607
4,10000,5000,1000,15,mbkmeans,257623392.311787
5,10000,5000,1000,15,mbkmeans,322134815.534912
6,10000,5000,1000,15,mbkmeans,262185417.807208
7,10000,5000,1000,15,mbkmeans,247922018.412772
8,10000,5000,1000,15,mbkmeans,259029266.847181
9,10000,5000,1000,15,mbkmeans,240128004.336479
10,10000,5000,1000,15,mbkmeans,260475844.639412
11,10000,5000,1000,15,mbkmeans,314523795.648795
12,10000,5000,1000,15,mbkmeans,244857550.895365
13,10000,5000,1000,15,mbkmeans,239295131.888715
14,10000,5000,1000,15,mbkmeans,268342233.284931
15,10000,5000,1000,15,mbkmeans,236216993.623329
16,10000,5000,1000,15,mbkmeans,247825502.405016
17,10000,5000,1000,15,mbkmeans,261829479.840286
18,10000,5000,1000,15,mbkmeans,266656213.327331
19,10000,5000,1000,15,mbkmeans,253330710.684015
20,10000,5000,1000,15,mbkmeans,316439450.533892
21,10000,5000,1000,15,mbkmeans,328013204.710663
22,10000,5000,1000,15,mbkmeans,308724006.761439
23,10000,5000,1000,15,mbkmeans,243870365.504204
24,10000,5000,1000,15,mbkmeans,231380829.077445
25,10000,5000,1000,15,mbkmeans,309247521.02898
26,10000,5000,1000,15,mbkmeans,340056204.713453
27,10000,5000,1000,15,mbkmeans,314466386.791419
28,10000,5000,1000,15,mbkmeans,247520836.67981
29,10000,5000,1000,15,mbkmeans,249823084.55236
30,10000,5000,1000,15,mbkmeans,255172100.125914
31,10000,5000,1000,15,mbkmeans,307569929.397092
32,10000,5000,1000,15,mbkmeans,251934472.33041
33,10000,5000,1000,15,mbkmeans,247249959.741023
34,10000,5000,1000,15,mbkmeans,289922216.509771
35,10000,5000,1000,15,mbkmeans,261377534.05301
36,10000,5000,1000,15,mbkmeans,308568667.093501
37,10000,5000,1000,15,mbkmeans,250835825.875459
38,10000,5000,1000,15,mbkmeans,275059099.358913
39,10000,5000,1000,15,mbkmeans,404189853.912606
40,10000,5000,1000,15,mbkmeans,252930257.803771
41,10000,5000,1000,15,mbkmeans,244322173.284201
42,10000,5000,1000,15,mbkmeans,324404142.942628
43,10000,5000,1000,15,mbkmeans,332057568.00358
44,10000,5000,1000,15,mbkmeans,314203903.719741
45,10000,5000,1000,15,mbkmeans,258692163.111292
46,10000,5000,1000,15,mbkmeans,240815951.038804
47,10000,5000,1000,15,mbkmeans,273046052.006675
48,10000,5000,1000,15,mbkmeans,252264346.897825
49,10000,5000,1000,15,mbkmeans,295869228.846728
50,10000,5000,1000,15,mbkmeans,261348649.16497
