"B","observations","genes","abs_batch","k","method","WCSS"
16,5000,5000,75,15,hdf5,230166572.954142
17,5000,5000,75,15,hdf5,382527628.703185
18,5000,5000,75,15,hdf5,205070593.950022
19,5000,5000,75,15,hdf5,175542831.259074
20,5000,5000,75,15,hdf5,157849550.781305
21,5000,5000,75,15,hdf5,221480806.183662
22,5000,5000,75,15,hdf5,176246860.296708
23,5000,5000,75,15,hdf5,158463302.990522
24,5000,5000,75,15,hdf5,296721020.476586
25,5000,5000,75,15,hdf5,176731291.646405
26,5000,5000,75,15,hdf5,223593975.032275
27,5000,5000,75,15,hdf5,350139632.725132
28,5000,5000,75,15,hdf5,190946058.153682
29,5000,5000,75,15,hdf5,143435054.150495
30,5000,5000,75,15,hdf5,201038331.074531
31,5000,5000,75,15,hdf5,166453254.943516
32,5000,5000,75,15,hdf5,184196881.583235
33,5000,5000,75,15,hdf5,227812832.697226
34,5000,5000,75,15,hdf5,273228625.517312
35,5000,5000,75,15,hdf5,154086744.669296
36,5000,5000,75,15,hdf5,180238881.456286
37,5000,5000,75,15,hdf5,191834068.312015
38,5000,5000,75,15,hdf5,191068097.755448
39,5000,5000,75,15,hdf5,144602889.134482
40,5000,5000,75,15,hdf5,707738620.521832
41,5000,5000,75,15,hdf5,4280858122.13603
42,5000,5000,75,15,hdf5,301213261.69479
43,5000,5000,75,15,hdf5,201914152.60303
44,5000,5000,75,15,hdf5,255540230.846189
45,5000,5000,75,15,hdf5,1073234338.27164
46,5000,5000,75,15,hdf5,162196845.966743
47,5000,5000,75,15,hdf5,247109210.693897
48,5000,5000,75,15,hdf5,358507482.614893
49,5000,5000,75,15,hdf5,161603564.516878
50,5000,5000,75,15,hdf5,489892533.787297
1,5000,5000,150,15,hdf5,208177461.967189
2,5000,5000,150,15,hdf5,186047425.814775
3,5000,5000,150,15,hdf5,136190178.509106
4,5000,5000,150,15,hdf5,237950867.24838
5,5000,5000,150,15,hdf5,151441650.521928
6,5000,5000,150,15,hdf5,177864297.981239
7,5000,5000,150,15,hdf5,130533780.684353
8,5000,5000,150,15,hdf5,239117635.811929
9,5000,5000,150,15,hdf5,219245260.762658
10,5000,5000,150,15,hdf5,172242580.118799
11,5000,5000,150,15,hdf5,161093033.88445
12,5000,5000,150,15,hdf5,139792301.578166
13,5000,5000,150,15,hdf5,147158734.16146
14,5000,5000,150,15,hdf5,247223997.392927
15,5000,5000,150,15,hdf5,162816465.073672
16,5000,5000,150,15,hdf5,178985851.155862
17,5000,5000,150,15,hdf5,161117442.538796
18,5000,5000,150,15,hdf5,172154401.422255
19,5000,5000,150,15,hdf5,207938730.52391
20,5000,5000,150,15,hdf5,160503522.014527
21,5000,5000,150,15,hdf5,135093184.048639
22,5000,5000,150,15,hdf5,178134429.198969
23,5000,5000,150,15,hdf5,211221445.525294
24,5000,5000,150,15,hdf5,151265821.350346
25,5000,5000,150,15,hdf5,161887371.264728
26,5000,5000,150,15,hdf5,140585945.479464
27,5000,5000,150,15,hdf5,183337420.41226
28,5000,5000,150,15,hdf5,139634771.005529
29,5000,5000,150,15,hdf5,219826689.083194
30,5000,5000,150,15,hdf5,175532268.851058
31,5000,5000,150,15,hdf5,132275321.263306
32,5000,5000,150,15,hdf5,166304871.729175
33,5000,5000,150,15,hdf5,143134849.008788
34,5000,5000,150,15,hdf5,134800620.936191
35,5000,5000,150,15,hdf5,224525829.935921
36,5000,5000,150,15,hdf5,188080470.776847
37,5000,5000,150,15,hdf5,198272913.286414
38,5000,5000,150,15,hdf5,153206287.104782
39,5000,5000,150,15,hdf5,179483389.263626
40,5000,5000,150,15,hdf5,164657331.138891
41,5000,5000,150,15,hdf5,174267176.941904
42,5000,5000,150,15,hdf5,246014696.376647
43,5000,5000,150,15,hdf5,131897103.586743
44,5000,5000,150,15,hdf5,273640843.54796
45,5000,5000,150,15,hdf5,135835601.015935
46,5000,5000,150,15,hdf5,147562927.984754
47,5000,5000,150,15,hdf5,224321599.263364
48,5000,5000,150,15,hdf5,243864912.686612
49,5000,5000,150,15,hdf5,160401884.231274
50,5000,5000,150,15,hdf5,217991052.730335
1,5000,5000,500,15,hdf5,133604375.028004
2,5000,5000,500,15,hdf5,134605121.638371
3,5000,5000,500,15,hdf5,130819808.041112
4,5000,5000,500,15,hdf5,154088550.048502
5,5000,5000,500,15,hdf5,156515658.626836
6,5000,5000,500,15,hdf5,159143168.747522
7,5000,5000,500,15,hdf5,126477961.744121
8,5000,5000,500,15,hdf5,153618307.52612
9,5000,5000,500,15,hdf5,125156119.250565
10,5000,5000,500,15,hdf5,131793644.593441
11,5000,5000,500,15,hdf5,122170962.757866
12,5000,5000,500,15,hdf5,140100995.884097
13,5000,5000,500,15,hdf5,139745721.417084
14,5000,5000,500,15,hdf5,156869494.501389
15,5000,5000,500,15,hdf5,131223821.730638
16,5000,5000,500,15,hdf5,124605834.770162
17,5000,5000,500,15,hdf5,123928017.409815
18,5000,5000,500,15,hdf5,127981839.55284
19,5000,5000,500,15,hdf5,129203393.086046
20,5000,5000,500,15,hdf5,142807293.482818
21,5000,5000,500,15,hdf5,133703490.088244
22,5000,5000,500,15,hdf5,158860380.55139
23,5000,5000,500,15,hdf5,136807467.32243
24,5000,5000,500,15,hdf5,117348258.040404
25,5000,5000,500,15,hdf5,198638015.818176
26,5000,5000,500,15,hdf5,178653297.161327
27,5000,5000,500,15,hdf5,160512304.893296
28,5000,5000,500,15,hdf5,139134523.859552
29,5000,5000,500,15,hdf5,127021750.79391
30,5000,5000,500,15,hdf5,169950400.448124
31,5000,5000,500,15,hdf5,123256960.663669
32,5000,5000,500,15,hdf5,166804631.090526
33,5000,5000,500,15,hdf5,167934397.679164
34,5000,5000,500,15,hdf5,159567962.457118
35,5000,5000,500,15,hdf5,138598668.763396
36,5000,5000,500,15,hdf5,125443153.696754
37,5000,5000,500,15,hdf5,166564573.15672
38,5000,5000,500,15,hdf5,169878718.328212
39,5000,5000,500,15,hdf5,160304550.459383
