B,observations,genes,batch_size,k,initializer,method,memory,max_iters,num_init
1,1.00E+05,1000,0.01,2,random,kmeans,7246.059292,10,1
1,1.00E+05,1000,0.01,3,random,kmeans,7246.279347,10,1
1,1.00E+05,1000,0.01,4,random,kmeans,7246.363438,10,1
1,1.00E+05,1000,0.01,5,random,kmeans,6473.87079,10,1
1,1.00E+05,1000,0.01,6,random,kmeans,7246.532582,10,1
1,1.00E+05,1000,0.01,7,random,kmeans,7246.616444,10,1
1,1.00E+05,1000,0.01,8,random,kmeans,7246.700703,10,1
1,1.00E+05,1000,0.01,9,random,kmeans,7240.749341,10,1
1,1.00E+05,1000,0.01,10,random,kmeans,7246.871205,10,1
1,1.00E+05,1000,0.01,11,random,kmeans,7240.856152,10,1
1,1.00E+05,1000,0.01,12,random,kmeans,7240.909558,10,1
1,1.00E+05,1000,0.01,13,random,kmeans,7247.122975,10,1
1,1.00E+05,1000,0.01,14,random,kmeans,7247.206837,10,1
1,1.00E+05,1000,0.01,15,random,kmeans,7247.290822,10,1
1,1.00E+05,1000,0.01,16,random,kmeans,7247.375416,10,1
1,1.00E+05,1000,0.01,17,random,kmeans,7245.608906,10,1
1,1.00E+05,1000,0.01,18,random,kmeans,7247.545399,10,1
1,1.00E+05,1000,0.01,19,random,kmeans,6474.179613,10,1
1,1.00E+05,1000,0.01,20,random,kmeans,7247.713734,10,1
1,1.00E+05,1000,0.1,2,random,kmeans,7246.059353,10,1
1,1.00E+05,1000,0.1,3,random,kmeans,7246.279347,10,1
1,1.00E+05,1000,0.1,4,random,kmeans,6473.847566,10,1
1,1.00E+05,1000,0.1,5,random,kmeans,7240.53407,10,1
1,1.00E+05,1000,0.1,6,random,kmeans,7246.532521,10,1
1,1.00E+05,1000,0.1,7,random,kmeans,7246.616444,10,1
1,1.00E+05,1000,0.1,8,random,kmeans,7246.700764,10,1
1,1.00E+05,1000,0.1,9,random,kmeans,7240.749341,10,1
1,1.00E+05,1000,0.1,10,random,kmeans,7246.871144,10,1
1,1.00E+05,1000,0.1,11,random,kmeans,7238.725712,10,1
1,1.00E+05,1000,0.1,12,random,kmeans,7247.039052,10,1
1,1.00E+05,1000,0.1,13,random,kmeans,7247.122975,10,1
1,1.00E+05,1000,0.1,14,random,kmeans,7247.206837,10,1
1,1.00E+05,1000,0.1,15,random,kmeans,7247.290822,10,1
1,1.00E+05,1000,0.1,16,random,kmeans,7247.375355,10,1
1,1.00E+05,1000,0.1,17,random,kmeans,7241.17793,10,1
1,1.00E+05,1000,0.1,18,random,kmeans,7247.54546,10,1
1,1.00E+05,1000,0.1,19,random,kmeans,7247.629597,10,1
1,1.00E+05,1000,0.1,20,random,kmeans,7247.713734,10,1
