B,observations,genes,batch_size,k,initializer,method,memory,max_iters,num_init
1,1.00E+05,1000,0.01,2,random,hdf5,935.0808827,1,1
1,1.00E+05,1000,0.01,3,random,hdf5,935.0883901,1,1
1,1.00E+05,1000,0.01,4,random,hdf5,935.0960195,1,1
1,1.00E+05,1000,0.01,5,random,hdf5,935.1036488,1,1
1,1.00E+05,1000,0.01,6,random,hdf5,935.1114003,1,1
1,1.00E+05,1000,0.01,7,random,hdf5,935.1190297,1,1
1,1.00E+05,1000,0.01,8,random,hdf5,935.027332,1,1
1,1.00E+05,1000,0.01,9,random,hdf5,935.1342885,1,1
1,1.00E+05,1000,0.01,10,random,hdf5,935.1418569,1,1
1,1.00E+05,1000,0.01,11,random,hdf5,935.1495473,1,1
1,1.00E+05,1000,0.01,12,random,hdf5,935.1571156,1,1
1,1.00E+05,1000,0.01,13,random,hdf5,935.1648061,1,1
1,1.00E+05,1000,0.01,14,random,hdf5,935.1723134,1,1
1,1.00E+05,1000,0.01,15,random,hdf5,935.1800649,1,1
1,1.00E+05,1000,0.01,16,random,hdf5,935.1876943,1,1
1,1.00E+05,1000,0.01,17,random,hdf5,935.1953237,1,1
1,1.00E+05,1000,0.01,18,random,hdf5,935.202953,1,1
1,1.00E+05,1000,0.01,19,random,hdf5,935.2105824,1,1
1,1.00E+05,1000,0.01,20,random,hdf5,935.2181508,1,1
1,1.00E+05,1000,0.1,2,random,hdf5,935.0808827,1,1
1,1.00E+05,1000,0.1,3,random,hdf5,935.0884511,1,1
1,1.00E+05,1000,0.1,4,random,hdf5,935.0960195,1,1
1,1.00E+05,1000,0.1,5,random,hdf5,935.1037709,1,1
1,1.00E+05,1000,0.1,6,random,hdf5,935.1112782,1,1
1,1.00E+05,1000,0.1,7,random,hdf5,935.1189687,1,1
1,1.00E+05,1000,0.1,8,random,hdf5,935.0273854,1,1
1,1.00E+05,1000,0.1,9,random,hdf5,935.1342885,1,1
1,1.00E+05,1000,0.1,10,random,hdf5,935.1419179,1,1
1,1.00E+05,1000,0.1,11,random,hdf5,935.1495473,1,1
1,1.00E+05,1000,0.1,12,random,hdf5,935.1571767,1,1
1,1.00E+05,1000,0.1,13,random,hdf5,935.0695531,1,1
1,1.00E+05,1000,0.1,14,random,hdf5,935.1724355,1,1
1,1.00E+05,1000,0.1,15,random,hdf5,935.1800649,1,1
1,1.00E+05,1000,0.1,16,random,hdf5,935.1876943,1,1
1,1.00E+05,1000,0.1,17,random,hdf5,935.1953237,1,1
1,1.00E+05,1000,0.1,18,random,hdf5,935.202831,1,1
1,1.00E+05,1000,0.1,19,random,hdf5,935.2105824,1,1
1,1.00E+05,1000,0.1,20,random,hdf5,935.2181508,1,1
