B,observations,genes,batch_size,k,initializer,method,memory,max_iters,num_init
1,1.00E+05,1000,0.01,2,random,mbkmeans,1205.901723,10,1
1,1.00E+05,1000,0.01,3,random,mbkmeans,1205.985783,10,1
1,1.00E+05,1000,0.01,4,random,mbkmeans,1206.069707,10,1
1,1.00E+05,1000,0.01,5,random,mbkmeans,1206.153783,10,1
1,1.00E+05,1000,0.01,6,random,mbkmeans,1206.237645,10,1
1,1.00E+05,1000,0.01,7,random,mbkmeans,1206.321629,10,1
1,1.00E+05,1000,0.01,8,random,mbkmeans,1206.405492,10,1
1,1.00E+05,1000,0.01,9,random,mbkmeans,1206.489781,10,1
1,1.00E+05,1000,0.01,10,random,mbkmeans,1206.573643,10,1
1,1.00E+05,1000,0.01,11,random,mbkmeans,1206.657628,10,1
1,1.00E+05,1000,0.01,12,random,mbkmeans,1206.74149,10,1
1,1.00E+05,1000,0.01,13,random,mbkmeans,1206.825475,10,1
1,1.00E+05,1000,0.01,14,random,mbkmeans,1206.909337,10,1
1,1.00E+05,1000,0.01,15,random,mbkmeans,1206.993321,10,1
1,1.00E+05,1000,0.01,16,random,mbkmeans,1207.077245,10,1
1,1.00E+05,1000,0.01,17,random,mbkmeans,1207.161717,10,1
1,1.00E+05,1000,0.01,18,random,mbkmeans,1207.245702,10,1
1,1.00E+05,1000,0.01,19,random,mbkmeans,1207.329564,10,1
1,1.00E+05,1000,0.01,20,random,mbkmeans,1207.413548,10,1
1,1.00E+05,1000,0.1,2,random,mbkmeans,1510.979513,10,1
1,1.00E+05,1000,0.1,3,random,mbkmeans,1511.017637,10,1
1,1.00E+05,1000,0.1,4,random,mbkmeans,1511.055845,10,1
1,1.00E+05,1000,0.1,5,random,mbkmeans,1511.094068,10,1
1,1.00E+05,1000,0.1,6,random,mbkmeans,1511.132215,10,1
1,1.00E+05,1000,0.1,7,random,mbkmeans,1511.170301,10,1
1,1.00E+05,1000,0.1,8,random,mbkmeans,1511.208509,10,1
1,1.00E+05,1000,0.1,9,random,mbkmeans,1511.246748,10,1
1,1.00E+05,1000,0.1,10,random,mbkmeans,1511.284956,10,1
1,1.00E+05,1000,0.1,11,random,mbkmeans,1511.323103,10,1
1,1.00E+05,1000,0.1,12,random,mbkmeans,1511.36125,10,1
1,1.00E+05,1000,0.1,13,random,mbkmeans,1511.399397,10,1
1,1.00E+05,1000,0.1,14,random,mbkmeans,1511.437544,10,1
1,1.00E+05,1000,0.1,15,random,mbkmeans,1511.475691,10,1
1,1.00E+05,1000,0.1,16,random,mbkmeans,1511.513838,10,1
1,1.00E+05,1000,0.1,17,random,mbkmeans,1511.55229,10,1
1,1.00E+05,1000,0.1,18,random,mbkmeans,1511.590437,10,1
1,1.00E+05,1000,0.1,19,random,mbkmeans,1511.628523,10,1
1,1.00E+05,1000,0.1,20,random,mbkmeans,1511.666731,10,1
