B,observations,genes,batch_size,k,initializer,method,memory,max_iters,num_init
1,1.00E+05,1000,0.01,2,random,kmeans,4945.568615,1,1
1,1.00E+05,1000,0.01,3,random,kmeans,4945.598751,1,1
1,1.00E+05,1000,0.01,4,random,kmeans,4945.613964,1,1
1,1.00E+05,1000,0.01,5,random,kmeans,4945.629451,1,1
1,1.00E+05,1000,0.01,6,random,kmeans,4945.64471,1,1
1,1.00E+05,1000,0.01,7,random,kmeans,4945.659969,1,1
1,1.00E+05,1000,0.01,8,random,kmeans,4945.675258,1,1
1,1.00E+05,1000,0.01,9,random,kmeans,4945.690792,1,1
1,1.00E+05,1000,0.01,10,random,kmeans,4945.70605,1,1
1,1.00E+05,1000,0.01,11,random,kmeans,4945.72137,1,1
1,1.00E+05,1000,0.01,12,random,kmeans,4945.736629,1,1
1,1.00E+05,1000,0.01,13,random,kmeans,4945.751888,1,1
1,1.00E+05,1000,0.01,14,random,kmeans,4945.767147,1,1
1,1.00E+05,1000,0.01,15,random,kmeans,4945.782405,1,1
1,1.00E+05,1000,0.01,16,random,kmeans,4945.797664,1,1
1,1.00E+05,1000,0.01,17,random,kmeans,4945.813198,1,1
1,1.00E+05,1000,0.01,18,random,kmeans,4945.828426,1,1
1,1.00E+05,1000,0.01,19,random,kmeans,4945.843776,1,1
1,1.00E+05,1000,0.01,20,random,kmeans,4945.859005,1,1
1,1.00E+05,1000,0.1,2,random,kmeans,4945.568615,1,1
1,1.00E+05,1000,0.1,3,random,kmeans,4945.598751,1,1
1,1.00E+05,1000,0.1,4,random,kmeans,4945.614025,1,1
1,1.00E+05,1000,0.1,5,random,kmeans,4945.629451,1,1
1,1.00E+05,1000,0.1,6,random,kmeans,4945.644649,1,1
1,1.00E+05,1000,0.1,7,random,kmeans,4945.659969,1,1
1,1.00E+05,1000,0.1,8,random,kmeans,4945.675258,1,1
1,1.00E+05,1000,0.1,9,random,kmeans,4945.690853,1,1
1,1.00E+05,1000,0.1,10,random,kmeans,4945.706111,1,1
1,1.00E+05,1000,0.1,11,random,kmeans,4945.72137,1,1
1,1.00E+05,1000,0.1,12,random,kmeans,4945.736568,1,1
1,1.00E+05,1000,0.1,13,random,kmeans,4945.751888,1,1
1,1.00E+05,1000,0.1,14,random,kmeans,4945.767147,1,1
1,1.00E+05,1000,0.1,15,random,kmeans,4945.782344,1,1
1,1.00E+05,1000,0.1,16,random,kmeans,4945.797664,1,1
1,1.00E+05,1000,0.1,17,random,kmeans,4945.813198,1,1
1,1.00E+05,1000,0.1,18,random,kmeans,4945.828426,1,1
1,1.00E+05,1000,0.1,19,random,kmeans,4945.843776,1,1
1,1.00E+05,1000,0.1,20,random,kmeans,4945.859005,1,1
