B,observations,genes,batch_size,k,initializer,method,memory,max_iters,num_init
1,1.00E+05,1000,0.001,2,random,hdf5,935.0809895,10,1
1,1.00E+05,1000,0.001,3,random,hdf5,935.0886189,10,1
1,1.00E+05,1000,0.001,4,random,hdf5,935.0962483,10,1
1,1.00E+05,1000,0.001,5,random,hdf5,935.1038777,10,1
1,1.00E+05,1000,0.001,6,random,hdf5,935.1115071,10,1
1,1.00E+05,1000,0.001,7,random,hdf5,935.1191365,10,1
1,1.00E+05,1000,0.001,8,random,hdf5,935.1267659,10,1
1,1.00E+05,1000,0.001,9,random,hdf5,935.1343953,10,1
1,1.00E+05,1000,0.001,10,random,hdf5,935.1420247,10,1
1,1.00E+05,1000,0.001,11,random,hdf5,935.1496541,10,1
1,1.00E+05,1000,0.001,12,random,hdf5,935.1572835,10,1
1,1.00E+05,1000,0.001,13,random,hdf5,935.0655858,10,1
1,1.00E+05,1000,0.001,14,random,hdf5,935.1725423,10,1
1,1.00E+05,1000,0.001,15,random,hdf5,935.1800496,10,1
1,1.00E+05,1000,0.001,16,random,hdf5,935.1878011,10,1
1,1.00E+05,1000,0.001,17,random,hdf5,935.1954305,10,1
1,1.00E+05,1000,0.001,18,random,hdf5,935.2030599,10,1
1,1.00E+05,1000,0.001,19,random,hdf5,935.2106893,10,1
1,1.00E+05,1000,0.001,20,random,hdf5,935.119045,10,1
1,1.00E+05,1000,0.2,2,random,hdf5,935.3109471,10,1
1,1.00E+05,1000,0.2,3,random,hdf5,935.3186986,10,1
1,1.00E+05,1000,0.2,4,random,hdf5,935.326328,10,1
1,1.00E+05,1000,0.2,5,random,hdf5,935.4331624,10,1
1,1.00E+05,1000,0.2,6,random,hdf5,935.3414647,10,1
1,1.00E+05,1000,0.2,7,random,hdf5,935.3490941,10,1
1,1.00E+05,1000,0.2,8,random,hdf5,935.4561727,10,1
1,1.00E+05,1000,0.2,9,random,hdf5,935.364475,10,1
1,1.00E+05,1000,0.2,10,random,hdf5,935.3720433,10,1
1,1.00E+05,1000,0.2,11,random,hdf5,935.4790608,10,1
1,1.00E+05,1000,0.2,12,random,hdf5,935.4866902,10,1
1,1.00E+05,1000,0.2,13,random,hdf5,935.3949925,10,1
1,1.00E+05,1000,0.2,14,random,hdf5,935.4025609,10,1
1,1.00E+05,1000,0.2,15,random,hdf5,935.5095784,10,1
1,1.00E+05,1000,0.2,16,random,hdf5,935.5172078,10,1
1,1.00E+05,1000,0.2,17,random,hdf5,935.425388,10,1
1,1.00E+05,1000,0.2,18,random,hdf5,935.4330174,10,1
1,1.00E+05,1000,0.2,19,random,hdf5,935.4407689,10,1
1,1.00E+05,1000,0.2,20,random,hdf5,935.4483983,10,1
