B,observations,genes,batch_size,k,initializer,method,memory,max_iters,num_init
1,1.00E+05,1000,0.001,2,random,kmeans,4945.568553,1,1
1,1.00E+05,1000,0.001,3,random,kmeans,4945.598629,1,1
1,1.00E+05,1000,0.001,4,random,kmeans,4945.613964,1,1
1,1.00E+05,1000,0.001,5,random,kmeans,4945.629329,1,1
1,1.00E+05,1000,0.001,6,random,kmeans,4945.644649,1,1
1,1.00E+05,1000,0.001,7,random,kmeans,4945.659908,1,1
1,1.00E+05,1000,0.001,8,random,kmeans,4945.675136,1,1
1,1.00E+05,1000,0.001,9,random,kmeans,4945.690792,1,1
1,1.00E+05,1000,0.001,10,random,kmeans,4945.70605,1,1
1,1.00E+05,1000,0.001,11,random,kmeans,4945.721309,1,1
1,1.00E+05,1000,0.001,12,random,kmeans,4945.736568,1,1
1,1.00E+05,1000,0.001,13,random,kmeans,4945.751766,1,1
1,1.00E+05,1000,0.001,14,random,kmeans,4945.767086,1,1
1,1.00E+05,1000,0.001,15,random,kmeans,4945.782344,1,1
1,1.00E+05,1000,0.001,16,random,kmeans,4945.797664,1,1
1,1.00E+05,1000,0.001,17,random,kmeans,4945.813137,1,1
1,1.00E+05,1000,0.001,18,random,kmeans,4945.828426,1,1
1,1.00E+05,1000,0.001,19,random,kmeans,4945.843654,1,1
1,1.00E+05,1000,0.001,20,random,kmeans,4945.859005,1,1
1,1.00E+05,1000,0.2,2,random,kmeans,4945.568492,1,1
1,1.00E+05,1000,0.2,3,random,kmeans,4945.59869,1,1
1,1.00E+05,1000,0.2,4,random,kmeans,4945.613964,1,1
1,1.00E+05,1000,0.2,5,random,kmeans,4945.629329,1,1
1,1.00E+05,1000,0.2,6,random,kmeans,4945.644588,1,1
1,1.00E+05,1000,0.2,7,random,kmeans,4945.659908,1,1
1,1.00E+05,1000,0.2,8,random,kmeans,4945.675197,1,1
1,1.00E+05,1000,0.2,9,random,kmeans,4945.690731,1,1
1,1.00E+05,1000,0.2,10,random,kmeans,4945.70605,1,1
1,1.00E+05,1000,0.2,11,random,kmeans,4945.721248,1,1
1,1.00E+05,1000,0.2,12,random,kmeans,4945.736507,1,1
1,1.00E+05,1000,0.2,13,random,kmeans,4945.751827,1,1
1,1.00E+05,1000,0.2,14,random,kmeans,4945.767086,1,1
1,1.00E+05,1000,0.2,15,random,kmeans,4945.782344,1,1
1,1.00E+05,1000,0.2,16,random,kmeans,4945.797664,1,1
1,1.00E+05,1000,0.2,17,random,kmeans,4945.813137,1,1
1,1.00E+05,1000,0.2,18,random,kmeans,4945.828426,1,1
1,1.00E+05,1000,0.2,19,random,kmeans,4945.843715,1,1
1,1.00E+05,1000,0.2,20,random,kmeans,4945.859005,1,1
