B,observations,genes,batch_size,k,initializer,method,memory,max_iters,num_init
1,1.00E+05,1000,0.01,2,random,mbkmeans,1136.840008,1,1
1,1.00E+05,1000,0.01,3,random,mbkmeans,1137.618268,1,1
1,1.00E+05,1000,0.01,4,random,mbkmeans,1136.870533,1,1
1,1.00E+05,1000,0.01,5,random,mbkmeans,1136.885808,1,1
1,1.00E+05,1000,0.01,6,random,mbkmeans,1136.901066,1,1
1,1.00E+05,1000,0.01,7,random,mbkmeans,1136.916325,1,1
1,1.00E+05,1000,0.01,8,random,mbkmeans,1136.931584,1,1
1,1.00E+05,1000,0.01,9,random,mbkmeans,1136.946873,1,1
1,1.00E+05,1000,0.01,10,random,mbkmeans,1136.962132,1,1
1,1.00E+05,1000,0.01,11,random,mbkmeans,1136.977391,1,1
1,1.00E+05,1000,0.01,12,random,mbkmeans,1136.99265,1,1
1,1.00E+05,1000,0.01,13,random,mbkmeans,1137.007847,1,1
1,1.00E+05,1000,0.01,14,random,mbkmeans,1137.023167,1,1
1,1.00E+05,1000,0.01,15,random,mbkmeans,1137.038426,1,1
1,1.00E+05,1000,0.01,16,random,mbkmeans,1137.053685,1,1
1,1.00E+05,1000,0.01,17,random,mbkmeans,1137.069005,1,1
1,1.00E+05,1000,0.01,18,random,mbkmeans,1137.084263,1,1
1,1.00E+05,1000,0.01,19,random,mbkmeans,1137.099522,1,1
1,1.00E+05,1000,0.01,20,random,mbkmeans,1137.114781,1,1
1,1.00E+05,1000,0.1,2,random,mbkmeans,1205.538892,1,1
1,1.00E+05,1000,0.1,3,random,mbkmeans,1205.554158,1,1
1,1.00E+05,1000,0.1,4,random,mbkmeans,1205.569417,1,1
1,1.00E+05,1000,0.1,5,random,mbkmeans,1205.584691,1,1
1,1.00E+05,1000,0.1,6,random,mbkmeans,1205.59995,1,1
1,1.00E+05,1000,0.1,7,random,mbkmeans,1205.615147,1,1
1,1.00E+05,1000,0.1,8,random,mbkmeans,1205.630467,1,1
1,1.00E+05,1000,0.1,9,random,mbkmeans,1205.645695,1,1
1,1.00E+05,1000,0.1,10,random,mbkmeans,1205.661015,1,1
1,1.00E+05,1000,0.1,11,random,mbkmeans,1205.676274,1,1
1,1.00E+05,1000,0.1,12,random,mbkmeans,1205.691472,1,1
1,1.00E+05,1000,0.1,13,random,mbkmeans,1205.706792,1,1
1,1.00E+05,1000,0.1,14,random,mbkmeans,1206.485043,1,1
1,1.00E+05,1000,0.1,15,random,mbkmeans,1205.737309,1,1
1,1.00E+05,1000,0.1,16,random,mbkmeans,1205.752568,1,1
1,1.00E+05,1000,0.1,17,random,mbkmeans,1205.767888,1,1
1,1.00E+05,1000,0.1,18,random,mbkmeans,1205.783147,1,1
1,1.00E+05,1000,0.1,19,random,mbkmeans,1205.798344,1,1
1,1.00E+05,1000,0.1,20,random,mbkmeans,1205.813664,1,1
