B,observations,genes,batch_size,k,initializer,method,memory,max_iters,num_init
1,1.00E+05,1000,0.01,2,random,mbkmeans,1205.901616,10,1
1,1.00E+05,1000,0.01,3,random,mbkmeans,1205.985554,10,1
1,1.00E+05,1000,0.01,4,random,mbkmeans,1206.864293,10,1
1,1.00E+05,1000,0.01,5,random,mbkmeans,1206.153615,10,1
1,1.00E+05,1000,0.01,6,random,mbkmeans,1206.237477,10,1
1,1.00E+05,1000,0.01,7,random,mbkmeans,1206.3214,10,1
1,1.00E+05,1000,0.01,8,random,mbkmeans,1206.405385,10,1
1,1.00E+05,1000,0.01,9,random,mbkmeans,1206.489552,10,1
1,1.00E+05,1000,0.01,10,random,mbkmeans,1206.573537,10,1
1,1.00E+05,1000,0.01,11,random,mbkmeans,1206.65746,10,1
1,1.00E+05,1000,0.01,12,random,mbkmeans,1206.741383,10,1
1,1.00E+05,1000,0.01,13,random,mbkmeans,1206.825246,10,1
1,1.00E+05,1000,0.01,14,random,mbkmeans,1206.909169,10,1
1,1.00E+05,1000,0.01,15,random,mbkmeans,1206.993092,10,1
1,1.00E+05,1000,0.01,16,random,mbkmeans,1207.077077,10,1
1,1.00E+05,1000,0.01,17,random,mbkmeans,1207.16161,10,1
1,1.00E+05,1000,0.01,18,random,mbkmeans,1207.245534,10,1
1,1.00E+05,1000,0.01,19,random,mbkmeans,1207.329457,10,1
1,1.00E+05,1000,0.01,20,random,mbkmeans,1207.41338,10,1
1,1.00E+05,1000,0.1,2,random,mbkmeans,1510.979284,10,1
1,1.00E+05,1000,0.1,3,random,mbkmeans,1511.01753,10,1
1,1.00E+05,1000,0.1,4,random,mbkmeans,1511.055677,10,1
1,1.00E+05,1000,0.1,5,random,mbkmeans,1511.093901,10,1
1,1.00E+05,1000,0.1,6,random,mbkmeans,1511.132048,10,1
1,1.00E+05,1000,0.1,7,random,mbkmeans,1511.170195,10,1
1,1.00E+05,1000,0.1,8,random,mbkmeans,1511.208342,10,1
1,1.00E+05,1000,0.1,9,random,mbkmeans,1511.246641,10,1
1,1.00E+05,1000,0.1,10,random,mbkmeans,1511.284788,10,1
1,1.00E+05,1000,0.1,11,random,mbkmeans,1511.322935,10,1
1,1.00E+05,1000,0.1,12,random,mbkmeans,1511.361082,10,1
1,1.00E+05,1000,0.1,13,random,mbkmeans,1511.399229,10,1
1,1.00E+05,1000,0.1,14,random,mbkmeans,1511.437315,10,1
1,1.00E+05,1000,0.1,15,random,mbkmeans,1511.475462,10,1
1,1.00E+05,1000,0.1,16,random,mbkmeans,1511.51367,10,1
1,1.00E+05,1000,0.1,17,random,mbkmeans,1511.552061,10,1
1,1.00E+05,1000,0.1,18,random,mbkmeans,1511.590208,10,1
1,1.00E+05,1000,0.1,19,random,mbkmeans,1511.628416,10,1
1,1.00E+05,1000,0.1,20,random,mbkmeans,1511.666502,10,1
