"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS"
1,1000,1000,0.005,3,random,hdf5,0.990539920873023,2773861.05093007
2,1000,1000,0.005,3,random,hdf5,0.991133629793162,2597782.96927294
3,1000,1000,0.005,3,random,hdf5,0.977612047034978,3102245.53483214
4,1000,1000,0.005,3,random,hdf5,0.987816578901411,3252523.63100646
5,1000,1000,0.005,3,random,hdf5,0.964402775197793,3484035.76832892
6,1000,1000,0.005,3,random,hdf5,1,3468776.82924596
7,1000,1000,0.005,3,random,hdf5,0.962248894923192,3438020.70586303
8,1000,1000,0.005,3,random,hdf5,0.930513130983315,3992329.33867361
9,1000,1000,0.005,3,random,hdf5,0.970237622088693,2990858.26726508
10,1000,1000,0.005,3,random,hdf5,0.974749124502146,3301096.73257867
11,1000,1000,0.005,3,random,hdf5,0.949240235277499,3570431.79776277
12,1000,1000,0.005,3,random,hdf5,0.991193947063727,3208206.57253785
13,1000,1000,0.005,3,random,hdf5,0.976421796625566,3000581.49080819
14,1000,1000,0.005,3,random,hdf5,0.98319980169953,3627620.59546236
15,1000,1000,0.005,3,random,hdf5,0.988222682114661,4016244.48220739
16,1000,1000,0.005,3,random,hdf5,0.986370033105382,2821209.45294682
17,1000,1000,0.005,3,random,hdf5,0.971877992400269,3789226.58647413
18,1000,1000,0.005,3,random,hdf5,0.959459381095786,3789337.54830706
19,1000,1000,0.005,3,random,hdf5,0.903422836722013,4188493.69108749
20,1000,1000,0.005,3,random,hdf5,0.857179459875723,4553451.03505592
1,1000,1000,0.01,3,random,hdf5,0.993105958098913,2472013.29918936
2,1000,1000,0.01,3,random,hdf5,0.967168086658274,2558917.72744688
3,1000,1000,0.01,3,random,hdf5,0.996981682022025,2697768.21294345
4,1000,1000,0.01,3,random,hdf5,0.993109739714374,2641765.79666332
5,1000,1000,0.01,3,random,hdf5,0.993654493995908,2338289.71147201
6,1000,1000,0.01,3,random,hdf5,0.936962572805389,3175573.77084261
