"B","observations","genes","batch_size","k","initializer","method","memory"
4,1000,1000,0.005,3,random,kmeans,443.085328818125
4,1000,1000,0.01,3,random,kmeans,435.454606743471
4,1000,1000,0.05,3,random,kmeans,420.171617183927
4,1000,1000,0.1,3,random,kmeans,435.454576225893
4,1000,1000,0.2,3,random,kmeans,435.454576225893
4,1000,1000,0.5,3,random,kmeans,443.084855795662
4,1000,1000,0.8,3,random,kmeans,443.085298300547
4,1000,1000,1,3,random,kmeans,435.454469414369
4,5000,1000,0.005,3,random,kmeans,657.122156712087
4,5000,1000,0.01,3,random,kmeans,657.122156712087
4,5000,1000,0.05,3,random,kmeans,657.122156712087
4,5000,1000,0.1,3,random,kmeans,657.313707921304
4,5000,1000,0.2,3,random,kmeans,657.108255955198
4,5000,1000,0.5,3,random,kmeans,657.108255955198
4,5000,1000,0.8,3,random,kmeans,657.122126194508
4,5000,1000,1,3,random,kmeans,657.108255955198
4,25000,1000,0.005,3,random,kmeans,2071.53660601178
4,25000,1000,0.01,3,random,kmeans,2071.53660601178
4,25000,1000,0.05,3,random,kmeans,2071.53660601178
4,25000,1000,0.1,3,random,kmeans,2071.53660601178
4,25000,1000,0.2,3,random,kmeans,2071.53577440777
4,25000,1000,0.5,3,random,kmeans,2071.53660601178
4,25000,1000,0.8,3,random,kmeans,2071.53660601178
4,25000,1000,1,3,random,kmeans,2071.53574389019
4,75000,1000,0.005,3,random,kmeans,5516.56494693564
4,75000,1000,0.01,3,random,kmeans,5516.56494693564
4,75000,1000,0.05,3,random,kmeans,5516.56494693564
4,75000,1000,0.1,3,random,kmeans,5516.56494693564
4,75000,1000,0.2,3,random,kmeans,5516.56494693564
4,75000,1000,0.5,3,random,kmeans,5516.56494693564
4,75000,1000,0.8,3,random,kmeans,5516.62920169663
4,75000,1000,1,3,random,kmeans,5516.56491641806
