B,observations,genes,batch_size,k,initializer,method,ARI,WCSS,iterations,fault
7,1.00E+05,1000,0.001,8,random,hdf5,0.552901331,440054938.5,39,NA
8,1.00E+05,1000,0.001,8,random,hdf5,0.582460614,365418173.6,43,NA
9,1.00E+05,1000,0.001,8,random,hdf5,0.593345276,407603883.3,25,NA
10,1.00E+05,1000,0.001,8,random,hdf5,0.5770584,351202820.7,34,NA
1,1.00E+05,1000,0.001,9,random,hdf5,0.614576427,329307297.3,25,NA
2,1.00E+05,1000,0.001,9,random,hdf5,0.645261187,324202595,29,NA
3,1.00E+05,1000,0.001,9,random,hdf5,0.612367772,340926285.6,27,NA
4,1.00E+05,1000,0.001,9,random,hdf5,0.62939569,340064601.4,19,NA
5,1.00E+05,1000,0.001,9,random,hdf5,0.665715178,350920169.4,14,NA
6,1.00E+05,1000,0.001,9,random,hdf5,0.635062267,326566579.8,16,NA
7,1.00E+05,1000,0.001,9,random,hdf5,0.611915948,316218289.3,21,NA
8,1.00E+05,1000,0.001,9,random,hdf5,0.642782097,319670192.6,30,NA
9,1.00E+05,1000,0.001,9,random,hdf5,0.644223478,324190093.7,16,NA
10,1.00E+05,1000,0.001,9,random,hdf5,0.643477774,322879173.4,22,NA
1,1.00E+05,1000,0.001,10,random,hdf5,0.646720318,302482917.9,27,NA
2,1.00E+05,1000,0.001,10,random,hdf5,0.636629146,311760456.2,19,NA
3,1.00E+05,1000,0.001,10,random,hdf5,0.638974532,311128456.1,34,NA
4,1.00E+05,1000,0.001,10,random,hdf5,0.686840258,335839849.7,22,NA
5,1.00E+05,1000,0.001,10,random,hdf5,0.665367866,308606433.4,25,NA
6,1.00E+05,1000,0.001,10,random,hdf5,0.676530876,293616708.9,27,NA
7,1.00E+05,1000,0.001,10,random,hdf5,0.642590396,317892792,30,NA
8,1.00E+05,1000,0.001,10,random,hdf5,0.671079569,298721582.1,23,NA
9,1.00E+05,1000,0.001,10,random,hdf5,0.676973363,288457528.9,14,NA
10,1.00E+05,1000,0.001,10,random,hdf5,0.623695352,345716829.7,19,NA
1,1.00E+05,1000,0.001,11,random,hdf5,0.709689846,285323959.1,24,NA
2,1.00E+05,1000,0.001,11,random,hdf5,0.692407842,275994547.4,36,NA
3,1.00E+05,1000,0.001,11,random,hdf5,0.734667013,261684572.3,16,NA
4,1.00E+05,1000,0.001,11,random,hdf5,0.617753474,309888789,23,NA
5,1.00E+05,1000,0.001,11,random,hdf5,0.73506785,273851447,25,NA
6,1.00E+05,1000,0.001,11,random,hdf5,0.709583608,298825983.4,16,NA
7,1.00E+05,1000,0.001,11,random,hdf5,0.743201672,263603567.7,30,NA
8,1.00E+05,1000,0.001,11,random,hdf5,0.646695699,310951138.1,29,NA
9,1.00E+05,1000,0.001,11,random,hdf5,0.723495687,274544033.6,19,NA
10,1.00E+05,1000,0.001,11,random,hdf5,0.675502371,279636411.9,14,NA
1,1.00E+05,1000,0.001,12,random,hdf5,0.664972103,274360961.5,17,NA
2,1.00E+05,1000,0.001,12,random,hdf5,0.786124424,231802948.7,40,NA
3,1.00E+05,1000,0.001,12,random,hdf5,0.644770594,266781172.6,24,NA
4,1.00E+05,1000,0.001,12,random,hdf5,0.712676768,257123346.2,13,NA
5,1.00E+05,1000,0.001,12,random,hdf5,0.745658546,249295651.9,23,NA
6,1.00E+05,1000,0.001,12,random,hdf5,0.727226688,261424285.6,14,NA
7,1.00E+05,1000,0.001,12,random,hdf5,0.743837427,261982443.3,22,NA
8,1.00E+05,1000,0.001,12,random,hdf5,0.736150324,247639025.1,17,NA
9,1.00E+05,1000,0.001,12,random,hdf5,0.729476048,257238008.2,13,NA
10,1.00E+05,1000,0.001,12,random,hdf5,0.756082988,242102221.3,14,NA
1,1.00E+05,1000,0.001,13,random,hdf5,0.783604817,238414435.5,17,NA
2,1.00E+05,1000,0.001,13,random,hdf5,0.687483084,275931167.2,18,NA
3,1.00E+05,1000,0.001,13,random,hdf5,0.749592649,226604136.4,12,NA
4,1.00E+05,1000,0.001,13,random,hdf5,0.7161802,258382195.4,15,NA
5,1.00E+05,1000,0.001,13,random,hdf5,0.754721188,253027450.3,23,NA
6,1.00E+05,1000,0.001,13,random,hdf5,0.756508068,261683432,18,NA
7,1.00E+05,1000,0.001,13,random,hdf5,0.717734415,247068039.2,31,NA
8,1.00E+05,1000,0.001,13,random,hdf5,0.711899411,254023590.2,17,NA
9,1.00E+05,1000,0.001,13,random,hdf5,0.701340819,242928535.4,18,NA
10,1.00E+05,1000,0.001,13,random,hdf5,0.713580475,271154073.3,18,NA
1,1.00E+05,1000,0.001,14,random,hdf5,0.744821317,249872224.4,23,NA
2,1.00E+05,1000,0.001,14,random,hdf5,0.809622501,206318344.9,26,NA
3,1.00E+05,1000,0.001,14,random,hdf5,0.843488278,204983482.1,19,NA
4,1.00E+05,1000,0.001,14,random,hdf5,0.809986743,221306728.2,31,NA
5,1.00E+05,1000,0.001,14,random,hdf5,0.805545547,239720626.8,17,NA
