Algorithm,ncells,batch,ari_sim_mean,ari_sim_sd,wcss_sim_mean,wcss_sim_sd,wcss_real_mean,wcss_real_sd
k-means,5000,10,0.9897752197,0.002863244528554913,1991.9654218622222,33.94949941816872,NA,NA
k-means,5000,35,0.98943124304,0.002313087440903707,1994.013541222222,43.30310097286105,NA,NA
k-means,5000,75,0.98960918604,0.002703048610596343,1988.5568492933332,38.733661862400425,NA,NA
k-means,5000,150,0.98914063466,0.002374711458327191,1986.4852374444445,32.85025692370295,NA,NA
k-means,5000,500,0.98932085416,0.00281651060364503,1993.4778828666667,33.45499852003914,NA,NA
k-means,5000,750,0.98863277964,0.002724255050462498,1986.4648603511112,30.49316382878344,NA,NA
k-means,5000,1000,0.98934350346,0.002600276171860632,1991.0709134088888,26.37259027801371,NA,NA
k-means,10000,10,0.99010981168,0.002005947543886444,1995.6226837555555,31.834142416561736,NA,NA
k-means,10000,35,0.98914747688,0.0021235374133289297,1988.5035832444444,25.67347102858918,NA,NA
k-means,10000,75,0.98986528496,0.001981816701004787,1998.797882511111,35.00855869641255,NA,NA
k-means,10000,150,0.9896361547,0.0018614635356079545,1989.6116155333334,28.830210308636175,NA,NA
k-means,10000,500,0.98927535216,0.001696618636905301,1984.5525930222223,30.205375981089148,NA,NA
k-means,10000,750,0.98936510346,0.0019406441785227654,1991.7175924222222,27.537418717066707,NA,NA
k-means,10000,1000,0.98881778912,0.0019325727100912983,1992.9604477777777,27.050570398273983,NA,NA
k-means,25000,10,0.9895776815,0.0010856797966156718,1992.58879288,27.67066100927174,NA,NA
k-means,25000,35,0.98968115392,0.0013149167415696292,1988.43372224,28.06158467276896,NA,NA
k-means,25000,75,0.9894318808,0.0013192348365765646,1998.4300775644444,27.745292169969506,NA,NA
k-means,25000,150,0.98963748636,0.001168770492821036,1988.2183588711111,29.890732060470942,NA,NA
k-means,25000,500,0.9895120412,0.0010132401142150618,1994.7083007822223,26.171063753814686,NA,NA
k-means,25000,750,0.98951595092,0.0011862644270283584,1994.46647704,25.20051050736694,NA,NA
k-means,25000,1000,0.98934090942,0.001080411053824657,1989.8842159555556,27.91454947869354,NA,NA
mbkmeans,5000,10,0.97910405516,0.01498794379866612,2787.158122133333,268.53458506200275,NA,NA
mbkmeans,5000,35,0.98740203984,0.004603014868309021,2190.102016311111,56.82309334377624,NA,NA
mbkmeans,5000,75,0.98818437906,0.004323170524412311,2076.6470530133333,52.05266447079015,NA,NA
mbkmeans,5000,150,0.9897095135,0.0030111427150840224,2031.9286637911111,38.99990947697618,NA,NA
mbkmeans,5000,500,0.9897033032,0.003448295942396118,2005.8761506888889,34.42870648157463,NA,NA
mbkmeans,5000,750,0.98920005116,0.00254920011422327,2002.3566301600001,35.44378169357428,NA,NA
mbkmeans,5000,1000,0.98935866916,0.0027131012849731075,1994.01410596,35.98165266996735,NA,NA
mbkmeans,10000,10,0.98001421276,0.01657774306207698,2731.516018866667,231.80159047868432,NA,NA
mbkmeans,10000,35,0.98772575844,0.004428869239753704,2191.872734711111,56.40112757896726,NA,NA
mbkmeans,10000,75,0.98868931832,0.002886473601586763,2072.598113577778,40.28502200978638,NA,NA
mbkmeans,10000,150,0.98939787412,0.002630874832139825,2036.4359318222223,33.41414779832461,NA,NA
mbkmeans,10000,500,0.9900648054,0.002083497967799875,2006.8331607555556,30.99966644000199,NA,NA
mbkmeans,10000,750,0.98942552186,0.0020135397995632727,2009.2333292,29.13326390672112,NA,NA
mbkmeans,10000,1000,0.98959795032,0.0020915333134329315,2005.8944546444445,37.90566896130676,NA,NA
mbkmeans,25000,10,0.9819504611,0.010212375214124741,2681.9550103466668,217.6426671743213,NA,NA
mbkmeans,25000,35,0.98779111458,0.0038216628026011426,2184.4855821955557,68.01517961621245,NA,NA
mbkmeans,25000,75,0.98869257044,0.002419204937689722,2075.564528266667,34.98932632520354,NA,NA
mbkmeans,25000,150,0.98959769256,0.002097079469620073,2048.2275736533334,29.864532155883026,NA,NA
mbkmeans,25000,500,0.98945600616,0.0013030413144520764,2005.892594391111,27.309461181953694,NA,NA
mbkmeans,25000,750,0.98968040512,0.0012924548665276113,2003.3141087288889,28.53471285167368,NA,NA
mbkmeans,25000,1000,0.98971127644,0.0013482169720803402,1998.2663573155555,28.001183529997757,NA,NA
mbkmeans (HDF5),5000,10,0.97365889582,0.06014900333596444,2700.628389688889,279.5399219735565,92209.52883600039,58576.45246045954
mbkmeans (HDF5),5000,35,0.98807981776,0.004299473864214211,2192.914148311111,78.09871241624813,50082.4170529876,13021.588300332754
mbkmeans (HDF5),5000,75,0.9889909823,0.0031843494782075243,2077.278440577778,48.33554659077801,40336.1170001886,9929.519086330873
mbkmeans (HDF5),5000,150,0.98937734936,0.0033270509003261507,2036.5078467333333,38.06441130203774,35382.733841503206,6623.1276464007115
mbkmeans (HDF5),5000,500,0.98984765914,0.002640498580874682,2008.0571455066668,31.278331913434467,28177.1578909342,3662.9960868775574
mbkmeans (HDF5),5000,750,0.9887941011,0.0027125411063466972,2003.0539731777778,37.55633856111139,26082.4700697126,2652.004295843365
mbkmeans (HDF5),5000,1000,0.98895462188,0.002600864411242297,2005.52211076,32.725926773022294,26160.999463246,3154.1060549695226
mbkmeans (HDF5),10000,10,0.9815104982,0.010908309067520085,2677.6759,267.9143202874464,62060.413660000304,36992.367788132346
mbkmeans (HDF5),10000,35,0.98821745984,0.004533736796330152,2202.860508266667,85.99855672001797,46748.1160529482,14494.09576020986
mbkmeans (HDF5),10000,75,0.98779567392,0.003307347908482955,2089.6676400444444,46.659084095886456,36736.5828384969,6796.655597295149
mbkmeans (HDF5),10000,150,0.98951366444,0.002232918751557166,2029.6353295111112,28.50904160371681,32702.9450862104,4389.673543558053
mbkmeans (HDF5),10000,500,0.98932820388,0.0023842822588360573,2000.399694311111,30.032960380367,26901.480232968403,2629.064746395635
mbkmeans (HDF5),10000,750,0.98948035238,0.0020260414590293394,1998.4085151333334,21.70969615234329,26291.8738719989,2835.789334576294
mbkmeans (HDF5),10000,1000,0.98966352294,0.001774077102100382,1998.1970917555554,37.25141059457377,25382.8946116862,2874.407943188082
mbkmeans (HDF5),25000,10,0.98069598278,0.018109881434312164,2700.2000039822224,236.9842133865357,62142.263026666806,31252.642516719854
mbkmeans (HDF5),25000,35,0.98792550414,0.0037378361057023276,2182.46743192,61.6104557912865,40465.1531340972,14752.191879039015
mbkmeans (HDF5),25000,75,0.98884127946,0.0034479069573810374,2085.8676740622222,43.28525499668398,36327.36457039452,5801.333322796206
mbkmeans (HDF5),25000,150,0.98940291792,0.001789746038898872,2038.0232569333334,26.92410807471218,31323.11426882248,3406.755531708653
mbkmeans (HDF5),25000,500,0.98960037412,0.0016465893572947688,2000.4860154577777,19.195241549810227,27258.32051264452,2672.1900653700527
mbkmeans (HDF5),25000,750,0.98979850722,0.0011803366110695343,1993.1823946044444,26.252074028378747,25686.95199218452,2587.394197300257
mbkmeans (HDF5),25000,1000,0.98950559852,0.001131646518263725,1996.8025556622222,32.752419976184314,26705.524331569562,2546.0665606357397
