"batch_size" "iteration" "time_kmeans.elapsed" "time_mbkmeans.elapsed" "time_mbkmeans_hdf5.elapsed"
0.001 "1" 0.0799999999999983 0.0430000000000028 43.099
0.001 "2" 0.0769999999999982 0.0489999999999924 28.744
0.001 "3" 0.0829999999999984 0.0450000000000017 29.238
0.005 "1" 0.0750000000000171 0.0960000000000036 40.298
0.005 "2" 0.0879999999999939 0.0949999999999989 36.065
0.005 "3" 0.0929999999999893 0.0889999999999986 40.789
0.01 "1" 0.0760000000000218 0.134000000000015 34.835
0.01 "2" 0.110000000000014 0.165999999999997 31.848
0.01 "3" 0.0930000000000177 0.137 42.899
0.05 "1" 0.0730000000000359 0.495000000000005 44.271
0.05 "2" 0.0720000000000027 0.620000000000005 39.643
0.05 "3" 0.0769999999999982 0.535000000000025 39.0040000000001
0.25 "1" 0.0789999999999509 2.47400000000005 43.051
0.25 "2" 0.0810000000000173 3.17500000000007 36.817
0.25 "3" 0.0779999999999745 2.94899999999996 40.504
0.5 "1" 0.0739999999999554 7.35799999999995 43.4160000000001
0.5 "2" 0.0879999999999654 6.50799999999992 42.6990000000001
0.5 "3" 0.0930000000000746 6.96199999999999 45.817
0.99 "1" 0.0710000000000264 12.1360000000001 52.7610000000001
0.99 "2" 0.0750000000000455 13.73 47.703
0.99 "3" 0.0849999999999227 11.09 57.624
1 "1" 0.127999999999929 3.11400000000003 15.9269999999999
1 "2" 0.0789999999999509 3.1719999999998 16.999
1 "3" 0.08400000000006 4.2360000000001 15.8920000000001
