B,observations,genes,batch_size,k,initializer,method,user_time,system_time,elapsed_time
5,1.00E+05,1000,0.001,9,random,kmeans,306.847,9.018,357.575
6,1.00E+05,1000,0.001,9,random,kmeans,340.676,8.13,386.134
7,1.00E+05,1000,0.001,9,random,kmeans,268.72,8.691,308.798
8,1.00E+05,1000,0.001,9,random,kmeans,328.198,7.329,371.533
9,1.00E+05,1000,0.001,9,random,kmeans,321.88,8.828,365.177
10,1.00E+05,1000,0.001,9,random,kmeans,307.068,8.962,362.199
1,1.00E+05,1000,0.001,10,random,kmeans,352.773,9.423,436.093
2,1.00E+05,1000,0.001,10,random,kmeans,389.173,8.765,482.441
3,1.00E+05,1000,0.001,10,random,kmeans,325.081,9.662,368.815
4,1.00E+05,1000,0.001,10,random,kmeans,399.317,9.864,474.312
5,1.00E+05,1000,0.001,10,random,kmeans,378.499,9.319,464.321
6,1.00E+05,1000,0.001,10,random,kmeans,367.666,10.134,431.603
7,1.00E+05,1000,0.001,10,random,kmeans,383.942,8.931,474.378
8,1.00E+05,1000,0.001,10,random,kmeans,398.355,9.709,488.004
9,1.00E+05,1000,0.001,10,random,kmeans,356.217,10.294,417.92
10,1.00E+05,1000,0.001,10,random,kmeans,320.601,8.65,370.573
1,1.00E+05,1000,0.001,11,random,kmeans,458.449,7.888,524.752
2,1.00E+05,1000,0.001,11,random,kmeans,361.879,8.206,414.883
3,1.00E+05,1000,0.001,11,random,kmeans,438.226,7.574,517.071
4,1.00E+05,1000,0.001,11,random,kmeans,415.436,8.556,477.718
5,1.00E+05,1000,0.001,11,random,kmeans,440.42,8.777,519.969
6,1.00E+05,1000,0.001,11,random,kmeans,370.667,8.485,429.831
7,1.00E+05,1000,0.001,11,random,kmeans,441.481,7.67,514.338
8,1.00E+05,1000,0.001,11,random,kmeans,406.049,7.445,443.83
9,1.00E+05,1000,0.001,11,random,kmeans,354.791,9.387,400.071
10,1.00E+05,1000,0.001,11,random,kmeans,371.031,8.488,420.566
1,1.00E+05,1000,0.001,12,random,kmeans,407.28,10.36,487.49
2,1.00E+05,1000,0.001,12,random,kmeans,457.279,9.132,531.274
3,1.00E+05,1000,0.001,12,random,kmeans,405.23,9.009,499.004
4,1.00E+05,1000,0.001,12,random,kmeans,430.77,9.052,505.356
5,1.00E+05,1000,0.001,12,random,kmeans,436.591,9.562,525.856
6,1.00E+05,1000,0.001,12,random,kmeans,474.023,8.046,547.26
7,1.00E+05,1000,0.001,12,random,kmeans,415.07,10.389,514.604
8,1.00E+05,1000,0.001,12,random,kmeans,362.991,9.979,446.702
9,1.00E+05,1000,0.001,12,random,kmeans,437.433,9.155,542.881
10,1.00E+05,1000,0.001,12,random,kmeans,381.194,8.949,454.767
1,1.00E+05,1000,0.001,13,random,kmeans,411.826,9.623,507.094
2,1.00E+05,1000,0.001,13,random,kmeans,536.993,7.613,645.043
3,1.00E+05,1000,0.001,13,random,kmeans,355.621,9.969,464.975
4,1.00E+05,1000,0.001,13,random,kmeans,388.177,8.795,488.889
5,1.00E+05,1000,0.001,13,random,kmeans,407.718,9.617,526.579
6,1.00E+05,1000,0.001,13,random,kmeans,396.685,7.925,514.035
7,1.00E+05,1000,0.001,13,random,kmeans,400.6,9.16,487.059
8,1.00E+05,1000,0.001,13,random,kmeans,380.069,9.389,498.442
9,1.00E+05,1000,0.001,13,random,kmeans,452.587,10.436,559.277
10,1.00E+05,1000,0.001,13,random,kmeans,384.759,10.434,477.229
1,1.00E+05,1000,0.001,14,random,kmeans,354.188,10.362,417.647
2,1.00E+05,1000,0.001,14,random,kmeans,448.96,7.924,548.886
3,1.00E+05,1000,0.001,14,random,kmeans,430.554,9.175,515.301
4,1.00E+05,1000,0.001,14,random,kmeans,398.459,8.385,456.043
5,1.00E+05,1000,0.001,14,random,kmeans,475.877,8.681,562.323
6,1.00E+05,1000,0.001,14,random,kmeans,396.666,9.132,477.511
7,1.00E+05,1000,0.001,14,random,kmeans,404.105,8.353,472.771
8,1.00E+05,1000,0.001,14,random,kmeans,400.104,8.962,499.217
9,1.00E+05,1000,0.001,14,random,kmeans,453.198,9.38,517.347
10,1.00E+05,1000,0.001,14,random,kmeans,419.259,9.245,485.161
1,1.00E+05,1000,0.001,15,random,kmeans,464.283,9.478,531.425
2,1.00E+05,1000,0.001,15,random,kmeans,477.946,8.873,560.415
3,1.00E+05,1000,0.001,15,random,kmeans,423.456,10.316,478.988
4,1.00E+05,1000,0.001,15,random,kmeans,451.212,8.575,536.312
5,1.00E+05,1000,0.001,15,random,kmeans,457.759,8.929,515.059
6,1.00E+05,1000,0.001,15,random,kmeans,481.968,10.315,505.558
7,1.00E+05,1000,0.001,15,random,kmeans,497.245,9.744,560.988
8,1.00E+05,1000,0.001,15,random,kmeans,462.04,7.595,548.255
9,1.00E+05,1000,0.001,15,random,kmeans,447.664,8.155,530.69
10,1.00E+05,1000,0.001,15,random,kmeans,455.884,8.754,539.016
1,1.00E+05,1000,0.001,16,random,kmeans,539.498,9.257,592.987
2,1.00E+05,1000,0.001,16,random,kmeans,544.871,7.353,607.947
3,1.00E+05,1000,0.001,16,random,kmeans,504.147,7.839,567.12
4,1.00E+05,1000,0.001,16,random,kmeans,538.166,9.151,590.848
5,1.00E+05,1000,0.001,16,random,kmeans,430.66,9.165,485.564
6,1.00E+05,1000,0.001,16,random,kmeans,468.955,8.387,511.762
7,1.00E+05,1000,0.001,16,random,kmeans,538.92,8.691,597.894
8,1.00E+05,1000,0.001,16,random,kmeans,536.17,7.762,573.907
9,1.00E+05,1000,0.001,16,random,kmeans,479.714,8.158,546.377
10,1.00E+05,1000,0.001,16,random,kmeans,475.536,9.092,515.201
1,1.00E+05,1000,0.001,17,random,kmeans,587.807,8.093,737.581
2,1.00E+05,1000,0.001,17,random,kmeans,510.508,10.572,620.26
3,1.00E+05,1000,0.001,17,random,kmeans,552.11,8.412,695.267
4,1.00E+05,1000,0.001,17,random,kmeans,633.708,8.025,782.985
5,1.00E+05,1000,0.001,17,random,kmeans,612.401,9.143,717.208
