"B","observations","genes","batch_size","k","initializer","method","user_time","system_time","elapsed_time"
9,1e+05,1000,0.01,9,random,kmeans,165.891,4.242,170.164
10,1e+05,1000,0.01,9,random,kmeans,166.302,4.267,170.599
1,1e+05,1000,0.01,10,random,kmeans,180.086,3.824,183.944
2,1e+05,1000,0.01,10,random,kmeans,161.048,4.107,165.184
3,1e+05,1000,0.01,10,random,kmeans,147.831,3.784,151.644
4,1e+05,1000,0.01,10,random,kmeans,160.78,3.95,164.76
5,1e+05,1000,0.01,10,random,kmeans,175.055,4.146,179.238
6,1e+05,1000,0.01,10,random,kmeans,172.387,3.597,176.039
7,1e+05,1000,0.01,10,random,kmeans,165.147,3.99,169.174
8,1e+05,1000,0.01,10,random,kmeans,150.656,4.192,154.878
9,1e+05,1000,0.01,10,random,kmeans,198.685,3.823,202.586
10,1e+05,1000,0.01,10,random,kmeans,158.799,4.002,162.833
1,1e+05,1000,0.01,11,random,kmeans,180.593,3.374,184.002
2,1e+05,1000,0.01,11,random,kmeans,172.119,3.508,175.662
3,1e+05,1000,0.01,11,random,kmeans,160.28,4.086,164.396
4,1e+05,1000,0.01,11,random,kmeans,164.209,3.935,168.178
5,1e+05,1000,0.01,11,random,kmeans,170.563,4.263,174.858
6,1e+05,1000,0.01,11,random,kmeans,215.098,3.598,218.74
7,1e+05,1000,0.01,11,random,kmeans,161.686,3.925,165.643
8,1e+05,1000,0.01,11,random,kmeans,185.386,3.974,189.397
9,1e+05,1000,0.01,11,random,kmeans,195.753,4.16,199.949
10,1e+05,1000,0.01,11,random,kmeans,165.177,4.192,169.4
1,1e+05,1000,0.01,12,random,kmeans,191.725,3.982,195.745
2,1e+05,1000,0.01,12,random,kmeans,193.736,3.522,197.327
3,1e+05,1000,0.01,12,random,kmeans,191.314,4.327,195.677
4,1e+05,1000,0.01,12,random,kmeans,180.098,4.254,184.388
5,1e+05,1000,0.01,12,random,kmeans,181.879,4.327,186.245
6,1e+05,1000,0.01,12,random,kmeans,180.11,4.015,184.164
7,1e+05,1000,0.01,12,random,kmeans,187.453,3.828,191.32
8,1e+05,1000,0.01,12,random,kmeans,179.863,4.177,184.076
9,1e+05,1000,0.01,12,random,kmeans,207.684,3.73,211.455
10,1e+05,1000,0.01,12,random,kmeans,189.216,3.792,193.044
1,1e+05,1000,0.01,13,random,kmeans,180.568,4.349,184.95
2,1e+05,1000,0.01,13,random,kmeans,195.509,3.555,199.117
3,1e+05,1000,0.01,13,random,kmeans,180.137,3.686,183.891
4,1e+05,1000,0.01,13,random,kmeans,184.019,3.741,187.847
5,1e+05,1000,0.01,13,random,kmeans,196.664,3.675,200.377
6,1e+05,1000,0.01,13,random,kmeans,186.672,4.16,190.889
7,1e+05,1000,0.01,13,random,kmeans,174.056,4.474,178.565
8,1e+05,1000,0.01,13,random,kmeans,183.668,4.578,188.28
9,1e+05,1000,0.01,13,random,kmeans,177.607,4.154,181.832
10,1e+05,1000,0.01,13,random,kmeans,189.415,3.913,193.364
1,1e+05,1000,0.01,14,random,kmeans,201.222,3.717,204.988
2,1e+05,1000,0.01,14,random,kmeans,232.796,3.485,236.342
3,1e+05,1000,0.01,14,random,kmeans,194.585,4.114,198.736
4,1e+05,1000,0.01,14,random,kmeans,200.061,4.248,204.376
5,1e+05,1000,0.01,14,random,kmeans,205.144,4.056,209.258
6,1e+05,1000,0.01,14,random,kmeans,187.603,4.045,191.691
7,1e+05,1000,0.01,14,random,kmeans,214.251,4.025,218.324
8,1e+05,1000,0.01,14,random,kmeans,249.85,3.79,253.704
9,1e+05,1000,0.01,14,random,kmeans,201.45,4.26,205.749
10,1e+05,1000,0.01,14,random,kmeans,211.786,3.822,215.649
1,1e+05,1000,0.01,15,random,kmeans,204.196,4.209,208.447
2,1e+05,1000,0.01,15,random,kmeans,229.329,4.095,233.474
3,1e+05,1000,0.01,15,random,kmeans,210.778,4.431,215.27
4,1e+05,1000,0.01,15,random,kmeans,203.423,4.17,207.669
5,1e+05,1000,0.01,15,random,kmeans,226.106,3.745,229.891
6,1e+05,1000,0.01,15,random,kmeans,210.966,3.717,214.724
7,1e+05,1000,0.01,15,random,kmeans,219.376,3.862,223.284
8,1e+05,1000,0.01,15,random,kmeans,227.689,4.11,231.897
9,1e+05,1000,0.01,15,random,kmeans,200.702,4.471,205.212
10,1e+05,1000,0.01,15,random,kmeans,235.159,3.604,238.822
1,1e+05,1000,0.01,16,random,kmeans,229.728,3.959,233.736
2,1e+05,1000,0.01,16,random,kmeans,241.33,3.759,245.139
3,1e+05,1000,0.01,16,random,kmeans,249.031,3.62,252.7
4,1e+05,1000,0.01,16,random,kmeans,214.597,3.921,218.56
5,1e+05,1000,0.01,16,random,kmeans,231.973,3.903,235.923
6,1e+05,1000,0.01,16,random,kmeans,222.068,3.947,226.061
7,1e+05,1000,0.01,16,random,kmeans,254.656,3.667,258.375
8,1e+05,1000,0.01,16,random,kmeans,235.461,3.817,239.325
9,1e+05,1000,0.01,16,random,kmeans,260.498,3.711,264.259
10,1e+05,1000,0.01,16,random,kmeans,244.083,3.734,247.863
1,1e+05,1000,0.01,17,random,kmeans,271.712,4.008,275.773
2,1e+05,1000,0.01,17,random,kmeans,236.16,3.615,239.831
3,1e+05,1000,0.01,17,random,kmeans,249.414,3.751,253.237
4,1e+05,1000,0.01,17,random,kmeans,274.023,3.838,277.958
5,1e+05,1000,0.01,17,random,kmeans,236.954,4.038,241.078
6,1e+05,1000,0.01,17,random,kmeans,260.188,3.76,264.045
7,1e+05,1000,0.01,17,random,kmeans,241.8,4.059,245.912
8,1e+05,1000,0.01,17,random,kmeans,224.176,4.111,228.332
9,1e+05,1000,0.01,17,random,kmeans,267.37,3.706,271.144
10,1e+05,1000,0.01,17,random,kmeans,230.734,4.144,234.924
1,1e+05,1000,0.01,18,random,kmeans,282.995,3.755,286.806
2,1e+05,1000,0.01,18,random,kmeans,260.88,3.951,264.883
3,1e+05,1000,0.01,18,random,kmeans,254.962,3.772,258.785
4,1e+05,1000,0.01,18,random,kmeans,239.199,3.674,242.924
5,1e+05,1000,0.01,18,random,kmeans,275.367,4.085,279.511
6,1e+05,1000,0.01,18,random,kmeans,271.687,3.734,275.475
7,1e+05,1000,0.01,18,random,kmeans,249.105,4.2,253.352
8,1e+05,1000,0.01,18,random,kmeans,245.357,3.978,249.382
9,1e+05,1000,0.01,18,random,kmeans,246.854,4.194,251.095
10,1e+05,1000,0.01,18,random,kmeans,298.46,3.608,302.129
1,1e+05,1000,0.01,19,random,kmeans,245.929,4.134,250.11
2,1e+05,1000,0.01,19,random,kmeans,291.448,3.742,295.248
3,1e+05,1000,0.01,19,random,kmeans,264.692,4.004,268.747
4,1e+05,1000,0.01,19,random,kmeans,333.453,3.655,337.174
5,1e+05,1000,0.01,19,random,kmeans,377.996,3.786,381.857
6,1e+05,1000,0.01,19,random,kmeans,284.098,3.755,287.91
7,1e+05,1000,0.01,19,random,kmeans,253.596,3.381,257.029
8,1e+05,1000,0.01,19,random,kmeans,292.31,3.92,296.289
9,1e+05,1000,0.01,19,random,kmeans,267.301,3.747,271.098
10,1e+05,1000,0.01,19,random,kmeans,278.965,3.291,282.312
1,1e+05,1000,0.01,20,random,kmeans,314.842,3.342,318.245
2,1e+05,1000,0.01,20,random,kmeans,299.219,3.762,303.04
3,1e+05,1000,0.01,20,random,kmeans,264.063,3.751,267.866
4,1e+05,1000,0.01,20,random,kmeans,297.522,3.738,301.341
5,1e+05,1000,0.01,20,random,kmeans,293.122,3.848,297.032
6,1e+05,1000,0.01,20,random,kmeans,333.708,3.572,337.352
7,1e+05,1000,0.01,20,random,kmeans,283.537,4.3,287.914
8,1e+05,1000,0.01,20,random,kmeans,303.624,3.509,307.195
9,1e+05,1000,0.01,20,random,kmeans,288.978,3.664,292.697
10,1e+05,1000,0.01,20,random,kmeans,311.964,3.894,315.92
1,1e+05,1000,0.1,2,random,kmeans,92.849,4.098,96.964
2,1e+05,1000,0.1,2,random,kmeans,84.485,3.483,87.987
3,1e+05,1000,0.1,2,random,kmeans,68.304,4.381,72.698
4,1e+05,1000,0.1,2,random,kmeans,72.303,4.087,76.405
5,1e+05,1000,0.1,2,random,kmeans,99.409,3.236,102.666
6,1e+05,1000,0.1,2,random,kmeans,90.771,3.68,94.469
7,1e+05,1000,0.1,2,random,kmeans,86.762,4.385,91.164
8,1e+05,1000,0.1,2,random,kmeans,80.57,4.491,85.076
9,1e+05,1000,0.1,2,random,kmeans,81.774,3.729,85.519
10,1e+05,1000,0.1,2,random,kmeans,73.56,3.958,77.534
1,1e+05,1000,0.1,3,random,kmeans,98.147,4.319,102.485
2,1e+05,1000,0.1,3,random,kmeans,104.543,4.175,108.739
3,1e+05,1000,0.1,3,random,kmeans,101.676,3.697,105.395
4,1e+05,1000,0.1,3,random,kmeans,113.242,3.716,116.981
5,1e+05,1000,0.1,3,random,kmeans,93.761,4.207,98.002
6,1e+05,1000,0.1,3,random,kmeans,111.09,3.631,114.753
7,1e+05,1000,0.1,3,random,kmeans,89.983,4.314,94.329
8,1e+05,1000,0.1,3,random,kmeans,115.076,3.75,118.849
9,1e+05,1000,0.1,3,random,kmeans,94.038,4.152,98.221
10,1e+05,1000,0.1,3,random,kmeans,95.202,3.763,98.984
1,1e+05,1000,0.1,4,random,kmeans,139.516,4.11,143.654
2,1e+05,1000,0.1,4,random,kmeans,142.935,3.852,146.818
3,1e+05,1000,0.1,4,random,kmeans,124.665,4.344,129.033
4,1e+05,1000,0.1,4,random,kmeans,127.321,4.001,131.379
5,1e+05,1000,0.1,4,random,kmeans,139.328,3.642,143.01
6,1e+05,1000,0.1,4,random,kmeans,159.689,3.517,163.238
7,1e+05,1000,0.1,4,random,kmeans,122.004,4.38,126.409
8,1e+05,1000,0.1,4,random,kmeans,127.125,4.065,131.217
9,1e+05,1000,0.1,4,random,kmeans,116.731,3.725,120.481
10,1e+05,1000,0.1,4,random,kmeans,151.489,3.717,155.258
1,1e+05,1000,0.1,5,random,kmeans,156.731,3.184,159.948
2,1e+05,1000,0.1,5,random,kmeans,164.989,3.557,168.582
3,1e+05,1000,0.1,5,random,kmeans,170.074,4.074,174.18
4,1e+05,1000,0.1,5,random,kmeans,145.445,3.851,149.325
5,1e+05,1000,0.1,5,random,kmeans,154.187,4.189,158.406
6,1e+05,1000,0.1,5,random,kmeans,142.601,4.12,146.748
7,1e+05,1000,0.1,5,random,kmeans,158.349,3.922,162.304
8,1e+05,1000,0.1,5,random,kmeans,175.388,3.552,178.977
9,1e+05,1000,0.1,5,random,kmeans,133.977,4.327,138.331
10,1e+05,1000,0.1,5,random,kmeans,152.166,4.265,156.461
1,1e+05,1000,0.1,6,random,kmeans,190.228,3.903,194.171
2,1e+05,1000,0.1,6,random,kmeans,133.641,4.104,137.777
3,1e+05,1000,0.1,6,random,kmeans,159.14,3.471,162.645
4,1e+05,1000,0.1,6,random,kmeans,139.748,4.226,144.001
5,1e+05,1000,0.1,6,random,kmeans,155.771,4.047,159.847
6,1e+05,1000,0.1,6,random,kmeans,163.06,3.734,166.845
7,1e+05,1000,0.1,6,random,kmeans,160.524,3.655,164.211
8,1e+05,1000,0.1,6,random,kmeans,169.917,3.717,173.678
9,1e+05,1000,0.1,6,random,kmeans,139.416,4.041,143.485
10,1e+05,1000,0.1,6,random,kmeans,141.985,4.013,146.025
1,1e+05,1000,0.1,7,random,kmeans,214.354,3.915,218.316
2,1e+05,1000,0.1,7,random,kmeans,150.612,4.574,155.216
3,1e+05,1000,0.1,7,random,kmeans,159.606,4.142,163.779
4,1e+05,1000,0.1,7,random,kmeans,162.566,4.266,166.901
5,1e+05,1000,0.1,7,random,kmeans,136.25,4.235,140.511
6,1e+05,1000,0.1,7,random,kmeans,147.305,4.161,151.5
7,1e+05,1000,0.1,7,random,kmeans,144.258,4.077,148.363
8,1e+05,1000,0.1,7,random,kmeans,194.172,4.276,198.49
9,1e+05,1000,0.1,7,random,kmeans,140.941,4.305,145.274
10,1e+05,1000,0.1,7,random,kmeans,143.139,4.282,147.448
1,1e+05,1000,0.1,8,random,kmeans,196.327,3.753,200.125
2,1e+05,1000,0.1,8,random,kmeans,144.575,4.139,148.741
3,1e+05,1000,0.1,8,random,kmeans,184.071,3.754,187.862
4,1e+05,1000,0.1,8,random,kmeans,171.225,4.071,175.349
5,1e+05,1000,0.1,8,random,kmeans,151.386,4.175,155.589
6,1e+05,1000,0.1,8,random,kmeans,149.704,3.888,153.628
7,1e+05,1000,0.1,8,random,kmeans,140.222,4.489,144.741
8,1e+05,1000,0.1,8,random,kmeans,159.381,4.183,163.637
9,1e+05,1000,0.1,8,random,kmeans,147.336,3.721,151.087
10,1e+05,1000,0.1,8,random,kmeans,155.313,4.229,159.571
1,1e+05,1000,0.1,9,random,kmeans,160.463,4.468,164.962
2,1e+05,1000,0.1,9,random,kmeans,159.431,4.114,163.601
3,1e+05,1000,0.1,9,random,kmeans,166.232,4.335,170.617
4,1e+05,1000,0.1,9,random,kmeans,178.797,3.649,182.482
5,1e+05,1000,0.1,9,random,kmeans,165.86,4.445,170.337
6,1e+05,1000,0.1,9,random,kmeans,174.577,3.991,178.603
7,1e+05,1000,0.1,9,random,kmeans,167.134,4.26,171.433
8,1e+05,1000,0.1,9,random,kmeans,175.027,4.035,179.153
9,1e+05,1000,0.1,9,random,kmeans,151.219,4.298,155.547
10,1e+05,1000,0.1,9,random,kmeans,173.109,4.008,177.152
1,1e+05,1000,0.1,10,random,kmeans,169.705,4.129,173.866
2,1e+05,1000,0.1,10,random,kmeans,173.281,4.226,177.539
3,1e+05,1000,0.1,10,random,kmeans,171.527,4.124,175.685
4,1e+05,1000,0.1,10,random,kmeans,157.679,4.244,161.953
5,1e+05,1000,0.1,10,random,kmeans,162.25,4.361,166.641
6,1e+05,1000,0.1,10,random,kmeans,172.836,4.082,176.952
7,1e+05,1000,0.1,10,random,kmeans,142.816,4.077,146.921
8,1e+05,1000,0.1,10,random,kmeans,144.36,3.565,147.954
9,1e+05,1000,0.1,10,random,kmeans,179.788,3.705,183.529
10,1e+05,1000,0.1,10,random,kmeans,179.419,3.79,183.244
1,1e+05,1000,0.1,11,random,kmeans,147.286,4.598,151.913
2,1e+05,1000,0.1,11,random,kmeans,161.745,4.122,165.903
3,1e+05,1000,0.1,11,random,kmeans,183.462,4.278,187.775
4,1e+05,1000,0.1,11,random,kmeans,152.625,4.145,156.799
5,1e+05,1000,0.1,11,random,kmeans,181.558,3.695,185.289
6,1e+05,1000,0.1,11,random,kmeans,204.794,3.688,208.525
7,1e+05,1000,0.1,11,random,kmeans,158.03,3.865,161.928
8,1e+05,1000,0.1,11,random,kmeans,178.795,4.516,183.345
9,1e+05,1000,0.1,11,random,kmeans,177.198,3.473,180.707
10,1e+05,1000,0.1,11,random,kmeans,154.379,4.21,158.62
1,1e+05,1000,0.1,12,random,kmeans,164.537,4.03,168.605
2,1e+05,1000,0.1,12,random,kmeans,158.162,3.906,162.104
3,1e+05,1000,0.1,12,random,kmeans,187.388,3.173,190.599
4,1e+05,1000,0.1,12,random,kmeans,212.934,3.391,216.376
5,1e+05,1000,0.1,12,random,kmeans,183.319,4.172,187.525
6,1e+05,1000,0.1,12,random,kmeans,169.712,4.576,174.334
7,1e+05,1000,0.1,12,random,kmeans,183.712,4.463,188.212
8,1e+05,1000,0.1,12,random,kmeans,206.097,3.482,209.623
9,1e+05,1000,0.1,12,random,kmeans,185.773,4.437,190.248
10,1e+05,1000,0.1,12,random,kmeans,197.123,3.73,200.91
1,1e+05,1000,0.1,13,random,kmeans,217.287,3.595,220.932
2,1e+05,1000,0.1,13,random,kmeans,196.977,4.481,201.506
3,1e+05,1000,0.1,13,random,kmeans,178.723,4.156,182.913
4,1e+05,1000,0.1,13,random,kmeans,189.343,4.315,193.693
5,1e+05,1000,0.1,13,random,kmeans,191.423,3.442,194.908
6,1e+05,1000,0.1,13,random,kmeans,165.567,4.23,169.846
7,1e+05,1000,0.1,13,random,kmeans,191.962,4.245,196.244
8,1e+05,1000,0.1,13,random,kmeans,204.444,4.267,208.755
9,1e+05,1000,0.1,13,random,kmeans,191.067,4.244,195.347
10,1e+05,1000,0.1,13,random,kmeans,197.615,4.106,201.771
1,1e+05,1000,0.1,14,random,kmeans,243.04,3.774,246.866
2,1e+05,1000,0.1,14,random,kmeans,263.945,3.781,267.784
3,1e+05,1000,0.1,14,random,kmeans,240.632,4.174,244.854
4,1e+05,1000,0.1,14,random,kmeans,204.271,4.296,208.633
5,1e+05,1000,0.1,14,random,kmeans,230.824,4.174,235.048
6,1e+05,1000,0.1,14,random,kmeans,210.18,4.109,214.339
7,1e+05,1000,0.1,14,random,kmeans,194.896,4.107,199.042
8,1e+05,1000,0.1,14,random,kmeans,202.945,3.664,206.657
9,1e+05,1000,0.1,14,random,kmeans,197.794,4.067,201.901
10,1e+05,1000,0.1,14,random,kmeans,212.045,4.037,216.124
1,1e+05,1000,0.1,15,random,kmeans,190.309,3.162,193.509
2,1e+05,1000,0.1,15,random,kmeans,212.259,4.3,216.602
3,1e+05,1000,0.1,15,random,kmeans,198.117,4.193,202.35
4,1e+05,1000,0.1,15,random,kmeans,232.311,3.989,236.346
5,1e+05,1000,0.1,15,random,kmeans,216.623,3.594,220.258
6,1e+05,1000,0.1,15,random,kmeans,240.261,3.73,244.042
7,1e+05,1000,0.1,15,random,kmeans,220.403,4.167,224.612
8,1e+05,1000,0.1,15,random,kmeans,213.661,4.38,218.08
9,1e+05,1000,0.1,15,random,kmeans,228.586,3.863,232.497
10,1e+05,1000,0.1,15,random,kmeans,226.445,4.128,230.617
1,1e+05,1000,0.1,16,random,kmeans,226.213,4.116,230.374
2,1e+05,1000,0.1,16,random,kmeans,250.006,3.676,253.734
3,1e+05,1000,0.1,16,random,kmeans,244.95,3.777,248.78
4,1e+05,1000,0.1,16,random,kmeans,244.069,3.85,247.994
5,1e+05,1000,0.1,16,random,kmeans,213.925,4.644,218.609
6,1e+05,1000,0.1,16,random,kmeans,249.088,4.275,253.416
7,1e+05,1000,0.1,16,random,kmeans,209.33,4.204,213.577
8,1e+05,1000,0.1,16,random,kmeans,219.964,4.318,224.333
9,1e+05,1000,0.1,16,random,kmeans,263.371,4.061,267.488
10,1e+05,1000,0.1,16,random,kmeans,223.234,4.167,227.443
1,1e+05,1000,0.1,17,random,kmeans,250.505,3.623,254.19
2,1e+05,1000,0.1,17,random,kmeans,232.263,4.155,236.462
3,1e+05,1000,0.1,17,random,kmeans,218.544,4.427,223.012
4,1e+05,1000,0.1,17,random,kmeans,257.405,3.861,261.321
5,1e+05,1000,0.1,17,random,kmeans,206.598,3.916,210.556
6,1e+05,1000,0.1,17,random,kmeans,259.287,4.033,263.372
7,1e+05,1000,0.1,17,random,kmeans,241.35,3.723,245.173
8,1e+05,1000,0.1,17,random,kmeans,248.565,3.988,252.6
9,1e+05,1000,0.1,17,random,kmeans,231.391,3.967,235.413
10,1e+05,1000,0.1,17,random,kmeans,212.32,4.346,216.707
1,1e+05,1000,0.1,18,random,kmeans,221.519,4.217,225.777
2,1e+05,1000,0.1,18,random,kmeans,291.92,3.847,295.825
3,1e+05,1000,0.1,18,random,kmeans,286.722,4.324,291.1
4,1e+05,1000,0.1,18,random,kmeans,265.016,3.528,268.602
5,1e+05,1000,0.1,18,random,kmeans,253.295,4.152,257.496
6,1e+05,1000,0.1,18,random,kmeans,258.315,4.017,262.407
7,1e+05,1000,0.1,18,random,kmeans,240.126,3.928,244.103
8,1e+05,1000,0.1,18,random,kmeans,227.443,3.599,231.095
9,1e+05,1000,0.1,18,random,kmeans,263.905,3.637,267.596
10,1e+05,1000,0.1,18,random,kmeans,290.34,4.381,294.778
